"time","open","high","low","close","Volume","localTime"
"1359594900","23336","23336","23336","23336","1","2013-01-31 09:15:00 HKT"
"1359596100","23250","23250","23250","23250","1","2013-01-31 09:35:00 HKT"
"1359599400","23220","23220","23220","23220","1","2013-01-31 10:30:00 HKT"
"1359610500","23270","23270","23270","23270","1","2013-01-31 13:35:00 HKT"
"1359615000","23280","23280","23280","23280","1","2013-01-31 14:50:00 HKT"
"1359619800","23280","23280","23280","23280","4","2013-01-31 16:10:00 HKT"
"1359624600","23287","23287","23287","23287","1","2013-01-31 17:30:00 HKT"
"1359628800","23287","23287","23287","23287","1","2013-01-31 18:40:00 HKT"
"1359635100","23287","23287","23287","23287","1","2013-01-31 20:25:00 HKT"
"1359681900","23261","23261","23246","23246","2","2013-02-01 09:25:00 HKT"
"1359682200","23178","23178","23149","23149","3","2013-02-01 09:30:00 HKT"
"1359682500","23124","23124","23124","23124","1","2013-02-01 09:35:00 HKT"
"1359683700","23153","23153","23153","23153","1","2013-02-01 09:55:00 HKT"
"1359684000","23178","23178","23178","23178","1","2013-02-01 10:00:00 HKT"
"1359684900","23167","23167","23167","23167","1","2013-02-01 10:15:00 HKT"
"1359685200","23203","23203","23203","23203","1","2013-02-01 10:20:00 HKT"
"1359685500","23209","23209","23209","23209","1","2013-02-01 10:25:00 HKT"
"1359685800","23187","23187","23187","23187","1","2013-02-01 10:30:00 HKT"
"1359686100","23177","23177","23177","23177","1","2013-02-01 10:35:00 HKT"
"1359687000","23148","23148","23148","23148","1","2013-02-01 10:50:00 HKT"
"1359688200","23171","23171","23171","23171","1","2013-02-01 11:10:00 HKT"
"1359698700","23208","23208","23208","23208","1","2013-02-01 14:05:00 HKT"
"1359700200","23251","23251","23251","23251","1","2013-02-01 14:30:00 HKT"
"1359701100","23244","23244","23244","23244","1","2013-02-01 14:45:00 HKT"
"1359701700","23232","23232","23219","23219","2","2013-02-01 14:55:00 HKT"
"1359704100","23233","23233","23233","23233","1","2013-02-01 15:35:00 HKT"
"1359705000","23243","23252","23243","23252","2","2013-02-01 15:50:00 HKT"
"1359705600","23246","23255","23236","23255","3","2013-02-01 16:00:00 HKT"
"1359710100","23268","23268","23268","23268","1","2013-02-01 17:15:00 HKT"
"1359715200","23268","23268","23268","23268","1","2013-02-01 18:40:00 HKT"
"1359720900","23268","23268","23268","23268","1","2013-02-01 20:15:00 HKT"
"1359940500","23439","23439","23439","23439","1","2013-02-04 09:15:00 HKT"
"1359940800","23430","23430","23427","23427","4","2013-02-04 09:20:00 HKT"
"1359941100","23430","23448","23427","23440","9","2013-02-04 09:25:00 HKT"
"1359941400","23449","23450","23444","23444","4","2013-02-04 09:30:00 HKT"
"1359944100","23446","23446","23446","23446","2","2013-02-04 10:15:00 HKT"
"1359945900","23421","23421","23421","23421","1","2013-02-04 10:45:00 HKT"
"1359946500","23372","23372","23372","23372","2","2013-02-04 10:55:00 HKT"
"1359954000","23385","23385","23385","23385","2","2013-02-04 13:00:00 HKT"
"1359955200","23350","23350","23348","23348","3","2013-02-04 13:20:00 HKT"
"1359963300","23290","23290","23280","23280","2","2013-02-04 15:35:00 HKT"
"1359963600","23250","23250","23190","23190","2","2013-02-04 15:40:00 HKT"
"1359964500","23187","23187","23187","23187","1","2013-02-04 15:55:00 HKT"
"1359964800","23151","23151","23140","23140","3","2013-02-04 16:00:00 HKT"
"1359965400","23166","23172","23166","23168","7","2013-02-04 16:10:00 HKT"
"1359969600","23155","23155","23155","23155","1","2013-02-04 17:20:00 HKT"
"1359974700","23155","23155","23155","23155","1","2013-02-04 18:45:00 HKT"
"1359980100","23155","23155","23155","23155","1","2013-02-04 20:15:00 HKT"
"1360026900","22943","22943","22943","22943","1","2013-02-05 09:15:00 HKT"
"1360027500","22910","22910","22880","22880","2","2013-02-05 09:25:00 HKT"
"1360027800","22850","22856","22839","22856","4","2013-02-05 09:30:00 HKT"
"1360028100","22843","22843","22843","22843","1","2013-02-05 09:35:00 HKT"
"1360028400","22870","22870","22870","22870","1","2013-02-05 09:40:00 HKT"
"1360028700","22895","22900","22889","22890","4","2013-02-05 09:45:00 HKT"
"1360029600","22862","22862","22862","22862","1","2013-02-05 10:00:00 HKT"
"1360030200","22875","22875","22875","22875","1","2013-02-05 10:10:00 HKT"
"1360031100","22844","22844","22820","22820","2","2013-02-05 10:25:00 HKT"
"1360031400","22790","22790","22790","22790","1","2013-02-05 10:30:00 HKT"
"1360031700","22824","22824","22824","22824","1","2013-02-05 10:35:00 HKT"
"1360032300","22812","22812","22812","22812","1","2013-02-05 10:45:00 HKT"
"1360032600","22780","22784","22780","22784","2","2013-02-05 10:50:00 HKT"
"1360033500","22820","22820","22820","22820","2","2013-02-05 11:05:00 HKT"
"1360034100","22829","22829","22829","22829","1","2013-02-05 11:15:00 HKT"
"1360034400","22840","22840","22840","22840","1","2013-02-05 11:20:00 HKT"
"1360035300","22857","22857","22857","22857","1","2013-02-05 11:35:00 HKT"
"1360036500","22817","22818","22817","22818","2","2013-02-05 11:55:00 HKT"
"1360041300","22845","22845","22835","22835","2","2013-02-05 13:15:00 HKT"
"1360042200","22852","22852","22852","22852","1","2013-02-05 13:30:00 HKT"
"1360043400","22820","22820","22820","22820","1","2013-02-05 13:50:00 HKT"
"1360043700","22799","22799","22799","22799","1","2013-02-05 13:55:00 HKT"
"1360044300","22806","22816","22806","22816","2","2013-02-05 14:05:00 HKT"
"1360045200","22794","22794","22794","22794","1","2013-02-05 14:20:00 HKT"
"1360046100","22770","22770","22757","22757","4","2013-02-05 14:35:00 HKT"
"1360046700","22740","22740","22730","22730","2","2013-02-05 14:45:00 HKT"
"1360048200","22747","22747","22747","22747","3","2013-02-05 15:10:00 HKT"
"1360048800","22715","22715","22706","22706","3","2013-02-05 15:20:00 HKT"
"1360049100","22700","22700","22700","22700","2","2013-02-05 15:25:00 HKT"
"1360049400","22710","22710","22684","22684","4","2013-02-05 15:30:00 HKT"
"1360049700","22670","22670","22640","22640","5","2013-02-05 15:35:00 HKT"
"1360050300","22629","22629","22629","22629","1","2013-02-05 15:45:00 HKT"
"1360051500","22610","22610","22610","22610","1","2013-02-05 16:05:00 HKT"
"1360051800","22604","22604","22600","22600","6","2013-02-05 16:10:00 HKT"
"1360055700","22600","22600","22600","22600","1","2013-02-05 17:15:00 HKT"
"1360061100","22600","22600","22600","22600","1","2013-02-05 18:45:00 HKT"
"1360066500","22600","22600","22600","22600","1","2013-02-05 20:15:00 HKT"
"1360113300","22819","22819","22819","22819","1","2013-02-06 09:15:00 HKT"
"1360113600","22820","22820","22815","22815","3","2013-02-06 09:20:00 HKT"
"1360114500","22760","22760","22760","22760","1","2013-02-06 09:35:00 HKT"
"1360115400","22762","22762","22762","22762","1","2013-02-06 09:50:00 HKT"
"1360116300","22728","22728","22728","22728","3","2013-02-06 10:05:00 HKT"
"1360117500","22782","22782","22782","22782","1","2013-02-06 10:25:00 HKT"
"1360126800","22805","22805","22805","22805","1","2013-02-06 13:00:00 HKT"
"1360127400","22820","22850","22820","22850","2","2013-02-06 13:10:00 HKT"
"1360128000","22870","22880","22870","22880","2","2013-02-06 13:20:00 HKT"
"1360128300","22887","22887","22887","22887","1","2013-02-06 13:25:00 HKT"
"1360128600","22860","22860","22860","22860","1","2013-02-06 13:30:00 HKT"
"1360129200","22877","22877","22877","22877","3","2013-02-06 13:40:00 HKT"
"1360129800","22877","22877","22877","22877","1","2013-02-06 13:50:00 HKT"
"1360132800","22798","22798","22798","22798","2","2013-02-06 14:40:00 HKT"
