"time","open","high","low","close","Volume","localTime"
"1398830100","21518","21518","21518","21518","1","2014-04-30 11:55:00 HKT"
"1398834900","21505","21505","21505","21505","1","2014-04-30 13:15:00 HKT"
"1398835800","21438","21438","21438","21438","1","2014-04-30 13:30:00 HKT"
"1398836100","21418","21418","21418","21418","1","2014-04-30 13:35:00 HKT"
"1398842400","21430","21430","21430","21430","1","2014-04-30 15:20:00 HKT"
"1398844800","21420","21420","21420","21420","1","2014-04-30 16:00:00 HKT"
"1398995400","21515","21517","21515","21517","2","2014-05-02 09:50:00 HKT"
"1398997200","21635","21640","21635","21640","2","2014-05-02 10:20:00 HKT"
"1399008000","21601","21601","21601","21601","1","2014-05-02 13:20:00 HKT"
"1399010700","21630","21630","21630","21630","1","2014-05-02 14:05:00 HKT"
"1399012500","21570","21570","21570","21570","1","2014-05-02 14:35:00 HKT"
"1399014600","21570","21570","21570","21570","1","2014-05-02 15:10:00 HKT"
"1399016100","21588","21599","21588","21599","3","2014-05-02 15:35:00 HKT"
"1399033800","21620","21620","21620","21620","1","2014-05-02 20:30:00 HKT"
"1399039500","21599","21599","21599","21599","1","2014-05-02 22:05:00 HKT"
"1399039800","21618","21644","21618","21644","2","2014-05-02 22:10:00 HKT"
"1399041000","21650","21650","21650","21650","1","2014-05-02 22:30:00 HKT"
"1399254300","21512","21512","21481","21481","2","2014-05-05 09:45:00 HKT"
"1399254900","21431","21431","21431","21431","1","2014-05-05 09:55:00 HKT"
"1399255500","21400","21400","21400","21400","1","2014-05-05 10:05:00 HKT"
"1399256100","21338","21338","21338","21338","1","2014-05-05 10:15:00 HKT"
"1399256400","21290","21290","21281","21281","2","2014-05-05 10:20:00 HKT"
"1399256700","21321","21321","21321","21321","1","2014-05-05 10:25:00 HKT"
"1399271100","21370","21370","21370","21370","1","2014-05-05 14:25:00 HKT"
"1399274700","21359","21359","21359","21359","1","2014-05-05 15:25:00 HKT"
"1399276800","21338","21338","21338","21338","1","2014-05-05 16:00:00 HKT"
"1399277400","21332","21332","21332","21332","1","2014-05-05 16:10:00 HKT"
"1399425300","21267","21267","21267","21267","1","2014-05-07 09:15:00 HKT"
"1399425900","21252","21252","21252","21252","1","2014-05-07 09:25:00 HKT"
"1399428900","21177","21177","21177","21177","1","2014-05-07 10:15:00 HKT"
"1399438800","21100","21100","21100","21100","1","2014-05-07 13:00:00 HKT"
"1399511700","21214","21214","21214","21214","1","2014-05-08 09:15:00 HKT"
"1399515600","21300","21300","21300","21300","1","2014-05-08 10:20:00 HKT"
"1399518000","21330","21330","21330","21330","1","2014-05-08 11:00:00 HKT"
"1399526700","21250","21250","21250","21250","1","2014-05-08 13:25:00 HKT"
"1399532100","21180","21180","21180","21180","1","2014-05-08 14:55:00 HKT"
"1399543500","21205","21205","21205","21205","1","2014-05-08 18:05:00 HKT"
"1399599900","21130","21130","21130","21130","1","2014-05-09 09:45:00 HKT"
"1399601400","21296","21296","21296","21296","1","2014-05-09 10:10:00 HKT"
"1399603500","21180","21180","21180","21180","1","2014-05-09 10:45:00 HKT"
"1399616100","21240","21250","21240","21250","2","2014-05-09 14:15:00 HKT"
"1399618800","21209","21209","21190","21190","2","2014-05-09 15:00:00 HKT"
"1399619700","21180","21180","21180","21180","1","2014-05-09 15:15:00 HKT"
"1399623000","21250","21250","21250","21250","2","2014-05-09 16:10:00 HKT"
"1399644900","21250","21250","21250","21250","1","2014-05-09 22:15:00 HKT"
"1399857300","21353","21370","21353","21360","3","2014-05-12 09:15:00 HKT"
"1399858200","21380","21400","21380","21400","2","2014-05-12 09:30:00 HKT"
"1399859400","21260","21260","21200","21200","3","2014-05-12 09:50:00 HKT"
"1399860000","21200","21200","21200","21200","1","2014-05-12 10:00:00 HKT"
"1399860900","21250","21250","21240","21240","2","2014-05-12 10:15:00 HKT"
"1399861500","21300","21300","21300","21300","2","2014-05-12 10:25:00 HKT"
"1399861800","21380","21380","21380","21380","1","2014-05-12 10:30:00 HKT"
"1399862400","21400","21440","21400","21440","4","2014-05-12 10:40:00 HKT"
"1399862700","21480","21530","21480","21530","2","2014-05-12 10:45:00 HKT"
"1399863600","21534","21580","21533","21580","4","2014-05-12 11:00:00 HKT"
"1399863900","21600","21600","21600","21600","1","2014-05-12 11:05:00 HKT"
"1399864800","21630","21660","21630","21660","2","2014-05-12 11:20:00 HKT"
"1399865100","21680","21680","21680","21680","1","2014-05-12 11:25:00 HKT"
"1399871700","21823","21823","21823","21823","1","2014-05-12 13:15:00 HKT"
"1399872000","21800","21800","21800","21800","1","2014-05-12 13:20:00 HKT"
"1399875600","21800","21800","21800","21800","1","2014-05-12 14:20:00 HKT"
"1399880100","21733","21733","21733","21733","1","2014-05-12 15:35:00 HKT"
"1399880400","21725","21725","21725","21725","1","2014-05-12 15:40:00 HKT"
"1399882200","21675","21675","21675","21675","1","2014-05-12 16:10:00 HKT"
"1399900200","21731","21731","21731","21731","1","2014-05-12 21:10:00 HKT"
"1399905300","21755","21755","21755","21755","1","2014-05-12 22:35:00 HKT"
"1399947300","21711","21711","21711","21711","1","2014-05-13 10:15:00 HKT"
"1400030100","21824","21824","21800","21800","2","2014-05-14 09:15:00 HKT"
"1400031600","21780","21780","21780","21780","1","2014-05-14 09:40:00 HKT"
"1400034600","21800","21800","21800","21800","1","2014-05-14 10:30:00 HKT"
"1400038500","21950","21960","21950","21960","2","2014-05-14 11:35:00 HKT"
"1400044800","22050","22050","22050","22050","1","2014-05-14 13:20:00 HKT"
"1400046000","22050","22050","22050","22050","1","2014-05-14 13:40:00 HKT"
