"time","open","high","low","close","Volume","localTime"
"1459387200","20719","20728","20719","20728","2","2016-03-31 09:20:00 HKT"
"1459387500","20735","20745","20732","20735","8","2016-03-31 09:25:00 HKT"
"1459387800","20728","20759","20727","20758","10","2016-03-31 09:30:00 HKT"
"1459388100","20760","20760","20730","20730","34","2016-03-31 09:35:00 HKT"
"1459388400","20711","20711","20695","20706","6","2016-03-31 09:40:00 HKT"
"1459388700","20702","20703","20678","20678","24","2016-03-31 09:45:00 HKT"
"1459389000","20680","20689","20680","20689","35","2016-03-31 09:50:00 HKT"
"1459389300","20696","20704","20696","20703","12","2016-03-31 09:55:00 HKT"
"1459389600","20700","20700","20700","20700","1","2016-03-31 10:00:00 HKT"
"1459389900","20691","20691","20684","20684","12","2016-03-31 10:05:00 HKT"
"1459390200","20685","20685","20684","20684","5","2016-03-31 10:10:00 HKT"
"1459390800","20680","20680","20674","20674","6","2016-03-31 10:20:00 HKT"
"1459391100","20674","20676","20650","20650","6","2016-03-31 10:25:00 HKT"
"1459391400","20650","20650","20645","20645","10","2016-03-31 10:30:00 HKT"
"1459391700","20654","20654","20653","20653","2","2016-03-31 10:35:00 HKT"
"1459392000","20648","20663","20648","20660","31","2016-03-31 10:40:00 HKT"
"1459392300","20661","20670","20642","20655","13","2016-03-31 10:45:00 HKT"
"1459392600","20651","20653","20640","20650","10","2016-03-31 10:50:00 HKT"
"1459392900","20638","20640","20625","20627","19","2016-03-31 10:55:00 HKT"
"1459393200","20607","20619","20607","20618","6","2016-03-31 11:00:00 HKT"
"1459393500","20621","20627","20621","20627","4","2016-03-31 11:05:00 HKT"
"1459393800","20609","20609","20609","20609","1","2016-03-31 11:10:00 HKT"
"1459394400","20634","20634","20634","20634","1","2016-03-31 11:20:00 HKT"
"1459395300","20652","20652","20652","20652","1","2016-03-31 11:35:00 HKT"
"1459395600","20656","20656","20656","20656","1","2016-03-31 11:40:00 HKT"
"1459395900","20658","20658","20658","20658","1","2016-03-31 11:45:00 HKT"
"1459396200","20664","20665","20660","20660","8","2016-03-31 11:50:00 HKT"
"1459396500","20662","20662","20662","20662","1","2016-03-31 11:55:00 HKT"
"1459401600","20662","20662","20662","20662","3","2016-03-31 13:20:00 HKT"
"1459401900","20665","20665","20665","20665","4","2016-03-31 13:25:00 HKT"
"1459402200","20647","20647","20647","20647","1","2016-03-31 13:30:00 HKT"
"1459402500","20642","20642","20642","20642","1","2016-03-31 13:35:00 HKT"
"1459402800","20639","20639","20639","20639","1","2016-03-31 13:40:00 HKT"
"1459403100","20630","20630","20630","20630","1","2016-03-31 13:45:00 HKT"
"1459403700","20616","20616","20616","20616","1","2016-03-31 13:55:00 HKT"
"1459404900","20595","20596","20594","20596","5","2016-03-31 14:15:00 HKT"
"1459405200","20590","20605","20590","20605","2","2016-03-31 14:20:00 HKT"
"1459405500","20610","20610","20610","20610","4","2016-03-31 14:25:00 HKT"
"1459405800","20628","20628","20628","20628","1","2016-03-31 14:30:00 HKT"
"1459406100","20618","20618","20617","20617","4","2016-03-31 14:35:00 HKT"
"1459406400","20611","20611","20611","20611","1","2016-03-31 14:40:00 HKT"
"1459407000","20613","20613","20613","20613","3","2016-03-31 14:50:00 HKT"
"1459407600","20596","20609","20596","20609","5","2016-03-31 15:00:00 HKT"
"1459407900","20599","20607","20599","20607","8","2016-03-31 15:05:00 HKT"
"1459408200","20638","20639","20638","20639","36","2016-03-31 15:10:00 HKT"
"1459408500","20633","20633","20627","20627","9","2016-03-31 15:15:00 HKT"
"1459408800","20624","20624","20608","20612","19","2016-03-31 15:20:00 HKT"
"1459409100","20608","20608","20601","20601","2","2016-03-31 15:25:00 HKT"
"1459409400","20592","20592","20592","20592","1","2016-03-31 15:30:00 HKT"
"1459409700","20591","20591","20591","20591","1","2016-03-31 15:35:00 HKT"
"1459410300","20587","20614","20587","20614","3","2016-03-31 15:45:00 HKT"
"1459410600","20613","20621","20611","20621","4","2016-03-31 15:50:00 HKT"
"1459410900","20627","20634","20626","20634","4","2016-03-31 15:55:00 HKT"
"1459411200","20608","20608","20608","20608","2","2016-03-31 16:00:00 HKT"
"1459411500","20638","20638","20638","20638","34","2016-03-31 16:05:00 HKT"
"1459411800","20648","20648","20648","20648","1","2016-03-31 16:10:00 HKT"
"1459421700","20685","20685","20685","20685","1","2016-03-31 18:55:00 HKT"
"1459425000","20695","20695","20695","20695","1","2016-03-31 19:50:00 HKT"
"1459428900","20691","20691","20691","20691","2","2016-03-31 20:55:00 HKT"
"1459433700","20732","20737","20732","20737","2","2016-03-31 22:15:00 HKT"
"1459434000","20732","20732","20732","20732","1","2016-03-31 22:20:00 HKT"
"1459434300","20736","20736","20736","20736","2","2016-03-31 22:25:00 HKT"
"1459438800","20720","20720","20715","20715","2","2016-03-31 23:40:00 HKT"
"1459473300","20703","20709","20679","20679","7","2016-04-01 09:15:00 HKT"
"1459474200","20644","20644","20600","20603","5","2016-04-01 09:30:00 HKT"
"1459474500","20609","20623","20608","20613","5","2016-04-01 09:35:00 HKT"
"1459474800","20600","20600","20580","20580","2","2016-04-01 09:40:00 HKT"
"1459475100","20610","20610","20610","20610","1","2016-04-01 09:45:00 HKT"
"1459475400","20531","20538","20531","20532","51","2016-04-01 09:50:00 HKT"
"1459475700","20496","20524","20496","20524","4","2016-04-01 09:55:00 HKT"
"1459476300","20474","20476","20465","20470","12","2016-04-01 10:05:00 HKT"
"1459476600","20483","20483","20482","20482","2","2016-04-01 10:10:00 HKT"
"1459476900","20480","20480","20475","20475","2","2016-04-01 10:15:00 HKT"
"1459477200","20488","20504","20488","20504","2","2016-04-01 10:20:00 HKT"
"1459477500","20495","20496","20490","20496","6","2016-04-01 10:25:00 HKT"
"1459477800","20470","20471","20462","20467","38","2016-04-01 10:30:00 HKT"
"1459478100","20476","20484","20476","20484","2","2016-04-01 10:35:00 HKT"
"1459478700","20485","20485","20485","20485","1","2016-04-01 10:45:00 HKT"
"1459479300","20479","20481","20478","20481","5","2016-04-01 10:55:00 HKT"
"1459479900","20465","20466","20465","20465","5","2016-04-01 11:05:00 HKT"
"1459480200","20435","20435","20435","20435","1","2016-04-01 11:10:00 HKT"
"1459480500","20433","20433","20427","20427","3","2016-04-01 11:15:00 HKT"
