"time","open","high","low","close","Volume","localTime"
"1467594900","20950","20950","20867","20904","68","2016-07-04 09:15:00 HKT"
"1467595200","20902","20912","20894","20905","18","2016-07-04 09:20:00 HKT"
"1467595500","20902","20902","20815","20821","23","2016-07-04 09:25:00 HKT"
"1467595800","20830","20840","20800","20800","12","2016-07-04 09:30:00 HKT"
"1467596100","20800","20851","20800","20851","17","2016-07-04 09:35:00 HKT"
"1467596400","20872","20900","20870","20898","18","2016-07-04 09:40:00 HKT"
"1467596700","20905","20955","20905","20955","21","2016-07-04 09:45:00 HKT"
"1467597000","21004","21015","21003","21015","4","2016-07-04 09:50:00 HKT"
"1467597300","21000","21005","21000","21005","4","2016-07-04 09:55:00 HKT"
"1467597600","21016","21048","21015","21025","11","2016-07-04 10:00:00 HKT"
"1467597900","21044","21044","21033","21033","6","2016-07-04 10:05:00 HKT"
"1467598200","21045","21064","21026","21027","106","2016-07-04 10:10:00 HKT"
"1467598500","21036","21040","21034","21034","337","2016-07-04 10:15:00 HKT"
"1467598800","21020","21028","21011","21028","4","2016-07-04 10:20:00 HKT"
"1467599100","21026","21026","21026","21026","1","2016-07-04 10:25:00 HKT"
"1467599400","21057","21072","21056","21056","46","2016-07-04 10:30:00 HKT"
"1467599700","21055","21056","21055","21056","2","2016-07-04 10:35:00 HKT"
"1467600000","21063","21063","21050","21050","3","2016-07-04 10:40:00 HKT"
"1467600300","21059","21064","21059","21064","2","2016-07-04 10:45:00 HKT"
"1467600600","21087","21104","21087","21094","17","2016-07-04 10:50:00 HKT"
"1467600900","21098","21098","21091","21095","8","2016-07-04 10:55:00 HKT"
"1467601200","21097","21098","21088","21088","96","2016-07-04 11:00:00 HKT"
"1467601500","21077","21077","21077","21077","1","2016-07-04 11:05:00 HKT"
"1467601800","21110","21124","21108","21124","12","2016-07-04 11:10:00 HKT"
"1467602100","21143","21144","21118","21118","15","2016-07-04 11:15:00 HKT"
"1467602400","21126","21126","21114","21114","2","2016-07-04 11:20:00 HKT"
"1467602700","21116","21116","21103","21103","2","2016-07-04 11:25:00 HKT"
"1467603300","21108","21108","21075","21075","10","2016-07-04 11:35:00 HKT"
"1467603600","21086","21086","21076","21076","3","2016-07-04 11:40:00 HKT"
"1467603900","21089","21089","21089","21089","1","2016-07-04 11:45:00 HKT"
"1467604500","21066","21068","21066","21068","2","2016-07-04 11:55:00 HKT"
"1467608700","21047","21060","21047","21060","54","2016-07-04 13:05:00 HKT"
"1467609000","21060","21060","21060","21060","1","2016-07-04 13:10:00 HKT"
"1467609300","21073","21075","21073","21075","2","2016-07-04 13:15:00 HKT"
"1467609900","21050","21050","21050","21050","2","2016-07-04 13:25:00 HKT"
"1467610200","21038","21038","21038","21038","1","2016-07-04 13:30:00 HKT"
"1467610500","21062","21062","21062","21062","1","2016-07-04 13:35:00 HKT"
"1467611400","21078","21078","21078","21078","1","2016-07-04 13:50:00 HKT"
"1467612000","21088","21088","21085","21085","3","2016-07-04 14:00:00 HKT"
"1467612600","21086","21086","21086","21086","1","2016-07-04 14:10:00 HKT"
"1467612900","21091","21091","21091","21091","1","2016-07-04 14:15:00 HKT"
"1467613200","21093","21093","21060","21060","12","2016-07-04 14:20:00 HKT"
"1467613500","21050","21050","21047","21050","4","2016-07-04 14:25:00 HKT"
"1467613800","21064","21064","21064","21064","1","2016-07-04 14:30:00 HKT"
