"time","open","high","low","close","Volume","localTime"
"1472606100","22918","22925","22904","22904","15","2016-08-31 09:15:00 HKT"
"1472606400","22903","22903","22903","22903","1","2016-08-31 09:20:00 HKT"
"1472607000","22905","22920","22893","22920","13","2016-08-31 09:30:00 HKT"
"1472607300","22947","22955","22947","22955","14","2016-08-31 09:35:00 HKT"
"1472607600","22941","22941","22941","22941","11","2016-08-31 09:40:00 HKT"
"1472608200","22931","22931","22925","22925","3","2016-08-31 09:50:00 HKT"
"1472608500","22943","22943","22943","22943","1","2016-08-31 09:55:00 HKT"
"1472608800","22918","22920","22900","22900","15","2016-08-31 10:00:00 HKT"
"1472609400","22915","22919","22915","22919","2","2016-08-31 10:10:00 HKT"
"1472609700","22927","22927","22924","22926","3","2016-08-31 10:15:00 HKT"
"1472611200","22944","22944","22941","22941","2","2016-08-31 10:40:00 HKT"
"1472611500","22938","22940","22928","22928","6","2016-08-31 10:45:00 HKT"
"1472612100","22937","22937","22937","22937","18","2016-08-31 10:55:00 HKT"
"1472612700","22935","22935","22935","22935","1","2016-08-31 11:05:00 HKT"
"1472619600","22918","22918","22918","22918","10","2016-08-31 13:00:00 HKT"
"1472620500","22900","22912","22900","22912","2","2016-08-31 13:15:00 HKT"
"1472620800","22908","22908","22908","22908","1","2016-08-31 13:20:00 HKT"
"1472621100","22908","22908","22900","22900","3","2016-08-31 13:25:00 HKT"
"1472621400","22907","22907","22907","22907","1","2016-08-31 13:30:00 HKT"
"1472622000","22878","22890","22878","22889","6","2016-08-31 13:40:00 HKT"
"1472622600","22890","22896","22890","22891","4","2016-08-31 13:50:00 HKT"
"1472622900","22888","22899","22888","22899","3","2016-08-31 13:55:00 HKT"
"1472623500","22897","22897","22891","22891","2","2016-08-31 14:05:00 HKT"
"1472624100","22884","22884","22884","22884","1","2016-08-31 14:15:00 HKT"
"1472624400","22899","22900","22899","22900","3","2016-08-31 14:20:00 HKT"
"1472624700","22892","22899","22892","22899","3","2016-08-31 14:25:00 HKT"
"1472626200","22851","22851","22851","22851","1","2016-08-31 14:50:00 HKT"
"1472626500","22849","22849","22849","22849","1","2016-08-31 14:55:00 HKT"
"1472627100","22871","22871","22869","22871","8","2016-08-31 15:05:00 HKT"
"1472628000","22874","22875","22874","22875","4","2016-08-31 15:20:00 HKT"
"1472628300","22875","22890","22872","22890","3","2016-08-31 15:25:00 HKT"
"1472628600","22880","22886","22878","22886","3","2016-08-31 15:30:00 HKT"
"1472629200","22891","22895","22891","22895","3","2016-08-31 15:40:00 HKT"
"1472629500","22915","22916","22915","22916","2","2016-08-31 15:45:00 HKT"
"1472629800","22902","22902","22901","22902","7","2016-08-31 15:50:00 HKT"
"1472630100","22899","22899","22898","22898","2","2016-08-31 15:55:00 HKT"
"1472630400","22917","22917","22917","22917","1","2016-08-31 16:00:00 HKT"
"1472631300","22905","22905","22905","22905","1","2016-08-31 16:15:00 HKT"
"1472631900","22913","22916","22913","22916","3","2016-08-31 16:25:00 HKT"
"1472645400","22931","22931","22931","22931","1","2016-08-31 20:10:00 HKT"
"1472650200","22880","22880","22880","22880","1","2016-08-31 21:30:00 HKT"
"1472650800","22880","22880","22880","22880","1","2016-08-31 21:40:00 HKT"
"1472651400","22894","22894","22894","22894","1","2016-08-31 21:50:00 HKT"
"1472652600","22872","22872","22870","22870","2","2016-08-31 22:10:00 HKT"
"1472653800","22852","22852","22852","22852","1","2016-08-31 22:30:00 HKT"
"1472654700","22834","22834","22834","22834","1","2016-08-31 22:45:00 HKT"
"1472655000","22838","22838","22838","22838","3","2016-08-31 22:50:00 HKT"
"1472655300","22826","22826","22826","22826","1","2016-08-31 22:55:00 HKT"
"1472655600","22825","22825","22825","22825","1","2016-08-31 23:00:00 HKT"
"1472655900","22820","22820","22820","22820","1","2016-08-31 23:05:00 HKT"
"1472692500","22857","22859","22857","22859","2","2016-09-01 09:15:00 HKT"
"1472692800","22821","22821","22760","22761","7","2016-09-01 09:20:00 HKT"
"1472693100","22768","22768","22760","22760","3","2016-09-01 09:25:00 HKT"
"1472693400","22770","22826","22770","22826","7","2016-09-01 09:30:00 HKT"
"1472693700","22815","22827","22813","22813","7","2016-09-01 09:35:00 HKT"
"1472694000","22812","22825","22812","22825","3","2016-09-01 09:40:00 HKT"
"1472694300","22821","22821","22800","22800","3","2016-09-01 09:45:00 HKT"
"1472694900","22829","22830","22819","22819","3","2016-09-01 09:55:00 HKT"
"1472695500","22859","22925","22851","22925","5","2016-09-01 10:05:00 HKT"
"1472695800","22923","22955","22923","22955","15","2016-09-01 10:10:00 HKT"
"1472696100","22969","23000","22969","23000","10","2016-09-01 10:15:00 HKT"
"1472696400","22993","22993","22981","22981","6","2016-09-01 10:20:00 HKT"
"1472697000","22961","22980","22961","22980","2","2016-09-01 10:30:00 HKT"
"1472697300","22978","22978","22978","22978","1","2016-09-01 10:35:00 HKT"
"1472698200","22953","22953","22953","22953","1","2016-09-01 10:50:00 HKT"
"1472698500","22947","22961","22947","22961","3","2016-09-01 10:55:00 HKT"
"1472698800","22975","22975","22962","22962","2","2016-09-01 11:00:00 HKT"
"1472699100","22974","22975","22974","22975","3","2016-09-01 11:05:00 HKT"
"1472700000","22974","22974","22974","22974","2","2016-09-01 11:20:00 HKT"
"1472700600","23000","23074","23000","23074","21","2016-09-01 11:30:00 HKT"
"1472701200","23059","23061","23059","23061","2","2016-09-01 11:40:00 HKT"
"1472701800","23057","23057","23048","23055","5","2016-09-01 11:50:00 HKT"
"1472702100","23050","23050","23050","23050","3","2016-09-01 11:55:00 HKT"
"1472706000","23057","23062","23057","23062","3","2016-09-01 13:00:00 HKT"
"1472706300","23061","23061","23059","23059","2","2016-09-01 13:05:00 HKT"
"1472706600","23056","23063","23055","23063","3","2016-09-01 13:10:00 HKT"
"1472707500","23044","23044","23036","23036","4","2016-09-01 13:25:00 HKT"
"1472708100","23046","23046","23045","23045","3","2016-09-01 13:35:00 HKT"
"1472708400","23045","23045","23045","23045","2","2016-09-01 13:40:00 HKT"
"1472709300","23055","23089","23055","23089","10","2016-09-01 13:55:00 HKT"
"1472709900","23094","23098","23090","23098","3","2016-09-01 14:05:00 HKT"
"1472710200","23086","23086","23078","23078","2","2016-09-01 14:10:00 HKT"
"1472711100","23098","23098","23098","23098","1","2016-09-01 14:25:00 HKT"
"1472711400","23082","23082","23069","23069","4","2016-09-01 14:30:00 HKT"
"1472712900","23068","23068","23068","23068","2","2016-09-01 14:55:00 HKT"
"1472713200","23087","23088","23087","23088","4","2016-09-01 15:00:00 HKT"
"1472714100","23090","23090","23090","23090","5","2016-09-01 15:15:00 HKT"
"1472714400","23103","23103","23103","23103","1","2016-09-01 15:20:00 HKT"
"1472714700","23115","23121","23100","23100","5","2016-09-01 15:25:00 HKT"
"1472715000","23105","23105","23105","23105","1","2016-09-01 15:30:00 HKT"
"1472715300","23112","23112","23111","23111","4","2016-09-01 15:35:00 HKT"
"1472715900","23101","23101","23100","23100","2","2016-09-01 15:45:00 HKT"
"1472716500","23088","23107","23088","23102","8","2016-09-01 15:55:00 HKT"
"1472717400","23100","23108","23100","23108","2","2016-09-01 16:10:00 HKT"
"1472718300","23135","23150","23135","23150","5","2016-09-01 16:25:00 HKT"
"1472721600","23157","23157","23157","23157","2","2016-09-01 17:20:00 HKT"
"1472721900","23163","23163","23163","23163","2","2016-09-01 17:25:00 HKT"
"1472724000","23141","23141","23141","23141","1","2016-09-01 18:00:00 HKT"
"1472724600","23152","23152","23152","23152","1","2016-09-01 18:10:00 HKT"
"1472724900","23162","23162","23162","23162","5","2016-09-01 18:15:00 HKT"
"1472725500","23159","23159","23156","23156","2","2016-09-01 18:25:00 HKT"
"1472727600","23165","23165","23165","23165","1","2016-09-01 19:00:00 HKT"
