"time","open","high","low","close","Volume","localTime"
"1475198100","23360","23360","23360","23360","2","2016-09-30 09:15:00 HKT"
"1475198400","23315","23357","23305","23357","95","2016-09-30 09:20:00 HKT"
"1475198700","23330","23330","23330","23330","1","2016-09-30 09:25:00 HKT"
"1475199000","23353","23353","23349","23349","8","2016-09-30 09:30:00 HKT"
"1475199300","23370","23400","23369","23400","7","2016-09-30 09:35:00 HKT"
"1475199900","23402","23402","23402","23402","1","2016-09-30 09:45:00 HKT"
"1475200200","23407","23430","23407","23430","2","2016-09-30 09:50:00 HKT"
"1475200500","23409","23409","23409","23409","2","2016-09-30 09:55:00 HKT"
"1475200800","23403","23403","23396","23397","3","2016-09-30 10:00:00 HKT"
"1475201100","23395","23395","23395","23395","1","2016-09-30 10:05:00 HKT"
"1475201700","23393","23393","23393","23393","1","2016-09-30 10:15:00 HKT"
"1475202000","23372","23372","23372","23372","1","2016-09-30 10:20:00 HKT"
"1475202300","23359","23359","23359","23359","19","2016-09-30 10:25:00 HKT"
"1475202600","23354","23354","23354","23354","1","2016-09-30 10:30:00 HKT"
"1475203200","23372","23372","23372","23372","1","2016-09-30 10:40:00 HKT"
"1475204100","23387","23387","23387","23387","1","2016-09-30 10:55:00 HKT"
"1475204400","23402","23409","23402","23409","2","2016-09-30 11:00:00 HKT"
"1475204700","23415","23415","23415","23415","2","2016-09-30 11:05:00 HKT"
"1475205300","23433","23435","23426","23426","30","2016-09-30 11:15:00 HKT"
"1475205900","23394","23394","23394","23394","1","2016-09-30 11:25:00 HKT"
"1475206200","23385","23385","23372","23372","2","2016-09-30 11:30:00 HKT"
"1475206500","23378","23386","23377","23379","10","2016-09-30 11:35:00 HKT"
"1475207400","23388","23388","23388","23388","1","2016-09-30 11:50:00 HKT"
"1475211600","23396","23396","23396","23396","1","2016-09-30 13:00:00 HKT"
"1475211900","23403","23405","23403","23405","2","2016-09-30 13:05:00 HKT"
"1475212800","23405","23405","23405","23405","1","2016-09-30 13:20:00 HKT"
"1475213700","23362","23362","23362","23362","2","2016-09-30 13:35:00 HKT"
"1475214000","23371","23371","23371","23371","1","2016-09-30 13:40:00 HKT"
"1475214300","23360","23360","23360","23360","1","2016-09-30 13:45:00 HKT"
