"time","open","high","low","close","Volume","localTime"
"1480468500","22882","22884","22882","22884","9","2016-11-30 09:15:00 HKT"
"1480468800","22910","22910","22892","22892","53","2016-11-30 09:20:00 HKT"
"1480469100","22888","22888","22884","22884","180","2016-11-30 09:25:00 HKT"
"1480469400","22859","22859","22856","22856","21","2016-11-30 09:30:00 HKT"
"1480469700","22861","22933","22861","22931","266","2016-11-30 09:35:00 HKT"
"1480470000","22915","22916","22887","22905","17","2016-11-30 09:40:00 HKT"
"1480470300","22866","22871","22853","22868","15","2016-11-30 09:45:00 HKT"
"1480470600","22840","22858","22840","22844","8","2016-11-30 09:50:00 HKT"
"1480470900","22824","22840","22823","22840","25","2016-11-30 09:55:00 HKT"
"1480471200","22831","22850","22831","22850","16","2016-11-30 10:00:00 HKT"
"1480471500","22844","22859","22844","22859","103","2016-11-30 10:05:00 HKT"
"1480471800","22858","22871","22857","22871","27","2016-11-30 10:10:00 HKT"
"1480472100","22875","22875","22861","22862","39","2016-11-30 10:15:00 HKT"
"1480472400","22864","22876","22864","22869","102","2016-11-30 10:20:00 HKT"
"1480473000","22858","22859","22855","22855","13","2016-11-30 10:30:00 HKT"
"1480473300","22869","22869","22869","22869","5","2016-11-30 10:35:00 HKT"
"1480473600","22859","22859","22842","22842","7","2016-11-30 10:40:00 HKT"
"1480473900","22853","22853","22853","22853","1","2016-11-30 10:45:00 HKT"
"1480474200","22853","22856","22853","22856","104","2016-11-30 10:50:00 HKT"
"1480474800","22850","22851","22843","22851","11","2016-11-30 11:00:00 HKT"
"1480475100","22839","22840","22826","22828","120","2016-11-30 11:05:00 HKT"
"1480475700","22826","22826","22807","22807","3","2016-11-30 11:15:00 HKT"
"1480476000","22800","22810","22800","22810","3","2016-11-30 11:20:00 HKT"
"1480476300","22815","22824","22815","22824","2","2016-11-30 11:25:00 HKT"
"1480476600","22820","22820","22820","22820","3","2016-11-30 11:30:00 HKT"
"1480476900","22818","22818","22818","22818","165","2016-11-30 11:35:00 HKT"
"1480477200","22809","22810","22808","22808","3","2016-11-30 11:40:00 HKT"
"1480477500","22804","22804","22804","22804","23","2016-11-30 11:45:00 HKT"
"1480477800","22797","22797","22797","22797","1","2016-11-30 11:50:00 HKT"
"1480482300","22824","22837","22824","22837","201","2016-11-30 13:05:00 HKT"
"1480482600","22840","22840","22836","22838","64","2016-11-30 13:10:00 HKT"
"1480483200","22841","22841","22841","22841","5","2016-11-30 13:20:00 HKT"
"1480483500","22850","22850","22850","22850","2","2016-11-30 13:25:00 HKT"
"1480483800","22846","22846","22846","22846","5","2016-11-30 13:30:00 HKT"
"1480484700","22839","22839","22839","22839","25","2016-11-30 13:45:00 HKT"
"1480485300","22832","22832","22832","22832","2","2016-11-30 13:55:00 HKT"
"1480489500","22863","22863","22863","22863","1","2016-11-30 15:05:00 HKT"
"1480490400","22846","22846","22846","22846","5","2016-11-30 15:20:00 HKT"
"1480490700","22836","22836","22836","22836","1","2016-11-30 15:25:00 HKT"
"1480491000","22838","22838","22838","22838","121","2016-11-30 15:30:00 HKT"
"1480491600","22836","22836","22836","22836","5","2016-11-30 15:40:00 HKT"
"1480493100","22839","22839","22821","22821","6","2016-11-30 16:05:00 HKT"
"1480493400","22821","22821","22821","22821","6","2016-11-30 16:10:00 HKT"
"1480494300","22842","22842","22842","22842","14","2016-11-30 16:25:00 HKT"
"1480497300","22858","22858","22858","22858","1","2016-11-30 17:15:00 HKT"
"1480497900","22857","22857","22857","22857","5","2016-11-30 17:25:00 HKT"
"1480498500","22856","22856","22848","22848","5","2016-11-30 17:35:00 HKT"
"1480500000","22820","22820","22820","22820","5","2016-11-30 18:00:00 HKT"
