"time","open","high","low","close","Volume","localTime"
"1527729300","29830","29833","29828","29828","12","2018-05-31 09:15:00 HKT"
"1527729600","29842","29865","29842","29865","131","2018-05-31 09:20:00 HKT"
"1527729900","29851","29851","29851","29851","1","2018-05-31 09:25:00 HKT"
"1527730200","29866","29897","29866","29897","107","2018-05-31 09:30:00 HKT"
"1527730500","29850","29850","29831","29831","2","2018-05-31 09:35:00 HKT"
"1527731100","29833","29833","29820","29820","2","2018-05-31 09:45:00 HKT"
"1527731400","29854","29860","29854","29860","2","2018-05-31 09:50:00 HKT"
"1527731700","29840","29840","29840","29840","1","2018-05-31 09:55:00 HKT"
"1527732300","29904","29904","29904","29904","1","2018-05-31 10:05:00 HKT"
"1527735600","29928","29928","29928","29928","1","2018-05-31 11:00:00 HKT"
"1527736500","29943","29943","29943","29943","33","2018-05-31 11:15:00 HKT"
"1527738000","29984","29984","29984","29984","1","2018-05-31 11:40:00 HKT"
"1527738300","29972","29972","29972","29972","1","2018-05-31 11:45:00 HKT"
"1527738600","29970","29970","29970","29970","1","2018-05-31 11:50:00 HKT"
"1527744300","30006","30006","30006","30006","1","2018-05-31 13:25:00 HKT"
"1527745200","30021","30021","30021","30021","1","2018-05-31 13:40:00 HKT"
"1527745500","30038","30038","30038","30038","1","2018-05-31 13:45:00 HKT"
"1527747600","30050","30061","30050","30061","2","2018-05-31 14:20:00 HKT"
"1527748200","30044","30044","30044","30044","1","2018-05-31 14:30:00 HKT"
"1527752400","30220","30220","30220","30220","1","2018-05-31 15:40:00 HKT"
"1527752700","30245","30245","30245","30245","4","2018-05-31 15:45:00 HKT"
"1527753600","30223","30233","30223","30233","2","2018-05-31 16:00:00 HKT"
"1527753900","30226","30226","30226","30226","25","2018-05-31 16:05:00 HKT"
"1527754200","30264","30269","30263","30269","3","2018-05-31 16:10:00 HKT"
"1527759300","30282","30282","30269","30271","170","2018-05-31 17:35:00 HKT"
"1527759600","30247","30247","30247","30247","1","2018-05-31 17:40:00 HKT"
"1527760200","30251","30251","30250","30250","34","2018-05-31 17:50:00 HKT"
"1527760800","30246","30246","30239","30239","8","2018-05-31 18:00:00 HKT"
"1527761100","30241","30241","30241","30241","1","2018-05-31 18:05:00 HKT"
"1527762000","30238","30238","30238","30238","1","2018-05-31 18:20:00 HKT"
"1527762300","30234","30234","30216","30216","6","2018-05-31 18:25:00 HKT"
"1527762600","30218","30218","30218","30218","1","2018-05-31 18:30:00 HKT"
"1527765600","30217","30217","30217","30217","1","2018-05-31 19:20:00 HKT"
"1527769800","30220","30220","30220","30220","1","2018-05-31 20:30:00 HKT"
"1527771600","30212","30213","30212","30213","2","2018-05-31 21:00:00 HKT"
"1527773100","30144","30148","30144","30148","70","2018-05-31 21:25:00 HKT"
"1527773400","30106","30106","30088","30088","97","2018-05-31 21:30:00 HKT"
"1527773700","30119","30119","30117","30117","4","2018-05-31 21:35:00 HKT"
"1527774300","30107","30107","30107","30107","1","2018-05-31 21:45:00 HKT"
"1527775500","30095","30095","30095","30095","1","2018-05-31 22:05:00 HKT"
"1527777900","30100","30100","30080","30080","2","2018-05-31 22:45:00 HKT"
"1527778500","30074","30074","30074","30074","3","2018-05-31 22:55:00 HKT"
"1527778800","30100","30100","30100","30100","2","2018-05-31 23:00:00 HKT"
"1527779100","30100","30100","30100","30100","1","2018-05-31 23:05:00 HKT"
"1527780900","30145","30145","30145","30145","1","2018-05-31 23:35:00 HKT"
"1527783000","30123","30123","30123","30123","1","2018-06-01 00:10:00 HKT"
"1527815400","30188","30188","30188","30188","1","2018-06-01 09:10:00 HKT"
"1527815700","30188","30257","30188","30257","108","2018-06-01 09:15:00 HKT"
"1527816000","30245","30271","30240","30250","14","2018-06-01 09:20:00 HKT"
"1527816300","30237","30247","30237","30247","2","2018-06-01 09:25:00 HKT"
"1527816600","30219","30219","30219","30219","50","2018-06-01 09:30:00 HKT"
"1527817200","30221","30221","30196","30196","2","2018-06-01 09:40:00 HKT"
"1527817500","30173","30173","30150","30150","8","2018-06-01 09:45:00 HKT"
"1527817800","30118","30118","30118","30118","7","2018-06-01 09:50:00 HKT"
"1527818100","30109","30128","30100","30128","56","2018-06-01 09:55:00 HKT"
"1527818400","30123","30128","30123","30128","2","2018-06-01 10:00:00 HKT"
"1527818700","30147","30188","30147","30188","247","2018-06-01 10:05:00 HKT"
"1527819000","30158","30158","30158","30158","1","2018-06-01 10:10:00 HKT"
"1527819300","30158","30158","30158","30158","1","2018-06-01 10:15:00 HKT"
"1527819600","30168","30168","30168","30168","14","2018-06-01 10:20:00 HKT"
"1527819900","30186","30192","30186","30192","36","2018-06-01 10:25:00 HKT"
"1527820200","30180","30180","30180","30180","1","2018-06-01 10:30:00 HKT"
"1527820500","30247","30262","30247","30262","4","2018-06-01 10:35:00 HKT"
"1527820800","30257","30257","30240","30240","5","2018-06-01 10:40:00 HKT"
"1527822300","30152","30152","30142","30142","6","2018-06-01 11:05:00 HKT"
"1527822600","30127","30127","30127","30127","1","2018-06-01 11:10:00 HKT"
"1527822900","30138","30138","30131","30131","2","2018-06-01 11:15:00 HKT"
"1527823500","30121","30121","30121","30121","1","2018-06-01 11:25:00 HKT"
"1527829500","30095","30095","30095","30095","1","2018-06-01 13:05:00 HKT"
"1527831000","30128","30132","30128","30132","2","2018-06-01 13:30:00 HKT"
"1527834900","30114","30127","30114","30127","3","2018-06-01 14:35:00 HKT"
"1527835200","30149","30149","30149","30149","1","2018-06-01 14:40:00 HKT"
"1527835800","30173","30198","30173","30198","27","2018-06-01 14:50:00 HKT"
"1527836100","30204","30210","30204","30205","7","2018-06-01 14:55:00 HKT"
"1527836700","30221","30221","30221","30221","1","2018-06-01 15:05:00 HKT"
"1527837600","30206","30206","30206","30206","1","2018-06-01 15:20:00 HKT"
"1527837900","30203","30210","30203","30210","8","2018-06-01 15:25:00 HKT"
"1527838200","30209","30209","30209","30209","1","2018-06-01 15:30:00 HKT"
"1527838500","30201","30201","30201","30201","1","2018-06-01 15:35:00 HKT"
"1527839100","30211","30211","30211","30211","1","2018-06-01 15:45:00 HKT"
"1527840000","30228","30251","30228","30251","2","2018-06-01 16:00:00 HKT"
"1527840300","30228","30228","30228","30228","5","2018-06-01 16:05:00 HKT"
"1527840600","30215","30215","30215","30215","1","2018-06-01 16:10:00 HKT"
"1527840900","30203","30203","30203","30203","1","2018-06-01 16:15:00 HKT"
"1527841500","30193","30195","30193","30195","16","2018-06-01 16:25:00 HKT"
"1527854100","30210","30210","30210","30210","2","2018-06-01 19:55:00 HKT"
"1527855900","30202","30203","30202","30203","2","2018-06-01 20:25:00 HKT"
"1527856800","30217","30217","30217","30217","2","2018-06-01 20:40:00 HKT"
"1527858000","30244","30244","30244","30244","1","2018-06-01 21:00:00 HKT"
"1527860700","30317","30317","30317","30317","2","2018-06-01 21:45:00 HKT"
