"time","open","high","low","close","Volume","localTime"
"1241183400","14863","14863","14863","14863","1","2009-05-01 21:10:00 HKT"
"1551316500","28704","28704","28704","28704","1","2019-02-28 09:15:00 HKT"
"1551316800","28713","28720","28696","28696","28","2019-02-28 09:20:00 HKT"
"1551317100","28708","28721","28675","28706","20","2019-02-28 09:25:00 HKT"
"1551317400","28732","28734","28732","28734","6","2019-02-28 09:30:00 HKT"
"1551317700","28769","28769","28766","28766","5","2019-02-28 09:35:00 HKT"
"1551318600","28780","28780","28768","28768","2","2019-02-28 09:50:00 HKT"
"1551318900","28804","28836","28804","28836","2","2019-02-28 09:55:00 HKT"
"1551319200","28817","28817","28817","28817","1","2019-02-28 10:00:00 HKT"
"1551319500","28838","28838","28838","28838","1","2019-02-28 10:05:00 HKT"
"1551319800","28880","28880","28880","28880","2","2019-02-28 10:10:00 HKT"
"1551320100","28899","28900","28888","28898","103","2019-02-28 10:15:00 HKT"
"1551320400","28903","28903","28864","28882","173","2019-02-28 10:20:00 HKT"
"1551320700","28913","28913","28913","28913","1","2019-02-28 10:25:00 HKT"
"1551321000","28870","28870","28868","28868","10","2019-02-28 10:30:00 HKT"
"1551321300","28901","28901","28901","28901","1","2019-02-28 10:35:00 HKT"
"1551322800","28868","28888","28864","28886","4","2019-02-28 11:00:00 HKT"
"1551323100","28848","28859","28828","28838","63","2019-02-28 11:05:00 HKT"
"1551323700","28808","28808","28808","28808","5","2019-02-28 11:15:00 HKT"
"1551324000","28809","28809","28809","28809","1","2019-02-28 11:20:00 HKT"
"1551324300","28817","28820","28800","28800","24","2019-02-28 11:25:00 HKT"
"1551324600","28805","28805","28805","28805","1","2019-02-28 11:30:00 HKT"
"1551325200","28797","28797","28797","28797","1","2019-02-28 11:40:00 HKT"
"1551325500","28802","28802","28802","28802","12","2019-02-28 11:45:00 HKT"
"1551330300","28827","28842","28827","28842","24","2019-02-28 13:05:00 HKT"
"1551330600","28850","28867","28850","28860","52","2019-02-28 13:10:00 HKT"
"1551330900","28863","28865","28856","28864","16","2019-02-28 13:15:00 HKT"
"1551331800","28840","28840","28840","28840","1","2019-02-28 13:30:00 HKT"
"1551332400","28826","28826","28826","28826","5","2019-02-28 13:40:00 HKT"
"1551332700","28785","28785","28785","28785","1","2019-02-28 13:45:00 HKT"
"1551333000","28800","28800","28800","28800","1","2019-02-28 13:50:00 HKT"
"1551333300","28777","28777","28753","28753","12","2019-02-28 13:55:00 HKT"
"1551334500","28737","28737","28733","28733","7","2019-02-28 14:15:00 HKT"
"1551334800","28727","28733","28727","28731","5","2019-02-28 14:20:00 HKT"
"1551335100","28708","28709","28708","28709","5","2019-02-28 14:25:00 HKT"
"1551335700","28744","28764","28744","28764","4","2019-02-28 14:35:00 HKT"
"1551336000","28750","28750","28750","28750","1","2019-02-28 14:40:00 HKT"
"1551336600","28723","28723","28723","28723","1","2019-02-28 14:50:00 HKT"
"1551336900","28713","28713","28702","28702","2","2019-02-28 14:55:00 HKT"
"1551337200","28710","28710","28600","28600","4","2019-02-28 15:00:00 HKT"
"1551337500","28600","28641","28600","28641","6","2019-02-28 15:05:00 HKT"
"1551337800","28630","28631","28625","28631","4","2019-02-28 15:10:00 HKT"
"1551338100","28641","28650","28641","28650","86","2019-02-28 15:15:00 HKT"
"1551338400","28656","28656","28646","28646","3","2019-02-28 15:20:00 HKT"
"1551338700","28661","28661","28661","28661","2","2019-02-28 15:25:00 HKT"
"1551339000","28655","28655","28655","28655","1","2019-02-28 15:30:00 HKT"
"1551339300","28670","28670","28670","28670","1","2019-02-28 15:35:00 HKT"
"1551339600","28660","28660","28660","28660","1","2019-02-28 15:40:00 HKT"
"1551339900","28656","28656","28656","28656","1","2019-02-28 15:45:00 HKT"
"1551340200","28651","28663","28651","28663","13","2019-02-28 15:50:00 HKT"
"1551340800","28669","28669","28669","28669","2","2019-02-28 16:00:00 HKT"
"1551341100","28668","28678","28668","28678","2","2019-02-28 16:05:00 HKT"
"1551341400","28690","28690","28690","28690","1","2019-02-28 16:10:00 HKT"
"1551346200","28754","28754","28754","28754","1","2019-02-28 17:30:00 HKT"
"1551347700","28767","28767","28767","28767","2","2019-02-28 17:55:00 HKT"
"1551349800","28772","28772","28772","28772","2","2019-02-28 18:30:00 HKT"
"1551361800","28747","28747","28747","28747","1","2019-02-28 21:50:00 HKT"
"1551363000","28726","28726","28693","28693","2","2019-02-28 22:10:00 HKT"
"1551364500","28701","28701","28701","28701","1","2019-02-28 22:35:00 HKT"
"1551366600","28674","28674","28674","28674","1","2019-02-28 23:10:00 HKT"
"1551366900","28664","28664","28664","28664","1","2019-02-28 23:15:00 HKT"
"1551367200","28655","28655","28655","28655","1","2019-02-28 23:20:00 HKT"
"1551368100","28667","28667","28667","28667","1","2019-02-28 23:35:00 HKT"
"1551368400","28667","28680","28667","28680","2","2019-02-28 23:40:00 HKT"
"1551369900","28651","28651","28651","28651","1","2019-03-01 00:05:00 HKT"
"1551370500","28680","28680","28680","28680","1","2019-03-01 00:15:00 HKT"
"1551370800","28693","28693","28693","28693","1","2019-03-01 00:20:00 HKT"
"1551372000","28704","28704","28704","28704","1","2019-03-01 00:40:00 HKT"
"1551372300","28714","28714","28714","28714","1","2019-03-01 00:45:00 HKT"
"1551372900","28703","28703","28703","28703","1","2019-03-01 00:55:00 HKT"
"1551403500","28766","28766","28766","28766","1","2019-03-01 09:25:00 HKT"
"1551403800","28723","28723","28723","28723","1","2019-03-01 09:30:00 HKT"
"1551404100","28721","28721","28721","28721","1","2019-03-01 09:35:00 HKT"
"1551404400","28695","28747","28695","28730","23","2019-03-01 09:40:00 HKT"
"1551404700","28769","28818","28737","28743","76","2019-03-01 09:45:00 HKT"
"1551405000","28723","28723","28723","28723","1","2019-03-01 09:50:00 HKT"
"1551405300","28750","28750","28719","28719","2","2019-03-01 09:55:00 HKT"
"1551405600","28732","28739","28722","28722","3","2019-03-01 10:00:00 HKT"
"1551405900","28734","28734","28709","28720","12","2019-03-01 10:05:00 HKT"
"1551406200","28733","28737","28733","28737","2","2019-03-01 10:10:00 HKT"
"1551406500","28765","28765","28765","28765","1","2019-03-01 10:15:00 HKT"
"1551407700","28775","28775","28775","28775","1","2019-03-01 10:35:00 HKT"
"1551408000","28780","28800","28780","28800","3","2019-03-01 10:40:00 HKT"
"1551408300","28796","28801","28792","28801","8","2019-03-01 10:45:00 HKT"
"1551408600","28800","28845","28797","28844","6","2019-03-01 10:50:00 HKT"
"1551408900","28864","28870","28864","28870","2","2019-03-01 10:55:00 HKT"
