"time","open","high","low","close","Volume","localTime"
"1577756100","28345","28345","28345","28345","1","2019-12-31 09:35:00 HKT"
"1577756400","28290","28290","28288","28289","4","2019-12-31 09:40:00 HKT"
"1577757600","28288","28289","28288","28289","5","2019-12-31 10:00:00 HKT"
"1577757900","28284","28288","28265","28266","15","2019-12-31 10:05:00 HKT"
"1577758500","28279","28279","28269","28272","17","2019-12-31 10:15:00 HKT"
"1577759100","28250","28250","28240","28240","6","2019-12-31 10:25:00 HKT"
"1577759700","28216","28216","28216","28216","1","2019-12-31 10:35:00 HKT"
"1577760600","28226","28226","28226","28226","1","2019-12-31 10:50:00 HKT"
"1577761200","28196","28196","28196","28196","1","2019-12-31 11:00:00 HKT"
"1577762100","28191","28215","28191","28215","2","2019-12-31 11:15:00 HKT"
"1577763000","28228","28228","28228","28228","1","2019-12-31 11:30:00 HKT"
"1577763900","28222","28222","28222","28222","63","2019-12-31 11:45:00 HKT"
"1577764500","28249","28250","28249","28250","26","2019-12-31 11:55:00 HKT"
"1577765400","28230","28230","28215","28215","35","2019-12-31 12:10:00 HKT"
"1577765700","28215","28215","28215","28215","2","2019-12-31 12:15:00 HKT"
"1577766000","28222","28243","28222","28243","134","2019-12-31 12:20:00 HKT"
"1577766300","28249","28260","28240","28240","38","2019-12-31 12:25:00 HKT"
"1577927700","28348","28348","28226","28256","46","2020-01-02 09:15:00 HKT"
"1577928000","28258","28258","28193","28193","3","2020-01-02 09:20:00 HKT"
"1577928300","28250","28250","28250","28250","28","2020-01-02 09:25:00 HKT"
"1577928600","28279","28388","28279","28334","23","2020-01-02 09:30:00 HKT"
"1577928900","28348","28450","28348","28425","8","2020-01-02 09:35:00 HKT"
"1577929500","28415","28416","28415","28416","5","2020-01-02 09:45:00 HKT"
"1577929800","28443","28443","28443","28443","1","2020-01-02 09:50:00 HKT"
"1577930100","28442","28461","28442","28461","2","2020-01-02 09:55:00 HKT"
"1577930400","28489","28490","28487","28487","3","2020-01-02 10:00:00 HKT"
"1577930700","28500","28510","28400","28400","22","2020-01-02 10:05:00 HKT"
"1577931300","28514","28650","28509","28650","18","2020-01-02 10:15:00 HKT"
"1577931600","28506","28542","28505","28542","17","2020-01-02 10:20:00 HKT"
"1577931900","28542","28542","28542","28542","3","2020-01-02 10:25:00 HKT"
"1577932200","28563","28570","28563","28570","2","2020-01-02 10:30:00 HKT"
"1577932800","28565","28565","28495","28548","14","2020-01-02 10:40:00 HKT"
"1577933700","28522","28522","28522","28522","1","2020-01-02 10:55:00 HKT"
"1577934000","28532","28532","28532","28532","1","2020-01-02 11:00:00 HKT"
"1577934600","28547","28800","28547","28800","10","2020-01-02 11:10:00 HKT"
"1577935500","28500","28500","28490","28490","21","2020-01-02 11:25:00 HKT"
"1577935800","28490","28492","28485","28492","11","2020-01-02 11:30:00 HKT"
"1577936700","28490","28490","28485","28485","10","2020-01-02 11:45:00 HKT"
"1577941500","28490","28490","28480","28480","18","2020-01-02 13:05:00 HKT"
"1577941800","28488","28488","28475","28475","14","2020-01-02 13:10:00 HKT"
"1577942100","28470","28473","28430","28430","15","2020-01-02 13:15:00 HKT"
"1577942400","28450","28450","28449","28450","3","2020-01-02 13:20:00 HKT"
"1577942700","28450","28450","28445","28445","2","2020-01-02 13:25:00 HKT"
"1577943000","28456","28458","28456","28458","6","2020-01-02 13:30:00 HKT"
"1577943300","28483","28483","28483","28483","1","2020-01-02 13:35:00 HKT"
"1577943600","28496","28496","28496","28496","1","2020-01-02 13:40:00 HKT"
"1577943900","28496","28496","28496","28496","1","2020-01-02 13:45:00 HKT"
"1577944500","28528","28528","28528","28528","2","2020-01-02 13:55:00 HKT"
"1577945100","28550","28550","28550","28550","1","2020-01-02 14:05:00 HKT"
"1577946000","28551","28560","28544","28560","3","2020-01-02 14:20:00 HKT"
"1577946300","28564","28564","28549","28549","3","2020-01-02 14:25:00 HKT"
"1577946600","28548","28548","28540","28542","7","2020-01-02 14:30:00 HKT"
"1577947200","28549","28549","28549","28549","1","2020-01-02 14:40:00 HKT"
"1577947500","28540","28540","28540","28540","1","2020-01-02 14:45:00 HKT"
"1577947800","28541","28541","28541","28541","2","2020-01-02 14:50:00 HKT"
"1577948400","28570","28598","28570","28598","2","2020-01-02 15:00:00 HKT"
"1577949900","28564","28564","28564","28564","1","2020-01-02 15:25:00 HKT"
"1577950500","28565","28565","28565","28565","2","2020-01-02 15:35:00 HKT"
