"time","open","high","low","close","Volume","localTime"
"1573839900","26475","26475","26475","26475","1","2019-11-16 01:45:00 HKT"
"1574039400","26423","26423","26423","26423","15","2019-11-18 09:10:00 HKT"
"1574039700","26423","26509","26423","26508","4","2019-11-18 09:15:00 HKT"
"1574040000","26509","26509","26509","26509","1","2019-11-18 09:20:00 HKT"
"1574040900","26539","26539","26539","26539","1","2019-11-18 09:35:00 HKT"
"1574041200","26562","26580","26562","26580","11","2019-11-18 09:40:00 HKT"
"1574041800","26623","26623","26623","26623","1","2019-11-18 09:50:00 HKT"
"1574042400","26699","26703","26699","26703","2","2019-11-18 10:00:00 HKT"
"1574042700","26750","26759","26750","26759","4","2019-11-18 10:05:00 HKT"
"1574043000","26730","26730","26730","26730","1","2019-11-18 10:10:00 HKT"
"1574043300","26737","26737","26737","26737","1","2019-11-18 10:15:00 HKT"
"1574044200","26680","26680","26680","26680","1","2019-11-18 10:30:00 HKT"
"1574049000","26696","26696","26696","26696","12","2019-11-18 11:50:00 HKT"
"1574053800","26670","26670","26600","26600","3","2019-11-18 13:10:00 HKT"
"1574054400","26612","26612","26612","26612","1","2019-11-18 13:20:00 HKT"
"1574055900","26650","26700","26650","26700","2","2019-11-18 13:45:00 HKT"
"1574056800","26661","26664","26661","26664","6","2019-11-18 14:00:00 HKT"
"1574061300","26733","26760","26733","26760","3","2019-11-18 15:15:00 HKT"
"1574062800","26725","26725","26725","26725","1","2019-11-18 15:40:00 HKT"
"1574064900","26744","26744","26744","26744","2","2019-11-18 16:15:00 HKT"
"1574068500","26737","26737","26737","26737","10","2019-11-18 17:15:00 HKT"
"1574068800","26737","26737","26737","26737","1","2019-11-18 17:20:00 HKT"
"1574069100","26740","26740","26740","26740","1","2019-11-18 17:25:00 HKT"
"1574082900","26670","26670","26670","26670","1","2019-11-18 21:15:00 HKT"
"1574088000","26620","26620","26620","26620","1","2019-11-18 22:40:00 HKT"
"1574089200","26653","26653","26653","26653","1","2019-11-18 23:00:00 HKT"
"1574093400","26688","26688","26688","26688","1","2019-11-19 00:10:00 HKT"
"1574094300","26700","26700","26700","26700","1","2019-11-19 00:25:00 HKT"
"1574095800","26699","26699","26699","26699","1","2019-11-19 00:50:00 HKT"
"1574126100","26600","26693","26600","26693","4","2019-11-19 09:15:00 HKT"
"1574126700","26650","26650","26650","26650","1","2019-11-19 09:25:00 HKT"
"1574127300","26744","26744","26744","26744","1","2019-11-19 09:35:00 HKT"
"1574127600","26800","26800","26800","26800","1","2019-11-19 09:40:00 HKT"
"1574127900","26900","26900","26900","26900","1","2019-11-19 09:45:00 HKT"
"1574128200","26948","26948","26948","26948","3","2019-11-19 09:50:00 HKT"
"1574128500","26998","26998","26998","26998","1","2019-11-19 09:55:00 HKT"
"1574128800","26952","26952","26943","26943","32","2019-11-19 10:00:00 HKT"
"1574129100","26979","26979","26979","26979","3","2019-11-19 10:05:00 HKT"
"1574129400","27000","27000","26995","26995","3","2019-11-19 10:10:00 HKT"
"1574129700","27009","27009","27009","27009","2","2019-11-19 10:15:00 HKT"
"1574130000","27020","27030","27020","27030","2","2019-11-19 10:20:00 HKT"
"1574130300","27000","27000","27000","27000","1","2019-11-19 10:25:00 HKT"
"1574130600","27000","27033","27000","27005","3","2019-11-19 10:30:00 HKT"
"1574132100","27053","27053","27043","27043","2","2019-11-19 10:55:00 HKT"
"1574132700","27000","27000","27000","27000","1","2019-11-19 11:05:00 HKT"
"1574133300","26969","26969","26969","26969","1","2019-11-19 11:15:00 HKT"
"1574133600","26970","26970","26970","26970","1","2019-11-19 11:20:00 HKT"
"1574135700","27017","27017","27017","27017","1","2019-11-19 11:55:00 HKT"
"1574139600","27033","27054","27033","27054","2","2019-11-19 13:00:00 HKT"
"1574140500","27074","27074","27074","27074","1","2019-11-19 13:15:00 HKT"
"1574140800","27049","27049","27049","27049","1","2019-11-19 13:20:00 HKT"
