"time","open","high","low","close","Volume","localTime"
"1582302600","27028","27028","27028","27028","1","2020-02-22 00:30:00 HKT"
"1582506600","26663","26663","26663","26663","15","2020-02-24 09:10:00 HKT"
"1582506900","26698","26749","26690","26749","32","2020-02-24 09:15:00 HKT"
"1582507200","26690","26690","26651","26655","4","2020-02-24 09:20:00 HKT"
"1582507500","26667","26667","26624","26624","32","2020-02-24 09:25:00 HKT"
"1582507800","26686","26686","26686","26686","1","2020-02-24 09:30:00 HKT"
"1582508400","26550","26555","26550","26555","2","2020-02-24 09:40:00 HKT"
"1582509000","26600","26600","26570","26570","6","2020-02-24 09:50:00 HKT"
"1582509900","26526","26526","26526","26526","1","2020-02-24 10:05:00 HKT"
"1582510500","26512","26512","26512","26512","28","2020-02-24 10:15:00 HKT"
"1582510800","26510","26510","26460","26460","5","2020-02-24 10:20:00 HKT"
"1582511100","26488","26488","26479","26479","3","2020-02-24 10:25:00 HKT"
"1582511400","26463","26463","26431","26434","30","2020-02-24 10:30:00 HKT"
"1582511700","26431","26431","26431","26431","1","2020-02-24 10:35:00 HKT"
"1582512000","26437","26437","26437","26437","1","2020-02-24 10:40:00 HKT"
"1582512300","26479","26479","26479","26479","1","2020-02-24 10:45:00 HKT"
"1582512600","26483","26483","26483","26483","1","2020-02-24 10:50:00 HKT"
"1582513200","26409","26409","26409","26409","19","2020-02-24 11:00:00 HKT"
"1582513500","26423","26436","26423","26436","12","2020-02-24 11:05:00 HKT"
"1582513800","26448","26448","26448","26448","1","2020-02-24 11:10:00 HKT"
"1582514100","26488","26488","26488","26488","1","2020-02-24 11:15:00 HKT"
"1582514400","26511","26511","26509","26509","2","2020-02-24 11:20:00 HKT"
"1582515000","26521","26521","26521","26521","1","2020-02-24 11:30:00 HKT"
"1582515300","26522","26522","26522","26522","1","2020-02-24 11:35:00 HKT"
"1582516200","26472","26472","26472","26472","1","2020-02-24 11:50:00 HKT"
"1582521000","26487","26496","26487","26496","2","2020-02-24 13:10:00 HKT"
"1582521300","26501","26501","26501","26501","1","2020-02-24 13:15:00 HKT"
"1582522200","26499","26499","26499","26499","1","2020-02-24 13:30:00 HKT"
"1582523100","26483","26483","26483","26483","4","2020-02-24 13:45:00 HKT"
"1582524000","26474","26474","26474","26474","1","2020-02-24 14:00:00 HKT"
"1582524300","26480","26480","26480","26480","8","2020-02-24 14:05:00 HKT"
"1582524600","26467","26467","26467","26467","3","2020-02-24 14:10:00 HKT"
"1582526400","26455","26455","26455","26455","1","2020-02-24 14:40:00 HKT"
"1582526700","26448","26448","26448","26448","1","2020-02-24 14:45:00 HKT"
"1582527300","26455","26455","26455","26455","1","2020-02-24 14:55:00 HKT"
"1582527600","26469","26469","26469","26469","9","2020-02-24 15:00:00 HKT"
"1582527900","26458","26458","26430","26430","2","2020-02-24 15:05:00 HKT"
"1582528200","26408","26408","26408","26408","1","2020-02-24 15:10:00 HKT"
"1582528500","26405","26415","26405","26415","6","2020-02-24 15:15:00 HKT"
"1582528800","26432","26433","26432","26433","2","2020-02-24 15:20:00 HKT"
"1582529400","26450","26450","26446","26446","2","2020-02-24 15:30:00 HKT"
"1582530000","26459","26464","26459","26464","10","2020-02-24 15:40:00 HKT"
"1582530600","26451","26451","26430","26430","2","2020-02-24 15:50:00 HKT"
"1582530900","26430","26430","26430","26430","1","2020-02-24 15:55:00 HKT"
"1582531200","26430","26430","26421","26421","3","2020-02-24 16:00:00 HKT"
"1582531500","26400","26400","26400","26400","1","2020-02-24 16:05:00 HKT"
"1582531800","26406","26415","26393","26393","22","2020-02-24 16:10:00 HKT"
"1582532100","26388","26403","26388","26403","12","2020-02-24 16:15:00 HKT"
"1582532400","26394","26394","26377","26377","3","2020-02-24 16:20:00 HKT"
"1582532700","26382","26382","26350","26350","6","2020-02-24 16:25:00 HKT"
"1582535700","26230","26230","26201","26201","2","2020-02-24 17:15:00 HKT"
"1582536000","26160","26166","26160","26160","4","2020-02-24 17:20:00 HKT"
"1582536300","26160","26160","26160","26160","1","2020-02-24 17:25:00 HKT"
"1582536600","26128","26128","26128","26128","1","2020-02-24 17:30:00 HKT"
"1582536900","26124","26124","26124","26124","1","2020-02-24 17:35:00 HKT"
"1582537500","26166","26166","26166","26166","1","2020-02-24 17:45:00 HKT"
"1582538100","26180","26192","26180","26192","2","2020-02-24 17:55:00 HKT"
"1582539000","26171","26171","26171","26171","1","2020-02-24 18:10:00 HKT"
"1582539900","26163","26163","26163","26163","1","2020-02-24 18:25:00 HKT"
"1582541100","26152","26152","26136","26136","2","2020-02-24 18:45:00 HKT"
"1582542300","26115","26115","26111","26111","2","2020-02-24 19:05:00 HKT"
"1582542600","26112","26112","26112","26112","1","2020-02-24 19:10:00 HKT"
"1582543200","26127","26127","26127","26127","1","2020-02-24 19:20:00 HKT"
"1582544400","26151","26151","26151","26151","1","2020-02-24 19:40:00 HKT"
"1582544700","26161","26161","26161","26161","1","2020-02-24 19:45:00 HKT"
"1582545600","26186","26186","26186","26186","1","2020-02-24 20:00:00 HKT"
"1582546500","26189","26189","26189","26189","1","2020-02-24 20:15:00 HKT"
"1582547700","26160","26160","26160","26160","1","2020-02-24 20:35:00 HKT"
"1582548600","26157","26157","26157","26157","1","2020-02-24 20:50:00 HKT"
"1582549500","26150","26150","26150","26150","1","2020-02-24 21:05:00 HKT"
"1582549800","26150","26150","26150","26150","1","2020-02-24 21:10:00 HKT"
"1582551600","26136","26136","26136","26136","1","2020-02-24 21:40:00 HKT"
"1582552200","26103","26103","26100","26100","3","2020-02-24 21:50:00 HKT"
"1582553700","26033","26038","26033","26038","30","2020-02-24 22:15:00 HKT"
"1582554000","26027","26027","25999","26000","25","2020-02-24 22:20:00 HKT"
"1582554300","26009","26009","26009","26009","1","2020-02-24 22:25:00 HKT"
"1582554600","26060","26060","26060","26060","1","2020-02-24 22:30:00 HKT"
"1582554900","26092","26092","26092","26092","1","2020-02-24 22:35:00 HKT"
"1582555500","26110","26110","26110","26110","1","2020-02-24 22:45:00 HKT"
"1582555800","26123","26123","26123","26123","1","2020-02-24 22:50:00 HKT"
"1582557000","26163","26163","26163","26163","1","2020-02-24 23:10:00 HKT"
"1582557900","26114","26114","26114","26114","1","2020-02-24 23:25:00 HKT"
"1582564500","26120","26120","26120","26120","1","2020-02-25 01:15:00 HKT"
"1582564800","26137","26137","26137","26137","1","2020-02-25 01:20:00 HKT"
"1582565700","26150","26150","26150","26150","1","2020-02-25 01:35:00 HKT"
"1582566000","26163","26163","26163","26163","1","2020-02-25 01:40:00 HKT"
"1582567500","26120","26120","26120","26120","1","2020-02-25 02:05:00 HKT"
"1582567800","26122","26122","26122","26122","1","2020-02-25 02:10:00 HKT"
"1582570500","26120","26120","26120","26120","1","2020-02-25 02:55:00 HKT"
"1582593300","26349","26391","26349","26355","15","2020-02-25 09:15:00 HKT"
"1582593600","26390","26411","26390","26395","11","2020-02-25 09:20:00 HKT"
"1582593900","26390","26403","26390","26403","3","2020-02-25 09:25:00 HKT"
"1582594200","26350","26425","26350","26422","50","2020-02-25 09:30:00 HKT"
"1582594500","26420","26455","26398","26455","8","2020-02-25 09:35:00 HKT"
"1582594800","26445","26468","26445","26465","13","2020-02-25 09:40:00 HKT"
"1582595100","26490","26490","26490","26490","1","2020-02-25 09:45:00 HKT"
"1582595400","26470","26471","26441","26461","11","2020-02-25 09:50:00 HKT"
"1582595700","26419","26419","26408","26408","2","2020-02-25 09:55:00 HKT"
"1582596000","26416","26416","26416","26416","5","2020-02-25 10:00:00 HKT"
"1582596300","26423","26423","26413","26413","14","2020-02-25 10:05:00 HKT"
"1582596600","26400","26463","26400","26459","25","2020-02-25 10:10:00 HKT"
"1582596900","26461","26498","26458","26495","28","2020-02-25 10:15:00 HKT"
"1582597200","26503","26513","26503","26513","57","2020-02-25 10:20:00 HKT"
"1582597500","26470","26470","26470","26470","1","2020-02-25 10:25:00 HKT"
"1582597800","26472","26486","26472","26486","21","2020-02-25 10:30:00 HKT"
"1582598700","26410","26410","26407","26407","11","2020-02-25 10:45:00 HKT"
"1582599300","26351","26351","26347","26347","6","2020-02-25 10:55:00 HKT"
"1582599600","26345","26352","26341","26341","5","2020-02-25 11:00:00 HKT"
"1582600200","26300","26315","26300","26310","17","2020-02-25 11:10:00 HKT"
"1582601100","26370","26380","26368","26380","12","2020-02-25 11:25:00 HKT"
"1582601400","26391","26395","26391","26395","19","2020-02-25 11:30:00 HKT"
"1582601700","26401","26401","26401","26401","1","2020-02-25 11:35:00 HKT"
"1582602900","26408","26408","26408","26408","11","2020-02-25 11:55:00 HKT"
"1582606500","26395","26395","26395","26395","2","2020-02-25 12:55:00 HKT"
"1582606800","26397","26427","26397","26427","8","2020-02-25 13:00:00 HKT"
"1582607100","26385","26411","26385","26411","3","2020-02-25 13:05:00 HKT"
"1582608000","26408","26408","26408","26408","10","2020-02-25 13:20:00 HKT"
"1582608300","26379","26379","26379","26379","1","2020-02-25 13:25:00 HKT"
"1582608600","26370","26370","26370","26370","1","2020-02-25 13:30:00 HKT"
"1582610100","26430","26430","26430","26430","2","2020-02-25 13:55:00 HKT"
"1582610400","26433","26433","26422","26422","2","2020-02-25 14:00:00 HKT"
"1582611000","26436","26436","26410","26410","8","2020-02-25 14:10:00 HKT"
"1582611300","26433","26433","26431","26431","11","2020-02-25 14:15:00 HKT"
"1582611900","26453","26453","26453","26453","1","2020-02-25 14:25:00 HKT"
"1582612200","26462","26462","26462","26462","1","2020-02-25 14:30:00 HKT"
"1582612500","26468","26468","26468","26468","1","2020-02-25 14:35:00 HKT"
"1582614900","26475","26475","26475","26475","1","2020-02-25 15:15:00 HKT"
"1582615500","26421","26421","26421","26421","5","2020-02-25 15:25:00 HKT"
"1582617000","26480","26480","26480","26480","1","2020-02-25 15:50:00 HKT"
"1582617300","26484","26484","26484","26484","1","2020-02-25 15:55:00 HKT"
"1582617600","26497","26497","26497","26497","11","2020-02-25 16:00:00 HKT"
"1582618200","26480","26480","26480","26480","1","2020-02-25 16:10:00 HKT"
"1582622100","26351","26380","26349","26380","6","2020-02-25 17:15:00 HKT"
"1582622700","26380","26380","26380","26380","2","2020-02-25 17:25:00 HKT"
"1582625700","26347","26347","26345","26345","4","2020-02-25 18:15:00 HKT"
"1582626000","26345","26345","26345","26345","1","2020-02-25 18:20:00 HKT"
"1582626300","26323","26323","26323","26323","1","2020-02-25 18:25:00 HKT"
"1582626600","26290","26290","26290","26290","1","2020-02-25 18:30:00 HKT"
"1582627500","26289","26300","26289","26300","2","2020-02-25 18:45:00 HKT"
"1582627800","26305","26305","26305","26305","1","2020-02-25 18:50:00 HKT"
"1582630200","26343","26343","26343","26343","1","2020-02-25 19:30:00 HKT"
"1582630500","26351","26363","26346","26363","12","2020-02-25 19:35:00 HKT"
"1582631400","26367","26367","26367","26367","1","2020-02-25 19:50:00 HKT"
