"time","open","high","low","close","Volume","localTime"
"1622424600","8013","8020","8007","8007","35","2021-05-31 09:30:00 HKT"
"1622426400","8021","8022","8020","8022","17","2021-05-31 10:00:00 HKT"
"1622427900","8029","8029","8029","8029","2","2021-05-31 10:25:00 HKT"
"1622428500","8018","8018","8018","8018","3","2021-05-31 10:35:00 HKT"
"1622437200","7980","7980","7980","7980","1","2021-05-31 13:00:00 HKT"
"1622437500","7988","7988","7988","7988","1","2021-05-31 13:05:00 HKT"
"1622438100","7985","7985","7985","7985","5","2021-05-31 13:15:00 HKT"
"1622443500","8023","8023","8023","8023","3","2021-05-31 14:45:00 HKT"
"1622444700","8054","8057","8054","8057","4","2021-05-31 15:05:00 HKT"
"1622445300","8049","8049","8049","8049","5","2021-05-31 15:15:00 HKT"
"1622445900","8064","8064","8064","8064","1","2021-05-31 15:25:00 HKT"
"1622446800","8070","8071","8070","8071","2","2021-05-31 15:40:00 HKT"
"1622447100","8064","8064","8064","8064","1","2021-05-31 15:45:00 HKT"
"1622447400","8064","8068","8062","8068","7","2021-05-31 15:50:00 HKT"
"1622447700","8072","8075","8072","8075","6","2021-05-31 15:55:00 HKT"
"1622448600","8081","8081","8081","8081","1","2021-05-31 16:10:00 HKT"
"1622510400","8155","8155","8148","8149","12","2021-06-01 09:20:00 HKT"
"1622510700","8144","8145","8142","8142","3","2021-06-01 09:25:00 HKT"
"1622511000","8134","8134","8134","8134","2","2021-06-01 09:30:00 HKT"
"1622511300","8148","8148","8148","8148","1","2021-06-01 09:35:00 HKT"
"1622513400","8206","8206","8206","8206","2","2021-06-01 10:10:00 HKT"
"1622514000","8175","8175","8175","8175","3","2021-06-01 10:20:00 HKT"
"1622515200","8177","8177","8177","8177","1","2021-06-01 10:40:00 HKT"
"1622516400","8194","8194","8194","8194","5","2021-06-01 11:00:00 HKT"
"1622517600","8220","8231","8220","8231","10","2021-06-01 11:20:00 HKT"
"1622517900","8243","8243","8243","8243","1","2021-06-01 11:25:00 HKT"
"1622518200","8250","8250","8250","8250","1","2021-06-01 11:30:00 HKT"
"1622523900","8252","8252","8252","8252","3","2021-06-01 13:05:00 HKT"
"1622524200","8251","8251","8251","8251","2","2021-06-01 13:10:00 HKT"
"1622527500","8265","8267","8264","8267","30","2021-06-01 14:05:00 HKT"
"1622530800","8277","8277","8277","8277","3","2021-06-01 15:00:00 HKT"
"1622532000","8280","8280","8280","8280","1","2021-06-01 15:20:00 HKT"
"1622532300","8276","8276","8276","8276","2","2021-06-01 15:25:00 HKT"
"1622532900","8282","8282","8282","8282","1","2021-06-01 15:35:00 HKT"
"1622535300","8328","8339","8328","8339","9","2021-06-01 16:15:00 HKT"
"1622535600","8335","8337","8332","8337","13","2021-06-01 16:20:00 HKT"
"1622535900","8332","8332","8332","8332","3","2021-06-01 16:25:00 HKT"
"1622554800","8317","8317","8317","8317","1","2021-06-01 21:40:00 HKT"
"1622556600","8291","8291","8291","8291","2","2021-06-01 22:10:00 HKT"
"1622565300","8281","8281","8281","8281","1","2021-06-02 00:35:00 HKT"
"1622597400","8317","8318","8295","8300","17","2021-06-02 09:30:00 HKT"
