"time","open","high","low","close","Volume","localTime"
"1625033100","8159","8159","8155","8155","9","2021-06-30 14:05:00 HKT"
"1625033400","8156","8156","8155","8155","2","2021-06-30 14:10:00 HKT"
"1625034900","8155","8155","8155","8155","1","2021-06-30 14:35:00 HKT"
"1625035200","8160","8160","8160","8160","2","2021-06-30 14:40:00 HKT"
"1625036100","8163","8163","8163","8163","1","2021-06-30 14:55:00 HKT"
"1625037000","8162","8162","8161","8161","2","2021-06-30 15:10:00 HKT"
"1625037300","8157","8157","8153","8153","3","2021-06-30 15:15:00 HKT"
"1625037900","8151","8151","8151","8151","1","2021-06-30 15:25:00 HKT"
"1625039700","8144","8144","8144","8144","1","2021-06-30 15:55:00 HKT"
"1625166300","8144","8144","8144","8144","1","2021-07-02 03:05:00 HKT"
"1625189400","8028","8028","8028","8028","1","2021-07-02 09:30:00 HKT"
"1625189700","8034","8034","8000","8003","13","2021-07-02 09:35:00 HKT"
"1625190300","7972","7972","7972","7972","1","2021-07-02 09:45:00 HKT"
"1625192700","7914","7920","7914","7920","3","2021-07-02 10:25:00 HKT"
"1625193000","7916","7919","7916","7917","10","2021-07-02 10:30:00 HKT"
"1625193300","7923","7925","7923","7925","4","2021-07-02 10:35:00 HKT"
"1625202000","7905","7905","7905","7905","13","2021-07-02 13:00:00 HKT"
"1625205900","7883","7884","7883","7884","12","2021-07-02 14:05:00 HKT"
"1625207100","7860","7860","7859","7859","32","2021-07-02 14:25:00 HKT"
"1625208900","7866","7866","7865","7865","3","2021-07-02 14:55:00 HKT"
"1625210100","7869","7869","7864","7864","6","2021-07-02 15:15:00 HKT"
"1625210400","7866","7866","7866","7866","3","2021-07-02 15:20:00 HKT"
"1625212200","7868","7868","7868","7868","1","2021-07-02 15:50:00 HKT"
"1625212500","7873","7873","7873","7873","5","2021-07-02 15:55:00 HKT"
"1625447700","7804","7804","7804","7804","6","2021-07-05 09:15:00 HKT"
"1625448000","7766","7766","7765","7765","2","2021-07-05 09:20:00 HKT"
"1625448600","7803","7803","7747","7747","9","2021-07-05 09:30:00 HKT"
"1625449200","7820","7820","7820","7820","1","2021-07-05 09:40:00 HKT"
"1625468400","7705","7705","7705","7705","1","2021-07-05 15:00:00 HKT"
"1625535000","7689","7689","7660","7660","4","2021-07-06 09:30:00 HKT"
"1625537100","7693","7698","7693","7698","10","2021-07-06 10:05:00 HKT"
"1625537700","7698","7698","7686","7686","2","2021-07-06 10:15:00 HKT"
"1625538000","7674","7675","7674","7675","4","2021-07-06 10:20:00 HKT"
"1625549700","7592","7592","7592","7592","1","2021-07-06 13:35:00 HKT"
"1625551200","7568","7568","7568","7568","1","2021-07-06 14:00:00 HKT"
"1625551500","7575","7575","7575","7575","1","2021-07-06 14:05:00 HKT"
"1625553600","7611","7611","7611","7611","1","2021-07-06 14:40:00 HKT"
"1625554500","7645","7645","7645","7645","1","2021-07-06 14:55:00 HKT"
"1625557800","7622","7622","7622","7622","6","2021-07-06 15:50:00 HKT"
"1625581800","7560","7560","7560","7560","2","2021-07-06 22:30:00 HKT"
"1625621400","7508","7536","7504","7508","20","2021-07-07 09:30:00 HKT"
"1625621700","7513","7519","7513","7519","9","2021-07-07 09:35:00 HKT"
"1625622600","7515","7515","7515","7515","1","2021-07-07 09:50:00 HKT"
"1625623500","7583","7583","7583","7583","1","2021-07-07 10:05:00 HKT"
"1625623800","7579","7579","7565","7565","12","2021-07-07 10:10:00 HKT"
"1625627700","7581","7581","7581","7581","1","2021-07-07 11:15:00 HKT"
"1625630100","7560","7560","7560","7560","2","2021-07-07 11:55:00 HKT"
"1625635500","7539","7539","7539","7539","5","2021-07-07 13:25:00 HKT"
"1625637600","7550","7550","7550","7550","1","2021-07-07 14:00:00 HKT"
"1625643000","7590","7590","7590","7590","1","2021-07-07 15:30:00 HKT"
"1625643900","7585","7587","7585","7587","2","2021-07-07 15:45:00 HKT"
"1625646000","7590","7590","7590","7590","1","2021-07-07 16:20:00 HKT"
"1625646300","7592","7592","7592","7592","1","2021-07-07 16:25:00 HKT"
"1625649600","7589","7589","7589","7589","1","2021-07-07 17:20:00 HKT"
"1625652600","7576","7576","7576","7576","1","2021-07-07 18:10:00 HKT"
"1625706900","7522","7522","7522","7522","5","2021-07-08 09:15:00 HKT"
"1625708400","7515","7515","7500","7500","3","2021-07-08 09:40:00 HKT"
"1625709000","7460","7460","7460","7460","1","2021-07-08 09:50:00 HKT"
"1625711100","7435","7435","7420","7420","7","2021-07-08 10:25:00 HKT"
"1625711400","7411","7411","7411","7411","10","2021-07-08 10:30:00 HKT"
"1625712000","7384","7384","7384","7384","1","2021-07-08 10:40:00 HKT"
"1625712300","7412","7412","7412","7412","2","2021-07-08 10:45:00 HKT"
"1625713500","7405","7405","7404","7404","4","2021-07-08 11:05:00 HKT"
"1625715600","7373","7373","7372","7372","11","2021-07-08 11:40:00 HKT"
"1625720400","7372","7374","7364","7364","7","2021-07-08 13:00:00 HKT"
"1625720700","7360","7360","7350","7350","7","2021-07-08 13:05:00 HKT"
"1625721000","7333","7333","7330","7330","11","2021-07-08 13:10:00 HKT"
"1625723100","7316","7316","7316","7316","1","2021-07-08 13:45:00 HKT"
"1625724000","7344","7344","7344","7344","5","2021-07-08 14:00:00 HKT"
"1625724600","7347","7347","7347","7347","5","2021-07-08 14:10:00 HKT"
"1625727000","7322","7322","7322","7322","2","2021-07-08 14:50:00 HKT"
"1625727600","7310","7310","7310","7310","1","2021-07-08 15:00:00 HKT"
"1625727900","7310","7310","7310","7310","1","2021-07-08 15:05:00 HKT"
"1625728500","7312","7312","7312","7312","2","2021-07-08 15:15:00 HKT"
"1625730300","7298","7298","7298","7298","1","2021-07-08 15:45:00 HKT"
"1625730900","7293","7293","7293","7293","1","2021-07-08 15:55:00 HKT"
"1625731200","7287","7287","7287","7287","1","2021-07-08 16:00:00 HKT"
"1625738400","7283","7283","7283","7283","1","2021-07-08 18:00:00 HKT"
"1625739300","7260","7260","7252","7252","2","2021-07-08 18:15:00 HKT"
"1625794200","7270","7270","7270","7270","1","2021-07-09 09:30:00 HKT"
"1625795400","7253","7254","7253","7254","5","2021-07-09 09:50:00 HKT"
"1625795700","7240","7240","7238","7238","2","2021-07-09 09:55:00 HKT"
"1625796000","7157","7157","7157","7157","1","2021-07-09 10:00:00 HKT"
"1625796300","7152","7171","7151","7171","5","2021-07-09 10:05:00 HKT"
"1625796900","7268","7268","7268","7268","1","2021-07-09 10:15:00 HKT"
"1625797200","7306","7312","7306","7306","11","2021-07-09 10:20:00 HKT"
"1625797800","7319","7347","7319","7343","13","2021-07-09 10:30:00 HKT"
"1625798400","7384","7384","7384","7384","1","2021-07-09 10:40:00 HKT"
"1625799300","7387","7387","7387","7387","9","2021-07-09 10:55:00 HKT"
"1625799900","7391","7403","7391","7403","3","2021-07-09 11:05:00 HKT"
"1625800200","7423","7424","7423","7424","2","2021-07-09 11:10:00 HKT"
"1625800800","7370","7370","7370","7370","2","2021-07-09 11:20:00 HKT"
"1625801100","7360","7360","7345","7345","3","2021-07-09 11:25:00 HKT"
"1625806800","7397","7400","7397","7400","2","2021-07-09 13:00:00 HKT"
"1625810100","7440","7440","7440","7440","1","2021-07-09 13:55:00 HKT"
"1625811300","7447","7447","7447","7447","15","2021-07-09 14:15:00 HKT"
"1625814000","7412","7415","7412","7415","4","2021-07-09 15:00:00 HKT"
"1625816400","7417","7417","7417","7417","3","2021-07-09 15:40:00 HKT"
"1625816700","7418","7418","7418","7418","3","2021-07-09 15:45:00 HKT"
"1625817300","7417","7417","7416","7416","2","2021-07-09 15:55:00 HKT"
"1625822100","7435","7435","7435","7435","12","2021-07-09 17:15:00 HKT"
"1625822400","7435","7435","7435","7435","3","2021-07-09 17:20:00 HKT"
"1625829300","7490","7490","7490","7490","1","2021-07-09 19:15:00 HKT"
"1625840100","7523","7523","7523","7523","1","2021-07-09 22:15:00 HKT"
"1625840400","7527","7527","7527","7527","1","2021-07-09 22:20:00 HKT"
"1625842200","7530","7530","7530","7530","1","2021-07-09 22:50:00 HKT"
"1625842800","7533","7533","7533","7533","1","2021-07-09 23:00:00 HKT"
"1626052500","7553","7553","7553","7553","1","2021-07-12 09:15:00 HKT"
"1626053100","7522","7523","7517","7517","4","2021-07-12 09:25:00 HKT"
"1626053400","7535","7535","7456","7456","2","2021-07-12 09:30:00 HKT"
"1626054000","7468","7470","7450","7450","4","2021-07-12 09:40:00 HKT"
"1626054300","7417","7417","7417","7417","2","2021-07-12 09:45:00 HKT"
"1626055200","7443","7457","7443","7457","7","2021-07-12 10:00:00 HKT"
"1626055500","7504","7504","7503","7503","3","2021-07-12 10:05:00 HKT"
"1626055800","7511","7511","7504","7504","3","2021-07-12 10:10:00 HKT"
"1626056100","7505","7505","7505","7505","1","2021-07-12 10:15:00 HKT"
"1626056400","7521","7525","7520","7524","5","2021-07-12 10:20:00 HKT"
"1626057300","7481","7481","7478","7478","4","2021-07-12 10:35:00 HKT"
"1626059700","7467","7467","7467","7467","3","2021-07-12 11:15:00 HKT"
"1626060900","7482","7482","7482","7482","5","2021-07-12 11:35:00 HKT"
"1626061800","7496","7496","7496","7496","5","2021-07-12 11:50:00 HKT"
"1626062100","7488","7493","7488","7493","3","2021-07-12 11:55:00 HKT"
"1626066000","7493","7493","7493","7493","1","2021-07-12 13:00:00 HKT"
"1626067200","7483","7483","7483","7483","1","2021-07-12 13:20:00 HKT"
"1626067500","7470","7470","7466","7467","9","2021-07-12 13:25:00 HKT"
"1626075300","7482","7482","7482","7482","2","2021-07-12 15:35:00 HKT"
"1626139800","7531","7531","7531","7531","1","2021-07-13 09:30:00 HKT"
"1626140100","7560","7568","7560","7568","2","2021-07-13 09:35:00 HKT"
"1626140400","7528","7528","7528","7528","2","2021-07-13 09:40:00 HKT"
"1626141300","7576","7578","7576","7578","10","2021-07-13 09:55:00 HKT"
"1626143100","7667","7676","7667","7676","2","2021-07-13 10:25:00 HKT"
"1626144900","7665","7665","7665","7665","10","2021-07-13 10:55:00 HKT"
"1626147600","7686","7686","7686","7686","5","2021-07-13 11:40:00 HKT"
"1626152700","7667","7667","7667","7667","1","2021-07-13 13:05:00 HKT"
"1626153600","7651","7651","7651","7651","1","2021-07-13 13:20:00 HKT"
"1626154200","7657","7657","7657","7657","15","2021-07-13 13:30:00 HKT"
"1626154500","7657","7657","7657","7657","35","2021-07-13 13:35:00 HKT"
"1626157200","7637","7642","7637","7642","3","2021-07-13 14:20:00 HKT"
"1626162900","7631","7631","7631","7631","1","2021-07-13 15:55:00 HKT"
"1626193800","7688","7688","7688","7688","1","2021-07-14 00:30:00 HKT"
"1626225300","7648","7648","7635","7635","9","2021-07-14 09:15:00 HKT"
"1626228000","7644","7644","7644","7644","1","2021-07-14 10:00:00 HKT"
"1626228600","7636","7636","7631","7636","66","2021-07-14 10:10:00 HKT"
"1626229200","7667","7669","7667","7669","2","2021-07-14 10:20:00 HKT"
"1626229800","7644","7644","7644","7644","2","2021-07-14 10:30:00 HKT"
"1626230400","7630","7630","7630","7630","1","2021-07-14 10:40:00 HKT"
"1626230700","7642","7642","7642","7642","1","2021-07-14 10:45:00 HKT"
"1626231000","7645","7645","7644","7644","2","2021-07-14 10:50:00 HKT"
"1626232500","7678","7680","7677","7680","8","2021-07-14 11:15:00 HKT"
"1626242700","7650","7650","7650","7650","1","2021-07-14 14:05:00 HKT"
"1626243000","7645","7645","7645","7645","1","2021-07-14 14:10:00 HKT"
"1626243600","7650","7650","7650","7650","2","2021-07-14 14:20:00 HKT"
"1626243900","7649","7649","7648","7648","4","2021-07-14 14:25:00 HKT"
"1626249000","7640","7640","7640","7640","1","2021-07-14 15:50:00 HKT"
"1626264000","7729","7729","7729","7729","1","2021-07-14 20:00:00 HKT"
"1626268500","7736","7736","7736","7736","1","2021-07-14 21:15:00 HKT"
"1626312600","7623","7623","7623","7623","5","2021-07-15 09:30:00 HKT"
"1626313200","7656","7656","7655","7655","2","2021-07-15 09:40:00 HKT"
