"time","open","high","low","close","Volume","localTime"
"1611884100","9644","9644","9644","9644","1","2021-01-29 09:35:00 HKT"
"1611884400","9677","9677","9677","9677","1","2021-01-29 09:40:00 HKT"
"1611885000","9644","9644","9644","9644","1","2021-01-29 09:50:00 HKT"
"1611928800","9445","9445","9445","9445","1","2021-01-29 22:00:00 HKT"
"1612143300","9488","9488","9488","9488","1","2021-02-01 09:35:00 HKT"
"1612156500","9688","9688","9688","9688","1","2021-02-01 13:15:00 HKT"
"1612160100","9767","9767","9767","9767","1","2021-02-01 14:15:00 HKT"
"1612181700","9771","9771","9771","9771","1","2021-02-01 20:15:00 HKT"
"1612228500","9852","9852","9852","9852","1","2021-02-02 09:15:00 HKT"
"1612228800","9888","9888","9888","9888","1","2021-02-02 09:20:00 HKT"
"1612250400","9955","9955","9955","9955","1","2021-02-02 15:20:00 HKT"
"1612329900","10100","10100","10100","10100","1","2021-02-03 13:25:00 HKT"
"1612345500","10058","10058","10058","10058","1","2021-02-03 17:45:00 HKT"
"1612409700","9785","9785","9785","9785","1","2021-02-04 11:35:00 HKT"
"1612419300","9798","9798","9798","9798","1","2021-02-04 14:15:00 HKT"
"1612451100","9854","9854","9854","9854","1","2021-02-04 23:05:00 HKT"
"1612753800","9845","9845","9845","9845","1","2021-02-08 11:10:00 HKT"
"1612838700","9813","9813","9813","9813","1","2021-02-09 10:45:00 HKT"
"1612864200","9935","9935","9935","9935","1","2021-02-09 17:50:00 HKT"
"1612892700","9988","9988","9988","9988","1","2021-02-10 01:45:00 HKT"
"1612921200","10044","10044","10044","10044","1","2021-02-10 09:40:00 HKT"
"1612922100","10077","10077","10077","10077","1","2021-02-10 09:55:00 HKT"
"1613011500","10198","10198","10198","10198","1","2021-02-11 10:45:00 HKT"
"1613616300","10692","10692","10692","10692","1","2021-02-18 10:45:00 HKT"
"1613661900","10411","10411","10411","10411","1","2021-02-18 23:25:00 HKT"
"1613720400","10511","10511","10511","10511","1","2021-02-19 15:40:00 HKT"
"1613732100","10598","10605","10598","10605","2","2021-02-19 18:55:00 HKT"
"1613970900","10180","10180","10180","10180","1","2021-02-22 13:15:00 HKT"
"1613980500","9998","9998","9998","9998","1","2021-02-22 15:55:00 HKT"
"1614135600","9520","9520","9520","9520","3","2021-02-24 11:00:00 HKT"
"1614135900","9505","9505","9505","9505","1","2021-02-24 11:05:00 HKT"
"1614137700","9475","9475","9475","9475","1","2021-02-24 11:35:00 HKT"
"1614147300","9218","9218","9218","9218","1","2021-02-24 14:15:00 HKT"
"1614147600","9280","9280","9280","9280","2","2021-02-24 14:20:00 HKT"
"1614148200","9350","9350","9350","9350","1","2021-02-24 14:30:00 HKT"
"1614175800","9342","9342","9342","9342","1","2021-02-24 22:10:00 HKT"
"1614215700","9514","9514","9514","9514","1","2021-02-25 09:15:00 HKT"
"1614309600","9032","9032","9032","9032","1","2021-02-26 11:20:00 HKT"
"1614317400","8978","8978","8978","8978","2","2021-02-26 13:30:00 HKT"
