"time","open","high","low","close","Volume","localTime"
"1630375500","6358","6358","6358","6358","3","2021-08-31 10:05:00 HKT"
"1630379100","6317","6317","6317","6317","2","2021-08-31 11:05:00 HKT"
"1630390200","6496","6496","6496","6496","1","2021-08-31 14:10:00 HKT"
"1630390500","6531","6531","6531","6531","2","2021-08-31 14:15:00 HKT"
"1630391100","6524","6524","6524","6524","12","2021-08-31 14:25:00 HKT"
"1630391400","6552","6552","6537","6537","2","2021-08-31 14:30:00 HKT"
"1630392300","6514","6514","6514","6514","1","2021-08-31 14:45:00 HKT"
"1630394700","6542","6542","6542","6542","1","2021-08-31 15:25:00 HKT"
"1630413900","6551","6551","6551","6551","1","2021-08-31 20:45:00 HKT"
"1630459200","6650","6650","6649","6649","16","2021-09-01 09:20:00 HKT"
"1630460400","6617","6617","6617","6617","20","2021-09-01 09:40:00 HKT"
"1630461300","6683","6683","6683","6683","2","2021-09-01 09:55:00 HKT"
"1630462800","6679","6679","6679","6679","1","2021-09-01 10:20:00 HKT"
"1630464000","6685","6685","6685","6685","1","2021-09-01 10:40:00 HKT"
"1630466100","6735","6735","6735","6735","1","2021-09-01 11:15:00 HKT"
"1630466400","6753","6753","6753","6753","1","2021-09-01 11:20:00 HKT"
"1630467000","6740","6740","6740","6740","1","2021-09-01 11:30:00 HKT"
"1630467600","6745","6745","6745","6745","1","2021-09-01 11:40:00 HKT"
"1630477200","6699","6699","6699","6699","1","2021-09-01 14:20:00 HKT"
"1630477500","6703","6703","6703","6703","1","2021-09-01 14:25:00 HKT"
"1630478400","6694","6694","6694","6694","1","2021-09-01 14:40:00 HKT"
"1630478700","6697","6697","6697","6697","1","2021-09-01 14:45:00 HKT"
"1630479000","6691","6692","6691","6692","2","2021-09-01 14:50:00 HKT"
"1630481700","6695","6695","6695","6695","1","2021-09-01 15:35:00 HKT"
"1630482300","6683","6683","6683","6683","1","2021-09-01 15:45:00 HKT"
"1630514100","6844","6844","6844","6844","1","2021-09-02 00:35:00 HKT"
"1630517400","6848","6848","6848","6848","1","2021-09-02 01:30:00 HKT"
"1630545300","6814","6814","6814","6814","3","2021-09-02 09:15:00 HKT"
"1630546200","6880","6880","6880","6880","1","2021-09-02 09:30:00 HKT"
"1630547100","6886","6886","6886","6886","1","2021-09-02 09:45:00 HKT"
"1630551000","6800","6800","6800","6800","1","2021-09-02 10:50:00 HKT"
"1630551900","6805","6805","6805","6805","1","2021-09-02 11:05:00 HKT"
"1630553100","6777","6777","6777","6777","1","2021-09-02 11:25:00 HKT"
"1630558800","6794","6794","6794","6794","3","2021-09-02 13:00:00 HKT"
"1630559400","6793","6793","6793","6793","10","2021-09-02 13:10:00 HKT"
"1630559700","6779","6779","6779","6779","4","2021-09-02 13:15:00 HKT"
"1630561500","6777","6777","6777","6777","3","2021-09-02 13:45:00 HKT"
"1630569600","6813","6813","6813","6813","1","2021-09-02 16:00:00 HKT"
"1630632600","6750","6750","6715","6721","3","2021-09-03 09:30:00 HKT"
"1630632900","6725","6725","6725","6725","1","2021-09-03 09:35:00 HKT"
"1630635300","6745","6745","6745","6745","1","2021-09-03 10:15:00 HKT"
"1630636200","6731","6731","6712","6712","2","2021-09-03 10:30:00 HKT"
"1630640400","6730","6730","6730","6730","1","2021-09-03 11:40:00 HKT"
"1630645800","6720","6720","6720","6720","1","2021-09-03 13:10:00 HKT"
"1630650600","6680","6681","6680","6681","3","2021-09-03 14:30:00 HKT"
"1630651200","6693","6700","6693","6700","2","2021-09-03 14:40:00 HKT"
"1630651800","6694","6694","6694","6694","1","2021-09-03 14:50:00 HKT"
"1630653300","6696","6696","6696","6696","1","2021-09-03 15:15:00 HKT"
"1630660500","6716","6716","6716","6716","1","2021-09-03 17:15:00 HKT"
"1630663200","6721","6721","6721","6721","1","2021-09-03 18:00:00 HKT"
"1630663800","6719","6719","6719","6719","1","2021-09-03 18:10:00 HKT"
"1630890900","6672","6672","6669","6669","2","2021-09-06 09:15:00 HKT"
"1630891200","6686","6686","6686","6686","20","2021-09-06 09:20:00 HKT"
"1630891500","6696","6696","6696","6696","1","2021-09-06 09:25:00 HKT"
"1630892400","6715","6715","6715","6715","1","2021-09-06 09:40:00 HKT"
"1630892700","6759","6770","6759","6770","2","2021-09-06 09:45:00 HKT"
"1630895700","6744","6744","6744","6744","1","2021-09-06 10:35:00 HKT"
"1630898400","6753","6753","6752","6752","2","2021-09-06 11:20:00 HKT"
"1630906200","6760","6760","6760","6760","1","2021-09-06 13:30:00 HKT"
"1630906500","6759","6759","6759","6759","3","2021-09-06 13:35:00 HKT"
"1630913100","6768","6768","6768","6768","1","2021-09-06 15:25:00 HKT"
"1630914300","6768","6768","6768","6768","1","2021-09-06 15:45:00 HKT"
"1630924200","6816","6816","6816","6816","1","2021-09-06 18:30:00 HKT"
"1630977600","6836","6836","6836","6836","1","2021-09-07 09:20:00 HKT"
"1630978500","6850","6850","6850","6850","1","2021-09-07 09:35:00 HKT"
"1630978800","6855","6855","6855","6855","1","2021-09-07 09:40:00 HKT"
"1630979400","6847","6847","6847","6847","1","2021-09-07 09:50:00 HKT"
"1630983000","6940","6940","6940","6940","1","2021-09-07 10:50:00 HKT"
"1630983900","6938","6938","6938","6938","1","2021-09-07 11:05:00 HKT"
"1630984500","6902","6902","6902","6902","1","2021-09-07 11:15:00 HKT"
"1630991700","6914","6914","6914","6914","1","2021-09-07 13:15:00 HKT"
"1630992300","6914","6914","6914","6914","1","2021-09-07 13:25:00 HKT"
"1630993800","6909","6909","6909","6909","1","2021-09-07 13:50:00 HKT"
"1630996200","6900","6900","6900","6900","1","2021-09-07 14:30:00 HKT"
"1630997100","6900","6900","6900","6900","1","2021-09-07 14:45:00 HKT"
"1630998300","6900","6900","6900","6900","1","2021-09-07 15:05:00 HKT"
"1631001600","6888","6888","6888","6888","1","2021-09-07 16:00:00 HKT"
"1631008200","6871","6871","6871","6871","1","2021-09-07 17:50:00 HKT"
"1631008500","6872","6872","6872","6872","1","2021-09-07 17:55:00 HKT"
"1631009100","6879","6879","6879","6879","1","2021-09-07 18:05:00 HKT"
"1631026800","6916","6916","6916","6916","1","2021-09-07 23:00:00 HKT"
"1631033700","6938","6938","6938","6938","1","2021-09-08 00:55:00 HKT"
"1631040300","6960","6960","6960","6960","1","2021-09-08 02:45:00 HKT"
"1631064600","6896","6896","6896","6896","1","2021-09-08 09:30:00 HKT"
"1631064900","6906","6906","6906","6906","1","2021-09-08 09:35:00 HKT"
"1631067600","6919","6919","6919","6919","1","2021-09-08 10:20:00 HKT"
"1631068200","6874","6874","6874","6874","1","2021-09-08 10:30:00 HKT"
"1631068500","6875","6884","6875","6884","2","2021-09-08 10:35:00 HKT"
"1631071200","6868","6868","6868","6868","1","2021-09-08 11:20:00 HKT"
"1631071800","6835","6835","6835","6835","1","2021-09-08 11:30:00 HKT"
"1631072400","6820","6827","6815","6827","3","2021-09-08 11:40:00 HKT"
"1631072700","6821","6821","6821","6821","1","2021-09-08 11:45:00 HKT"
"1631077500","6831","6831","6831","6831","1","2021-09-08 13:05:00 HKT"
"1631077800","6838","6838","6838","6838","1","2021-09-08 13:10:00 HKT"
