"time","open","high","low","close","Volume","localTime"
"1632971400","6051","6051","6051","6051","3","2021-09-30 11:10:00 HKT"
"1632972000","6065","6065","6065","6065","1","2021-09-30 11:20:00 HKT"
"1632972600","6049","6049","6049","6049","1","2021-09-30 11:30:00 HKT"
"1632978000","6073","6073","6065","6065","6","2021-09-30 13:00:00 HKT"
"1632978600","6080","6080","6080","6080","45","2021-09-30 13:10:00 HKT"
"1632980400","6092","6092","6092","6092","2","2021-09-30 13:40:00 HKT"
"1632981300","6093","6095","6092","6095","5","2021-09-30 13:55:00 HKT"
"1632982800","6135","6139","6125","6125","3","2021-09-30 14:20:00 HKT"
"1632983100","6111","6111","6111","6111","2","2021-09-30 14:25:00 HKT"
"1632985200","6102","6102","6089","6089","56","2021-09-30 15:00:00 HKT"
"1632985800","6080","6080","6078","6078","3","2021-09-30 15:10:00 HKT"
"1632986100","6087","6087","6086","6086","4","2021-09-30 15:15:00 HKT"
"1632986400","6088","6088","6086","6087","6","2021-09-30 15:20:00 HKT"
"1632986700","6085","6085","6074","6075","14","2021-09-30 15:25:00 HKT"
"1632987900","6071","6071","6071","6071","3","2021-09-30 15:45:00 HKT"
"1632988500","6063","6063","6063","6063","8","2021-09-30 15:55:00 HKT"
"1632989100","6086","6086","6086","6086","7","2021-09-30 16:05:00 HKT"
"1632989400","6076","6078","6076","6078","2","2021-09-30 16:10:00 HKT"
"1632989700","6077","6077","6071","6071","14","2021-09-30 16:15:00 HKT"
"1632990000","6071","6072","6071","6072","13","2021-09-30 16:20:00 HKT"
"1632990300","6073","6073","6071","6071","7","2021-09-30 16:25:00 HKT"
"1632997800","6060","6060","6060","6060","1","2021-09-30 18:30:00 HKT"
"1633009800","6145","6145","6145","6145","1","2021-09-30 21:50:00 HKT"
"1633310100","6091","6091","6036","6036","14","2021-10-04 09:15:00 HKT"
"1633311000","6061","6061","6055","6057","3","2021-10-04 09:30:00 HKT"
"1633311600","6002","6002","5994","5994","15","2021-10-04 09:40:00 HKT"
"1633313400","5947","5947","5947","5947","1","2021-10-04 10:10:00 HKT"
"1633313700","5990","5990","5990","5990","1","2021-10-04 10:15:00 HKT"
"1633314000","5980","5980","5980","5980","1","2021-10-04 10:20:00 HKT"
"1633315800","6028","6044","6028","6044","20","2021-10-04 10:50:00 HKT"
"1633316100","6021","6021","6021","6021","3","2021-10-04 10:55:00 HKT"
"1633316400","6029","6032","6010","6010","20","2021-10-04 11:00:00 HKT"
"1633316700","6028","6028","6020","6020","7","2021-10-04 11:05:00 HKT"
"1633319100","5989","5989","5989","5989","3","2021-10-04 11:45:00 HKT"
"1633324200","6019","6019","6019","6019","3","2021-10-04 13:10:00 HKT"
"1633325100","6018","6018","6018","6018","3","2021-10-04 13:25:00 HKT"
"1633326600","6003","6003","6003","6003","3","2021-10-04 13:50:00 HKT"
"1633330500","5975","5975","5975","5975","1","2021-10-04 14:55:00 HKT"
"1633348200","5967","5967","5966","5966","6","2021-10-04 19:50:00 HKT"
"1633348500","5963","5965","5963","5965","3","2021-10-04 19:55:00 HKT"
"1633357800","5890","5890","5890","5890","1","2021-10-04 22:30:00 HKT"
"1633361700","5865","5865","5865","5865","1","2021-10-04 23:35:00 HKT"
"1633365300","5870","5870","5867","5867","15","2021-10-05 00:35:00 HKT"
"1633365600","5861","5867","5860","5867","9","2021-10-05 00:40:00 HKT"
"1633365900","5860","5872","5860","5869","10","2021-10-05 00:45:00 HKT"
"1633366200","5872","5877","5864","5877","12","2021-10-05 00:50:00 HKT"
"1633396500","5868","5869","5845","5845","12","2021-10-05 09:15:00 HKT"
"1633397100","5846","5848","5846","5848","5","2021-10-05 09:25:00 HKT"
"1633397400","5844","5844","5842","5842","6","2021-10-05 09:30:00 HKT"
"1633397700","5868","5868","5868","5868","1","2021-10-05 09:35:00 HKT"
"1633400400","5887","5887","5887","5887","2","2021-10-05 10:20:00 HKT"
"1633401000","5924","5924","5924","5924","1","2021-10-05 10:30:00 HKT"
"1633413300","5941","5941","5937","5937","2","2021-10-05 13:55:00 HKT"
"1633413900","5942","5942","5942","5942","1","2021-10-05 14:05:00 HKT"
"1633421100","5947","5949","5945","5949","23","2021-10-05 16:05:00 HKT"
"1633421400","5941","5941","5939","5939","18","2021-10-05 16:10:00 HKT"
"1633482900","5991","5992","5982","5982","16","2021-10-06 09:15:00 HKT"
"1633483200","5999","6000","5997","5997","25","2021-10-06 09:20:00 HKT"
"1633484700","5906","5906","5906","5906","1","2021-10-06 09:45:00 HKT"
"1633485000","5870","5870","5870","5870","1","2021-10-06 09:50:00 HKT"
"1633496400","5900","5900","5900","5900","1","2021-10-06 13:00:00 HKT"
"1633497300","5937","5937","5937","5937","1","2021-10-06 13:15:00 HKT"
"1633498200","5920","5920","5920","5920","1","2021-10-06 13:30:00 HKT"
"1633499700","5904","5904","5904","5904","1","2021-10-06 13:55:00 HKT"
