"time","open","high","low","close","Volume","localTime"
"1620177300","8151","8151","8151","8151","5","2021-05-05 09:15:00 HKT"
"1620178200","8144","8144","8144","8144","1","2021-05-05 09:30:00 HKT"
"1620191100","8124","8124","8124","8124","1","2021-05-05 13:05:00 HKT"
"1620195600","8103","8103","8103","8103","1","2021-05-05 14:20:00 HKT"
"1620197100","8104","8104","8104","8104","1","2021-05-05 14:45:00 HKT"
"1620633000","7861","7861","7861","7861","1","2021-05-10 15:50:00 HKT"
"1620696600","7600","7600","7600","7600","1","2021-05-11 09:30:00 HKT"
"1620696900","7544","7544","7544","7544","1","2021-05-11 09:35:00 HKT"
"1620806400","7819","7819","7819","7819","1","2021-05-12 16:00:00 HKT"
"1620806700","7794","7794","7794","7794","1","2021-05-12 16:05:00 HKT"
"1620956700","7455","7455","7455","7455","1","2021-05-14 09:45:00 HKT"
"1620959100","7477","7477","7477","7477","1","2021-05-14 10:25:00 HKT"
"1620975600","7553","7553","7553","7553","1","2021-05-14 15:00:00 HKT"
"1621300800","7720","7720","7720","7720","1","2021-05-18 09:20:00 HKT"
"1621914900","7930","7930","7930","7930","1","2021-05-25 11:55:00 HKT"
"1621964400","7990","7990","7990","7990","2","2021-05-26 01:40:00 HKT"
"1621992900","8000","8000","8000","8000","8","2021-05-26 09:35:00 HKT"
"1621993200","7990","7990","7990","7990","1","2021-05-26 09:40:00 HKT"
"1622084700","8060","8060","8060","8060","5","2021-05-27 11:05:00 HKT"
"1622095200","8060","8060","8060","8060","1","2021-05-27 14:00:00 HKT"
"1622181000","8008","8008","8008","8008","1","2021-05-28 13:50:00 HKT"
"1622424900","7970","7970","7970","7970","15","2021-05-31 09:35:00 HKT"
"1622437500","7980","7980","7980","7980","1","2021-05-31 13:05:00 HKT"
"1622438400","7970","7970","7970","7970","1","2021-05-31 13:20:00 HKT"
"1622682900","8207","8207","8207","8207","1","2021-06-03 09:15:00 HKT"
"1622698800","8210","8210","8210","8210","1","2021-06-03 13:40:00 HKT"
"1622701500","8188","8188","8188","8188","1","2021-06-03 14:25:00 HKT"
"1623030900","8000","8000","8000","8000","3","2021-06-07 09:55:00 HKT"
"1623306000","7970","7970","7970","7970","1","2021-06-10 14:20:00 HKT"
"1623342000","8003","8003","8003","8003","1","2021-06-11 00:20:00 HKT"
"1623392700","7973","7973","7973","7973","5","2021-06-11 14:25:00 HKT"
"1623720900","7968","7968","7968","7968","1","2021-06-15 09:35:00 HKT"
"1623722400","7880","7880","7880","7880","2","2021-06-15 10:00:00 HKT"
"1623893400","7760","7760","7760","7760","2","2021-06-17 09:30:00 HKT"
"1623910500","7851","7851","7851","7851","1","2021-06-17 14:15:00 HKT"
"1623914700","7869","7869","7869","7869","1","2021-06-17 15:25:00 HKT"
"1623917400","7878","7878","7878","7878","1","2021-06-17 16:10:00 HKT"
"1623980700","8052","8052","8052","8052","1","2021-06-18 09:45:00 HKT"
"1623981900","8023","8023","8023","8023","5","2021-06-18 10:05:00 HKT"
"1624325700","7861","7861","7861","7861","4","2021-06-22 09:35:00 HKT"
"1624326900","7850","7850","7850","7850","1","2021-06-22 09:55:00 HKT"
"1624347300","7818","7818","7816","7816","4","2021-06-22 15:35:00 HKT"
"1624425000","7955","7955","7955","7955","10","2021-06-23 13:10:00 HKT"
"1624430700","8003","8003","8003","8003","2","2021-06-23 14:45:00 HKT"
"1624431300","8003","8003","8003","8003","3","2021-06-23 14:55:00 HKT"
"1624602600","8220","8220","8220","8220","2","2021-06-25 14:30:00 HKT"
"1624609500","8222","8222","8222","8222","1","2021-06-25 16:25:00 HKT"
"1624861200","8244","8244","8244","8244","1","2021-06-28 14:20:00 HKT"
"1624930200","8299","8299","8299","8299","2","2021-06-29 09:30:00 HKT"
"1624935900","8222","8222","8222","8222","2","2021-06-29 11:05:00 HKT"
"1624938600","8165","8165","8165","8165","2","2021-06-29 11:50:00 HKT"
"1624952400","8178","8178","8178","8178","1","2021-06-29 15:40:00 HKT"
"1624952700","8174","8174","8174","8174","2","2021-06-29 15:45:00 HKT"
"1625166300","8174","8174","8174","8174","1","2021-07-02 03:05:00 HKT"
"1625190900","7940","7940","7940","7940","2","2021-07-02 09:55:00 HKT"
"1625192700","7909","7913","7909","7913","2","2021-07-02 10:25:00 HKT"
"1625195100","7897","7898","7897","7897","12","2021-07-02 11:05:00 HKT"
"1625195400","7894","7894","7894","7894","3","2021-07-02 11:10:00 HKT"
"1625196600","7904","7904","7904","7904","1","2021-07-02 11:30:00 HKT"
"1625198100","7898","7898","7898","7898","1","2021-07-02 11:55:00 HKT"
"1625202000","7894","7894","7894","7894","1","2021-07-02 13:00:00 HKT"
"1625202900","7882","7882","7882","7882","1","2021-07-02 13:15:00 HKT"
"1625203200","7884","7884","7884","7884","6","2021-07-02 13:20:00 HKT"
"1625204700","7883","7883","7883","7883","10","2021-07-02 13:45:00 HKT"
"1625206200","7876","7876","7876","7876","2","2021-07-02 14:10:00 HKT"
"1625206800","7860","7860","7860","7860","1","2021-07-02 14:20:00 HKT"
"1625207100","7860","7860","7860","7860","2","2021-07-02 14:25:00 HKT"
"1625230800","7910","7910","7910","7910","1","2021-07-02 21:00:00 HKT"
"1625231700","7920","7920","7920","7920","1","2021-07-02 21:15:00 HKT"
"1625233200","7930","7930","7930","7930","1","2021-07-02 21:40:00 HKT"
"1625233500","7940","7940","7940","7940","1","2021-07-02 21:45:00 HKT"
"1625448000","7764","7764","7764","7764","1","2021-07-05 09:20:00 HKT"
"1625448600","7750","7750","7740","7740","2","2021-07-05 09:30:00 HKT"
"1625455200","7730","7730","7730","7730","1","2021-07-05 11:20:00 HKT"
"1625455500","7720","7720","7720","7720","1","2021-07-05 11:25:00 HKT"
"1625455800","7713","7713","7713","7713","1","2021-07-05 11:30:00 HKT"
"1625456100","7710","7710","7709","7709","2","2021-07-05 11:35:00 HKT"
