"time","open","high","low","close","Volume","localTime"
"1638235200","6066","6071","6066","6071","11","2021-11-30 09:20:00 HKT"
"1638235500","6077","6085","6077","6085","30","2021-11-30 09:25:00 HKT"
"1638237300","6069","6069","6069","6069","1","2021-11-30 09:55:00 HKT"
"1638237900","6084","6084","6084","6084","10","2021-11-30 10:05:00 HKT"
"1638239400","6035","6035","6035","6035","100","2021-11-30 10:30:00 HKT"
"1638241500","6052","6052","6052","6052","1","2021-11-30 11:05:00 HKT"
"1638249000","6030","6030","6030","6030","2","2021-11-30 13:10:00 HKT"
"1638249300","6005","6005","6005","6005","50","2021-11-30 13:15:00 HKT"
"1638249600","6000","6000","6000","6000","51","2021-11-30 13:20:00 HKT"
"1638249900","6000","6000","6000","6000","1","2021-11-30 13:25:00 HKT"
"1638250500","6000","6000","5997","5997","53","2021-11-30 13:35:00 HKT"
"1638250800","5995","5995","5990","5990","3","2021-11-30 13:40:00 HKT"
"1638251100","5985","5985","5985","5985","50","2021-11-30 13:45:00 HKT"
"1638252300","5953","5953","5947","5947","2","2021-11-30 14:05:00 HKT"
"1638252900","5976","5976","5976","5976","1","2021-11-30 14:15:00 HKT"
"1638256800","6025","6025","6025","6025","1","2021-11-30 15:20:00 HKT"
"1638259200","6047","6047","6047","6047","21","2021-11-30 16:00:00 HKT"
"1638259500","6022","6027","6019","6027","29","2021-11-30 16:05:00 HKT"
"1638259800","6035","6035","6035","6035","12","2021-11-30 16:10:00 HKT"
"1638260700","6041","6041","6041","6041","1","2021-11-30 16:25:00 HKT"
"1638264600","6006","6006","6006","6006","1","2021-11-30 17:30:00 HKT"
"1638288300","5980","5980","5980","5980","1","2021-12-01 00:05:00 HKT"
"1638322200","6040","6040","6040","6040","1","2021-12-01 09:30:00 HKT"
"1638325800","6116","6116","6116","6116","2","2021-12-01 10:30:00 HKT"
"1638330000","6098","6098","6098","6098","1","2021-12-01 11:40:00 HKT"
"1638335100","6132","6132","6132","6132","9","2021-12-01 13:05:00 HKT"
"1638345600","6044","6058","6044","6057","32","2021-12-01 16:00:00 HKT"
"1638346800","6050","6050","6050","6050","2","2021-12-01 16:20:00 HKT"
