"time","open","high","low","close","Volume","localTime"
"1640913300","5707","5707","5702","5702","31","2021-12-31 09:15:00 HKT"
"1640914200","5689","5690","5674","5674","71","2021-12-31 09:30:00 HKT"
"1640914500","5677","5680","5676","5679","25","2021-12-31 09:35:00 HKT"
"1641172500","5726","5726","5723","5723","2","2022-01-03 09:15:00 HKT"
"1641172800","5720","5720","5720","5720","10","2022-01-03 09:20:00 HKT"
"1641173100","5729","5735","5729","5735","5","2022-01-03 09:25:00 HKT"
"1641173400","5739","5747","5737","5747","13","2022-01-03 09:30:00 HKT"
"1641174000","5707","5707","5707","5707","1","2022-01-03 09:40:00 HKT"
"1641174300","5678","5682","5678","5682","50","2022-01-03 09:45:00 HKT"
"1641174900","5694","5694","5694","5694","5","2022-01-03 09:55:00 HKT"
"1641180900","5626","5626","5626","5626","1","2022-01-03 11:35:00 HKT"
"1641187500","5643","5643","5643","5643","1","2022-01-03 13:25:00 HKT"
"1641188400","5658","5658","5658","5658","1","2022-01-03 13:40:00 HKT"
"1641197100","5649","5649","5649","5649","100","2022-01-03 16:05:00 HKT"
"1641221100","5569","5569","5569","5569","30","2022-01-03 22:45:00 HKT"
"1641258900","5675","5675","5672","5674","4","2022-01-04 09:15:00 HKT"
"1641259800","5677","5682","5673","5673","13","2022-01-04 09:30:00 HKT"
"1641260700","5640","5640","5639","5640","3","2022-01-04 09:45:00 HKT"
"1641261000","5659","5659","5659","5659","280","2022-01-04 09:50:00 HKT"
"1641261300","5655","5655","5655","5655","8","2022-01-04 09:55:00 HKT"
"1641262800","5598","5598","5598","5598","1","2022-01-04 10:20:00 HKT"
"1641263700","5595","5595","5595","5595","1","2022-01-04 10:35:00 HKT"
"1641265800","5568","5569","5568","5569","2","2022-01-04 11:10:00 HKT"
"1641272400","5573","5578","5573","5577","6","2022-01-04 13:00:00 HKT"
"1641273000","5613","5614","5613","5614","4","2022-01-04 13:10:00 HKT"
"1641273900","5617","5617","5617","5617","1","2022-01-04 13:25:00 HKT"
"1641275400","5616","5616","5616","5616","1","2022-01-04 13:50:00 HKT"
"1641276000","5612","5612","5612","5612","5","2022-01-04 14:00:00 HKT"
"1641276300","5600","5600","5600","5600","5","2022-01-04 14:05:00 HKT"
"1641277500","5593","5593","5593","5593","2","2022-01-04 14:25:00 HKT"
"1641277800","5591","5591","5591","5591","1","2022-01-04 14:30:00 HKT"
"1641279600","5573","5573","5573","5573","1","2022-01-04 15:00:00 HKT"
"1641306600","5550","5550","5550","5550","1","2022-01-04 22:30:00 HKT"
"1641307800","5515","5515","5515","5515","2","2022-01-04 22:50:00 HKT"
"1641345300","5481","5490","5481","5490","6","2022-01-05 09:15:00 HKT"
"1641345900","5500","5500","5500","5500","1","2022-01-05 09:25:00 HKT"
"1641346200","5501","5507","5473","5473","97","2022-01-05 09:30:00 HKT"
"1641346500","5457","5461","5457","5461","11","2022-01-05 09:35:00 HKT"
"1641347100","5440","5440","5440","5440","1","2022-01-05 09:45:00 HKT"
"1641347400","5440","5441","5435","5436","16","2022-01-05 09:50:00 HKT"
"1641347700","5430","5430","5430","5430","5","2022-01-05 09:55:00 HKT"
"1641348000","5420","5425","5401","5401","4","2022-01-05 10:00:00 HKT"
"1641348300","5398","5400","5375","5380","21","2022-01-05 10:05:00 HKT"
"1641348600","5390","5390","5390","5390","2","2022-01-05 10:10:00 HKT"
"1641350100","5386","5386","5386","5386","1","2022-01-05 10:35:00 HKT"
"1641353100","5400","5400","5400","5400","1","2022-01-05 11:25:00 HKT"
"1641358800","5390","5390","5390","5390","1","2022-01-05 13:00:00 HKT"
"1641359100","5385","5385","5385","5385","2","2022-01-05 13:05:00 HKT"
"1641359400","5380","5380","5380","5380","4","2022-01-05 13:10:00 HKT"
"1641360000","5380","5380","5380","5380","1","2022-01-05 13:20:00 HKT"
"1641360300","5375","5375","5375","5375","2","2022-01-05 13:25:00 HKT"
"1641363900","5370","5370","5370","5370","1","2022-01-05 14:25:00 HKT"
"1641364500","5359","5359","5359","5359","5","2022-01-05 14:35:00 HKT"
"1641364800","5365","5365","5365","5365","1","2022-01-05 14:40:00 HKT"
"1641365700","5373","5373","5373","5373","1","2022-01-05 14:55:00 HKT"
"1641366000","5361","5361","5361","5361","5","2022-01-05 15:00:00 HKT"
"1641367500","5347","5347","5347","5347","5","2022-01-05 15:25:00 HKT"
"1641368100","5339","5339","5333","5333","6","2022-01-05 15:35:00 HKT"
"1641369000","5317","5317","5315","5315","5","2022-01-05 15:50:00 HKT"
"1641369300","5315","5315","5315","5315","3","2022-01-05 15:55:00 HKT"
"1641370200","5328","5328","5328","5328","1","2022-01-05 16:10:00 HKT"
"1641370500","5324","5327","5324","5327","30","2022-01-05 16:15:00 HKT"
"1641377400","5339","5339","5339","5339","1","2022-01-05 18:10:00 HKT"
"1641383100","5342","5342","5342","5342","1","2022-01-05 19:45:00 HKT"
"1641388200","5330","5330","5330","5330","1","2022-01-05 21:10:00 HKT"
"1641390900","5342","5342","5342","5342","2","2022-01-05 21:55:00 HKT"
"1641394200","5445","5445","5445","5445","1","2022-01-05 22:50:00 HKT"
"1641398400","5440","5440","5440","5440","1","2022-01-06 00:00:00 HKT"
"1641401100","5424","5424","5424","5424","1","2022-01-06 00:45:00 HKT"
"1641431700","5298","5298","5298","5298","1","2022-01-06 09:15:00 HKT"
"1641432000","5311","5311","5308","5308","11","2022-01-06 09:20:00 HKT"
"1641432300","5305","5310","5303","5310","29","2022-01-06 09:25:00 HKT"
"1641432600","5338","5338","5338","5338","1","2022-01-06 09:30:00 HKT"
"1641432900","5349","5349","5349","5349","8","2022-01-06 09:35:00 HKT"
"1641433500","5348","5348","5348","5348","3","2022-01-06 09:45:00 HKT"
"1641434700","5304","5304","5303","5303","22","2022-01-06 10:05:00 HKT"
"1641435000","5285","5285","5285","5285","1","2022-01-06 10:10:00 HKT"
"1641436800","5261","5261","5261","5261","3","2022-01-06 10:40:00 HKT"
"1641439500","5322","5322","5322","5322","2","2022-01-06 11:25:00 HKT"
"1641439800","5315","5315","5315","5315","2","2022-01-06 11:30:00 HKT"
"1641440400","5331","5331","5331","5331","1","2022-01-06 11:40:00 HKT"
"1641448200","5310","5310","5310","5310","1","2022-01-06 13:50:00 HKT"
"1641449700","5303","5303","5303","5303","1","2022-01-06 14:15:00 HKT"
"1641453600","5342","5342","5342","5342","10","2022-01-06 15:20:00 HKT"
"1641453900","5361","5361","5361","5361","50","2022-01-06 15:25:00 HKT"
