"time","open","high","low","close","Volume","localTime"
"1627867800","6776","6776","6776","6776","2","2021-08-02 09:30:00 HKT"
"1627885200","6768","6768","6768","6768","10","2021-08-02 14:20:00 HKT"
"1627886100","6784","6784","6784","6784","10","2021-08-02 14:35:00 HKT"
"1627888200","6785","6785","6785","6785","1","2021-08-02 15:10:00 HKT"
"1627890000","6769","6769","6769","6769","1","2021-08-02 15:40:00 HKT"
"1627953900","6788","6788","6783","6787","5","2021-08-03 09:25:00 HKT"
"1627954200","6694","6694","6690","6690","4","2021-08-03 09:30:00 HKT"
"1627973100","6701","6701","6701","6701","2","2021-08-03 14:45:00 HKT"
"1628212500","6741","6741","6741","6741","20","2021-08-06 09:15:00 HKT"
"1629360600","5991","5991","5991","5991","1","2021-08-19 16:10:00 HKT"
"1629441600","5911","5911","5910","5910","6","2021-08-20 14:40:00 HKT"
"1629441900","5898","5898","5898","5898","8","2021-08-20 14:45:00 HKT"
"1629789900","6402","6402","6402","6402","1","2021-08-24 15:25:00 HKT"
"1629790200","6406","6406","6405","6405","6","2021-08-24 15:30:00 HKT"
"1629900900","6413","6413","6413","6413","1","2021-08-25 22:15:00 HKT"
"1630391700","6525","6525","6522","6522","60","2021-08-31 14:35:00 HKT"
"1630465800","6726","6726","6726","6726","1","2021-09-01 11:10:00 HKT"
"1630467900","6748","6748","6748","6748","2","2021-09-01 11:45:00 HKT"
"1630473600","6722","6722","6722","6722","2","2021-09-01 13:20:00 HKT"
"1630504800","6787","6787","6787","6787","1","2021-09-01 22:00:00 HKT"
"1630505100","6797","6797","6797","6797","1","2021-09-01 22:05:00 HKT"
"1630505700","6792","6792","6792","6792","1","2021-09-01 22:15:00 HKT"
"1630506000","6820","6820","6820","6820","1","2021-09-01 22:20:00 HKT"
"1630506300","6804","6804","6804","6804","1","2021-09-01 22:25:00 HKT"
"1630632600","6725","6725","6725","6725","1","2021-09-03 09:30:00 HKT"
"1630635900","6725","6725","6725","6725","1","2021-09-03 10:25:00 HKT"
"1630638900","6725","6725","6725","6725","1","2021-09-03 11:15:00 HKT"
"1630640100","6740","6740","6740","6740","1","2021-09-03 11:35:00 HKT"
"1630646400","6715","6715","6715","6715","1","2021-09-03 13:20:00 HKT"
"1630669800","6730","6730","6730","6730","1","2021-09-03 19:50:00 HKT"
"1630892700","6765","6778","6765","6778","2","2021-09-06 09:45:00 HKT"
"1630997400","6900","6900","6900","6900","1","2021-09-07 14:50:00 HKT"
"1631065200","6931","6931","6931","6931","1","2021-09-08 09:40:00 HKT"
"1631071500","6861","6861","6861","6861","1","2021-09-08 11:25:00 HKT"
"1631073300","6827","6827","6827","6827","1","2021-09-08 11:55:00 HKT"
"1631080200","6861","6861","6861","6861","1","2021-09-08 13:50:00 HKT"
"1631080800","6861","6861","6861","6861","1","2021-09-08 14:00:00 HKT"
"1631087100","6835","6835","6835","6835","1","2021-09-08 15:45:00 HKT"
"1631151000","6686","6686","6686","6686","1","2021-09-09 09:30:00 HKT"
"1631151600","6686","6686","6686","6686","2","2021-09-09 09:40:00 HKT"
"1631152800","6695","6695","6695","6695","1","2021-09-09 10:00:00 HKT"
"1631170800","6600","6600","6600","6600","1","2021-09-09 15:00:00 HKT"
"1631171700","6620","6620","6620","6620","1","2021-09-09 15:15:00 HKT"
"1631173200","6550","6550","6550","6550","1","2021-09-09 15:40:00 HKT"
"1631174400","6550","6550","6550","6550","1","2021-09-09 16:00:00 HKT"
"1631175000","6540","6540","6535","6537","4","2021-09-09 16:10:00 HKT"
"1631175300","6542","6542","6531","6531","12","2021-09-09 16:15:00 HKT"
"1631201700","6651","6651","6651","6651","1","2021-09-09 23:35:00 HKT"
"1631239800","6686","6686","6686","6686","1","2021-09-10 10:10:00 HKT"
