"time","open","high","low","close","Volume","localTime"
"1646011200","5144","5144","5144","5144","1","2022-02-28 09:20:00 HKT"
"1646011500","5144","5144","5144","5144","2","2022-02-28 09:25:00 HKT"
"1646011800","5150","5150","5121","5129","12","2022-02-28 09:30:00 HKT"
"1646012100","5135","5146","5105","5105","34","2022-02-28 09:35:00 HKT"
"1646012400","5086","5091","5079","5079","5","2022-02-28 09:40:00 HKT"
"1646012700","5086","5088","5086","5088","2","2022-02-28 09:45:00 HKT"
"1646013000","5099","5099","5080","5080","2","2022-02-28 09:50:00 HKT"
"1646013300","5085","5088","5081","5088","6","2022-02-28 09:55:00 HKT"
"1646013600","5079","5079","5079","5079","1","2022-02-28 10:00:00 HKT"
"1646013900","5075","5090","5075","5081","7","2022-02-28 10:05:00 HKT"
"1646026200","5107","5107","5107","5107","1","2022-02-28 13:30:00 HKT"
"1646026800","5089","5089","5089","5089","66","2022-02-28 13:40:00 HKT"
"1646027100","5094","5094","5093","5094","9","2022-02-28 13:45:00 HKT"
"1646030700","5090","5090","5090","5090","125","2022-02-28 14:45:00 HKT"
"1646032500","5083","5083","5083","5083","3","2022-02-28 15:15:00 HKT"
"1646035200","5136","5136","5129","5129","5","2022-02-28 16:00:00 HKT"
"1646044200","5080","5080","5080","5080","1","2022-02-28 18:30:00 HKT"
"1646044800","5095","5095","5095","5095","1","2022-02-28 18:40:00 HKT"
"1646069700","5120","5120","5120","5120","1","2022-03-01 01:35:00 HKT"
"1646105100","5140","5140","5135","5135","20","2022-03-01 11:25:00 HKT"
"1646105400","5135","5135","5135","5135","5","2022-03-01 11:30:00 HKT"
"1646106000","5141","5141","5141","5141","4","2022-03-01 11:40:00 HKT"
"1646106600","5135","5135","5135","5135","5","2022-03-01 11:50:00 HKT"
"1646111400","5135","5135","5130","5130","10","2022-03-01 13:10:00 HKT"
"1646111700","5125","5125","5120","5120","10","2022-03-01 13:15:00 HKT"
"1646115600","5130","5130","5130","5130","20","2022-03-01 14:20:00 HKT"
"1646118300","5185","5185","5185","5185","6","2022-03-01 15:05:00 HKT"
"1646118600","5184","5185","5177","5177","20","2022-03-01 15:10:00 HKT"
"1646118900","5173","5180","5171","5171","16","2022-03-01 15:15:00 HKT"
"1646119200","5168","5168","5165","5165","9","2022-03-01 15:20:00 HKT"
"1646122800","5120","5120","5108","5112","21","2022-03-01 16:20:00 HKT"
"1646123100","5112","5112","5111","5111","4","2022-03-01 16:25:00 HKT"
"1646184300","5126","5130","5126","5130","2","2022-03-02 09:25:00 HKT"
"1646188200","5107","5107","5107","5107","2","2022-03-02 10:30:00 HKT"
"1646188800","5087","5087","5087","5087","1","2022-03-02 10:40:00 HKT"
"1646200800","5077","5077","5077","5077","1","2022-03-02 14:00:00 HKT"
"1646202300","5074","5074","5074","5074","1","2022-03-02 14:25:00 HKT"
"1646233500","4980","4980","4980","4980","1","2022-03-02 23:05:00 HKT"
"1646235900","4940","4940","4940","4940","1","2022-03-02 23:45:00 HKT"
"1646271300","5015","5018","5015","5018","3","2022-03-03 09:35:00 HKT"
"1646271900","5000","5000","5000","5000","1","2022-03-03 09:45:00 HKT"
"1646272200","4998","4998","4998","4998","1","2022-03-03 09:50:00 HKT"
"1646272800","5000","5000","5000","5000","1","2022-03-03 10:00:00 HKT"
"1646274600","4999","4999","4999","4999","1","2022-03-03 10:30:00 HKT"
"1646276100","4975","4975","4975","4975","1","2022-03-03 10:55:00 HKT"
"1646276700","4984","4984","4984","4984","1","2022-03-03 11:05:00 HKT"
"1646278500","4950","4950","4950","4950","1","2022-03-03 11:35:00 HKT"
"1646284800","4960","4960","4960","4960","1","2022-03-03 13:20:00 HKT"
"1646291700","4950","4950","4950","4950","3","2022-03-03 15:15:00 HKT"
"1646292600","4945","4945","4945","4945","4","2022-03-03 15:30:00 HKT"
"1646302500","4920","4920","4920","4920","1","2022-03-03 18:15:00 HKT"
"1646313900","4930","4930","4930","4930","1","2022-03-03 21:25:00 HKT"
"1646318400","4900","4900","4900","4900","2","2022-03-03 22:40:00 HKT"
"1646320800","4860","4860","4860","4860","1","2022-03-03 23:20:00 HKT"
"1646323800","4823","4823","4823","4823","2","2022-03-04 00:10:00 HKT"
"1646325000","4823","4823","4823","4823","1","2022-03-04 00:30:00 HKT"
"1646325300","4821","4821","4821","4821","1","2022-03-04 00:35:00 HKT"
"1646327100","4820","4820","4820","4820","1","2022-03-04 01:05:00 HKT"
"1646356500","4757","4757","4757","4757","1","2022-03-04 09:15:00 HKT"
"1646357400","4770","4770","4770","4770","1","2022-03-04 09:30:00 HKT"
"1646357700","4782","4788","4782","4788","219","2022-03-04 09:35:00 HKT"
"1646358000","4778","4778","4777","4777","2","2022-03-04 09:40:00 HKT"
"1646358300","4784","4784","4778","4778","59","2022-03-04 09:45:00 HKT"
"1646358900","4792","4792","4792","4792","1","2022-03-04 09:55:00 HKT"
"1646359500","4789","4789","4789","4789","10","2022-03-04 10:05:00 HKT"
"1646360100","4808","4809","4808","4809","10","2022-03-04 10:15:00 HKT"
"1646362800","4802","4803","4802","4803","6","2022-03-04 11:00:00 HKT"
"1646363100","4803","4803","4801","4801","2","2022-03-04 11:05:00 HKT"
"1646363400","4803","4803","4803","4803","15","2022-03-04 11:10:00 HKT"
"1646365500","4771","4771","4770","4770","2","2022-03-04 11:45:00 HKT"
"1646365800","4766","4767","4766","4767","15","2022-03-04 11:50:00 HKT"
"1646371200","4770","4770","4770","4770","15","2022-03-04 13:20:00 HKT"
"1646372100","4766","4766","4766","4766","1","2022-03-04 13:35:00 HKT"
"1646373900","4777","4777","4777","4777","1","2022-03-04 14:05:00 HKT"
"1646374500","4761","4761","4761","4761","2","2022-03-04 14:15:00 HKT"
"1646374800","4757","4757","4757","4757","2","2022-03-04 14:20:00 HKT"
"1646377800","4740","4740","4740","4740","1","2022-03-04 15:10:00 HKT"
"1646378100","4740","4740","4740","4740","1","2022-03-04 15:15:00 HKT"
"1646380800","4731","4731","4731","4731","1","2022-03-04 16:00:00 HKT"
"1646382000","4750","4750","4750","4750","32","2022-03-04 16:20:00 HKT"
"1646385300","4710","4710","4698","4698","12","2022-03-04 17:15:00 HKT"
"1646386500","4709","4709","4709","4709","16","2022-03-04 17:35:00 HKT"
"1646389500","4715","4715","4715","4715","1","2022-03-04 18:25:00 HKT"
"1646390400","4708","4708","4708","4708","1","2022-03-04 18:40:00 HKT"
"1646391600","4701","4701","4698","4698","17","2022-03-04 19:00:00 HKT"
"1646393400","4700","4700","4700","4700","1","2022-03-04 19:30:00 HKT"
"1646396700","4680","4688","4680","4688","2","2022-03-04 20:25:00 HKT"
"1646400600","4701","4701","4701","4701","1","2022-03-04 21:30:00 HKT"
"1646400900","4700","4700","4700","4700","1","2022-03-04 21:35:00 HKT"
"1646401800","4685","4685","4685","4685","1","2022-03-04 21:50:00 HKT"
"1646402100","4685","4685","4685","4685","1","2022-03-04 21:55:00 HKT"
"1646403000","4683","4688","4683","4688","17","2022-03-04 22:10:00 HKT"
"1646404200","4715","4715","4715","4715","1","2022-03-04 22:30:00 HKT"
"1646404500","4741","4742","4741","4742","2","2022-03-04 22:35:00 HKT"
"1646406600","4645","4645","4645","4645","1","2022-03-04 23:10:00 HKT"
"1646406900","4641","4641","4641","4641","1","2022-03-04 23:15:00 HKT"
