"time","open","high","low","close","Volume","localTime"
"1429283100","26550","26550","26550","26550","1","2015-04-17 23:05:00 HKT"
"1429492200","27130","27130","27130","27130","10","2015-04-20 09:10:00 HKT"
"1429492500","27250","27468","27250","27427","14","2015-04-20 09:15:00 HKT"
"1429492800","27400","27417","27328","27328","8","2015-04-20 09:20:00 HKT"
"1429493100","27331","27331","27320","27320","3","2015-04-20 09:25:00 HKT"
"1429493400","27300","27300","27141","27141","4","2015-04-20 09:30:00 HKT"
"1429493700","27140","27140","27130","27130","2","2015-04-20 09:35:00 HKT"
"1429494000","27167","27167","27167","27167","1","2015-04-20 09:40:00 HKT"
"1429494300","27300","27320","27278","27278","4","2015-04-20 09:45:00 HKT"
"1429494600","27200","27200","27200","27200","1","2015-04-20 09:50:00 HKT"
"1429494900","27270","27272","27270","27272","2","2015-04-20 09:55:00 HKT"
"1429496100","27172","27172","27172","27172","1","2015-04-20 10:15:00 HKT"
"1429498200","27267","27267","27256","27260","4","2015-04-20 10:50:00 HKT"
"1429498500","27261","27261","27261","27261","1","2015-04-20 10:55:00 HKT"
"1429498800","27288","27288","27288","27288","5","2015-04-20 11:00:00 HKT"
"1429499400","27290","27290","27290","27290","1","2015-04-20 11:10:00 HKT"
"1429500000","27234","27234","27234","27234","4","2015-04-20 11:20:00 HKT"
"1429506900","27213","27213","27213","27213","1","2015-04-20 13:15:00 HKT"
"1429507500","27100","27105","27100","27105","5","2015-04-20 13:25:00 HKT"
"1429507800","27090","27090","26941","27000","10","2015-04-20 13:30:00 HKT"
"1429508100","26938","26938","26900","26900","2","2015-04-20 13:35:00 HKT"
"1429508400","26793","26850","26750","26750","4","2015-04-20 13:40:00 HKT"
"1429509000","26755","26780","26755","26780","5","2015-04-20 13:50:00 HKT"
"1429509300","26717","26745","26690","26690","21","2015-04-20 13:55:00 HKT"
"1429509600","26680","26690","26597","26658","36","2015-04-20 14:00:00 HKT"
"1429509900","26735","26790","26735","26790","4","2015-04-20 14:05:00 HKT"
"1429510200","26750","26750","26720","26726","4","2015-04-20 14:10:00 HKT"
"1429511100","26710","26710","26678","26678","2","2015-04-20 14:25:00 HKT"
"1429511700","26706","26706","26706","26706","1","2015-04-20 14:35:00 HKT"
"1429512000","26650","26650","26650","26650","1","2015-04-20 14:40:00 HKT"
"1429512300","26670","26670","26620","26620","3","2015-04-20 14:45:00 HKT"
