"time","open","high","low","close","Volume","localTime"
"1451524800","21876","21876","21876","21876","1","2015-12-31 09:20:00 HKT"
"1451525100","21915","21915","21915","21915","3","2015-12-31 09:25:00 HKT"
"1451525400","21930","21969","21930","21969","7","2015-12-31 09:30:00 HKT"
"1451525700","21980","21996","21971","21971","9","2015-12-31 09:35:00 HKT"
"1451526300","21980","21980","21974","21980","3","2015-12-31 09:45:00 HKT"
"1451526600","21965","21965","21952","21952","5","2015-12-31 09:50:00 HKT"
"1451526900","21963","21963","21963","21963","1","2015-12-31 09:55:00 HKT"
"1451527200","21955","21959","21945","21945","3","2015-12-31 10:00:00 HKT"
"1451527500","21950","21950","21950","21950","1","2015-12-31 10:05:00 HKT"
"1451528100","21973","21973","21973","21973","1","2015-12-31 10:15:00 HKT"
"1451529000","21941","21941","21940","21940","3","2015-12-31 10:30:00 HKT"
"1451529600","21934","21934","21934","21934","1","2015-12-31 10:40:00 HKT"
"1451529900","21940","21940","21940","21940","2","2015-12-31 10:45:00 HKT"
"1451530200","21928","21928","21928","21928","1","2015-12-31 10:50:00 HKT"
"1451530800","21920","21920","21912","21914","5","2015-12-31 11:00:00 HKT"
"1451531100","21909","21909","21902","21902","3","2015-12-31 11:05:00 HKT"
"1451531400","21895","21895","21880","21880","7","2015-12-31 11:10:00 HKT"
"1451531700","21886","21886","21884","21884","2","2015-12-31 11:15:00 HKT"
"1451532000","21901","21901","21896","21896","2","2015-12-31 11:20:00 HKT"
"1451532300","21882","21882","21882","21882","1","2015-12-31 11:25:00 HKT"
"1451533200","21910","21925","21910","21925","3","2015-12-31 11:40:00 HKT"
"1451534100","21906","21915","21906","21914","4","2015-12-31 11:55:00 HKT"
"1451870100","21832","21852","21711","21738","65","2016-01-04 09:15:00 HKT"
"1451870400","21729","21729","21650","21661","18","2016-01-04 09:20:00 HKT"
"1451870700","21661","21675","21660","21666","6","2016-01-04 09:25:00 HKT"
"1451871000","21678","21684","21650","21650","10","2016-01-04 09:30:00 HKT"
"1451871300","21659","21659","21587","21590","24","2016-01-04 09:35:00 HKT"
"1451871600","21584","21601","21584","21601","3","2016-01-04 09:40:00 HKT"
"1451871900","21576","21576","21541","21555","14","2016-01-04 09:45:00 HKT"
"1451872200","21518","21518","21474","21480","7","2016-01-04 09:50:00 HKT"
"1451872500","21486","21500","21471","21500","6","2016-01-04 09:55:00 HKT"
"1451872800","21477","21477","21450","21450","7","2016-01-04 10:00:00 HKT"
"1451873100","21430","21436","21416","21416","6","2016-01-04 10:05:00 HKT"
"1451873400","21400","21420","21397","21420","8","2016-01-04 10:10:00 HKT"
"1451873700","21415","21432","21414","21432","5","2016-01-04 10:15:00 HKT"
"1451874000","21433","21450","21433","21440","3","2016-01-04 10:20:00 HKT"
"1451874300","21430","21430","21430","21430","1","2016-01-04 10:25:00 HKT"
"1451874600","21405","21432","21405","21432","2","2016-01-04 10:30:00 HKT"
"1451874900","21409","21417","21405","21417","4","2016-01-04 10:35:00 HKT"
"1451875200","21409","21409","21409","21409","1","2016-01-04 10:40:00 HKT"
"1451875500","21421","21421","21406","21406","283","2016-01-04 10:45:00 HKT"
"1451875800","21413","21413","21413","21413","1","2016-01-04 10:50:00 HKT"
"1451876100","21420","21420","21420","21420","1","2016-01-04 10:55:00 HKT"
"1451876400","21403","21403","21364","21376","11","2016-01-04 11:00:00 HKT"
"1451876700","21364","21364","21350","21350","3","2016-01-04 11:05:00 HKT"
"1451877000","21360","21360","21340","21343","4","2016-01-04 11:10:00 HKT"
"1451877300","21322","21329","21310","21310","5","2016-01-04 11:15:00 HKT"
"1451877600","21338","21360","21338","21360","6","2016-01-04 11:20:00 HKT"
"1451877900","21355","21355","21355","21355","1","2016-01-04 11:25:00 HKT"
"1451878500","21364","21364","21350","21350","6","2016-01-04 11:35:00 HKT"
