"time","open","high","low","close","Volume","localTime"
"1464657300","20320","20320","20315","20318","3","2016-05-31 09:15:00 HKT"
"1464657600","20313","20313","20313","20313","1","2016-05-31 09:20:00 HKT"
"1464657900","20312","20352","20312","20335","53","2016-05-31 09:25:00 HKT"
"1464658200","20343","20368","20343","20355","5","2016-05-31 09:30:00 HKT"
"1464658500","20380","20389","20378","20385","8","2016-05-31 09:35:00 HKT"
"1464658800","20410","20425","20410","20417","7","2016-05-31 09:40:00 HKT"
"1464659100","20430","20459","20430","20448","16","2016-05-31 09:45:00 HKT"
"1464659400","20453","20453","20438","20450","7","2016-05-31 09:50:00 HKT"
"1464659700","20471","20494","20468","20468","29","2016-05-31 09:55:00 HKT"
"1464660000","20483","20500","20470","20471","13","2016-05-31 10:00:00 HKT"
"1464660300","20470","20475","20466","20467","6","2016-05-31 10:05:00 HKT"
"1464660600","20480","20490","20480","20484","8","2016-05-31 10:10:00 HKT"
"1464660900","20503","20550","20503","20541","13","2016-05-31 10:15:00 HKT"
"1464661200","20550","20560","20547","20560","5","2016-05-31 10:20:00 HKT"
"1464661500","20562","20564","20539","20540","10","2016-05-31 10:25:00 HKT"
"1464661800","20541","20549","20541","20548","7","2016-05-31 10:30:00 HKT"
"1464662100","20564","20564","20550","20553","8","2016-05-31 10:35:00 HKT"
"1464662400","20545","20545","20507","20507","13","2016-05-31 10:40:00 HKT"
"1464662700","20525","20527","20520","20527","4","2016-05-31 10:45:00 HKT"
"1464663000","20531","20547","20531","20547","5","2016-05-31 10:50:00 HKT"
"1464663300","20542","20542","20526","20526","2","2016-05-31 10:55:00 HKT"
"1464663600","20525","20536","20525","20536","4","2016-05-31 11:00:00 HKT"
"1464664200","20560","20560","20560","20560","2","2016-05-31 11:10:00 HKT"
"1464664500","20560","20560","20555","20555","4","2016-05-31 11:15:00 HKT"
"1464664800","20555","20579","20555","20579","6","2016-05-31 11:20:00 HKT"
"1464665100","20576","20584","20576","20584","5","2016-05-31 11:25:00 HKT"
"1464665400","20587","20622","20587","20622","16","2016-05-31 11:30:00 HKT"
"1464665700","20620","20650","20620","20650","9","2016-05-31 11:35:00 HKT"
"1464666000","20638","20638","20638","20638","2","2016-05-31 11:40:00 HKT"
"1464666300","20635","20642","20630","20633","10","2016-05-31 11:45:00 HKT"
"1464666600","20621","20622","20618","20618","4","2016-05-31 11:50:00 HKT"
"1464666900","20614","20618","20614","20618","4","2016-05-31 11:55:00 HKT"
"1464670800","20618","20618","20610","20610","12","2016-05-31 13:00:00 HKT"
"1464671400","20624","20624","20624","20624","1","2016-05-31 13:10:00 HKT"
"1464671700","20627","20636","20627","20636","7","2016-05-31 13:15:00 HKT"
"1464672000","20650","20657","20643","20648","10","2016-05-31 13:20:00 HKT"
"1464672300","20666","20666","20642","20642","5","2016-05-31 13:25:00 HKT"
"1464672600","20634","20635","20634","20635","4","2016-05-31 13:30:00 HKT"
"1464672900","20642","20642","20614","20614","5","2016-05-31 13:35:00 HKT"
"1464673200","20626","20626","20626","20626","1","2016-05-31 13:40:00 HKT"
"1464673500","20647","20647","20646","20646","2","2016-05-31 13:45:00 HKT"
"1464674100","20643","20651","20643","20643","7","2016-05-31 13:55:00 HKT"
"1464674400","20639","20639","20639","20639","1","2016-05-31 14:00:00 HKT"
"1464674700","20634","20634","20634","20634","2","2016-05-31 14:05:00 HKT"
"1464675000","20640","20640","20640","20640","1","2016-05-31 14:10:00 HKT"
"1464675300","20650","20673","20650","20666","9","2016-05-31 14:15:00 HKT"
"1464675600","20662","20662","20655","20655","3","2016-05-31 14:20:00 HKT"
"1464675900","20660","20664","20660","20661","3","2016-05-31 14:25:00 HKT"
"1464676200","20662","20704","20662","20702","18","2016-05-31 14:30:00 HKT"
"1464676500","20706","20706","20701","20701","2","2016-05-31 14:35:00 HKT"
"1464676800","20710","20712","20700","20700","7","2016-05-31 14:40:00 HKT"
"1464677100","20690","20690","20688","20690","6","2016-05-31 14:45:00 HKT"
"1464677400","20678","20678","20663","20666","6","2016-05-31 14:50:00 HKT"
"1464677700","20665","20667","20662","20667","3","2016-05-31 14:55:00 HKT"
"1464678000","20662","20662","20640","20640","7","2016-05-31 15:00:00 HKT"
"1464678300","20636","20643","20634","20641","8","2016-05-31 15:05:00 HKT"
"1464678600","20610","20610","20588","20588","14","2016-05-31 15:10:00 HKT"
"1464678900","20593","20622","20589","20620","7","2016-05-31 15:15:00 HKT"
"1464679200","20618","20618","20618","20618","1","2016-05-31 15:20:00 HKT"
"1464679500","20620","20622","20615","20615","17","2016-05-31 15:25:00 HKT"
"1464679800","20622","20625","20622","20625","2","2016-05-31 15:30:00 HKT"
"1464680100","20626","20662","20626","20662","9","2016-05-31 15:35:00 HKT"
"1464680400","20653","20653","20651","20651","2","2016-05-31 15:40:00 HKT"
"1464680700","20625","20625","20600","20600","4","2016-05-31 15:45:00 HKT"
"1464681000","20590","20590","20580","20581","6","2016-05-31 15:50:00 HKT"
"1464681300","20575","20575","20549","20549","13","2016-05-31 15:55:00 HKT"
"1464681600","20525","20526","20475","20475","20","2016-05-31 16:00:00 HKT"
"1464681900","20468","20490","20463","20481","8","2016-05-31 16:05:00 HKT"
"1464682200","20475","20478","20472","20475","5","2016-05-31 16:10:00 HKT"
"1464685200","20473","20484","20470","20484","6","2016-05-31 17:00:00 HKT"
"1464685500","20496","20506","20496","20506","5","2016-05-31 17:05:00 HKT"
"1464686100","20510","20510","20510","20510","1","2016-05-31 17:15:00 HKT"
"1464686400","20520","20520","20520","20520","1","2016-05-31 17:20:00 HKT"
"1464686700","20517","20517","20517","20517","1","2016-05-31 17:25:00 HKT"
"1464687300","20512","20512","20512","20512","2","2016-05-31 17:35:00 HKT"
"1464687900","20521","20521","20521","20521","1","2016-05-31 17:45:00 HKT"
"1464688500","20530","20530","20530","20530","1","2016-05-31 17:55:00 HKT"
"1464688800","20533","20533","20533","20533","1","2016-05-31 18:00:00 HKT"
"1464689400","20532","20532","20532","20532","1","2016-05-31 18:10:00 HKT"
"1464691500","20490","20490","20490","20490","1","2016-05-31 18:45:00 HKT"
"1464692100","20475","20475","20470","20475","4","2016-05-31 18:55:00 HKT"
"1464692400","20481","20481","20481","20481","2","2016-05-31 19:00:00 HKT"
"1464694500","20499","20499","20498","20498","5","2016-05-31 19:35:00 HKT"
"1464695700","20510","20510","20510","20510","1","2016-05-31 19:55:00 HKT"
