"time","open","high","low","close","Volume","localTime"
"1477668900","23000","23000","23000","23000","1","2016-10-28 23:35:00 HKT"
"1477876500","22800","22808","22768","22808","4","2016-10-31 09:15:00 HKT"
"1477876800","22848","22883","22848","22883","2","2016-10-31 09:20:00 HKT"
"1477877100","22884","22887","22878","22887","5","2016-10-31 09:25:00 HKT"
"1477877400","22901","22905","22833","22833","7","2016-10-31 09:30:00 HKT"
"1477877700","22820","22820","22790","22790","2","2016-10-31 09:35:00 HKT"
"1477878000","22828","22828","22828","22828","1","2016-10-31 09:40:00 HKT"
"1477878300","22835","22837","22835","22837","2","2016-10-31 09:45:00 HKT"
"1477878600","22840","22840","22840","22840","1","2016-10-31 09:50:00 HKT"
"1477878900","22860","22860","22860","22860","1","2016-10-31 09:55:00 HKT"
"1477879200","22865","22883","22865","22883","2","2016-10-31 10:00:00 HKT"
"1477879500","22893","22945","22893","22945","3","2016-10-31 10:05:00 HKT"
"1477880100","22930","22955","22930","22955","3","2016-10-31 10:15:00 HKT"
"1477880400","22987","22994","22987","22994","2","2016-10-31 10:20:00 HKT"
"1477880700","23000","23000","23000","23000","1","2016-10-31 10:25:00 HKT"
"1477881000","22955","22955","22955","22955","1","2016-10-31 10:30:00 HKT"
"1477881300","22940","22940","22940","22940","1","2016-10-31 10:35:00 HKT"
"1477882500","22987","22987","22987","22987","1","2016-10-31 10:55:00 HKT"
"1477882800","23028","23030","23028","23030","2","2016-10-31 11:00:00 HKT"
"1477883100","23045","23059","23045","23059","4","2016-10-31 11:05:00 HKT"
"1477884000","23033","23033","23020","23020","2","2016-10-31 11:20:00 HKT"
"1477885500","23015","23015","23015","23015","1","2016-10-31 11:45:00 HKT"
"1477886100","23013","23013","23002","23002","2","2016-10-31 11:55:00 HKT"
"1477890000","23025","23025","23025","23025","1","2016-10-31 13:00:00 HKT"
"1477890300","23034","23034","23034","23034","1","2016-10-31 13:05:00 HKT"
"1477891200","23050","23050","23050","23050","1","2016-10-31 13:20:00 HKT"
"1477891500","23037","23037","23037","23037","1","2016-10-31 13:25:00 HKT"
"1477894500","23042","23042","23042","23042","1","2016-10-31 14:15:00 HKT"
"1477899300","23002","23003","23002","23003","2","2016-10-31 15:35:00 HKT"
"1477899900","22971","22971","22971","22971","1","2016-10-31 15:45:00 HKT"
"1477900500","22957","22957","22945","22945","2","2016-10-31 15:55:00 HKT"
"1477900800","22933","22933","22930","22930","3","2016-10-31 16:00:00 HKT"
"1477901400","22951","22951","22951","22951","1","2016-10-31 16:10:00 HKT"
"1477902000","22911","22911","22911","22911","2","2016-10-31 16:20:00 HKT"
"1477902300","22915","22915","22915","22915","1","2016-10-31 16:25:00 HKT"
"1477905300","22917","22917","22917","22917","1","2016-10-31 17:15:00 HKT"
