"time","open","high","low","close","Volume","localTime"
"1189153500","23501","23501","23501","23501","1","2007-09-07 16:25:00 HKT"
"1498785300","25480","25480","25480","25480","1","2017-06-30 09:15:00 HKT"
"1498785600","25425","25430","25425","25430","2","2017-06-30 09:20:00 HKT"
"1498785900","25434","25434","25434","25434","1","2017-06-30 09:25:00 HKT"
"1498786500","25503","25521","25499","25520","106","2017-06-30 09:35:00 HKT"
"1498786800","25552","25559","25530","25530","14","2017-06-30 09:40:00 HKT"
"1498787100","25528","25544","25528","25544","3","2017-06-30 09:45:00 HKT"
"1498787400","25539","25542","25531","25535","10","2017-06-30 09:50:00 HKT"
"1498787700","25553","25555","25553","25555","5","2017-06-30 09:55:00 HKT"
"1498788000","25561","25568","25555","25555","5","2017-06-30 10:00:00 HKT"
"1498788300","25533","25533","25533","25533","1","2017-06-30 10:05:00 HKT"
"1498788600","25522","25537","25520","25531","8","2017-06-30 10:10:00 HKT"
"1498788900","25528","25528","25528","25528","1","2017-06-30 10:15:00 HKT"
"1498789200","25531","25531","25493","25493","8","2017-06-30 10:20:00 HKT"
"1498789500","25484","25511","25484","25511","2","2017-06-30 10:25:00 HKT"
"1498789800","25535","25540","25523","25523","5","2017-06-30 10:30:00 HKT"
"1498790100","25548","25548","25548","25548","1","2017-06-30 10:35:00 HKT"
"1498790400","25554","25554","25537","25537","3","2017-06-30 10:40:00 HKT"
"1498790700","25540","25540","25540","25540","1","2017-06-30 10:45:00 HKT"
"1498791000","25536","25536","25521","25521","2","2017-06-30 10:50:00 HKT"
"1498791300","25524","25524","25524","25524","1","2017-06-30 10:55:00 HKT"
"1498791600","25539","25539","25539","25539","1","2017-06-30 11:00:00 HKT"
"1498791900","25535","25535","25535","25535","1","2017-06-30 11:05:00 HKT"
"1498792200","25544","25544","25544","25544","1","2017-06-30 11:10:00 HKT"
"1498793700","25545","25545","25545","25545","1","2017-06-30 11:35:00 HKT"
"1498794000","25554","25562","25554","25560","5","2017-06-30 11:40:00 HKT"
"1498794300","25546","25546","25546","25546","1","2017-06-30 11:45:00 HKT"
"1498794900","25544","25544","25544","25544","4","2017-06-30 11:55:00 HKT"
"1498798800","25552","25554","25552","25554","2","2017-06-30 13:00:00 HKT"
"1498799100","25537","25537","25537","25537","1","2017-06-30 13:05:00 HKT"
"1498799400","25538","25543","25538","25543","11","2017-06-30 13:10:00 HKT"
"1498799700","25543","25543","25543","25543","1","2017-06-30 13:15:00 HKT"
"1498800600","25533","25533","25529","25529","2","2017-06-30 13:30:00 HKT"
"1498800900","25544","25548","25544","25548","2","2017-06-30 13:35:00 HKT"
"1498801500","25555","25555","25555","25555","1","2017-06-30 13:45:00 HKT"
"1498801800","25580","25600","25580","25600","6","2017-06-30 13:50:00 HKT"
"1498802100","25587","25589","25587","25589","3","2017-06-30 13:55:00 HKT"
"1498802400","25608","25619","25603","25603","4","2017-06-30 14:00:00 HKT"
"1498802700","25591","25591","25591","25591","1","2017-06-30 14:05:00 HKT"
"1498803000","25597","25597","25588","25588","5","2017-06-30 14:10:00 HKT"
"1498803300","25588","25588","25588","25588","1","2017-06-30 14:15:00 HKT"
"1498803900","25600","25600","25600","25600","1","2017-06-30 14:25:00 HKT"
"1498804500","25602","25602","25602","25602","1","2017-06-30 14:35:00 HKT"
"1498804800","25608","25608","25605","25605","2","2017-06-30 14:40:00 HKT"
"1498805400","25596","25596","25596","25596","1","2017-06-30 14:50:00 HKT"
"1498805700","25592","25592","25592","25592","1","2017-06-30 14:55:00 HKT"
"1498806000","25590","25592","25565","25565","8","2017-06-30 15:00:00 HKT"
"1498806300","25550","25560","25545","25560","8","2017-06-30 15:05:00 HKT"
"1498806600","25552","25558","25552","25558","3","2017-06-30 15:10:00 HKT"
