"time","open","high","low","close","Volume","localTime"
"1194049800","31737","31737","31737","31737","1","2007-11-03 08:30:00 HKT"
"1194621600","31737","31737","31737","31737","1","2007-11-09 23:20:00 HKT"
"1504157700","27830","27830","27816","27823","4","2017-08-31 13:35:00 HKT"
"1504158000","27818","27818","27805","27805","33","2017-08-31 13:40:00 HKT"
"1504158300","27809","27824","27809","27824","2","2017-08-31 13:45:00 HKT"
"1504158600","27824","27829","27822","27829","20","2017-08-31 13:50:00 HKT"
"1504158900","27829","27836","27821","27836","14","2017-08-31 13:55:00 HKT"
"1504159200","27844","27844","27844","27844","1","2017-08-31 14:00:00 HKT"
"1504159800","27850","27850","27850","27850","1","2017-08-31 14:10:00 HKT"
"1504160700","27830","27830","27830","27830","2","2017-08-31 14:25:00 HKT"
"1504161000","27835","27844","27835","27844","3","2017-08-31 14:30:00 HKT"
"1504161300","27844","27844","27844","27844","2","2017-08-31 14:35:00 HKT"
"1504161600","27843","27847","27843","27847","3","2017-08-31 14:40:00 HKT"
"1504162200","27847","27847","27847","27847","1","2017-08-31 14:50:00 HKT"
"1504162800","27864","27878","27864","27878","5","2017-08-31 15:00:00 HKT"
"1504163400","27876","27876","27876","27876","1","2017-08-31 15:10:00 HKT"
"1504164000","27876","27876","27874","27874","3","2017-08-31 15:20:00 HKT"
"1504165500","27877","27877","27877","27877","2","2017-08-31 15:45:00 HKT"
"1504165800","27872","27872","27872","27872","1","2017-08-31 15:50:00 HKT"
"1504167000","27900","27911","27900","27911","4","2017-08-31 16:10:00 HKT"
"1504167600","27920","27920","27915","27915","4","2017-08-31 16:20:00 HKT"
"1504167900","27920","27920","27920","27920","2","2017-08-31 16:25:00 HKT"
"1504171200","27934","27934","27929","27929","2","2017-08-31 17:20:00 HKT"
"1504171800","27930","27930","27930","27930","4","2017-08-31 17:30:00 HKT"
"1504172700","27921","27921","27921","27921","1","2017-08-31 17:45:00 HKT"
"1504176300","27935","27935","27935","27935","1","2017-08-31 18:45:00 HKT"
"1504177500","27934","27934","27934","27934","1","2017-08-31 19:05:00 HKT"
"1504178100","27932","27932","27932","27932","1","2017-08-31 19:15:00 HKT"
"1504178700","27930","27930","27930","27930","1","2017-08-31 19:25:00 HKT"
"1504181400","27908","27908","27908","27908","1","2017-08-31 20:10:00 HKT"
"1504184400","27928","27928","27928","27928","1","2017-08-31 21:00:00 HKT"
"1504184700","27931","27931","27931","27931","1","2017-08-31 21:05:00 HKT"
"1504185600","27937","27937","27933","27933","2","2017-08-31 21:20:00 HKT"
"1504187100","27933","27933","27933","27933","1","2017-08-31 21:45:00 HKT"
"1504187700","27932","27932","27932","27932","1","2017-08-31 21:55:00 HKT"
"1504188300","27938","27938","27938","27938","1","2017-08-31 22:05:00 HKT"
"1504188900","27948","27948","27948","27948","1","2017-08-31 22:15:00 HKT"
"1504189800","27950","27950","27939","27939","2","2017-08-31 22:30:00 HKT"
"1504190100","27937","27937","27930","27930","3","2017-08-31 22:35:00 HKT"
"1504190400","27930","27930","27930","27930","2","2017-08-31 22:40:00 HKT"
"1504190700","27926","27926","27926","27926","1","2017-08-31 22:45:00 HKT"
"1504228500","27968","27968","27908","27908","10","2017-09-01 09:15:00 HKT"
"1504228800","27900","27913","27900","27913","14","2017-09-01 09:20:00 HKT"
"1504229100","27925","27934","27925","27934","2","2017-09-01 09:25:00 HKT"
"1504229400","27900","27940","27900","27938","5","2017-09-01 09:30:00 HKT"
"1504229700","27950","27966","27950","27966","4","2017-09-01 09:35:00 HKT"
"1504230000","27970","27988","27966","27988","5","2017-09-01 09:40:00 HKT"
"1504230300","27985","28000","27985","27985","7","2017-09-01 09:45:00 HKT"
"1504230600","27990","28008","27990","27990","15","2017-09-01 09:50:00 HKT"
"1504230900","27990","27994","27990","27994","2","2017-09-01 09:55:00 HKT"
"1504231200","28000","28020","27999","28019","15","2017-09-01 10:00:00 HKT"
"1504231500","28019","28030","28013","28013","14","2017-09-01 10:05:00 HKT"
"1504231800","28000","28006","28000","28000","3","2017-09-01 10:10:00 HKT"
"1504232100","27980","27980","27970","27970","5","2017-09-01 10:15:00 HKT"
"1504232400","27983","27985","27983","27985","4","2017-09-01 10:20:00 HKT"
"1504232700","27992","27994","27992","27994","2","2017-09-01 10:25:00 HKT"
"1504233000","28005","28005","28005","28005","1","2017-09-01 10:30:00 HKT"
"1504233300","27986","27986","27984","27984","4","2017-09-01 10:35:00 HKT"
"1504233600","27980","27980","27980","27980","1","2017-09-01 10:40:00 HKT"
"1504233900","27970","27986","27970","27986","4","2017-09-01 10:45:00 HKT"
"1504234200","27986","27986","27986","27986","1","2017-09-01 10:50:00 HKT"
"1504234500","27996","27996","27995","27995","2","2017-09-01 10:55:00 HKT"
"1504234800","27979","27979","27979","27979","2","2017-09-01 11:00:00 HKT"
"1504235400","27990","27996","27990","27996","2","2017-09-01 11:10:00 HKT"
"1504235700","28005","28005","28005","28005","1","2017-09-01 11:15:00 HKT"
"1504236000","28012","28012","28012","28012","3","2017-09-01 11:20:00 HKT"
"1504236300","27997","27997","27997","27997","1","2017-09-01 11:25:00 HKT"
"1504242000","27968","27968","27960","27960","8","2017-09-01 13:00:00 HKT"
"1504242300","27964","27964","27964","27964","2","2017-09-01 13:05:00 HKT"
"1504242600","27950","27950","27930","27930","8","2017-09-01 13:10:00 HKT"
"1504242900","27931","27937","27929","27937","4","2017-09-01 13:15:00 HKT"
"1504243200","27939","27939","27928","27934","3","2017-09-01 13:20:00 HKT"
"1504243500","27942","27942","27942","27942","1","2017-09-01 13:25:00 HKT"
"1504244100","27920","27920","27898","27898","9","2017-09-01 13:35:00 HKT"
