"time","open","high","low","close","Volume","localTime"
"1241183400","14863","14863","14863","14863","1","2009-05-01 21:10:00 HKT"
"1551316500","28769","28769","28698","28698","9","2019-02-28 09:15:00 HKT"
"1551316800","28699","28703","28680","28695","27","2019-02-28 09:20:00 HKT"
"1551317100","28699","28711","28675","28700","13","2019-02-28 09:25:00 HKT"
"1551317400","28711","28770","28711","28770","13","2019-02-28 09:30:00 HKT"
"1551317700","28770","28777","28705","28705","11","2019-02-28 09:35:00 HKT"
"1551318000","28720","28750","28720","28730","10","2019-02-28 09:40:00 HKT"
"1551318300","28740","28765","28737","28737","12","2019-02-28 09:45:00 HKT"
"1551318600","28765","28790","28765","28767","10","2019-02-28 09:50:00 HKT"
"1551318900","28776","28835","28776","28835","12","2019-02-28 09:55:00 HKT"
"1551319200","28836","28836","28793","28800","6","2019-02-28 10:00:00 HKT"
"1551319500","28830","28850","28830","28839","7","2019-02-28 10:05:00 HKT"
"1551319800","28860","28907","28850","28907","16","2019-02-28 10:10:00 HKT"
"1551320100","28910","28910","28885","28885","20","2019-02-28 10:15:00 HKT"
"1551320400","28903","28908","28866","28891","67","2019-02-28 10:20:00 HKT"
"1551320700","28893","28921","28893","28905","5","2019-02-28 10:25:00 HKT"
"1551321000","28899","28899","28872","28872","8","2019-02-28 10:30:00 HKT"
"1551321300","28884","28884","28884","28884","1","2019-02-28 10:35:00 HKT"
"1551321600","28918","28918","28910","28910","4","2019-02-28 10:40:00 HKT"
"1551321900","28928","28944","28896","28903","9","2019-02-28 10:45:00 HKT"
"1551322200","28890","28923","28890","28914","13","2019-02-28 10:50:00 HKT"
"1551322500","28912","28912","28879","28879","4","2019-02-28 10:55:00 HKT"
"1551322800","28865","28883","28865","28880","3","2019-02-28 11:00:00 HKT"
"1551323100","28855","28855","28834","28834","7","2019-02-28 11:05:00 HKT"
"1551323400","28827","28845","28827","28827","5","2019-02-28 11:10:00 HKT"
"1551323700","28828","28828","28776","28790","12","2019-02-28 11:15:00 HKT"
"1551324000","28780","28812","28780","28812","3","2019-02-28 11:20:00 HKT"
"1551324300","28805","28825","28805","28825","4","2019-02-28 11:25:00 HKT"
"1551325200","28804","28807","28797","28797","5","2019-02-28 11:40:00 HKT"
"1551325500","28805","28805","28805","28805","1","2019-02-28 11:45:00 HKT"
"1551326100","28821","28821","28813","28820","7","2019-02-28 11:55:00 HKT"
"1551330000","28825","28830","28797","28830","7","2019-02-28 13:00:00 HKT"
"1551330600","28850","28872","28850","28866","10","2019-02-28 13:10:00 HKT"
"1551330900","28880","28880","28880","28880","1","2019-02-28 13:15:00 HKT"
"1551331200","28850","28850","28850","28850","1","2019-02-28 13:20:00 HKT"
"1551331500","28850","28850","28850","28850","1","2019-02-28 13:25:00 HKT"
