"time","open","high","low","close","Volume","localTime"
"1244054400","17686","17686","17686","17686","1","2009-06-04 02:40:00 HKT"
"1553822100","28658","28658","28658","28658","1","2019-03-29 09:15:00 HKT"
"1553822400","28649","28650","28649","28649","10","2019-03-29 09:20:00 HKT"
"1553822700","28650","28652","28633","28650","8","2019-03-29 09:25:00 HKT"
"1553823000","28638","28660","28638","28660","3","2019-03-29 09:30:00 HKT"
"1553823300","28661","28678","28661","28678","2","2019-03-29 09:35:00 HKT"
"1553823600","28698","28720","28670","28670","10","2019-03-29 09:40:00 HKT"
"1553823900","28672","28672","28660","28660","4","2019-03-29 09:45:00 HKT"
"1553824500","28666","28666","28666","28666","1","2019-03-29 09:55:00 HKT"
"1553824800","28622","28622","28595","28595","5","2019-03-29 10:00:00 HKT"
"1553825100","28634","28678","28634","28678","4","2019-03-29 10:05:00 HKT"
"1553825400","28685","28695","28683","28695","5","2019-03-29 10:10:00 HKT"
"1553825700","28693","28729","28693","28728","4","2019-03-29 10:15:00 HKT"
"1553826000","28750","28761","28746","28750","7","2019-03-29 10:20:00 HKT"
"1553826300","28775","28820","28775","28820","103","2019-03-29 10:25:00 HKT"
"1553826600","28796","28815","28780","28780","6","2019-03-29 10:30:00 HKT"
"1553826900","28783","28795","28780","28795","5","2019-03-29 10:35:00 HKT"
"1553827200","28800","28800","28770","28798","4","2019-03-29 10:40:00 HKT"
"1553827500","28798","28805","28790","28790","13","2019-03-29 10:45:00 HKT"
"1553827800","28802","28818","28800","28818","7","2019-03-29 10:50:00 HKT"
"1553828100","28830","28857","28826","28857","7","2019-03-29 10:55:00 HKT"
"1553828400","28880","28880","28860","28866","6","2019-03-29 11:00:00 HKT"
"1553828700","28866","28889","28864","28886","7","2019-03-29 11:05:00 HKT"
"1553829000","28886","28888","28868","28871","4","2019-03-29 11:10:00 HKT"
"1553829300","28889","28889","28852","28852","4","2019-03-29 11:15:00 HKT"
"1553829600","28869","28869","28852","28852","6","2019-03-29 11:20:00 HKT"
"1553829900","28888","28888","28888","28888","2","2019-03-29 11:25:00 HKT"
"1553830200","28872","28872","28858","28858","2","2019-03-29 11:30:00 HKT"
"1553830500","28853","28853","28848","28848","3","2019-03-29 11:35:00 HKT"
"1553830800","28853","28861","28853","28861","7","2019-03-29 11:40:00 HKT"
"1553831100","28841","28842","28841","28842","2","2019-03-29 11:45:00 HKT"
"1553831400","28849","28849","28840","28840","8","2019-03-29 11:50:00 HKT"
"1553831700","28830","28832","28830","28832","5","2019-03-29 11:55:00 HKT"
"1553835600","28858","28871","28858","28869","12","2019-03-29 13:00:00 HKT"
"1553835900","28872","28875","28869","28875","9","2019-03-29 13:05:00 HKT"
"1553836500","28865","28865","28863","28863","2","2019-03-29 13:15:00 HKT"
"1553836800","28871","28887","28871","28887","7","2019-03-29 13:20:00 HKT"
"1553837100","28885","28885","28874","28874","7","2019-03-29 13:25:00 HKT"
"1553837400","28885","28888","28885","28888","2","2019-03-29 13:30:00 HKT"
"1553837700","28890","28912","28889","28912","12","2019-03-29 13:35:00 HKT"
"1553838000","28898","28927","28898","28905","7","2019-03-29 13:40:00 HKT"
"1553838300","28900","28900","28896","28896","2","2019-03-29 13:45:00 HKT"
"1553838600","28915","28915","28903","28905","6","2019-03-29 13:50:00 HKT"
"1553838900","28905","28923","28905","28923","5","2019-03-29 13:55:00 HKT"
"1553839200","28923","28923","28918","28918","3","2019-03-29 14:00:00 HKT"
"1553839500","28900","28904","28892","28904","5","2019-03-29 14:05:00 HKT"
"1553839800","28891","28891","28891","28891","1","2019-03-29 14:10:00 HKT"
"1553840100","28898","28898","28898","28898","1","2019-03-29 14:15:00 HKT"
"1553840400","28916","28944","28916","28944","4","2019-03-29 14:20:00 HKT"
"1553840700","28947","28951","28945","28951","12","2019-03-29 14:25:00 HKT"
"1553841000","28954","28961","28942","28942","48","2019-03-29 14:30:00 HKT"
"1553841300","28936","28936","28936","28936","2","2019-03-29 14:35:00 HKT"
"1553841600","28920","28920","28917","28917","2","2019-03-29 14:40:00 HKT"
"1553841900","28923","28925","28923","28925","4","2019-03-29 14:45:00 HKT"
"1553842500","28900","28900","28900","28900","1","2019-03-29 14:55:00 HKT"
"1553842800","28900","28916","28900","28916","3","2019-03-29 15:00:00 HKT"
"1553843100","28910","28910","28910","28910","1","2019-03-29 15:05:00 HKT"
"1553843400","28932","28936","28932","28936","5","2019-03-29 15:10:00 HKT"
"1553844000","28918","28918","28918","28918","1","2019-03-29 15:20:00 HKT"
"1553844300","28927","28930","28925","28925","4","2019-03-29 15:25:00 HKT"
"1553844600","28948","28948","28948","28948","1","2019-03-29 15:30:00 HKT"
"1553844900","28950","28950","28950","28950","3","2019-03-29 15:35:00 HKT"
"1553845500","28943","28945","28943","28945","3","2019-03-29 15:45:00 HKT"
"1553846100","28942","28942","28930","28930","5","2019-03-29 15:55:00 HKT"
"1553846400","28925","28929","28925","28929","3","2019-03-29 16:00:00 HKT"
"1553846700","28911","28998","28911","28998","18","2019-03-29 16:05:00 HKT"
"1553847000","28967","28967","28928","28928","9","2019-03-29 16:10:00 HKT"
"1553847300","28925","28925","28889","28889","6","2019-03-29 16:15:00 HKT"
"1553847600","28893","28905","28893","28903","5","2019-03-29 16:20:00 HKT"
"1553847900","28899","28899","28880","28880","4","2019-03-29 16:25:00 HKT"
"1553850900","28876","28876","28848","28865","7","2019-03-29 17:15:00 HKT"
