"time","open","high","low","close","Volume","localTime"
"1569806100","25834","25834","25830","25830","3","2019-09-30 09:15:00 HKT"
"1569806400","25821","25843","25821","25842","9","2019-09-30 09:20:00 HKT"
"1569806700","25814","25820","25803","25811","18","2019-09-30 09:25:00 HKT"
"1569807000","25800","25867","25799","25820","18","2019-09-30 09:30:00 HKT"
"1569807300","25860","25894","25860","25881","12","2019-09-30 09:35:00 HKT"
"1569807600","25871","25871","25860","25860","4","2019-09-30 09:40:00 HKT"
"1569807900","25874","25922","25874","25922","14","2019-09-30 09:45:00 HKT"
"1569808200","25923","25950","25917","25950","20","2019-09-30 09:50:00 HKT"
"1569808500","25944","25955","25944","25955","4","2019-09-30 09:55:00 HKT"
"1569808800","25931","25931","25915","25915","3","2019-09-30 10:00:00 HKT"
"1569809100","25902","25950","25902","25924","10","2019-09-30 10:05:00 HKT"
"1569809400","25933","25937","25933","25937","4","2019-09-30 10:10:00 HKT"
"1569809700","25944","25949","25944","25949","2","2019-09-30 10:15:00 HKT"
"1569810000","25960","25960","25948","25948","3","2019-09-30 10:20:00 HKT"
"1569810300","25973","25973","25973","25973","2","2019-09-30 10:25:00 HKT"
"1569810600","25947","25980","25947","25980","2","2019-09-30 10:30:00 HKT"
"1569810900","25988","25988","25988","25988","2","2019-09-30 10:35:00 HKT"
"1569811200","25981","25994","25969","25994","5","2019-09-30 10:40:00 HKT"
"1569811500","26000","26000","25966","25966","5","2019-09-30 10:45:00 HKT"
"1569811800","25987","25987","25987","25987","1","2019-09-30 10:50:00 HKT"
"1569812100","26011","26028","26011","26028","4","2019-09-30 10:55:00 HKT"
"1569812400","26011","26011","25999","26002","5","2019-09-30 11:00:00 HKT"
"1569812700","26010","26024","26010","26019","4","2019-09-30 11:05:00 HKT"
"1569813000","25991","26004","25991","26004","4","2019-09-30 11:10:00 HKT"
"1569813600","26017","26017","26017","26017","1","2019-09-30 11:20:00 HKT"
"1569814500","26014","26019","26014","26019","4","2019-09-30 11:35:00 HKT"
"1569814800","26020","26026","26020","26026","10","2019-09-30 11:40:00 HKT"
"1569815100","26027","26037","26020","26037","17","2019-09-30 11:45:00 HKT"
"1569815400","26039","26084","26039","26084","20","2019-09-30 11:50:00 HKT"
"1569815700","26069","26082","26069","26082","6","2019-09-30 11:55:00 HKT"
"1569819600","26050","26061","26050","26061","3","2019-09-30 13:00:00 HKT"
"1569819900","26070","26115","26070","26115","9","2019-09-30 13:05:00 HKT"
"1569820200","26126","26165","26126","26152","19","2019-09-30 13:10:00 HKT"
"1569820500","26136","26154","26136","26154","6","2019-09-30 13:15:00 HKT"
"1569820800","26127","26128","26123","26123","3","2019-09-30 13:20:00 HKT"
"1569821100","26122","26140","26120","26137","9","2019-09-30 13:25:00 HKT"
"1569821400","26118","26133","26112","26115","5","2019-09-30 13:30:00 HKT"
"1569822000","26135","26138","26135","26138","2","2019-09-30 13:40:00 HKT"
"1569822600","26134","26136","26134","26136","2","2019-09-30 13:50:00 HKT"
"1569823200","26112","26112","26103","26103","6","2019-09-30 14:00:00 HKT"
"1569823500","26087","26087","26084","26084","3","2019-09-30 14:05:00 HKT"
"1569823800","26096","26102","26096","26102","2","2019-09-30 14:10:00 HKT"
"1569824700","26138","26138","26138","26138","1","2019-09-30 14:25:00 HKT"
"1569825000","26123","26141","26123","26141","4","2019-09-30 14:30:00 HKT"
"1569825300","26113","26113","26113","26113","1","2019-09-30 14:35:00 HKT"
"1569825600","26110","26110","26110","26110","1","2019-09-30 14:40:00 HKT"
"1569826200","26111","26111","26108","26111","3","2019-09-30 14:50:00 HKT"
"1569826500","26104","26111","26095","26095","3","2019-09-30 14:55:00 HKT"
"1569826800","26096","26100","26096","26100","2","2019-09-30 15:00:00 HKT"
"1569827100","26091","26091","26091","26091","1","2019-09-30 15:05:00 HKT"
"1569827400","26091","26091","26090","26090","3","2019-09-30 15:10:00 HKT"
"1569828000","26123","26123","26123","26123","1","2019-09-30 15:20:00 HKT"
"1569828300","26115","26115","26115","26115","1","2019-09-30 15:25:00 HKT"
"1569828900","26083","26083","26083","26083","1","2019-09-30 15:35:00 HKT"
"1569829200","26080","26080","26080","26080","2","2019-09-30 15:40:00 HKT"
"1569829500","26054","26054","26042","26042","7","2019-09-30 15:45:00 HKT"
"1569829800","26042","26042","26018","26024","25","2019-09-30 15:50:00 HKT"
