"time","open","high","low","close","Volume","localTime"
"1574989800","26605","26605","26605","26605","1","2019-11-29 09:10:00 HKT"
"1574990100","26664","26664","26612","26612","3","2019-11-29 09:15:00 HKT"
"1574990400","26670","26670","26670","26670","2","2019-11-29 09:20:00 HKT"
"1574990700","26679","26721","26674","26703","7","2019-11-29 09:25:00 HKT"
"1574991000","26710","26725","26662","26683","7","2019-11-29 09:30:00 HKT"
"1574991300","26675","26706","26669","26682","9","2019-11-29 09:35:00 HKT"
"1574991600","26675","26675","26561","26561","24","2019-11-29 09:40:00 HKT"
"1574991900","26555","26570","26550","26563","23","2019-11-29 09:45:00 HKT"
"1574992200","26552","26552","26500","26501","11","2019-11-29 09:50:00 HKT"
"1574992500","26503","26564","26503","26550","14","2019-11-29 09:55:00 HKT"
"1574992800","26541","26559","26540","26559","4","2019-11-29 10:00:00 HKT"
"1574993100","26575","26576","26563","26575","4","2019-11-29 10:05:00 HKT"
"1574993400","26587","26587","26568","26577","8","2019-11-29 10:10:00 HKT"
"1574993700","26555","26558","26551","26558","4","2019-11-29 10:15:00 HKT"
"1574994000","26545","26545","26530","26530","3","2019-11-29 10:20:00 HKT"
"1574994300","26525","26527","26509","26526","33","2019-11-29 10:25:00 HKT"
"1574994600","26517","26524","26500","26524","7","2019-11-29 10:30:00 HKT"
"1574994900","26521","26521","26478","26478","11","2019-11-29 10:35:00 HKT"
"1574995200","26492","26512","26491","26512","3","2019-11-29 10:40:00 HKT"
"1574995500","26523","26526","26523","26523","3","2019-11-29 10:45:00 HKT"
"1574995800","26495","26495","26495","26495","2","2019-11-29 10:50:00 HKT"
"1574996100","26491","26511","26491","26511","2","2019-11-29 10:55:00 HKT"
"1574996400","26509","26509","26472","26481","11","2019-11-29 11:00:00 HKT"
"1574996700","26489","26500","26489","26495","4","2019-11-29 11:05:00 HKT"
"1574997000","26480","26480","26466","26466","9","2019-11-29 11:10:00 HKT"
"1574997300","26450","26457","26441","26447","8","2019-11-29 11:15:00 HKT"
"1574997600","26454","26469","26454","26469","5","2019-11-29 11:20:00 HKT"
"1574997900","26449","26449","26435","26435","5","2019-11-29 11:25:00 HKT"
"1574998200","26454","26460","26451","26451","5","2019-11-29 11:30:00 HKT"
"1574998500","26436","26440","26432","26440","5","2019-11-29 11:35:00 HKT"
"1574998800","26432","26432","26406","26422","7","2019-11-29 11:40:00 HKT"
"1574999100","26423","26426","26423","26426","3","2019-11-29 11:45:00 HKT"
"1574999400","26434","26442","26434","26438","5","2019-11-29 11:50:00 HKT"
"1574999700","26442","26442","26442","26442","2","2019-11-29 11:55:00 HKT"
"1575003600","26440","26440","26423","26430","9","2019-11-29 13:00:00 HKT"
"1575003900","26420","26430","26420","26425","4","2019-11-29 13:05:00 HKT"
"1575004200","26420","26420","26407","26418","7","2019-11-29 13:10:00 HKT"
"1575004500","26420","26420","26409","26409","3","2019-11-29 13:15:00 HKT"
"1575004800","26406","26423","26406","26423","3","2019-11-29 13:20:00 HKT"
"1575005100","26419","26426","26419","26425","7","2019-11-29 13:25:00 HKT"
"1575005400","26430","26430","26430","26430","2","2019-11-29 13:30:00 HKT"
"1575005700","26406","26406","26398","26398","2","2019-11-29 13:35:00 HKT"
"1575006000","26400","26400","26400","26400","1","2019-11-29 13:40:00 HKT"
"1575006600","26420","26428","26418","26419","6","2019-11-29 13:50:00 HKT"
"1575006900","26426","26429","26425","26429","4","2019-11-29 13:55:00 HKT"
"1575007200","26435","26435","26435","26435","1","2019-11-29 14:00:00 HKT"
"1575007800","26402","26402","26401","26401","2","2019-11-29 14:10:00 HKT"
"1575008100","26412","26419","26412","26419","4","2019-11-29 14:15:00 HKT"
"1575008400","26420","26425","26420","26425","2","2019-11-29 14:20:00 HKT"
"1575008700","26420","26420","26420","26420","1","2019-11-29 14:25:00 HKT"
"1575009000","26435","26475","26435","26475","6","2019-11-29 14:30:00 HKT"
"1575009300","26478","26478","26456","26456","2","2019-11-29 14:35:00 HKT"
"1575009600","26447","26452","26447","26452","2","2019-11-29 14:40:00 HKT"
"1575009900","26440","26442","26433","26435","8","2019-11-29 14:45:00 HKT"
"1575010200","26444","26449","26443","26443","5","2019-11-29 14:50:00 HKT"
"1575010500","26436","26436","26436","26436","1","2019-11-29 14:55:00 HKT"
"1575010800","26434","26443","26421","26430","6","2019-11-29 15:00:00 HKT"
"1575011100","26420","26420","26420","26420","1","2019-11-29 15:05:00 HKT"
"1575011400","26400","26400","26388","26388","2","2019-11-29 15:10:00 HKT"
"1575011700","26400","26400","26398","26398","2","2019-11-29 15:15:00 HKT"
"1575012000","26419","26419","26406","26406","2","2019-11-29 15:20:00 HKT"
"1575012300","26405","26418","26402","26418","6","2019-11-29 15:25:00 HKT"
"1575012600","26428","26433","26428","26433","2","2019-11-29 15:30:00 HKT"
"1575013200","26435","26435","26435","26435","1","2019-11-29 15:40:00 HKT"
"1575013500","26433","26433","26433","26433","1","2019-11-29 15:45:00 HKT"
"1575013800","26419","26419","26419","26419","1","2019-11-29 15:50:00 HKT"
"1575014100","26420","26420","26410","26410","3","2019-11-29 15:55:00 HKT"
"1575014400","26413","26413","26413","26413","1","2019-11-29 16:00:00 HKT"
"1575015000","26428","26440","26427","26440","5","2019-11-29 16:10:00 HKT"
"1575015900","26439","26450","26404","26408","8","2019-11-29 16:25:00 HKT"
"1575018900","26460","26460","26460","26460","1","2019-11-29 17:15:00 HKT"
"1575019200","26462","26468","26462","26467","3","2019-11-29 17:20:00 HKT"
"1575020100","26474","26474","26474","26474","1","2019-11-29 17:35:00 HKT"
"1575020400","26464","26464","26464","26464","1","2019-11-29 17:40:00 HKT"
"1575021000","26465","26465","26465","26465","1","2019-11-29 17:50:00 HKT"
"1575024300","26466","26468","26466","26468","2","2019-11-29 18:45:00 HKT"
"1575027000","26490","26490","26490","26490","1","2019-11-29 19:30:00 HKT"
"1575027600","26488","26488","26488","26488","1","2019-11-29 19:40:00 HKT"
"1575028800","26490","26498","26490","26498","3","2019-11-29 20:00:00 HKT"
"1575029700","26477","26477","26477","26477","1","2019-11-29 20:15:00 HKT"
"1575030600","26485","26485","26485","26485","1","2019-11-29 20:30:00 HKT"
"1575032400","26478","26478","26478","26478","1","2019-11-29 21:00:00 HKT"
"1575032700","26477","26477","26474","26474","4","2019-11-29 21:05:00 HKT"
"1575033300","26466","26466","26466","26466","2","2019-11-29 21:15:00 HKT"
"1575036000","26455","26455","26455","26455","1","2019-11-29 22:00:00 HKT"
"1575036900","26444","26444","26444","26444","1","2019-11-29 22:15:00 HKT"
"1575037200","26433","26433","26433","26433","1","2019-11-29 22:20:00 HKT"
"1575037500","26434","26434","26420","26420","4","2019-11-29 22:25:00 HKT"
"1575037800","26415","26415","26400","26400","6","2019-11-29 22:30:00 HKT"
"1575038100","26419","26420","26419","26420","2","2019-11-29 22:35:00 HKT"
"1575038700","26435","26435","26435","26435","1","2019-11-29 22:45:00 HKT"
"1575039000","26444","26460","26444","26460","3","2019-11-29 22:50:00 HKT"
"1575039600","26470","26470","26470","26470","2","2019-11-29 23:00:00 HKT"
"1575039900","26472","26484","26472","26484","4","2019-11-29 23:05:00 HKT"
"1575040200","26484","26484","26484","26484","2","2019-11-29 23:10:00 HKT"
"1575040500","26482","26482","26482","26482","1","2019-11-29 23:15:00 HKT"
"1575040800","26474","26474","26467","26467","2","2019-11-29 23:20:00 HKT"
"1575041400","26455","26455","26452","26452","2","2019-11-29 23:30:00 HKT"
"1575041700","26454","26454","26454","26454","2","2019-11-29 23:35:00 HKT"
"1575042300","26459","26459","26459","26459","1","2019-11-29 23:45:00 HKT"
"1575042600","26460","26460","26460","26460","1","2019-11-29 23:50:00 HKT"
"1575042900","26460","26460","26460","26460","1","2019-11-29 23:55:00 HKT"
"1575043200","26456","26456","26456","26456","1","2019-11-30 00:00:00 HKT"
"1575044400","26468","26468","26468","26468","1","2019-11-30 00:20:00 HKT"
"1575044700","26470","26470","26470","26470","2","2019-11-30 00:25:00 HKT"
"1575045600","26460","26460","26460","26460","1","2019-11-30 00:40:00 HKT"
"1575045900","26447","26447","26447","26447","2","2019-11-30 00:45:00 HKT"
"1575046800","26474","26474","26474","26474","1","2019-11-30 01:00:00 HKT"
"1575047100","26466","26466","26466","26466","1","2019-11-30 01:05:00 HKT"
"1575047700","26444","26444","26444","26444","3","2019-11-30 01:15:00 HKT"
"1575049200","26438","26438","26438","26438","1","2019-11-30 01:40:00 HKT"
"1575050700","26453","26453","26453","26453","1","2019-11-30 02:05:00 HKT"
"1575053400","26443","26443","26443","26443","1","2019-11-30 02:50:00 HKT"
"1575249000","26439","26439","26439","26439","1","2019-12-02 09:10:00 HKT"
"1575249300","26499","26574","26499","26566","18","2019-12-02 09:15:00 HKT"
"1575249600","26552","26572","26547","26570","20","2019-12-02 09:20:00 HKT"
"1575249900","26565","26630","26565","26616","31","2019-12-02 09:25:00 HKT"
"1575250200","26604","26604","26540","26553","16","2019-12-02 09:30:00 HKT"
"1575250500","26552","26552","26489","26489","12","2019-12-02 09:35:00 HKT"
"1575250800","26496","26496","26480","26494","4","2019-12-02 09:40:00 HKT"
"1575251100","26554","26594","26554","26584","7","2019-12-02 09:45:00 HKT"
"1575251400","26586","26600","26577","26600","18","2019-12-02 09:50:00 HKT"
"1575251700","26589","26600","26577","26600","10","2019-12-02 09:55:00 HKT"
"1575252000","26602","26602","26570","26570","3","2019-12-02 10:00:00 HKT"
"1575252300","26559","26559","26538","26538","8","2019-12-02 10:05:00 HKT"
"1575252600","26549","26550","26549","26550","2","2019-12-02 10:10:00 HKT"
"1575252900","26545","26564","26545","26564","6","2019-12-02 10:15:00 HKT"
"1575253200","26571","26575","26570","26575","4","2019-12-02 10:20:00 HKT"
"1575253800","26590","26590","26556","26556","7","2019-12-02 10:30:00 HKT"
"1575254100","26560","26560","26560","26560","1","2019-12-02 10:35:00 HKT"
"1575254400","26582","26598","26582","26598","3","2019-12-02 10:40:00 HKT"
"1575254700","26570","26570","26540","26540","9","2019-12-02 10:45:00 HKT"
"1575255000","26570","26570","26527","26527","6","2019-12-02 10:50:00 HKT"
"1575255300","26542","26542","26535","26542","4","2019-12-02 10:55:00 HKT"
"1575255600","26543","26560","26543","26560","3","2019-12-02 11:00:00 HKT"
"1575255900","26557","26560","26557","26560","3","2019-12-02 11:05:00 HKT"
"1575256200","26553","26553","26553","26553","1","2019-12-02 11:10:00 HKT"
"1575256800","26565","26565","26565","26565","1","2019-12-02 11:20:00 HKT"
"1575257400","26569","26569","26551","26551","4","2019-12-02 11:30:00 HKT"
"1575257700","26555","26555","26555","26555","1","2019-12-02 11:35:00 HKT"
"1575258000","26556","26556","26556","26556","1","2019-12-02 11:40:00 HKT"
"1575258600","26559","26559","26557","26557","2","2019-12-02 11:50:00 HKT"
"1575258900","26550","26550","26550","26550","1","2019-12-02 11:55:00 HKT"
"1575262800","26540","26550","26534","26550","6","2019-12-02 13:00:00 HKT"
"1575263100","26530","26530","26518","26518","9","2019-12-02 13:05:00 HKT"
"1575263400","26519","26531","26519","26531","6","2019-12-02 13:10:00 HKT"
"1575263700","26533","26537","26526","26526","5","2019-12-02 13:15:00 HKT"
"1575264000","26522","26522","26517","26517","4","2019-12-02 13:20:00 HKT"
"1575264300","26518","26518","26518","26518","3","2019-12-02 13:25:00 HKT"
"1575264600","26513","26525","26513","26522","7","2019-12-02 13:30:00 HKT"
"1575264900","26526","26526","26525","26526","3","2019-12-02 13:35:00 HKT"
"1575265200","26526","26536","26526","26536","4","2019-12-02 13:40:00 HKT"
"1575265500","26536","26536","26536","26536","1","2019-12-02 13:45:00 HKT"
"1575265800","26540","26540","26540","26540","1","2019-12-02 13:50:00 HKT"
"1575266100","26525","26525","26525","26525","2","2019-12-02 13:55:00 HKT"
"1575267000","26534","26534","26534","26534","2","2019-12-02 14:10:00 HKT"
"1575267600","26521","26521","26521","26521","1","2019-12-02 14:20:00 HKT"
"1575267900","26529","26529","26515","26515","4","2019-12-02 14:25:00 HKT"
"1575268200","26515","26515","26509","26513","4","2019-12-02 14:30:00 HKT"
"1575268500","26523","26523","26519","26523","3","2019-12-02 14:35:00 HKT"
"1575268800","26525","26529","26525","26529","2","2019-12-02 14:40:00 HKT"
"1575269100","26534","26534","26533","26533","2","2019-12-02 14:45:00 HKT"
"1575269400","26534","26544","26534","26544","8","2019-12-02 14:50:00 HKT"
"1575269700","26545","26546","26545","26546","4","2019-12-02 14:55:00 HKT"
"1575270300","26538","26538","26538","26538","1","2019-12-02 15:05:00 HKT"
"1575270600","26531","26531","26531","26531","2","2019-12-02 15:10:00 HKT"
"1575270900","26546","26546","26546","26546","2","2019-12-02 15:15:00 HKT"
"1575271200","26548","26555","26548","26555","4","2019-12-02 15:20:00 HKT"
"1575271800","26530","26530","26526","26526","3","2019-12-02 15:30:00 HKT"
"1575272100","26524","26524","26515","26515","4","2019-12-02 15:35:00 HKT"
"1575272400","26525","26532","26523","26531","4","2019-12-02 15:40:00 HKT"
"1575273300","26530","26530","26530","26530","2","2019-12-02 15:55:00 HKT"
"1575273900","26529","26529","26526","26526","2","2019-12-02 16:05:00 HKT"
"1575274200","26515","26515","26514","26514","2","2019-12-02 16:10:00 HKT"
"1575274500","26530","26530","26515","26515","3","2019-12-02 16:15:00 HKT"
"1575275100","26538","26538","26538","26538","1","2019-12-02 16:25:00 HKT"
"1575278100","26550","26555","26550","26553","3","2019-12-02 17:15:00 HKT"
"1575278400","26538","26540","26538","26540","2","2019-12-02 17:20:00 HKT"
"1575279300","26540","26540","26540","26540","1","2019-12-02 17:35:00 HKT"
"1575279900","26529","26529","26529","26529","4","2019-12-02 17:45:00 HKT"
"1575280200","26534","26534","26534","26534","1","2019-12-02 17:50:00 HKT"
"1575281100","26531","26531","26531","26531","1","2019-12-02 18:05:00 HKT"
"1575281400","26536","26536","26536","26536","1","2019-12-02 18:10:00 HKT"
"1575282000","26544","26545","26544","26545","2","2019-12-02 18:20:00 HKT"
"1575284400","26525","26525","26524","26524","2","2019-12-02 19:00:00 HKT"
"1575284700","26515","26515","26515","26515","1","2019-12-02 19:05:00 HKT"
"1575285000","26516","26516","26516","26516","1","2019-12-02 19:10:00 HKT"
"1575285300","26500","26500","26490","26493","6","2019-12-02 19:15:00 HKT"
"1575285600","26487","26487","26487","26487","1","2019-12-02 19:20:00 HKT"
"1575286200","26483","26483","26466","26466","3","2019-12-02 19:30:00 HKT"
"1575286800","26472","26475","26472","26473","4","2019-12-02 19:40:00 HKT"
"1575287100","26470","26470","26470","26470","2","2019-12-02 19:45:00 HKT"
"1575287400","26469","26469","26459","26459","4","2019-12-02 19:50:00 HKT"
"1575287700","26464","26472","26464","26472","4","2019-12-02 19:55:00 HKT"
"1575289200","26485","26485","26485","26485","1","2019-12-02 20:20:00 HKT"
"1575291300","26489","26489","26489","26489","1","2019-12-02 20:55:00 HKT"
"1575291600","26480","26480","26480","26480","2","2019-12-02 21:00:00 HKT"
"1575292200","26480","26480","26477","26477","5","2019-12-02 21:10:00 HKT"
"1575292500","26466","26467","26459","26461","5","2019-12-02 21:15:00 HKT"
"1575293400","26460","26460","26455","26455","2","2019-12-02 21:30:00 HKT"
"1575293700","26460","26460","26460","26460","1","2019-12-02 21:35:00 HKT"
"1575294300","26455","26455","26455","26455","1","2019-12-02 21:45:00 HKT"
"1575294900","26482","26482","26482","26482","2","2019-12-02 21:55:00 HKT"
"1575297000","26470","26470","26464","26468","6","2019-12-02 22:30:00 HKT"
"1575297300","26462","26462","26444","26444","12","2019-12-02 22:35:00 HKT"
"1575297600","26445","26453","26445","26452","8","2019-12-02 22:40:00 HKT"
"1575298500","26468","26468","26465","26465","2","2019-12-02 22:55:00 HKT"
"1575298800","26438","26438","26433","26433","7","2019-12-02 23:00:00 HKT"
"1575299100","26429","26440","26418","26440","6","2019-12-02 23:05:00 HKT"
"1575299400","26455","26455","26455","26455","1","2019-12-02 23:10:00 HKT"
"1575299700","26455","26455","26447","26447","4","2019-12-02 23:15:00 HKT"
"1575300000","26451","26451","26451","26451","1","2019-12-02 23:20:00 HKT"
"1575300300","26450","26450","26450","26450","1","2019-12-02 23:25:00 HKT"
"1575300600","26434","26439","26434","26439","2","2019-12-02 23:30:00 HKT"
"1575300900","26420","26432","26415","26428","6","2019-12-02 23:35:00 HKT"
"1575301200","26442","26444","26442","26444","3","2019-12-02 23:40:00 HKT"
"1575302100","26420","26423","26420","26423","11","2019-12-02 23:55:00 HKT"
"1575302400","26400","26400","26400","26400","3","2019-12-03 00:00:00 HKT"
"1575302700","26395","26410","26395","26410","4","2019-12-03 00:05:00 HKT"
"1575303000","26405","26405","26400","26400","2","2019-12-03 00:10:00 HKT"
"1575303300","26410","26410","26410","26410","1","2019-12-03 00:15:00 HKT"
"1575303600","26426","26426","26426","26426","1","2019-12-03 00:20:00 HKT"
"1575303900","26430","26432","26430","26432","2","2019-12-03 00:25:00 HKT"
"1575304200","26412","26412","26412","26412","1","2019-12-03 00:30:00 HKT"
"1575304800","26408","26408","26408","26408","1","2019-12-03 00:40:00 HKT"
"1575306900","26430","26430","26430","26430","1","2019-12-03 01:15:00 HKT"
"1575307500","26438","26438","26375","26375","10","2019-12-03 01:25:00 HKT"
