"time","open","high","low","close","Volume","localTime"
"1584730500","21876","21876","21830","21830","4","2020-03-21 02:55:00 HKT"
"1584926100","20981","21307","20981","21219","36","2020-03-23 09:15:00 HKT"
"1584926400","21230","21241","21143","21187","13","2020-03-23 09:20:00 HKT"
"1584926700","21183","21236","21133","21236","7","2020-03-23 09:25:00 HKT"
"1584927000","21300","21459","21288","21455","22","2020-03-23 09:30:00 HKT"
"1584927300","21436","21549","21388","21549","22","2020-03-23 09:35:00 HKT"
"1584927600","21500","21512","21400","21427","11","2020-03-23 09:40:00 HKT"
"1584927900","21423","21471","21359","21471","11","2020-03-23 09:45:00 HKT"
"1584928200","21460","21471","21419","21454","15","2020-03-23 09:50:00 HKT"
"1584928500","21475","21541","21475","21540","15","2020-03-23 09:55:00 HKT"
"1584928800","21398","21420","21388","21420","5","2020-03-23 10:00:00 HKT"
"1584929100","21388","21419","21388","21389","3","2020-03-23 10:05:00 HKT"
"1584929400","21397","21435","21378","21380","9","2020-03-23 10:10:00 HKT"
"1584929700","21388","21427","21372","21372","8","2020-03-23 10:15:00 HKT"
"1584930000","21350","21350","21313","21313","19","2020-03-23 10:20:00 HKT"
"1584930300","21425","21453","21425","21434","5","2020-03-23 10:25:00 HKT"
"1584930600","21400","21430","21373","21410","8","2020-03-23 10:30:00 HKT"
"1584930900","21400","21433","21400","21400","5","2020-03-23 10:35:00 HKT"
"1584931200","21355","21424","21355","21402","5","2020-03-23 10:40:00 HKT"
"1584931500","21430","21432","21426","21426","3","2020-03-23 10:45:00 HKT"
"1584931800","21398","21430","21398","21407","5","2020-03-23 10:50:00 HKT"
"1584932100","21368","21414","21368","21414","4","2020-03-23 10:55:00 HKT"
"1584932400","21457","21568","21457","21568","8","2020-03-23 11:00:00 HKT"
"1584932700","21570","21570","21560","21560","2","2020-03-23 11:05:00 HKT"
"1584933000","21488","21520","21488","21502","5","2020-03-23 11:10:00 HKT"
"1584933300","21490","21520","21490","21520","2","2020-03-23 11:15:00 HKT"
"1584933600","21536","21568","21536","21559","9","2020-03-23 11:20:00 HKT"
"1584933900","21598","21666","21594","21666","7","2020-03-23 11:25:00 HKT"
"1584934200","21646","21671","21630","21654","38","2020-03-23 11:30:00 HKT"
"1584934500","21630","21630","21630","21630","1","2020-03-23 11:35:00 HKT"
"1584935100","21560","21563","21560","21563","2","2020-03-23 11:45:00 HKT"
"1584935400","21610","21659","21610","21654","5","2020-03-23 11:50:00 HKT"
"1584935700","21580","21580","21549","21549","26","2020-03-23 11:55:00 HKT"
"1584939300","21688","21688","21688","21688","1","2020-03-23 12:55:00 HKT"
"1584939600","21603","21603","21500","21500","7","2020-03-23 13:00:00 HKT"
"1584939900","21504","21504","21450","21450","5","2020-03-23 13:05:00 HKT"
"1584940500","21340","21363","21320","21362","48","2020-03-23 13:15:00 HKT"
"1584940800","21355","21355","21342","21342","2","2020-03-23 13:20:00 HKT"
"1584941100","21348","21348","21348","21348","1","2020-03-23 13:25:00 HKT"
"1584941700","21376","21376","21376","21376","1","2020-03-23 13:35:00 HKT"
"1584942000","21370","21370","21350","21350","2","2020-03-23 13:40:00 HKT"
"1584942600","21350","21350","21350","21350","1","2020-03-23 13:50:00 HKT"
"1584942900","21388","21388","21388","21388","1","2020-03-23 13:55:00 HKT"
"1584943500","21448","21448","21448","21448","1","2020-03-23 14:05:00 HKT"
"1584943800","21453","21453","21400","21400","4","2020-03-23 14:10:00 HKT"
"1584944100","21425","21425","21425","21425","1","2020-03-23 14:15:00 HKT"
"1584945000","21373","21373","21373","21373","22","2020-03-23 14:30:00 HKT"
"1584945300","21326","21326","21300","21300","4","2020-03-23 14:35:00 HKT"
"1584945600","21300","21310","21280","21310","5","2020-03-23 14:40:00 HKT"
"1584945900","21314","21325","21299","21321","9","2020-03-23 14:45:00 HKT"
"1584946200","21322","21322","21322","21322","1","2020-03-23 14:50:00 HKT"
"1584947700","21421","21421","21421","21421","1","2020-03-23 15:15:00 HKT"
"1584948300","21333","21333","21333","21333","1","2020-03-23 15:25:00 HKT"
"1584948600","21300","21300","21257","21257","6","2020-03-23 15:30:00 HKT"
"1584948900","21234","21234","21234","21234","2","2020-03-23 15:35:00 HKT"
"1584949200","21274","21274","21254","21254","2","2020-03-23 15:40:00 HKT"
"1584949500","21259","21259","21195","21195","5","2020-03-23 15:45:00 HKT"
"1584949800","21194","21219","21194","21219","3","2020-03-23 15:50:00 HKT"
"1584950100","21229","21238","21229","21238","3","2020-03-23 15:55:00 HKT"
"1584950400","21285","21285","21285","21285","1","2020-03-23 16:00:00 HKT"
"1584951300","21160","21220","21160","21220","2","2020-03-23 16:15:00 HKT"
"1584951600","21155","21155","21114","21114","3","2020-03-23 16:20:00 HKT"
"1584951900","21079","21079","21030","21047","4","2020-03-23 16:25:00 HKT"
"1584954900","21159","21159","21157","21157","10","2020-03-23 17:15:00 HKT"
"1584955200","21142","21151","21142","21151","2","2020-03-23 17:20:00 HKT"
"1584955500","21126","21126","21126","21126","1","2020-03-23 17:25:00 HKT"
"1584955800","21181","21204","21181","21204","2","2020-03-23 17:30:00 HKT"
"1584956400","21225","21225","21223","21223","2","2020-03-23 17:40:00 HKT"
"1584956700","21297","21297","21297","21297","1","2020-03-23 17:45:00 HKT"
"1584957900","21254","21254","21254","21254","1","2020-03-23 18:05:00 HKT"
"1584960900","21287","21287","21280","21280","16","2020-03-23 18:55:00 HKT"
"1584961200","21260","21270","21260","21270","3","2020-03-23 19:00:00 HKT"
"1584961500","21267","21267","21267","21267","1","2020-03-23 19:05:00 HKT"
"1584961800","21250","21250","21250","21250","1","2020-03-23 19:10:00 HKT"
"1584962100","21220","21220","21220","21220","10","2020-03-23 19:15:00 HKT"
"1584963300","21147","21147","21134","21134","3","2020-03-23 19:35:00 HKT"
"1584963600","21143","21143","21143","21143","1","2020-03-23 19:40:00 HKT"
"1584964200","21159","21159","21145","21145","2","2020-03-23 19:50:00 HKT"
"1584964500","21160","21160","21160","21160","1","2020-03-23 19:55:00 HKT"
"1584964800","21300","21500","21300","21500","9","2020-03-23 20:00:00 HKT"
"1584965100","21558","21558","21460","21530","6","2020-03-23 20:05:00 HKT"
"1584965400","21554","21763","21554","21710","15","2020-03-23 20:10:00 HKT"
"1584965700","21774","21948","21774","21899","19","2020-03-23 20:15:00 HKT"
"1584966000","21899","22083","21899","22055","9","2020-03-23 20:20:00 HKT"
"1584966300","22055","22055","22047","22047","3","2020-03-23 20:25:00 HKT"
"1584966600","21850","21850","21810","21810","3","2020-03-23 20:30:00 HKT"
"1584966900","21839","21839","21839","21839","1","2020-03-23 20:35:00 HKT"
"1584967200","21907","21973","21907","21940","6","2020-03-23 20:40:00 HKT"
"1584967500","21950","21956","21950","21956","2","2020-03-23 20:45:00 HKT"
"1584967800","21915","22003","21915","21989","5","2020-03-23 20:50:00 HKT"
"1584968100","22015","22021","22015","22021","2","2020-03-23 20:55:00 HKT"
"1584968400","22015","22015","21990","21990","3","2020-03-23 21:00:00 HKT"
"1584969000","21911","21911","21883","21883","4","2020-03-23 21:10:00 HKT"
"1584969300","21850","21854","21850","21854","3","2020-03-23 21:15:00 HKT"
"1584969600","21820","21820","21787","21791","8","2020-03-23 21:20:00 HKT"
"1584969900","21754","21757","21751","21751","4","2020-03-23 21:25:00 HKT"
"1584970200","21620","21696","21593","21696","7","2020-03-23 21:30:00 HKT"
"1584970500","21632","21632","21460","21460","6","2020-03-23 21:35:00 HKT"
"1584970800","21477","21477","21477","21477","1","2020-03-23 21:40:00 HKT"
"1584971100","21500","21590","21500","21590","5","2020-03-23 21:45:00 HKT"
"1584971400","21651","21660","21651","21660","7","2020-03-23 21:50:00 HKT"
"1584971700","21700","21730","21700","21700","5","2020-03-23 21:55:00 HKT"
"1584972000","21700","21700","21610","21610","10","2020-03-23 22:00:00 HKT"
"1584972300","21631","21642","21619","21619","12","2020-03-23 22:05:00 HKT"
"1584972600","21625","21661","21625","21661","8","2020-03-23 22:10:00 HKT"
"1584972900","21690","21690","21581","21581","8","2020-03-23 22:15:00 HKT"
"1584973200","21566","21645","21566","21645","7","2020-03-23 22:20:00 HKT"
"1584973500","21588","21627","21570","21627","13","2020-03-23 22:25:00 HKT"
"1584973800","21596","21608","21571","21608","8","2020-03-23 22:30:00 HKT"
"1584974100","21594","21594","21545","21568","3","2020-03-23 22:35:00 HKT"
"1584974400","21620","21620","21620","21620","5","2020-03-23 22:40:00 HKT"
"1584974700","21566","21566","21566","21566","4","2020-03-23 22:45:00 HKT"
"1584975000","21565","21565","21510","21510","5","2020-03-23 22:50:00 HKT"
"1584975300","21488","21489","21450","21450","4","2020-03-23 22:55:00 HKT"
"1584975900","21486","21486","21486","21486","5","2020-03-23 23:05:00 HKT"
"1584976200","21499","21499","21499","21499","1","2020-03-23 23:10:00 HKT"
"1584976500","21436","21436","21388","21388","3","2020-03-23 23:15:00 HKT"
"1584976800","21369","21369","21330","21330","4","2020-03-23 23:20:00 HKT"
"1584977100","21288","21288","21274","21274","2","2020-03-23 23:25:00 HKT"
"1584977400","21331","21331","21290","21294","4","2020-03-23 23:30:00 HKT"
"1584977700","21280","21280","21280","21280","1","2020-03-23 23:35:00 HKT"
"1584978000","21200","21200","21188","21188","3","2020-03-23 23:40:00 HKT"
"1584978300","21144","21188","21144","21171","6","2020-03-23 23:45:00 HKT"
"1584978600","21202","21285","21185","21285","6","2020-03-23 23:50:00 HKT"
"1584978900","21247","21247","21235","21237","3","2020-03-23 23:55:00 HKT"
"1584979200","21325","21355","21325","21355","2","2020-03-24 00:00:00 HKT"
"1584979800","21246","21246","21246","21246","1","2020-03-24 00:10:00 HKT"
"1584980100","21330","21405","21326","21405","12","2020-03-24 00:15:00 HKT"
"1584980700","21367","21367","21367","21367","6","2020-03-24 00:25:00 HKT"
"1584981300","21400","21400","21400","21400","4","2020-03-24 00:35:00 HKT"
"1584981600","21426","21536","21426","21536","6","2020-03-24 00:40:00 HKT"
"1584981900","21548","21600","21548","21600","3","2020-03-24 00:45:00 HKT"
"1584982200","21603","21603","21603","21603","1","2020-03-24 00:50:00 HKT"
"1584982500","21600","21600","21600","21600","1","2020-03-24 00:55:00 HKT"
"1584983100","21550","21617","21549","21617","6","2020-03-24 01:05:00 HKT"
"1584983400","21677","21745","21677","21745","5","2020-03-24 01:10:00 HKT"
"1584984000","21615","21615","21609","21610","4","2020-03-24 01:20:00 HKT"
"1584984300","21612","21612","21612","21612","1","2020-03-24 01:25:00 HKT"
"1584985800","21663","21663","21593","21593","6","2020-03-24 01:50:00 HKT"
"1584986700","21398","21398","21398","21398","1","2020-03-24 02:05:00 HKT"
"1584987000","21418","21418","21418","21418","1","2020-03-24 02:10:00 HKT"
"1584989100","21550","21550","21550","21550","1","2020-03-24 02:45:00 HKT"
"1585012200","21809","21809","21809","21809","1","2020-03-24 09:10:00 HKT"
"1585012500","21840","22210","21840","22096","39","2020-03-24 09:15:00 HKT"
"1585012800","22080","22120","22040","22040","12","2020-03-24 09:20:00 HKT"
"1585013100","22077","22077","22050","22064","5","2020-03-24 09:25:00 HKT"
"1585013400","22003","22098","21964","22098","6","2020-03-24 09:30:00 HKT"
"1585013700","22025","22170","22025","22115","9","2020-03-24 09:35:00 HKT"
"1585014000","22117","22117","22006","22022","11","2020-03-24 09:40:00 HKT"
"1585014300","22090","22100","22090","22099","6","2020-03-24 09:45:00 HKT"
"1585014600","22163","22203","22150","22199","15","2020-03-24 09:50:00 HKT"
"1585014900","22228","22288","22202","22288","5","2020-03-24 09:55:00 HKT"
"1585015200","22257","22280","22145","22145","26","2020-03-24 10:00:00 HKT"
"1585015500","22221","22221","22137","22137","6","2020-03-24 10:05:00 HKT"
"1585015800","22123","22128","22123","22128","5","2020-03-24 10:10:00 HKT"
"1585016100","22105","22130","22105","22130","2","2020-03-24 10:15:00 HKT"
"1585016400","22093","22136","22085","22136","7","2020-03-24 10:20:00 HKT"
"1585016700","22180","22200","22156","22200","10","2020-03-24 10:25:00 HKT"
"1585017000","22193","22193","22170","22170","2","2020-03-24 10:30:00 HKT"
"1585017300","22180","22200","22150","22150","7","2020-03-24 10:35:00 HKT"
"1585017600","22100","22109","22090","22109","4","2020-03-24 10:40:00 HKT"
"1585017900","22140","22140","22103","22103","12","2020-03-24 10:45:00 HKT"
"1585018200","22100","22183","22100","22183","5","2020-03-24 10:50:00 HKT"
"1585018500","22190","22240","22190","22240","6","2020-03-24 10:55:00 HKT"
"1585018800","22187","22187","22170","22170","12","2020-03-24 11:00:00 HKT"
"1585019100","22140","22140","22130","22130","2","2020-03-24 11:05:00 HKT"
"1585019400","22088","22097","22088","22088","5","2020-03-24 11:10:00 HKT"
"1585019700","22031","22078","22025","22078","14","2020-03-24 11:15:00 HKT"
"1585020000","22022","22071","22022","22071","5","2020-03-24 11:20:00 HKT"
"1585020300","22054","22054","22050","22050","2","2020-03-24 11:25:00 HKT"
"1585020900","22059","22059","22000","22000","8","2020-03-24 11:35:00 HKT"
"1585021200","21995","22015","21980","22015","3","2020-03-24 11:40:00 HKT"
"1585021500","22030","22030","22030","22030","4","2020-03-24 11:45:00 HKT"
"1585022100","22042","22045","22042","22045","2","2020-03-24 11:55:00 HKT"
"1585025700","22062","22062","22062","22062","1","2020-03-24 12:55:00 HKT"
"1585026000","22118","22127","22118","22127","7","2020-03-24 13:00:00 HKT"
"1585026300","22117","22117","22110","22110","13","2020-03-24 13:05:00 HKT"
"1585026900","22131","22131","22125","22125","2","2020-03-24 13:15:00 HKT"
"1585027500","22057","22057","22057","22057","1","2020-03-24 13:25:00 HKT"
"1585027800","22038","22038","22028","22028","2","2020-03-24 13:30:00 HKT"
"1585028100","22021","22026","22021","22026","2","2020-03-24 13:35:00 HKT"
"1585028700","22042","22063","22040","22063","3","2020-03-24 13:45:00 HKT"
"1585029000","22065","22080","22065","22080","3","2020-03-24 13:50:00 HKT"
"1585029300","22100","22127","22100","22120","4","2020-03-24 13:55:00 HKT"
"1585029600","22122","22122","22122","22122","1","2020-03-24 14:00:00 HKT"
"1585029900","22144","22180","22144","22180","8","2020-03-24 14:05:00 HKT"
"1585030200","22210","22210","22168","22168","5","2020-03-24 14:10:00 HKT"
"1585030500","22220","22270","22212","22264","9","2020-03-24 14:15:00 HKT"
"1585030800","22280","22288","22270","22283","14","2020-03-24 14:20:00 HKT"
"1585031100","22300","22365","22300","22360","6","2020-03-24 14:25:00 HKT"
"1585031400","22317","22317","22317","22317","1","2020-03-24 14:30:00 HKT"
"1585031700","22275","22333","22275","22331","6","2020-03-24 14:35:00 HKT"
"1585032000","22302","22302","22301","22301","2","2020-03-24 14:40:00 HKT"
"1585032300","22328","22328","22304","22304","2","2020-03-24 14:45:00 HKT"
"1585032600","22280","22300","22280","22300","4","2020-03-24 14:50:00 HKT"
"1585033200","22280","22280","22280","22280","3","2020-03-24 15:00:00 HKT"
"1585033500","22250","22250","22249","22249","4","2020-03-24 15:05:00 HKT"
"1585033800","22240","22240","22240","22240","1","2020-03-24 15:10:00 HKT"
"1585034100","22226","22256","22205","22256","5","2020-03-24 15:15:00 HKT"
"1585034400","22283","22298","22280","22283","17","2020-03-24 15:20:00 HKT"
"1585034700","22296","22296","22296","22296","1","2020-03-24 15:25:00 HKT"
"1585035000","22306","22311","22306","22311","2","2020-03-24 15:30:00 HKT"
"1585035300","22244","22244","22244","22244","1","2020-03-24 15:35:00 HKT"
"1585035600","22256","22256","22215","22222","16","2020-03-24 15:40:00 HKT"
"1585035900","22237","22237","22237","22237","1","2020-03-24 15:45:00 HKT"
"1585036200","22251","22251","22198","22198","2","2020-03-24 15:50:00 HKT"
"1585036500","22246","22246","22245","22245","4","2020-03-24 15:55:00 HKT"
"1585036800","22300","22316","22300","22310","5","2020-03-24 16:00:00 HKT"
"1585037100","22309","22322","22309","22322","2","2020-03-24 16:05:00 HKT"
"1585037400","22341","22345","22341","22345","3","2020-03-24 16:10:00 HKT"
"1585037700","22380","22380","22300","22300","2","2020-03-24 16:15:00 HKT"
"1585038300","22350","22366","22340","22340","8","2020-03-24 16:25:00 HKT"
"1585041300","22366","22458","22366","22418","8","2020-03-24 17:15:00 HKT"
"1585041600","22428","22446","22428","22446","2","2020-03-24 17:20:00 HKT"
"1585041900","22401","22417","22401","22417","3","2020-03-24 17:25:00 HKT"
"1585042200","22406","22406","22406","22406","1","2020-03-24 17:30:00 HKT"
"1585042500","22482","22482","22482","22482","1","2020-03-24 17:35:00 HKT"
"1585042800","22494","22508","22494","22508","12","2020-03-24 17:40:00 HKT"
"1585043100","22555","22600","22555","22600","9","2020-03-24 17:45:00 HKT"
"1585043400","22600","22600","22590","22590","3","2020-03-24 17:50:00 HKT"
"1585043700","22637","22688","22637","22688","7","2020-03-24 17:55:00 HKT"
"1585044000","22673","22673","22661","22661","2","2020-03-24 18:00:00 HKT"
"1585044300","22700","22728","22700","22728","3","2020-03-24 18:05:00 HKT"
"1585044600","22730","22730","22708","22723","8","2020-03-24 18:10:00 HKT"
"1585045500","22640","22640","22640","22640","2","2020-03-24 18:25:00 HKT"
"1585045800","22691","22695","22691","22695","18","2020-03-24 18:30:00 HKT"
"1585046100","22735","22735","22725","22725","3","2020-03-24 18:35:00 HKT"
"1585046400","22707","22707","22707","22707","1","2020-03-24 18:40:00 HKT"
"1585047300","22678","22678","22675","22675","2","2020-03-24 18:55:00 HKT"
"1585047600","22633","22633","22628","22633","3","2020-03-24 19:00:00 HKT"
"1585047900","22621","22621","22585","22585","6","2020-03-24 19:05:00 HKT"
"1585048200","22596","22610","22596","22610","2","2020-03-24 19:10:00 HKT"
"1585048500","22625","22625","22535","22537","7","2020-03-24 19:15:00 HKT"
"1585048800","22528","22540","22528","22540","8","2020-03-24 19:20:00 HKT"
"1585049400","22560","22560","22560","22560","1","2020-03-24 19:30:00 HKT"
"1585050000","22623","22623","22623","22623","1","2020-03-24 19:40:00 HKT"
"1585051200","22538","22538","22538","22538","1","2020-03-24 20:00:00 HKT"
"1585051500","22475","22475","22440","22440","5","2020-03-24 20:05:00 HKT"
