"time","open","high","low","close","Volume","localTime"
"1588124400","24300","24300","24300","24300","1","2020-04-29 09:40:00 HKT"
"1588125600","24150","24150","24150","24150","1","2020-04-29 10:00:00 HKT"
"1588129800","24130","24130","24130","24130","1","2020-04-29 11:10:00 HKT"
"1588138200","24100","24100","24100","24100","1","2020-04-29 13:30:00 HKT"
"1588139400","24100","24100","24100","24100","1","2020-04-29 13:50:00 HKT"
"1588146600","24100","24100","24100","24100","1","2020-04-29 15:50:00 HKT"
"1588165200","24333","24333","24333","24333","1","2020-04-29 21:00:00 HKT"
"1588165500","24347","24347","24347","24347","1","2020-04-29 21:05:00 HKT"
"1588554900","23305","23305","23305","23305","1","2020-05-04 09:15:00 HKT"
"1588556100","23280","23280","23280","23280","1","2020-05-04 09:35:00 HKT"
"1588556400","23250","23250","23250","23250","1","2020-05-04 09:40:00 HKT"
"1588557000","23147","23147","23147","23147","1","2020-05-04 09:50:00 HKT"
"1588557300","23230","23250","23230","23250","2","2020-05-04 09:55:00 HKT"
"1588558500","23200","23220","23200","23220","2","2020-05-04 10:15:00 HKT"
"1588561200","23160","23160","23160","23160","1","2020-05-04 11:00:00 HKT"
"1588561500","23180","23200","23180","23200","3","2020-05-04 11:05:00 HKT"
"1588562400","23109","23109","23109","23109","1","2020-05-04 11:20:00 HKT"
"1588563900","23160","23160","23160","23160","1","2020-05-04 11:45:00 HKT"
"1588568400","23112","23112","23112","23112","1","2020-05-04 13:00:00 HKT"
"1588569000","23108","23108","23108","23108","1","2020-05-04 13:10:00 HKT"
"1588571100","23147","23147","23147","23147","1","2020-05-04 13:45:00 HKT"
"1588571400","23149","23153","23149","23151","3","2020-05-04 13:50:00 HKT"
"1588572600","23112","23112","23112","23112","1","2020-05-04 14:10:00 HKT"
"1588578300","23100","23100","23100","23100","1","2020-05-04 15:45:00 HKT"
"1588578600","23044","23044","23040","23040","2","2020-05-04 15:50:00 HKT"
"1588579200","23013","23017","23012","23016","8","2020-05-04 16:00:00 HKT"
"1588586100","22900","22900","22900","22900","1","2020-05-04 17:55:00 HKT"
"1588592100","22983","22983","22983","22983","7","2020-05-04 19:35:00 HKT"
"1588592400","22983","22983","22983","22983","1","2020-05-04 19:40:00 HKT"
"1588643400","23287","23287","23287","23287","1","2020-05-05 09:50:00 HKT"
"1588644000","23290","23290","23271","23271","2","2020-05-05 10:00:00 HKT"
"1588645500","23223","23223","23223","23223","1","2020-05-05 10:25:00 HKT"
"1588645800","23228","23228","23228","23228","1","2020-05-05 10:30:00 HKT"
"1588646400","23200","23200","23200","23200","1","2020-05-05 10:40:00 HKT"
"1588647000","23194","23196","23194","23196","2","2020-05-05 10:50:00 HKT"
"1588647300","23199","23199","23199","23199","1","2020-05-05 10:55:00 HKT"
"1588655400","23270","23270","23270","23270","1","2020-05-05 13:10:00 HKT"
"1588657800","23250","23250","23250","23250","1","2020-05-05 13:50:00 HKT"
"1588659000","23288","23288","23288","23288","1","2020-05-05 14:10:00 HKT"
"1588662000","23309","23309","23306","23306","2","2020-05-05 15:00:00 HKT"
"1588662600","23320","23336","23320","23336","2","2020-05-05 15:10:00 HKT"
"1588663200","23375","23376","23375","23376","2","2020-05-05 15:20:00 HKT"
"1588663500","23364","23364","23364","23364","1","2020-05-05 15:25:00 HKT"
"1588663800","23367","23367","23367","23367","1","2020-05-05 15:30:00 HKT"
"1588683900","23298","23298","23298","23298","1","2020-05-05 21:05:00 HKT"
"1588696500","23363","23363","23363","23363","1","2020-05-06 00:35:00 HKT"
"1588697400","23341","23341","23341","23341","1","2020-05-06 00:50:00 HKT"
"1588704600","23400","23400","23400","23400","1","2020-05-06 02:50:00 HKT"
"1588727700","23254","23254","23254","23254","1","2020-05-06 09:15:00 HKT"
"1588728600","23436","23436","23436","23436","1","2020-05-06 09:30:00 HKT"
"1588729200","23550","23550","23489","23489","2","2020-05-06 09:40:00 HKT"
"1588729500","23475","23475","23475","23475","1","2020-05-06 09:45:00 HKT"
"1588731900","23511","23511","23511","23511","1","2020-05-06 10:25:00 HKT"
"1588733700","23480","23480","23472","23472","2","2020-05-06 10:55:00 HKT"
"1588736400","23501","23501","23501","23501","1","2020-05-06 11:40:00 HKT"
"1588737300","23480","23480","23480","23480","1","2020-05-06 11:55:00 HKT"
"1588741500","23540","23540","23538","23538","2","2020-05-06 13:05:00 HKT"
"1588743300","23580","23580","23580","23580","1","2020-05-06 13:35:00 HKT"
"1588744200","23598","23601","23598","23601","2","2020-05-06 13:50:00 HKT"
"1588744500","23630","23630","23630","23630","1","2020-05-06 13:55:00 HKT"
"1588746900","23710","23710","23710","23710","1","2020-05-06 14:35:00 HKT"
"1588747200","23710","23710","23710","23710","1","2020-05-06 14:40:00 HKT"
"1588747800","23699","23699","23699","23699","1","2020-05-06 14:50:00 HKT"
"1588752000","23630","23630","23630","23630","1","2020-05-06 16:00:00 HKT"
"1588753500","23650","23650","23650","23650","1","2020-05-06 16:25:00 HKT"
"1588756800","23656","23656","23656","23656","1","2020-05-06 17:20:00 HKT"
"1588757400","23645","23645","23645","23645","1","2020-05-06 17:30:00 HKT"
"1588767000","23576","23576","23576","23576","1","2020-05-06 20:10:00 HKT"
"1588768800","23533","23533","23533","23533","1","2020-05-06 20:40:00 HKT"
"1588769400","23560","23560","23560","23560","1","2020-05-06 20:50:00 HKT"
"1588770600","23573","23573","23573","23573","1","2020-05-06 21:10:00 HKT"
"1588773300","23504","23504","23504","23504","1","2020-05-06 21:55:00 HKT"
"1588777500","23450","23450","23450","23450","2","2020-05-06 23:05:00 HKT"
"1588791300","23463","23463","23463","23463","1","2020-05-07 02:55:00 HKT"
"1588814400","23510","23510","23510","23510","1","2020-05-07 09:20:00 HKT"
"1588815000","23435","23435","23435","23435","1","2020-05-07 09:30:00 HKT"
"1588815300","23449","23449","23449","23449","1","2020-05-07 09:35:00 HKT"
"1588815600","23420","23420","23420","23420","1","2020-05-07 09:40:00 HKT"
"1588815900","23410","23451","23400","23451","3","2020-05-07 09:45:00 HKT"
"1588818000","23454","23454","23454","23454","1","2020-05-07 10:20:00 HKT"
"1588819500","23513","23513","23513","23513","1","2020-05-07 10:45:00 HKT"
"1588822800","23472","23472","23472","23472","1","2020-05-07 11:40:00 HKT"
"1588823100","23452","23452","23452","23452","1","2020-05-07 11:45:00 HKT"
"1588827600","23440","23440","23440","23440","1","2020-05-07 13:00:00 HKT"
"1588829700","23420","23420","23420","23420","1","2020-05-07 13:35:00 HKT"
"1588831200","23450","23450","23450","23450","1","2020-05-07 14:00:00 HKT"
"1588831500","23463","23463","23463","23463","1","2020-05-07 14:05:00 HKT"
"1588831800","23460","23467","23460","23467","2","2020-05-07 14:10:00 HKT"
"1588835100","23471","23524","23471","23524","2","2020-05-07 15:05:00 HKT"
"1588838400","23472","23472","23472","23472","1","2020-05-07 16:00:00 HKT"
"1588838700","23433","23433","23433","23433","1","2020-05-07 16:05:00 HKT"
"1588839900","23438","23438","23438","23438","1","2020-05-07 16:25:00 HKT"
"1588845000","23493","23493","23493","23493","1","2020-05-07 17:50:00 HKT"
"1588851600","23500","23500","23500","23500","1","2020-05-07 19:40:00 HKT"
"1588861500","23440","23440","23440","23440","1","2020-05-07 22:25:00 HKT"
"1588900500","23732","23732","23732","23732","2","2020-05-08 09:15:00 HKT"
"1588902000","23656","23656","23651","23651","2","2020-05-08 09:40:00 HKT"
"1588902600","23680","23680","23680","23680","1","2020-05-08 09:50:00 HKT"
"1588902900","23707","23707","23707","23707","1","2020-05-08 09:55:00 HKT"
"1588908900","23700","23700","23700","23700","1","2020-05-08 11:35:00 HKT"
"1588910100","23680","23680","23680","23680","1","2020-05-08 11:55:00 HKT"
"1588915200","23757","23757","23757","23757","1","2020-05-08 13:20:00 HKT"
"1588916100","23728","23728","23728","23728","1","2020-05-08 13:35:00 HKT"
"1588917600","23745","23745","23745","23745","1","2020-05-08 14:00:00 HKT"
"1588918800","23698","23698","23698","23698","1","2020-05-08 14:20:00 HKT"
"1588919400","23629","23646","23629","23646","3","2020-05-08 14:30:00 HKT"
"1588921200","23657","23657","23657","23657","1","2020-05-08 15:00:00 HKT"
"1588925100","23687","23687","23687","23687","1","2020-05-08 16:05:00 HKT"
"1588925400","23718","23718","23718","23718","1","2020-05-08 16:10:00 HKT"
"1588945500","23736","23750","23736","23750","2","2020-05-08 21:45:00 HKT"
"1588946400","23789","23792","23789","23792","2","2020-05-08 22:00:00 HKT"
"1588946700","23801","23820","23801","23820","3","2020-05-08 22:05:00 HKT"
"1588948800","23848","23849","23848","23849","2","2020-05-08 22:40:00 HKT"
"1588949100","23827","23827","23827","23827","1","2020-05-08 22:45:00 HKT"
"1589160000","23955","23955","23955","23955","1","2020-05-11 09:20:00 HKT"
"1589160300","24000","24000","24000","24000","1","2020-05-11 09:25:00 HKT"
"1589160600","24086","24121","24086","24120","3","2020-05-11 09:30:00 HKT"
"1589160900","24165","24165","24165","24165","1","2020-05-11 09:35:00 HKT"
"1589161500","24190","24226","24190","24226","8","2020-05-11 09:45:00 HKT"
"1589162100","24230","24230","24230","24230","1","2020-05-11 09:55:00 HKT"
"1589162700","24255","24255","24255","24255","1","2020-05-11 10:05:00 HKT"
"1589164200","24180","24180","24180","24180","2","2020-05-11 10:30:00 HKT"
"1589165700","24166","24166","24166","24166","1","2020-05-11 10:55:00 HKT"
"1589168400","24192","24192","24192","24192","1","2020-05-11 11:40:00 HKT"
"1589173500","24160","24173","24160","24173","4","2020-05-11 13:05:00 HKT"
"1589175000","24135","24135","24135","24135","1","2020-05-11 13:30:00 HKT"
"1589176800","24129","24129","24040","24040","4","2020-05-11 14:00:00 HKT"
"1589177100","24059","24059","24059","24059","1","2020-05-11 14:05:00 HKT"
"1589177700","24082","24082","24082","24082","1","2020-05-11 14:15:00 HKT"
"1589178600","24075","24075","24075","24075","1","2020-05-11 14:30:00 HKT"
"1589179800","24101","24101","24101","24101","1","2020-05-11 14:50:00 HKT"
"1589180100","24100","24109","24100","24109","2","2020-05-11 14:55:00 HKT"
"1589181000","24085","24085","24085","24085","1","2020-05-11 15:10:00 HKT"
"1589182200","24080","24080","24080","24080","1","2020-05-11 15:30:00 HKT"
"1589185200","24071","24071","24071","24071","1","2020-05-11 16:20:00 HKT"
"1589191800","23970","23970","23970","23970","1","2020-05-11 18:10:00 HKT"
"1589193000","23886","23886","23886","23886","1","2020-05-11 18:30:00 HKT"
"1589194200","23884","23884","23884","23884","1","2020-05-11 18:50:00 HKT"
"1589194500","23900","23900","23900","23900","1","2020-05-11 18:55:00 HKT"
"1589196600","23910","23910","23910","23910","1","2020-05-11 19:30:00 HKT"
"1589197500","23844","23844","23844","23844","1","2020-05-11 19:45:00 HKT"
"1589199300","23818","23818","23818","23818","1","2020-05-11 20:15:00 HKT"
"1589200500","23798","23798","23798","23798","1","2020-05-11 20:35:00 HKT"
"1589203200","23850","23850","23850","23850","1","2020-05-11 21:20:00 HKT"
"1589204700","23861","23861","23861","23861","1","2020-05-11 21:45:00 HKT"
"1589205000","23874","23876","23874","23876","2","2020-05-11 21:50:00 HKT"
"1589209800","23820","23820","23820","23820","1","2020-05-11 23:10:00 HKT"
"1589217000","23933","23933","23933","23933","1","2020-05-12 01:10:00 HKT"
"1589246100","23797","23797","23790","23790","2","2020-05-12 09:15:00 HKT"
"1589246400","23823","23823","23820","23823","3","2020-05-12 09:20:00 HKT"
"1589246700","23820","23820","23815","23815","2","2020-05-12 09:25:00 HKT"
"1589247600","23700","23700","23633","23633","3","2020-05-12 09:40:00 HKT"
"1589247900","23636","23636","23600","23600","2","2020-05-12 09:45:00 HKT"
"1589248200","23664","23664","23664","23664","1","2020-05-12 09:50:00 HKT"
"1589248500","23708","23710","23708","23710","2","2020-05-12 09:55:00 HKT"
"1589248800","23680","23680","23680","23680","1","2020-05-12 10:00:00 HKT"
"1589250900","23679","23709","23679","23709","2","2020-05-12 10:35:00 HKT"
"1589253300","23686","23686","23686","23686","2","2020-05-12 11:15:00 HKT"
"1589253900","23646","23646","23646","23646","1","2020-05-12 11:25:00 HKT"
"1589254500","23635","23635","23635","23635","1","2020-05-12 11:35:00 HKT"
"1589259900","23669","23669","23669","23669","1","2020-05-12 13:05:00 HKT"
"1589260800","23695","23695","23695","23695","1","2020-05-12 13:20:00 HKT"
"1589261400","23701","23718","23701","23718","19","2020-05-12 13:30:00 HKT"
"1589262300","23710","23710","23710","23710","1","2020-05-12 13:45:00 HKT"
"1589263200","23694","23694","23694","23694","1","2020-05-12 14:00:00 HKT"
"1589263500","23649","23649","23649","23649","1","2020-05-12 14:05:00 HKT"
"1589264100","23632","23632","23629","23629","2","2020-05-12 14:15:00 HKT"
"1589264400","23615","23615","23615","23615","1","2020-05-12 14:20:00 HKT"
"1589264700","23610","23610","23610","23610","1","2020-05-12 14:25:00 HKT"
"1589265600","23640","23640","23640","23640","1","2020-05-12 14:40:00 HKT"
"1589265900","23640","23640","23640","23640","2","2020-05-12 14:45:00 HKT"
"1589266500","23658","23658","23658","23658","1","2020-05-12 14:55:00 HKT"
"1589266800","23655","23655","23655","23655","1","2020-05-12 15:00:00 HKT"
"1589267400","23671","23688","23671","23688","2","2020-05-12 15:10:00 HKT"
"1589268000","23711","23711","23711","23711","1","2020-05-12 15:20:00 HKT"
"1589268300","23715","23715","23706","23706","2","2020-05-12 15:25:00 HKT"
"1589269200","23691","23691","23691","23691","1","2020-05-12 15:40:00 HKT"
"1589270100","23722","23722","23722","23722","1","2020-05-12 15:55:00 HKT"
"1589270400","23725","23725","23725","23725","1","2020-05-12 16:00:00 HKT"
"1589270700","23733","23736","23733","23736","2","2020-05-12 16:05:00 HKT"
"1589271900","23701","23701","23701","23701","1","2020-05-12 16:25:00 HKT"
"1589295300","23875","23875","23875","23875","1","2020-05-12 22:55:00 HKT"
"1589332500","23500","23500","23479","23479","2","2020-05-13 09:15:00 HKT"
"1589332800","23519","23519","23519","23519","1","2020-05-13 09:20:00 HKT"
"1589333100","23552","23552","23552","23552","1","2020-05-13 09:25:00 HKT"
"1589333400","23500","23500","23450","23489","8","2020-05-13 09:30:00 HKT"
"1589334600","23574","23574","23574","23574","1","2020-05-13 09:50:00 HKT"
"1589334900","23610","23610","23610","23610","1","2020-05-13 09:55:00 HKT"
"1589335200","23650","23650","23642","23642","2","2020-05-13 10:00:00 HKT"
"1589336100","23671","23671","23671","23671","1","2020-05-13 10:15:00 HKT"
"1589337600","23740","23740","23732","23732","2","2020-05-13 10:40:00 HKT"
"1589339100","23716","23716","23716","23716","7","2020-05-13 11:05:00 HKT"
"1589339400","23698","23698","23693","23693","2","2020-05-13 11:10:00 HKT"
"1589341500","23719","23719","23719","23719","1","2020-05-13 11:45:00 HKT"
"1589346300","23802","23802","23802","23802","1","2020-05-13 13:05:00 HKT"
"1589346600","23785","23785","23785","23785","1","2020-05-13 13:10:00 HKT"
"1589352600","23787","23787","23787","23787","1","2020-05-13 14:50:00 HKT"
"1589355300","23700","23700","23700","23700","1","2020-05-13 15:35:00 HKT"
"1589356500","23650","23650","23650","23650","1","2020-05-13 15:55:00 HKT"
"1589358000","23647","23647","23647","23647","1","2020-05-13 16:20:00 HKT"
"1589358300","23627","23627","23625","23625","2","2020-05-13 16:25:00 HKT"
"1589361300","23710","23710","23710","23710","1","2020-05-13 17:15:00 HKT"
"1589366700","23788","23788","23788","23788","1","2020-05-13 18:45:00 HKT"
"1589378400","23770","23770","23770","23770","1","2020-05-13 22:00:00 HKT"
"1589378700","23788","23788","23788","23788","1","2020-05-13 22:05:00 HKT"
"1589385000","23567","23567","23567","23567","1","2020-05-13 23:50:00 HKT"
"1589385600","23540","23548","23531","23548","3","2020-05-14 00:00:00 HKT"
"1589386500","23466","23466","23466","23466","1","2020-05-14 00:15:00 HKT"
"1589387400","23500","23500","23500","23500","1","2020-05-14 00:30:00 HKT"
"1589388600","23505","23505","23505","23505","1","2020-05-14 00:50:00 HKT"
"1589392800","23450","23450","23450","23450","1","2020-05-14 02:00:00 HKT"
"1589418900","23526","23526","23490","23511","5","2020-05-14 09:15:00 HKT"
"1589419200","23496","23496","23496","23496","1","2020-05-14 09:20:00 HKT"
"1589419500","23497","23497","23485","23485","2","2020-05-14 09:25:00 HKT"
"1589419800","23466","23466","23450","23450","3","2020-05-14 09:30:00 HKT"
"1589420100","23410","23410","23330","23330","6","2020-05-14 09:35:00 HKT"
"1589420400","23300","23300","23253","23297","8","2020-05-14 09:40:00 HKT"
"1589420700","23230","23230","23230","23230","1","2020-05-14 09:45:00 HKT"
"1589421000","23320","23320","23320","23320","1","2020-05-14 09:50:00 HKT"
"1589422500","23270","23270","23270","23270","1","2020-05-14 10:15:00 HKT"
"1589422800","23305","23305","23305","23305","1","2020-05-14 10:20:00 HKT"
"1589423100","23292","23292","23292","23292","1","2020-05-14 10:25:00 HKT"
"1589424900","23350","23350","23350","23350","1","2020-05-14 10:55:00 HKT"
"1589425500","23395","23395","23395","23395","1","2020-05-14 11:05:00 HKT"
"1589425800","23415","23415","23415","23415","1","2020-05-14 11:10:00 HKT"
"1589426400","23390","23390","23390","23390","1","2020-05-14 11:20:00 HKT"
"1589427000","23409","23409","23407","23407","2","2020-05-14 11:30:00 HKT"
"1589427300","23394","23394","23394","23394","1","2020-05-14 11:35:00 HKT"
"1589434500","23276","23285","23276","23285","2","2020-05-14 13:35:00 HKT"
"1589435100","23295","23295","23295","23295","1","2020-05-14 13:45:00 HKT"
"1589435700","23290","23290","23290","23290","1","2020-05-14 13:55:00 HKT"
"1589436000","23300","23300","23300","23300","1","2020-05-14 14:00:00 HKT"
"1589436300","23262","23262","23262","23262","1","2020-05-14 14:05:00 HKT"
"1589437200","23268","23268","23268","23268","1","2020-05-14 14:20:00 HKT"
"1589437500","23280","23280","23280","23280","1","2020-05-14 14:25:00 HKT"
"1589438400","23300","23300","23300","23300","1","2020-05-14 14:40:00 HKT"
"1589438700","23270","23270","23270","23270","1","2020-05-14 14:45:00 HKT"
"1589439000","23251","23251","23251","23251","2","2020-05-14 14:50:00 HKT"
"1589439300","23250","23250","23250","23250","1","2020-05-14 14:55:00 HKT"
"1589439900","23277","23277","23277","23277","1","2020-05-14 15:05:00 HKT"
"1589440500","23281","23297","23281","23297","5","2020-05-14 15:15:00 HKT"
"1589440800","23308","23308","23305","23305","2","2020-05-14 15:20:00 HKT"
"1589441100","23303","23303","23303","23303","1","2020-05-14 15:25:00 HKT"
"1589441700","23319","23319","23318","23318","2","2020-05-14 15:35:00 HKT"
"1589442300","23300","23300","23300","23300","2","2020-05-14 15:45:00 HKT"
"1589443200","23250","23250","23250","23250","1","2020-05-14 16:00:00 HKT"
"1589444100","23239","23239","23239","23239","1","2020-05-14 16:15:00 HKT"
"1589444400","23248","23248","23247","23247","10","2020-05-14 16:20:00 HKT"
"1589448600","23251","23251","23250","23250","2","2020-05-14 17:30:00 HKT"
