time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1385687700,23884,23902,23884,23900,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1385688000,23881,23881,23867,23868,NaN,NaN,14,NaN,23902,NaN,NaN,NaN,NaN,NaN
1385688300,23888,23888,23888,23888,NaN,NaN,2,NaN,23902,NaN,NaN,NaN,NaN,NaN
1385688900,23945,23950,23945,23950,NaN,NaN,2,NaN,23867,NaN,NaN,NaN,NaN,NaN
1385689200,23934,23934,23934,23934,NaN,NaN,1,NaN,23875.3,NaN,NaN,NaN,NaN,NaN
1385689500,23937,23937,23937,23937,NaN,NaN,2,NaN,23882.77,NaN,NaN,NaN,NaN,NaN
1385690100,23876,23876,23875,23875,NaN,NaN,9,NaN,23950,NaN,NaN,NaN,NaN,NaN
1385690400,23884,23884,23884,23884,NaN,NaN,1,NaN,23942.5,NaN,NaN,NaN,NaN,NaN
1385690700,23878,23878,23873,23873,23901,23901,2,NaN,23935.75,NaN,NaN,NaN,NaN,NaN
1385691000,23887,23887,23887,23887,23898.2,23899.555555555555,1,NaN,23928.22,NaN,NaN,NaN,NaN,NaN
1385691300,23871,23871,23871,23871,23892.760000000002,23899.88888888889,1,NaN,23921.5936,NaN,NaN,NaN,NaN,NaN
1385691900,23894,23894,23894,23894,23893.008,23900.555555555555,1,NaN,23914.510496,NaN,NaN,NaN,NaN,NaN
1385693100,23910,23917,23910,23917,23897.8064,23896.88888888889,2,NaN,23871,NaN,NaN,NaN,NaN,NaN
1385694300,23927,23927,23927,23927,23903.64512,23896.11111111111,2,NaN,23875.6,NaN,NaN,NaN,NaN,NaN
1385694600,23934,23936,23934,23936,23910.116096,23896,2,NaN,23881.768,NaN,NaN,NaN,NaN,NaN
1385697000,23925,23925,23925,23925,23913.0928768,23901.555555555555,2,NaN,23889.36048,NaN,NaN,NaN,NaN,NaN
1385701200,23895,23895,23895,23895,23909.47430144,23902.777777777777,1,NaN,23936,NaN,NaN,NaN,NaN,NaN
1385701800,23868,23868,23860,23865,23900.579441152,23901.88888888889,5,NaN,23931.9,NaN,NaN,NaN,NaN,NaN
1385702100,23877,23877,23877,23877,23895.8635529216,23900.777777777777,1,NaN,23923.272,NaN,NaN,NaN,NaN,NaN
1385702400,23897,23900,23890,23890,23894.69084233728,23902.88888888889,4,3.35,23915.679360000002,NaN,NaN,NaN,NaN,NaN
1385703600,23880,23880,23880,23880,23891.752673869825,23901.333333333332,1,2.8,23908.9978368,NaN,NaN,NaN,43.05555555555556,46.52777777777778
1385703900,23870,23884,23870,23884,23890.20213909586,23897.666666666668,2,2.2,23903.118096384,NaN,NaN,NaN,41.635249764373235,47.349198868991515
1385704200,23885,23885,23885,23885,23889.16171127669,23893,1,2.15,23897.943924817922,NaN,NaN,NaN,41.77965263001633,47.232050076698506
1385704800,23917,23917,23910,23910,23893.329369021354,23890.11111111111,3,2.2,23860,NaN,NaN,NaN,46.25845311331799,43.59856215938131
1385705700,23903,23903,23900,23900,23894.663495217083,23887.333333333332,2,2.25,23865.7,NaN,NaN,NaN,45.116755223609104,44.99059752211682
1385706600,23904,23904,23904,23904,23896.530796173665,23888.333333333332,3,2.3,23870.83,NaN,NaN,NaN,44.90985329520071,44.527866764392684
1385706900,23917,23927,23917,23927,23902.624636938934,23895.222222222223,4,2.05,23875.447,NaN,NaN,NaN,48.138327807095415,41.91837865233141
1385708400,23905,23905,23905,23905,23903.09970955115,23898.333333333332,1,2.05,23881.63336,NaN,NaN,NaN,45.45615141440726,42.62193539000905
1385708700,23921,23921,23921,23921,23906.67976764092,23901.777777777777,1,2,23887.0773568,NaN,NaN,NaN,47.687539844083965,40.878272338245296
1385709000,23917,23919,23917,23919,23909.143814112736,23906.11111111111,2,2.05,23891.868073984002,NaN,NaN,NaN,47.1796141454286,41.50798494087674
1385709300,23917,23917,23916,23916,23910.51505129019,23909.666666666668,7,2.35,23896.083905105923,NaN,NaN,NaN,46.78619934565346,41.43981929383479
1385709900,23900,23900,23900,23900,23908.412041032152,23911.333333333332,2,2.4,23899.793836493212,NaN,NaN,NaN,44.693919029514525,44.058632429217845
1385711100,23908,23908,23897,23897,23906.129632825723,23909.88888888889,3,2.45,23927,NaN,NaN,NaN,45.572726518260495,42.67745426052094
1385711400,23904,23906,23904,23906,23906.10370626058,23910.555555555555,2,2.45,23924,NaN,NaN,NaN,44.374662635923904,41.555504347800344
1385712000,23930,23946,23930,23946,23914.082965008463,23915.222222222223,4,2.55,23897,NaN,NaN,NaN,50.46674427242861,37.004349479723615
1385712300,23944,23960,23944,23960,23923.266372006772,23918.88888888889,6,2.75,23901.9,NaN,NaN,NaN,52.09920397768205,35.37316398825218
1385712600,23951,23951,23940,23940,23926.61309760542,23922.777777777777,4,2.9,23908.872000000003,NaN,NaN,NaN,49.243048065916035,34.53038425544851
1385735400,23974,23980,23974,23980,23937.290478084335,23929.333333333332,2,2.75,23915.007360000003,NaN,NaN,NaN,51.649482592810834,30.957469406814496
1385735700,23966,23966,23964,23964,23942.63238246747,23934.333333333332,6,3,23924.106329600003,NaN,0.012224108819678947,NaN,49.49321190352889,32.27431191461015
1385736600,24018,24018,24018,24018,23957.705905973977,23945.666666666668,1,2.85,23931.931443456004,NaN,0.014649110699606616,9.423679873727648,55.53827172391578,28.105780102723987
1385736900,24020,24020,24020,24020,23970.16472477918,23959,1,2.85,23945.702412503044,NaN,0.017490477646342484,10.612438530774707,55.761035061411675,27.964963773234242
1385946900,23976,24010,23976,23979,23971.931779823346,23968.11111111111,16,3.55,23959.075978252495,NaN,0.020500622755518783,10.931164865595251,49.96390761747312,35.453997737101275
1385947200,23987,23987,23970,23977,23972.945423858677,23976,3,3.65,24020,NaN,0.023357876399129895,11.133517896058505,47.93703780346123,35.447511932771285
1385947500,23955,23955,23926,23935,23965.356339086942,23974.777777777777,9,3.95,24015,NaN,0.02496173132252144,10.65294073020689,42.49340702634944,41.219320592579884
1385947800,23937,23937,23915,23915,23955.285071269554,23969.777777777777,3,4,24004.32,NaN,0.02533548374142658,10.19585854375452,40.40972127834572,41.649885657124734
1385948100,23920,23920,23898,23900,23944.228057015644,23965.333333333332,8,4.25,23991.8152,NaN,0.024378274605783012,9.989889636640568,38.42629711777762,43.39835613633931
1385948400,23900,23955,23900,23952,23945.782445612516,23962.222222222223,14,4.75,23976.804768,NaN,0.02335049663129196,9.670726258985079,41.310080151730254,38.434012109910746
1385948700,23960,24064,23960,24064,23969.425956490013,23973.333333333332,10,5.2,23898,NaN,0.023228029750584356,10.477604551966898,52.33961668896184,30.865736165859747
1385949000,24046,24109,24046,24109,23997.34076519201,23983.444444444445,9,5.6,23900,NaN,0.02434243847028006,11.58165704456015,54.33288885605284,27.642730314810166
1385949300,24103,24112,24102,24103,24018.472612153608,23992.666666666668,27,6.85,23925.08,NaN,0.026231127822365363,12.651900762719238,53.915633246184505,27.16871819219846
1385949600,24100,24134,24100,24134,24041.578089722887,24009.88888888889,5,6.75,23951.2488,NaN,0.029125568429735904,13.825068649285544,54.53955200228348,25.597756049288755
1385949900,24150,24181,24150,24167,24066.66247177831,24031,5,6.9,23980.488992000002,NaN,0.03281248608287657,15.243082602456875,58.067653509835814,23.611161422856807
1385950200,24167,24167,24147,24147,24082.72997742265,24054.555555555555,7,7.1,24016.580973440003,NaN,0.03652503506673732,16.54509769844365,56.11686888516725,23.32186918718204
1385950500,24144,24144,24128,24128,24091.78398193812,24078.222222222223,20,8,24046.176398220803,NaN,0.03971795241372089,17.4953864044086,54.292897312291686,25.814145282450447
1385950800,24117,24124,24117,24124,24098.227185550495,24103.11111111111,3,7.95,24070.44464654106,NaN,0.04210611354154514,18.234617056244268,53.238353258976666,27.25507505052846
1385951100,24141,24152,24141,24152,24108.981748440397,24125.333333333332,6,7.95,24090.34461016367,NaN,0.0439914349147158,19.142513596661857,55.551587965921414,25.906803765378093
1385951400,24132,24132,24132,24132,24113.58539875232,24132.88888888889,1,7.8,24106.66258033421,NaN,0.04537330501644232,19.867711544084703,53.55947229704376,26.591498060908936
1385951700,24119,24119,24113,24113,24113.468319001855,24133.333333333332,2,7.8,24181,NaN,0.04632764756491048,20.270477026009182,51.70528743857672,29.13283999242241
1385952300,24114,24114,24114,24114,24113.574655201483,24134.555555555555,1,7.55,24174.2,NaN,0.04674703457788809,20.65310423383744,51.60630860540988,29.07707133408719
1385952600,24108,24108,24108,24108,24112.459724161185,24131.666666666668,1,7.55,24168.08,NaN,0.04647944954988603,20.922170055400862,50.98982919654604,29.92430351016014
1385952900,24106,24106,24099,24099,24109.767779328948,24124.11111111111,8,7.9,24160.8704,NaN,0.04565084192240165,21.034230130961383,50.04587329518749,31.221589033287078
1385953200,24085,24085,24000,24000,24087.81422346316,24107.777777777777,31,8.65,24152.208544,NaN,0.04336538213715435,20.10965173456275,41.21183661844679,43.362270472975595
1385953500,24000,24000,23934,23964,24063.051378770528,24089.555555555555,21,9.55,24127.85517696,NaN,0.039484846546360974,19.85383439550221,36.66948385731344,49.60485920987862
1385953800,23957,23980,23957,23977,24045.84110301642,24073.222222222223,9,9.55,24092.961245107203,NaN,0.034087178568005805,19.6108079233947,35.24449812769432,47.67720141221522
1385954100,23970,23973,23968,23973,24031.272882413137,24053.333333333332,12,10,24064.348220987908,NaN,0.027348762344417965,19.379932774892563,34.689244219403314,46.92607843340033
1385954700,23981,23981,23981,23981,24021.21830593051,24036.555555555555,1,9.65,24040.885541210086,NaN,0.019375081257524407,19.058596483914336,35.637998410527985,46.24439418316293
1385955300,23994,23994,23980,23986,24014.17464474441,24022.444444444445,17,9.8,24021.64614379227,NaN,0.010054899016257446,18.58698822634249,37.12926720250401,45.03915383019802
1385955900,23957,23957,23957,23957,24002.739715795527,24005,1,9.35,24005.86983790966,NaN,-0.00043276888227528065,18.373926950077017,35.13274993357317,46.881986447387355
1385956500,23960,23960,23960,23960,23994.191772636423,23988.555555555555,2,9,23994,NaN,-0.011809675605336523,18.130996916284072,35.51036236322471,46.609071828821584
1385960400,23956,23956,23956,23956,23986.55341810914,23972.666666666668,1,7.7,23983.2,NaN,-0.02367866153670406,17.94281240193754,35.222584656736736,47.04175451167356
1385960700,23970,23970,23970,23970,23983.24273448731,23969.333333333332,4,7.65,23974.344,NaN,-0.03547147009263618,17.563763477704853,37.10057417123448,45.67794706044454
1385961000,23996,24000,23996,24000,23986.59418758985,23973.333333333332,21,8.45,23934,NaN,-0.04633424023029298,16.799659548004826,40.96135829454106,42.87422205862501
1385961300,24013,24039,24013,24039,23997.07535007188,23980.222222222223,8,8.5,23940.6,NaN,-0.05554453366443224,16.311307913550056,45.53601004463485,39.55208202781425
1385961600,24059,24060,24059,24060,24009.660280057502,23989.88888888889,10,8,23952.408,NaN,-0.06281870391693145,16.075527486800905,47.82738099137262,37.888074456650344
1385961900,24062,24068,24054,24054,24018.528224046,23998,4,8.05,23967.47088,NaN,-0.06853042233182671,15.936856396754994,48.09452152238898,36.801555618005246
1385962200,24078,24078,24066,24066,24028.0225792368,24006.88888888889,2,7.85,23983.555539200002,NaN,-0.0725870707892029,15.912488539314538,47.7782583253535,34.99084615164766
1385962500,24064,24064,24062,24062,24034.81806338944,24018.555555555555,10,8.3,24000.555542144,NaN,-0.07471984362731887,15.829759723263361,47.36936940482814,35.54719800860127
1385962800,24070,24070,24070,24070,24041.85445071155,24030.777777777777,2,8.3,24014.49554455808,NaN,-0.07521230505014187,15.819912944323278,47.85837880090481,34.91808048735868
1385964000,24053,24053,24053,24053,24044.08356056924,24041.555555555555,1,8.3,24025.926346537628,NaN,-0.0740389071270331,15.54667194195072,46.035916593913754,37.39642057413112
