time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1543540500,26694,26694,26579,26579,NaN,NaN,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1543541100,26542,26542,26542,26542,NaN,NaN,1,NaN,NaN,NaN,NaN,26690.96,NaN,NaN,NaN,NaN,NaN
1543541400,26513,26534,26508,26526,NaN,NaN,28,NaN,NaN,NaN,NaN,26683.6416,NaN,NaN,NaN,NaN,NaN
1543541700,26524,26535,26524,26535,NaN,NaN,25,NaN,NaN,NaN,NaN,26676.615936,NaN,NaN,NaN,NaN,NaN
1543542000,26480,26480,26463,26469,NaN,NaN,4,NaN,NaN,NaN,NaN,26663.798979839998,NaN,NaN,NaN,NaN,NaN
1543542300,26508,26554,26500,26553,NaN,NaN,242,NaN,NaN,NaN,NaN,26651.751041049596,NaN,NaN,NaN,NaN,NaN
1543542600,26565,26622,26565,26614,NaN,NaN,115,NaN,NaN,NaN,NaN,26640.42597858662,NaN,NaN,NaN,NaN,NaN
1543542900,26615,26623,26603,26615,NaN,NaN,279,NaN,NaN,NaN,NaN,26629.780419871422,NaN,NaN,NaN,NaN,NaN
1543543200,26611,26611,26571,26575,26556.444444444445,26556.444444444445,138,NaN,NaN,NaN,NaN,26619.773594679136,NaN,NaN,NaN,NaN,NaN
1543543500,26553,26553,26553,26553,26555.755555555555,26553.555555555555,1,NaN,NaN,NaN,NaN,26610.36717899839,NaN,NaN,NaN,NaN,NaN
1543543800,26572,26572,26572,26572,26559.004444444443,26556.88888888889,1,NaN,NaN,NaN,NaN,26601.525148258486,NaN,NaN,NaN,NaN,NaN
1543544100,26542,26542,26542,26542,26555.603555555554,26558.666666666668,1,NaN,NaN,NaN,NaN,26593.213639362977,NaN,NaN,NaN,NaN,NaN
1543545000,26570,26647,26570,26647,26573.882844444444,26571.11111111111,6,NaN,NaN,NaN,NaN,26463,NaN,NaN,NaN,NaN,NaN
1543545300,26635,26655,26635,26655,26590.106275555554,26591.777777777777,2,NaN,NaN,NaN,NaN,26470.68,NaN,NaN,NaN,NaN,NaN
1543545600,26627,26627,26627,26627,26597.485020444445,26600,1,NaN,NaN,NaN,NaN,26478.0528,NaN,NaN,NaN,NaN,NaN
1543545900,26724,26730,26675,26675,26612.988016355557,26606.777777777777,3,NaN,NaN,NaN,NaN,26493.169632,NaN,NaN,NaN,NaN,NaN
1543546200,26655,26655,26655,26655,26621.390413084446,26611.222222222223,1,NaN,NaN,NaN,NaN,26507.37945408,NaN,NaN,NaN,NaN,NaN
1543546500,26709,26709,26687,26687,26634.512330467558,26623.666666666668,2,NaN,NaN,NaN,NaN,26520.7366868352,NaN,NaN,NaN,NaN,NaN
1543546800,26718,26735,26718,26735,26654.609864374048,26643.88888888889,2,NaN,NaN,NaN,NaN,26537.877751888384,NaN,NaN,NaN,NaN,NaN
1543547400,26700,26700,26700,26700,26663.687891499238,26658.11111111111,6,44.85,NaN,NaN,NaN,26553.64753173731,NaN,NaN,NaN,NaN,NaN
1543547700,26722,26750,26722,26750,26680.95031319939,26681.222222222223,3,43.05,NaN,NaN,NaN,26573.28277856358,NaN,NaN,NaN,56.18101545253863,28.47682119205298
1543548000,26756,26756,26735,26735,26691.760250559513,26691,3,43.15,NaN,NaN,NaN,26595.208845135952,NaN,NaN,NaN,55.523420664625164,27.798570942497452
1543548600,26682,26682,26682,26682,26689.80820044761,26694,1,41.8,NaN,NaN,NaN,26614.50378371964,NaN,NaN,NaN,52.219252988103726,32.09523756056208
1543548900,26680,26680,26680,26680,26687.846560358088,26699.88888888889,1,40.6,NaN,NaN,NaN,26631.483329673283,NaN,NaN,NaN,52.096106607332935,32.25537439234368
1543553700,26713,26713,26713,26713,26692.87724828647,26704.11111111111,4,40.6,NaN,NaN,NaN,26646.425330112488,NaN,NaN,NaN,53.98100717879554,30.986204616799405
1543554600,26638,26638,26638,26638,26681.901798629176,26702.222222222223,72,32.1,NaN,NaN,NaN,26756,NaN,NaN,NaN,49.33679272531995,36.92375344663616
1543554900,26610,26610,26610,26610,26667.521438903343,26693.666666666668,1,26.4,NaN,NaN,NaN,26750.16,NaN,NaN,NaN,47.72327160861419,38.98661262645796
1543555200,26608,26608,26608,26608,26655.617151122675,26679.555555555555,1,12.5,NaN,NaN,NaN,26741.6304,NaN,NaN,NaN,47.60620967214382,39.13627431216844
1543555500,26620,26620,26597,26597,26643.89372089814,26668.11111111111,2,5.7,NaN,NaN,NaN,26730.059967999998,NaN,NaN,NaN,47.737929058903674,38.00769707468502
1543555800,26595,26595,26595,26595,26634.114976718512,26650.88888888889,1,5.7,NaN,NaN,NaN,26716.5539712,NaN,NaN,NaN,47.612253998287436,38.17089825625003
1543556700,26650,26650,26648,26648,26636.89198137481,26641.222222222223,2,5.75,NaN,NaN,NaN,26704.398574079998,NaN,NaN,NaN,51.321866405394026,35.46799063817538
1543557900,26596,26596,26596,26596,26628.71358509985,26631.666666666668,1,5.75,NaN,NaN,NaN,26693.458716671998,NaN,NaN,NaN,47.94321762050479,39.71629667783792
1543558800,26658,26660,26658,26660,26634.97086807988,26629.444444444445,2,5.55,NaN,NaN,NaN,26683.612845004798,NaN,NaN,NaN,52.03418016889434,36.595130235292636
1543559400,26654,26654,26654,26654,26638.776694463904,26622.88888888889,70,8.95,NaN,NaN,NaN,26674.75156050432,NaN,NaN,NaN,51.633747501142835,36.826547844208854
1543559700,26670,26670,26670,26670,26645.021355571123,26626.444444444445,1,8.95,NaN,NaN,NaN,26670,NaN,NaN,NaN,52.65644403882772,36.04785648340829
1543561200,26621,26621,26621,26621,26640.217084456897,26627.666666666668,7,9.15,NaN,NaN,NaN,26662.5,NaN,NaN,NaN,49.29620389279869,40.1289250779872
1543562100,26629,26629,26620,26620,26636.17366756552,26629,71,12.65,NaN,NaN,NaN,26655.75,NaN,NaN,NaN,49.778741389541494,39.63985213292111
1543562400,26600,26600,26600,26600,26628.938934052414,26629.333333333332,1,12.6,NaN,NaN,NaN,26649.675,NaN,NaN,NaN,48.398942269332636,41.31295347292749
1543563000,26620,26620,26620,26620,26627.15114724193,26632.11111111111,21,13.55,NaN,NaN,NaN,26644.2075,NaN,-0.057491516209493554,NaN,49.861849074110616,40.14171777701455
1543563600,26580,26608,26580,26608,26623.320917793542,26627.666666666668,3,13.4,NaN,NaN,NaN,26636.5026,NaN,-0.060780295394057826,16.088379048917012,47.05346771484191,43.51313073330143
1543564200,26617,26617,26617,26617,26622.056734234833,26630,1,13.3,NaN,NaN,NaN,26629.722288,NaN,-0.06404098541190673,15.549154788377844,47.75046176592383,42.94031903145627
1543564500,26634,26634,26634,26634,26624.445387387867,26627.11111111111,1,13.2,NaN,NaN,NaN,26580,NaN,-0.06652471682619288,15.169709650498351,49.08317189279705,41.8450558012242
1543565400,26525,26525,26500,26500,26599.556309910295,26610,2,13.25,NaN,NaN,NaN,26634,NaN,-0.06907780982158884,15.032380595386053,40.50989858540475,52.00287999158423
1543565700,26520,26520,26520,26520,26583.645047928236,26593.333333333332,1,13.25,NaN,NaN,NaN,26631.32,NaN,-0.07130828293232361,14.901917993029372,39.42791795840742,50.61393282894598
1543566000,26532,26532,26532,26532,26573.31603834259,26583.444444444445,1,13.1,NaN,NaN,NaN,26628.6936,NaN,-0.07222351336469035,14.674605733190717,40.4327501126101,49.77429672196427
1543566300,26550,26550,26550,26550,26568.652830674073,26575.666666666668,1,9.55,NaN,NaN,NaN,26626.119727999998,NaN,-0.07227195102540385,14.302961461739766,41.953182423242446,48.50382596633692
1543569300,26555,26580,26555,26580,26570.92226453926,26573.444444444445,2,9.6,NaN,NaN,NaN,26623.597333439997,NaN,-0.07172381098953184,13.696974240162842,44.44111280232433,46.424915404809965
1543573200,26520,26520,26520,26520,26560.737811631407,26562.333333333332,1,9.6,NaN,NaN,NaN,26621.125386771197,NaN,-0.07113424543976787,13.389085473976388,40.762943340887965,47.41051581840773
1543579200,26490,26490,26490,26490,26546.590249305125,26549.222222222223,1,9.55,NaN,NaN,NaN,26615.880371300347,NaN,-0.0703251344362188,13.314232084337485,39.06140751898364,49.60571773113841
1543584000,26570,26580,26570,26580,26553.2721994441,26545.11111111111,2,9.6,NaN,NaN,NaN,26610.845156448333,NaN,-0.06823182670470052,12.777998784224334,46.158642897470365,43.82836973993995
1543586400,26540,26540,26540,26540,26550.61775955528,26534.666666666668,1,9.55,NaN,NaN,NaN,26606.011350190398,NaN,-0.06539644240441955,12.232442376675609,43.77356491465385,45.439049005075816
1543588200,26528,26528,26528,26528,26546.094207644222,26537.777777777777,1,9.55,NaN,NaN,NaN,26601.370896182783,NaN,-0.06159346869302196,11.802296064443606,43.07076804677003,46.31504038349696
1543588500,26500,26500,26500,26500,26536.87536611538,26535.555555555555,1,9.5,NaN,NaN,NaN,26596.916060335472,NaN,-0.05796985980597802,11.597252266237218,41.43675030123728,48.35173906939729
1543589100,26536,26536,26536,26536,26536.700292892303,26536,2,6.1,NaN,NaN,NaN,26592.63941792205,NaN,-0.05412724016514714,11.11117760771079,44.29680990717409,45.99038008572564
1543589700,26530,26530,26530,26530,26535.36023431384,26533.777777777777,1,6.1,NaN,NaN,NaN,26588.533841205168,NaN,-0.04975551993409266,10.695527115505326,43.92050284880188,46.44919870576468
1543590300,26543,26543,26543,26543,26536.888187451073,26529.666666666668,1,5.8,NaN,NaN,NaN,26584.59248755696,NaN,-0.045124855886898296,10.192774841743962,44.986383565193364,45.566357244850245
1543590600,26560,26560,26560,26560,26541.510549960858,26534.11111111111,1,2.3,NaN,NaN,NaN,26580.808788054685,NaN,-0.03990681829066256,9.792417032497829,46.38900454146102,44.40460252618942
1543592100,26572,26572,26568,26570,26547.208439968686,26543,4,2.45,NaN,NaN,NaN,26577.176436532496,NaN,-0.03436776496471727,9.512037489411345,47.3857454326027,43.57902779633807
1543595400,26520,26520,26520,26520,26541.76675197495,26536.333333333332,1,1.45,NaN,NaN,NaN,26573.689379071195,NaN,-0.02944630549229832,9.239968922354578,43.813042016889916,47.53136799352639
1543595700,26562,26562,26562,26562,26545.81340157996,26538.777777777777,1,1.35,NaN,NaN,NaN,26570.341803908348,NaN,-0.024421998272389223,8.928376126029532,47.32469799414884,44.56068193908764
1543596000,26570,26570,26570,26570,26550.650721263966,26543.444444444445,2,1.4,NaN,NaN,NaN,26570,NaN,-0.019738093641913368,8.69761134409124,47.97661475058169,44.00919283265709
1543596300,26590,26610,26590,26610,26562.52057701117,26555.666666666668,4,1.55,NaN,NaN,NaN,26490,NaN,-0.014941982161745249,8.794772637748265,51.15805973080604,41.317848835146904
1543596600,26630,26630,26630,26630,26576.01646160894,26566.11111111111,1,1.5,NaN,NaN,NaN,26495.6,NaN,-0.009570094360984438,9.037353418455643,52.68108457835253,40.02944567023847
1543596900,26609,26609,26606,26606,26582.01316928715,26574.555555555555,4,1.65,NaN,NaN,NaN,26500.976,NaN,-0.004123428269763307,9.036226680999599,50.68468056139488,42.302091659237526
1543799400,27199,27199,27199,27199,26705.41053542972,26647.444444444445,8,2,NaN,NaN,NaN,26542.85744,NaN,0.005913110707324032,11.370238101688736,74.91276281209286,21.304124178424047
1543799700,27199,27294,27199,27280,26820.328428343775,26727.444444444445,60,4.95,NaN,NaN,NaN,26602.9488448,NaN,0.02073867317448852,13.764760919068323,76.85053073363864,19.658568387630265
1543800000,27288,27322,27251,27251,26906.46274267502,26803.11111111111,27,6.2,NaN,NaN,NaN,26674.85396032,NaN,0.0391980327157182,16.088911659991915,74.70727686761444,18.532428362332524
