time,open,high,low,close,Volume,Volume MA
1638234900,23815,23815,23767,23767,4,NaN
1638235200,23776,23779,23755,23755,40,NaN
1638235500,23846,23856,23838,23856,56,NaN
1638235800,23853,23853,23781,23789,19,NaN
1638236100,23794,23794,23741,23750,15,NaN
1638236400,23735,23735,23735,23735,1,NaN
1638236700,23765,23765,23765,23765,1,NaN
1638237000,23745,23745,23745,23745,2,NaN
1638237300,23737,23737,23655,23655,2,NaN
1638237600,23628,23689,23628,23689,42,NaN
1638238200,23678,23678,23677,23678,7,NaN
1638238500,23667,23667,23667,23667,1,NaN
1638238800,23644,23644,23630,23630,2,NaN
1638239100,23616,23616,23566,23566,9,NaN
1638239400,23541,23543,23532,23532,31,NaN
1638239700,23524,23524,23489,23489,4,NaN
1638240000,23486,23520,23486,23520,4,NaN
1638240300,23500,23508,23500,23508,2,NaN
1638240600,23539,23552,23538,23538,5,NaN
1638241200,23543,23543,23543,23543,1,NaN
1638242100,23564,23564,23552,23552,2,NaN
1638242400,23567,23567,23567,23567,1,NaN
1638242700,23566,23566,23532,23532,41,NaN
1638243000,23541,23545,23541,23545,4,NaN
1638243300,23587,23587,23567,23567,46,NaN
1638243600,23574,23575,23574,23575,10,NaN
1638243900,23562,23562,23562,23562,1,NaN
1638244200,23560,23560,23560,23560,1,NaN
1638244500,23574,23574,23555,23555,2,NaN
1638248700,23550,23550,23520,23534,6,NaN
1638249000,23508,23508,23480,23480,6,NaN
1638249300,23452,23452,23399,23399,3,NaN
1638249600,23394,23394,23358,23380,7,NaN
1638249900,23372,23378,23333,23378,5,NaN
1638250500,23335,23351,23322,23351,6,NaN
1638250800,23328,23328,23280,23280,3,NaN
1638251100,23272,23300,23242,23300,18,NaN
1638251400,23308,23308,23308,23308,1,NaN
1638251700,23280,23280,23280,23280,1,NaN
1638252000,23229,23229,23211,23217,8,NaN
1638252300,23212,23212,23126,23126,28,NaN
1638252600,23126,23160,23126,23134,54,NaN
1638252900,23189,23235,23189,23230,68,NaN
1638253200,23235,23305,23230,23282,43,NaN
1638253500,23255,23268,23249,23249,11,NaN
1638253800,23278,23278,23247,23247,6,NaN
1638254100,23270,23288,23270,23288,22,NaN
1638254400,23269,23269,23269,23269,1,NaN
1638254700,23277,23300,23277,23300,3,NaN
1638255000,23310,23315,23295,23295,7,NaN
1638255300,23297,23297,23269,23269,5,NaN
1638255600,23254,23299,23254,23299,2,NaN
1638255900,23297,23375,23297,23375,28,NaN
1638256200,23356,23367,23337,23367,6,NaN
1638256500,23377,23387,23377,23387,2,NaN
1638256800,23393,23433,23393,23433,4,NaN
1638257100,23356,23356,23356,23356,1,NaN
