time,open,high,low,close,Volume
1696615200,17388,17388,17388,17388,1
1696615500,17965,17965,17965,17965,1
1699018200,17401,17401,17401,17401,1
1699020000,18268,18268,18268,18268,1
1699844700,17330,17330,17330,17330,1
1699939500,17683,17683,17683,17683,1
1700011800,17859,17859,17859,17859,1
1700017500,18191,18222,18191,18222,2
1700055600,17958,17958,17958,17958,2
1700099100,18103,18103,18103,18103,5
1700119800,17999,17999,17993,17993,2
1700123100,18078,18078,18078,18078,1
1700149500,17788,17788,17788,17788,1
1700446800,17729,17729,17729,17729,1
1700553000,17900,17900,17900,17900,1
1700802300,17903,17903,17903,17903,1
1700805900,17800,17800,17800,17800,1
1700811000,17720,17720,17720,17720,1
1701050700,17600,17600,17600,17600,2
1701056700,17541,17541,17541,17541,1
1701069300,17701,17701,17682,17682,3
1701069600,17700,17702,17700,17702,2
1701135900,17656,17656,17656,17656,1
1701136500,17631,17644,17631,17644,2
1701141300,17560,17560,17560,17560,1
1701148800,17560,17560,17560,17560,3
1701150000,17521,17521,17521,17521,1
1701167700,17980,17980,17980,17980,3
1701222000,17400,17400,17400,17400,1
1701222600,17400,17400,17400,17400,9
1701222900,17360,17372,17354,17359,23
1701223200,17360,17375,17346,17350,32
1701223500,17352,17368,17345,17350,36
1701223800,17348,17378,17348,17371,29
1701224100,17342,17361,17310,17310,15
1701224400,17310,17330,17310,17325,11
1701224700,17330,17335,17311,17312,10
1701225000,17314,17321,17314,17316,10
1701225300,17298,17298,17245,17254,12
1701225600,17250,17260,17246,17258,20
1701225900,17262,17263,17237,17237,10
1701226800,17245,17252,17245,17252,6
1701227100,17217,17217,17217,17217,1
1701227700,17217,17217,17217,17217,2
1701228000,17227,17233,17220,17220,8
1701228300,17218,17218,17218,17218,2
1701228600,17226,17228,17214,17214,5
1701229200,17211,17211,17202,17202,4
1701229800,17196,17199,17196,17199,3
1701234900,17199,17199,17199,17199,1
1701235200,17177,17177,17175,17175,2
1701235500,17163,17163,17163,17163,2
1701238800,17107,17107,17107,17107,4
1701239100,17090,17090,17090,17090,10
1701239400,17090,17090,17090,17090,10
1701239700,17111,17111,17100,17100,20
1701240600,17104,17104,17104,17104,10
1701241200,17089,17089,17089,17089,1
1701241800,17089,17096,17089,17096,11
1701242700,17088,17091,17088,17088,20
1701243000,17088,17088,17088,17088,20
1701243300,17091,17093,17091,17093,20
1701250800,17100,17100,17100,17100,1
1701251100,17100,17122,17100,17122,7
1701251400,17122,17122,17122,17122,46
1701251700,17122,17122,17122,17122,30
1701273300,17140,17140,17140,17140,1
1701306900,17177,17183,17163,17163,65
1701307200,17160,17203,17160,17198,105
1701307500,17198,17233,17198,17233,11
1701307800,17157,17157,17144,17147,24
1701308100,17170,17170,17120,17120,27
1701308400,17100,17106,17068,17071,65
1701308700,17073,17106,17065,17065,22
1701309000,17080,17084,17041,17041,65
1701309300,17060,17060,17060,17060,1
1701309600,17082,17142,17073,17142,66
1701309900,17131,17152,17125,17152,42
1701310200,17154,17164,17145,17145,12
1701310500,17126,17126,17126,17126,2
1701311100,17106,17106,17106,17106,1
1701311400,17122,17126,17122,17126,11
1701312000,17129,17129,17129,17129,2
1701312300,17202,17202,17202,17202,1
1701312600,17203,17231,17203,17231,4
1701312900,17212,17212,17212,17212,1
1701314100,17181,17181,17181,17181,1
1701315600,17187,17187,17187,17187,1
1701316500,17195,17198,17195,17195,3
1701321300,17150,17150,17140,17140,2
1701321900,17131,17131,17131,17131,4
1701322200,17134,17134,17134,17134,1
1701322800,17135,17135,17135,17135,1
1701323400,17150,17150,17150,17150,24
1701324000,17120,17120,17120,17120,1
1701324300,17150,17150,17150,17150,2
1701324900,17188,17188,17188,17188,1
1701325800,17193,17200,17193,17200,3
1701326100,17218,17218,17218,17218,1
1701326400,17230,17230,17230,17230,1
1701327600,17201,17201,17201,17201,1
1701330300,17188,17188,17188,17188,1
1701330600,17195,17195,17195,17195,1
1701330900,17192,17192,17180,17180,3
1701331200,17183,17210,17183,17200,3
1701331500,17210,17210,17192,17192,2
1701332100,17160,17160,17160,17160,1
1701332400,17154,17154,17154,17154,1
1701332700,17150,17150,17150,17150,1
1701335700,17154,17156,17154,17156,4
1701336300,17151,17151,17151,17151,18
1701345900,17158,17160,17158,17160,2
1701353700,17175,17175,17175,17175,1
1701354900,17087,17087,17087,17087,1
1701355800,17087,17087,17087,17087,2
1701356700,17150,17150,17150,17150,2
1701357300,17178,17178,17178,17178,3
1701357600,17170,17178,17170,17178,4
1701358500,17186,17186,17186,17186,1
1701359400,17194,17194,17191,17194,4
1701359700,17203,17215,17203,17215,3
1701360000,17220,17220,17220,17220,1
1701360600,17220,17220,17220,17220,1
1701360900,17191,17191,17191,17191,1
1701362100,17152,17152,17152,17152,6
1701365400,17157,17157,17157,17157,1
1701366000,17150,17150,17150,17150,6
1701366900,17144,17144,17144,17144,2
1701367200,17150,17150,17150,17150,1
1701393300,17198,17198,17168,17168,48
1701393600,17181,17181,17181,17181,1
1701393900,17177,17177,17174,17174,3
1701394200,17179,17182,17110,17112,18
1701394500,17080,17095,17075,17095,8
1701394800,17090,17091,17080,17080,8
1701395100,17096,17151,17096,17120,111
1701395400,17158,17167,17144,17167,42
1701395700,17131,17131,17131,17131,6
1701396000,17131,17131,17127,17127,4
1701396600,17116,17116,17091,17091,48
1701396900,17105,17105,17105,17105,19
1701397200,17091,17091,17062,17070,23
1701397500,17082,17083,17060,17072,88
