time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1419988500,23255,23531,23255,23531,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1419988800,23523,23535,23523,23535,NaN,NaN,2,NaN,23255,NaN,NaN,NaN,NaN,NaN
1419989100,23522,23522,23519,23519,NaN,NaN,2,NaN,23255,NaN,NaN,NaN,NaN,NaN
1419989400,23517,23517,23517,23517,NaN,NaN,1,NaN,23283,NaN,NaN,NaN,NaN,NaN
1419989700,23548,23548,23548,23548,NaN,NaN,1,NaN,23308.2,NaN,NaN,NaN,NaN,NaN
1419990300,23500,23500,23494,23494,NaN,NaN,2,NaN,23336.976000000002,NaN,NaN,NaN,NaN,NaN
1419990600,23499,23499,23499,23499,NaN,NaN,1,NaN,23362.298880000002,NaN,NaN,NaN,NaN,NaN
1419990900,23510,23530,23510,23514,NaN,NaN,16,NaN,23384.583014400003,NaN,NaN,NaN,NaN,NaN
1419991200,23515,23547,23515,23544,23522.333333333332,23522.333333333332,3,NaN,23404.193052672003,NaN,NaN,NaN,NaN,NaN
1419991500,23549,23549,23549,23549,23527.666666666664,23524.333333333332,1,NaN,23421.44988635136,NaN,NaN,NaN,NaN,NaN
1419991800,23560,23560,23560,23560,23534.13333333333,23527.11111111111,1,NaN,23439.30690226217,NaN,NaN,NaN,NaN,NaN
1419992100,23539,23545,23539,23545,23536.306666666664,23530,7,NaN,23458.617797900224,NaN,NaN,NaN,NaN,NaN
1419992400,23540,23540,23540,23540,23537.04533333333,23532.555555555555,4,NaN,23474.83895023619,NaN,NaN,NaN,NaN,NaN
1419992700,23550,23553,23550,23553,23540.236266666667,23533.11111111111,5,NaN,23488.4647181984,NaN,NaN,NaN,NaN,NaN
1419993600,23580,23580,23580,23580,23548.189013333333,23542.666666666668,1,NaN,23499.910363286657,NaN,NaN,NaN,NaN,NaN
1419994800,23579,23579,23579,23579,23554.351210666668,23551.555555555555,1,NaN,23514.326497895057,NaN,NaN,NaN,NaN,NaN
1419995400,23578,23578,23578,23578,23559.080968533333,23558.666666666668,1,NaN,23526.147728273947,NaN,NaN,NaN,NaN,NaN
1419995700,23594,23594,23580,23580,23563.264774826668,23562.666666666668,2,NaN,23535.841137184638,NaN,NaN,NaN,NaN,NaN
1419996600,23600,23600,23600,23600,23570.611819861333,23568.333333333332,1,NaN,23547.47290974771,NaN,NaN,NaN,NaN,NaN
1419996900,23599,23599,23599,23599,23576.289455889066,23572.666666666668,1,3,23557.97832779817,NaN,NaN,NaN,NaN,NaN
1419997200,23601,23634,23601,23634,23587.831564711254,23582.555555555555,28,4.05,23566.382662238535,NaN,NaN,NaN,56.76470588235294,24.705882352941178
1419997500,23633,23633,23633,23633,23596.865251769002,23592.88888888889,1,4,23579.906129790827,NaN,NaN,NaN,56.589506172839506,24.62962962962963
1419997800,23639,23655,23639,23655,23608.492201415203,23604.222222222223,3,4.05,23590.724903832663,NaN,NaN,NaN,59.485294117647044,22.986658580958157
1419998100,23660,23660,23660,23660,23618.79376113216,23613.11111111111,1,4.05,23603.57992306613,NaN,NaN,NaN,60.121697401903795,22.62558512142251
1420161300,23660,23660,23650,23650,23625.03500890573,23621,2,4.1,23614.8639384529,NaN,NaN,NaN,58.197153358973985,25.102402571108
1420161600,23676,23676,23676,23676,23635.228007124584,23631.88888888889,1,4.05,23623.89115076232,NaN,NaN,NaN,58.466300824622984,23.08036579066626
1420161900,23660,23673,23660,23670,23642.182405699667,23641.88888888889,8,4.4,23634.312920609857,NaN,NaN,NaN,55.56687017184522,26.89492464048954
1420162200,23663,23675,23656,23656,23644.94592455973,23648.11111111111,41,5.65,23642.650336487884,NaN,NaN,NaN,52.32337770210969,26.553904289829195
