time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1546218900,25837,25838,25788,25788,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1546219200,25770,25772,25762,25764,NaN,NaN,106,NaN,NaN,NaN,NaN,25836.48,NaN,NaN,NaN,NaN,NaN
1546219500,25772,25772,25772,25772,NaN,NaN,14,NaN,NaN,NaN,NaN,25834.9904,NaN,NaN,NaN,NaN,NaN
1546219800,25744,25744,25744,25744,NaN,NaN,1,NaN,NaN,NaN,NaN,25831.350784,NaN,NaN,NaN,NaN,NaN
1546220100,25680,25680,25680,25680,NaN,NaN,1,NaN,NaN,NaN,NaN,25822.26973696,NaN,NaN,NaN,NaN,NaN
1546220400,25735,25735,25721,25721,NaN,NaN,2,NaN,NaN,NaN,NaN,25813.7335527424,NaN,NaN,NaN,NaN,NaN
1546220700,25741,25741,25741,25741,NaN,NaN,1,NaN,NaN,NaN,NaN,25805.709539577856,NaN,NaN,NaN,NaN,NaN
1546221000,25757,25757,25749,25749,NaN,NaN,8,NaN,NaN,NaN,NaN,25798.166967203186,NaN,NaN,NaN,NaN,NaN
1546221600,25773,25773,25773,25773,25748,25748,1,NaN,NaN,NaN,NaN,25791.076949170994,NaN,NaN,NaN,NaN,NaN
1546221900,25789,25790,25789,25790,25756.4,25748.222222222223,2,NaN,NaN,NaN,NaN,25790,NaN,NaN,NaN,NaN,NaN
1546224300,25826,25826,25826,25826,25770.32,25755.11111111111,38,NaN,NaN,NaN,NaN,25680,NaN,NaN,NaN,NaN,NaN
1546224600,25853,25859,25853,25859,25788.056,25764.777777777777,3,NaN,NaN,NaN,NaN,25687.16,NaN,NaN,NaN,NaN,NaN
1546225200,25865,25865,25865,25865,25803.4448,25778.222222222223,2,NaN,NaN,NaN,NaN,25697.8304,NaN,NaN,NaN,NaN,NaN
1546225500,25875,25875,25871,25871,25816.955840000002,25799.444444444445,11,NaN,NaN,NaN,NaN,25712.003967999997,NaN,NaN,NaN,NaN,NaN
1546225800,25881,25890,25881,25888,25831.164672000003,25818,3,NaN,NaN,NaN,NaN,25729.8035712,NaN,NaN,NaN,NaN,NaN
1546226400,25911,25911,25911,25911,25847.1317376,25836.88888888889,2,NaN,NaN,NaN,NaN,25751.547142656,NaN,NaN,NaN,NaN,NaN
1546226700,25890,25892,25890,25892,25856.10539008,25852.777777777777,2,NaN,NaN,NaN,NaN,25770.68148553728,NaN,NaN,NaN,NaN,NaN
