time,open,high,low,close,MA,MA,Volume,Volume MA,HKEX:HSI2!: Compare,HKEX:HSI1!: Compare,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1577756100,28345,28345,28345,28345,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1577756400,28290,28290,28288,28289,NaN,NaN,4,NaN,NaN,NaN,28345,NaN,NaN,NaN,NaN,NaN
1577757600,28288,28289,28288,28289,NaN,NaN,5,NaN,NaN,NaN,28345,NaN,NaN,NaN,NaN,NaN
1577757900,28284,28288,28265,28266,NaN,NaN,15,NaN,NaN,NaN,28343.86,NaN,NaN,NaN,NaN,NaN
1577758500,28279,28279,28269,28272,NaN,NaN,17,NaN,NaN,NaN,28340.7056,NaN,NaN,NaN,NaN,NaN
1577759100,28250,28250,28240,28240,NaN,NaN,6,NaN,NaN,NaN,28337.677376,NaN,NaN,NaN,NaN,NaN
1577759700,28216,28216,28216,28216,NaN,NaN,1,NaN,NaN,NaN,28331.81673344,NaN,NaN,NaN,NaN,NaN
1577760600,28226,28226,28226,28226,NaN,NaN,1,NaN,NaN,NaN,28322.5513947648,NaN,NaN,NaN,NaN,NaN
1577761200,28196,28196,28196,28196,28259.88888888889,28259.88888888889,1,NaN,NaN,NaN,28314.027283183616,NaN,NaN,NaN,NaN,NaN
1577762100,28191,28215,28191,28215,28250.911111111112,28245.444444444445,2,NaN,NaN,NaN,28302.224554865254,NaN,NaN,NaN,NaN,NaN
1577763000,28228,28228,28228,28228,28246.32888888889,28238.666666666668,1,NaN,NaN,NaN,28288.877608281422,NaN,NaN,NaN,NaN,NaN
1577763900,28222,28222,28222,28222,28241.463111111112,28231.222222222223,63,NaN,NaN,NaN,28277.13229528765,NaN,NaN,NaN,NaN,NaN
1577764500,28249,28250,28249,28250,28243.17048888889,28229.444444444445,26,NaN,NaN,NaN,28266.796419853134,NaN,NaN,NaN,NaN,NaN
1577765400,28230,28230,28215,28215,28237.536391111113,28223.11111111111,35,NaN,NaN,NaN,28257.70084947076,NaN,NaN,NaN,NaN,NaN
1577765700,28215,28215,28215,28215,28233.02911288889,28220.333333333332,2,NaN,NaN,NaN,28250,NaN,NaN,NaN,NaN,NaN
1577766000,28222,28243,28222,28243,28235.02329031111,28223.333333333332,134,NaN,NaN,NaN,28191,NaN,NaN,NaN,NaN,NaN
1577766300,28249,28260,28240,28240,28236.018632248888,28224.88888888889,38,NaN,NaN,NaN,28192.04,NaN,NaN,NaN,NaN,NaN
1577927700,28348,28348,28226,28256,28240.01490579911,28231.555555555555,46,NaN,NaN,NaN,28194.758400000002,NaN,NaN,NaN,NaN,NaN
1577928000,28258,28258,28193,28193,28230.61192463929,28229.11111111111,3,NaN,NaN,NaN,28348,NaN,NaN,NaN,NaN,NaN
1577928300,28250,28250,28250,28250,28234.48953971143,28231.555555555555,28,21.45,NaN,NaN,28348,NaN,NaN,NaN,NaN,NaN
1577928600,28279,28388,28279,28334,28254.391631769144,28244,23,22.55,NaN,NaN,28193,NaN,NaN,NaN,46.9050894085282,32.46217331499312
1577928900,28348,28450,28348,28425,28288.513305415316,28263.444444444445,8,22.75,NaN,NaN,28196.9,NaN,NaN,NaN,47.84602987665035,27.79396268517945
1577929500,28415,28416,28415,28416,28314.01064433225,28285.777777777777,5,22.75,NaN,NaN,28207.024,NaN,NaN,NaN,47.22970949386045,27.435939547929816
1577929800,28443,28443,28443,28443,28339.8085154658,28311.11111111111,1,22.05,NaN,NaN,28216.74304,NaN,NaN,NaN,49.09340447772103,26.466981021786584
1577930100,28442,28461,28442,28461,28364.04681237264,28335.333333333332,2,21.3,NaN,NaN,28226.073318400002,NaN,NaN,NaN,50.25703336446916,25.79223465598303
1577930400,28489,28490,28487,28487,28388.63744989811,28362.777777777777,3,21.15,NaN,NaN,28240.168919296,NaN,NaN,NaN,52.21432121040833,24.77736097983788
1577930700,28500,28510,28400,28400,28390.90995991849,28378.777777777777,22,22.2,NaN,NaN,28260.15540575232,NaN,NaN,NaN,45.12490605543265,32.15179929815838
1577931300,28514,28650,28509,28650,28442.727967934792,28429.555555555555,18,23.05,NaN,NaN,28285.139865177087,NaN,NaN,NaN,47.79127479254787,24.268782109747043
1577931600,28506,28542,28505,28542,28462.582374347832,28462,17,23.85,NaN,NaN,28328.923081355835,NaN,NaN,NaN,41.568850830767886,21.46815910014686
1577931900,28542,28542,28542,28542,28478.465899478266,28485.11111111111,3,23.9,NaN,NaN,28367.452311593133,NaN,NaN,NaN,41.568850830767886,21.46815910014686
1577932200,28563,28570,28563,28570,28496.772719582612,28501.222222222223,2,23.95,NaN,NaN,28401.358034201956,NaN,NaN,NaN,43.15252197675443,20.886303281670962
1577932800,28565,28565,28495,28548,28507.01817566609,28515.88888888889,14,21.5,NaN,NaN,28431.19507009772,NaN,NaN,NaN,40.08897099459621,25.840259411943446
1577933700,28522,28522,28522,28522,28510.014540532873,28524.666666666668,1,20.25,NaN,NaN,28457.451661685995,NaN,NaN,NaN,39.07663525363068,25.187735350848005
1577934000,28532,28532,28532,28532,28514.411632426298,28532.555555555555,1,18.55,NaN,NaN,28480.557462283676,NaN,NaN,NaN,39.693186373038834,24.932832712253223
1577934600,28547,28800,28547,28800,28571.52930594104,28567.333333333332,10,18.95,NaN,NaN,28500.890566809634,NaN,NaN,NaN,53.08664860742767,19.39553214463368
1577935500,28500,28500,28490,28490,28555.22344475283,28577.333333333332,21,13.3,NaN,NaN,28800,NaN,NaN,NaN,41.78687662140232,19.180881379374746
