time,open,high,low,close,Volume
1700099100,18163,18163,18163,18163,3
1700121300,18037,18037,18037,18037,1
1701226500,17373,17373,17373,17373,7
1701314400,17250,17250,17250,17250,1
1701322800,17200,17200,17200,17200,1
1701454500,17098,17098,17098,17098,1
1701759000,16448,16448,16448,16448,2
1702347900,16413,16413,16413,16413,1
1702352100,16528,16528,16528,16528,3
1702537800,16573,16573,16573,16573,1
1702575900,16800,16800,16800,16800,5
1702622100,16866,16866,16866,16866,1
1702949700,16670,16670,16670,16670,1
1703221200,16680,16680,16620,16620,11
1703645400,16763,16763,16763,16763,2
1703647800,16854,16854,16854,16854,1
1703659200,16782,16782,16782,16782,2
1703727300,16863,16863,16863,16863,9
1703732400,17032,17032,17032,17032,1
1703733900,17147,17147,17147,17147,1
1703739900,17185,17200,17185,17200,2
1703740500,17090,17090,17090,17090,1
1703812500,17217,17217,17217,17217,1
1703812800,17206,17206,17206,17206,1
1703813100,17221,17221,17219,17219,3
1703813400,17213,17233,17206,17217,7
1703813700,17219,17263,17219,17263,5
1703814000,17241,17241,17193,17193,6
1703814300,17180,17181,17174,17176,20
1703814600,17143,17160,17143,17160,20
1703814900,17181,17195,17178,17195,12
1703815200,17213,17224,17213,17224,21
1703815500,17225,17225,17199,17199,8
1703815800,17175,17183,17175,17183,2
1703816100,17175,17175,17175,17175,1
1703817000,17153,17153,17153,17153,1
1703817900,17159,17160,17159,17160,10
1703822100,17140,17140,17140,17140,5
1703826000,17138,17138,17138,17138,1
1703828700,17189,17189,17187,17187,3
1703829900,17200,17200,17200,17200,5
1703830200,17205,17205,17205,17205,2
1703830500,17183,17188,17183,17188,7
1703831100,17182,17182,17180,17180,2
1703831700,17174,17174,17173,17173,4
1703832600,17173,17173,17172,17172,3
1703836500,17186,17186,17186,17186,1
1703837400,17197,17200,17197,17200,2
1703837700,17201,17201,17201,17201,1
1703838300,17205,17205,17205,17205,7
1703858700,17147,17147,17147,17147,1
1703860800,17230,17230,17230,17230,2
1703861400,17216,17216,17216,17216,1
1703861700,17233,17233,17233,17233,1
1703862900,17218,17230,17218,17230,3
1703863500,17255,17255,17255,17255,1
1703864400,17238,17238,17238,17238,1
1703864700,17221,17221,17221,17221,1
1703866200,17194,17194,17194,17194,1
1704158100,17276,17286,17265,17265,9
1704158400,17268,17305,17268,17290,83
1704158700,17270,17276,17260,17260,6
1704159000,17265,17265,17137,17140,34
1704159300,17127,17128,17080,17106,6
1704159600,17100,17100,17080,17080,3
1704159900,17108,17112,17059,17059,9
1704160200,17064,17064,17040,17040,8
1704160500,17030,17030,16996,16998,20
1704160800,16999,17022,16999,17022,98
1704161100,17033,17047,17028,17035,43
