time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1406772600,24559,24559,24559,24559,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1406773500,24574,24574,24574,24574,NaN,NaN,1,NaN,24559,NaN,NaN,NaN,NaN,NaN
1406787600,24515,24515,24515,24515,NaN,NaN,1,NaN,24574,NaN,NaN,NaN,NaN,NaN
1406790900,24614,24614,24614,24614,NaN,NaN,1,NaN,24515,NaN,NaN,NaN,NaN,NaN
1406793000,24604,24604,24604,24604,NaN,NaN,1,NaN,24515,NaN,NaN,NaN,NaN,NaN
1406816700,24515,24515,24515,24515,NaN,NaN,1,NaN,24614,NaN,NaN,NaN,NaN,NaN
1406817000,24500,24500,24500,24500,NaN,NaN,1,NaN,24604.1,NaN,NaN,NaN,NaN,NaN
1406818500,24450,24450,24450,24450,NaN,NaN,1,NaN,24591.608,NaN,NaN,NaN,NaN,NaN
1406856600,24438,24438,24438,24438,24529.88888888889,24529.88888888889,1,NaN,24571.78288,NaN,NaN,NaN,NaN,NaN
1406857200,24550,24550,24550,24550,24533.911111111112,24528.88888888889,1,NaN,24550.3776192,NaN,NaN,NaN,NaN,NaN
1406859300,24400,24400,24400,24400,24507.12888888889,24509.555555555555,1,NaN,24550,NaN,NaN,NaN,NaN,NaN
1406862300,24480,24480,24480,24480,24501.70311111111,24505.666666666668,1,NaN,24550,NaN,NaN,NaN,NaN,NaN
1406873700,24388,24388,24388,24388,24478.962488888887,24480.555555555555,1,NaN,24523,NaN,NaN,NaN,NaN,NaN
1406875800,24350,24350,24350,24350,24453.16999111111,24452.333333333332,1,NaN,24496,NaN,NaN,NaN,NaN,NaN
1406878800,24300,24300,24300,24300,24422.535992888887,24428.444444444445,1,NaN,24466.8,NaN,NaN,NaN,NaN,NaN
1406879700,24342,24342,24342,24342,24406.42879431111,24410.88888888889,1,NaN,24433.44,NaN,NaN,NaN,NaN,NaN
1406897100,24350,24350,24350,24350,24395.143035448888,24399.777777777777,1,NaN,24406.752,NaN,NaN,NaN,NaN,NaN
1406898300,24345,24345,24345,24345,24385.11442835911,24389.444444444445,1,NaN,24385.4016,NaN,NaN,NaN,NaN,NaN
1406901300,24402,24402,24402,24402,24388.491542687287,24373,1,NaN,24300,NaN,NaN,NaN,NaN,NaN
1407114900,24360,24410,24360,24410,24392.79323414983,24374.11111111111,3,1.1,24310.2,NaN,NaN,NaN,NaN,NaN
1407118800,24460,24460,24460,24460,24406.234587319865,24371.88888888889,1,1.1,24322.176,NaN,NaN,NaN,42.751615881809784,56.50969529085873
1407123300,24443,24443,24443,24443,24413.587669855893,24378,1,1.1,24341.47136,NaN,NaN,NaN,42.056700291628815,57.21661806186356
1407139500,24380,24380,24349,24349,24400.670135884713,24377.88888888889,2,1.15,24460,NaN,NaN,NaN,38.4216466715553,60.91448038379581
1407144900,24398,24398,24398,24398,24400.13610870777,24388.777777777777,1,1.15,24448.9,NaN,NaN,NaN,38.34526315351761,58.156334259203966
1407146400,24430,24430,24430,24430,24406.108886966216,24398.555555555555,1,1.15,24438.91,NaN,NaN,NaN,40.20641419162967,56.400788336612216
1407162600,24440,24440,24440,24440,24412.887109572974,24408.555555555555,1,1.15,24349,NaN,NaN,NaN,40.79431625953265,55.84624490781168
1407202500,24370,24370,24370,24370,24404.30968765838,24411.333333333332,1,1.15,24358.1,NaN,NaN,NaN,38.03851213931564,58.828991313756696
1407202800,24383,24383,24383,24383,24400.047750126705,24409.222222222223,1,1.15,24366.289999999997,NaN,NaN,NaN,38.84610875484898,58.06222318212221
1407204300,24330,24330,24330,24330,24386.038200101364,24400.333333333332,1,1.15,24440,NaN,NaN,NaN,36.78836159470869,60.283741473547316
1407205800,24390,24390,24390,24390,24386.830560081093,24392.555555555555,1,1.15,24429,NaN,NaN,NaN,40.5416270820485,56.70432331530129
1407215400,24336,24336,24325,24325,24374.464448064875,24379.444444444445,6,1.4,24419.1,NaN,NaN,NaN,37.97064686434437,59.449953825966276
1407216300,24300,24300,24300,24300,24359.5715584519,24374,1,1.4,24407.807999999997,NaN,NaN,NaN,37.02017540730044,60.46499214248292
1407216600,24276,24278,24275,24278,24343.257246761517,24360.666666666668,7,1.7,24392.714879999996,NaN,NaN,NaN,36.06976583623091,61.479964369024096
1407217200,24286,24286,24286,24286,24331.805797409215,24344.666666666668,1,1.7,24373.880499199997,NaN,NaN,NaN,36.617873041323506,60.95286460347068
