time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1540572000,24900,24909,24900,24909,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1540775700,25050,25050,25050,25050,NaN,NaN,1,NaN,NaN,NaN,NaN,24903,NaN,NaN,NaN,NaN,NaN
1540776000,24950,24950,24950,24950,NaN,NaN,1,NaN,NaN,NaN,NaN,24905.94,NaN,NaN,NaN,NaN,NaN
1540776300,24977,24977,24977,24977,NaN,NaN,1,NaN,NaN,NaN,NaN,24908.8212,NaN,NaN,NaN,NaN,NaN
1540776600,25004,25004,24926,24930,NaN,NaN,14,NaN,NaN,NaN,NaN,24911.644775999997,NaN,NaN,NaN,NaN,NaN
1540777200,24800,24811,24790,24790,NaN,NaN,5,NaN,NaN,NaN,NaN,25050,NaN,NaN,NaN,NaN,NaN
1540777500,24852,24852,24840,24840,NaN,NaN,29,NaN,NaN,NaN,NaN,25044.8,NaN,NaN,NaN,NaN,NaN
1540777800,24900,24900,24898,24898,NaN,NaN,2,NaN,NaN,NaN,NaN,25039.703999999998,NaN,NaN,NaN,NaN,NaN
1540778100,24813,24813,24813,24813,24906.333333333332,24906.333333333332,1,NaN,NaN,NaN,NaN,25034.709919999998,NaN,NaN,NaN,NaN,NaN
1540778400,24800,24801,24799,24799,24884.866666666665,24894.11111111111,3,NaN,NaN,NaN,NaN,25029.815721599996,NaN,NaN,NaN,NaN,NaN
1540778700,24795,24795,24795,24795,24866.893333333333,24865.777777777777,2,NaN,NaN,NaN,NaN,25025.019407167998,NaN,NaN,NaN,NaN,NaN
1540779000,24751,24790,24750,24790,24851.514666666666,24848,4,NaN,NaN,NaN,NaN,25014.018630881277,NaN,NaN,NaN,NaN,NaN
1540780200,24715,24715,24715,24715,24824.211733333334,24818.88888888889,1,NaN,NaN,NaN,NaN,24996.077513028402,NaN,NaN,NaN,NaN,NaN
1540780800,24668,24668,24668,24668,24792.969386666668,24789.777777777777,2,NaN,NaN,NaN,NaN,24969.83131198613,NaN,NaN,NaN,NaN,NaN
1540781400,24770,24787,24770,24787,24791.775509333333,24789.444444444445,4,NaN,NaN,NaN,NaN,24945.68480702724,NaN,NaN,NaN,NaN,NaN
1540782000,24841,24841,24841,24841,24801.620407466668,24789.555555555555,1,NaN,NaN,NaN,NaN,24923.47002246506,NaN,NaN,NaN,NaN,NaN
1540784100,24793,24793,24793,24793,24799.896325973335,24777.88888888889,1,NaN,NaN,NaN,NaN,24903.032420667852,NaN,NaN,NaN,NaN,NaN
1540791000,24789,24789,24774,24774,24794.71706077867,24773.555555555555,46,NaN,NaN,NaN,NaN,24884.229827014424,NaN,NaN,NaN,NaN,NaN
1540791300,24755,24758,24755,24758,24787.373648622935,24769,11,NaN,NaN,NaN,NaN,24866.93144085327,NaN,NaN,NaN,NaN,NaN
1540792800,24719,24719,24719,24719,24773.69891889835,24760.555555555555,1,6.6,NaN,NaN,NaN,24851.01692558501,NaN,NaN,NaN,NaN,NaN
1540793100,24716,24719,24716,24719,24762.75913511868,24752.666666666668,10,7,NaN,NaN,NaN,24836.375571538207,NaN,NaN,NaN,36.4715860899067,54.4529262086514
1540793700,24734,24740,24734,24740,24758.20730809494,24755.444444444445,3,7.1,NaN,NaN,NaN,24822.90552581515,NaN,NaN,NaN,37.640769466719256,53.45076902852636
