time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA
1573839900,26475,26475,26475,26475,NaN,NaN,NaN,NaN,NaN,26475,1,NaN
1574039400,26423,26423,26423,26423,26475,NaN,NaN,NaN,NaN,26423,15,NaN
1574039700,26423,26509,26423,26508,26423,26423,26423,NaN,NaN,26465.75,4,NaN
1574040000,26509,26509,26509,26509,26423,NaN,NaN,NaN,NaN,26509,1,NaN
1574040900,26539,26539,26539,26539,26423,NaN,NaN,NaN,NaN,26539,1,NaN
1574041200,26562,26580,26562,26580,26436.92,NaN,NaN,NaN,NaN,26571,11,NaN
1574041800,26623,26623,26623,26623,26456.9512,NaN,NaN,NaN,NaN,26623,1,NaN
1574042400,26699,26703,26699,26703,26483.519008,NaN,NaN,NaN,NaN,26701,2,NaN
1574042700,26750,26759,26750,26759,26523.02558656,NaN,NaN,NaN,NaN,26754.5,4,NaN
1574043000,26730,26730,26730,26730,26570.220469248,NaN,NaN,NaN,NaN,26730,1,NaN
1574043300,26737,26737,26737,26737,26607.9763753984,NaN,NaN,NaN,NaN,26737,1,NaN
1574044200,26680,26680,26680,26680,26638.18110031872,NaN,NaN,NaN,NaN,26680,1,NaN
1574049000,26696,26696,26696,26696,26662.344880254976,NaN,NaN,NaN,NaN,26696,12,NaN
1574053800,26670,26670,26600,26600,26759,NaN,NaN,26759,26759,26635,3,NaN
1574054400,26612,26612,26612,26612,26743.1,NaN,NaN,NaN,NaN,26612,1,NaN
1574055900,26650,26700,26650,26700,26728.789999999997,NaN,NaN,NaN,NaN,26675,2,NaN
1574056800,26661,26664,26661,26664,26715.910999999996,NaN,NaN,NaN,NaN,26662.5,6,NaN
1574061300,26733,26760,26733,26760,26600,26600,26600,NaN,NaN,26746.5,3,NaN
1574062800,26725,26725,26725,26725,26616,NaN,NaN,NaN,NaN,26725,1,NaN
1574064900,26744,26744,26744,26744,26630.4,NaN,NaN,NaN,NaN,26744,2,3.65
1574068500,26737,26737,26737,26737,26643.36,NaN,NaN,NaN,NaN,26737,10,4.1
1574068800,26737,26737,26737,26737,26655.024,NaN,NaN,NaN,NaN,26737,1,3.4
1574069100,26740,26740,26740,26740,26665.5216,NaN,NaN,NaN,NaN,26740,1,3.25
1574082900,26670,26670,26670,26670,26760,NaN,NaN,26760,26760,26670,1,3.25
1574088000,26620,26620,26620,26620,26751,NaN,NaN,NaN,NaN,26620,1,3.25
1574089200,26653,26653,26653,26653,26735.28,NaN,NaN,NaN,NaN,26653,1,2.75
1574093400,26688,26688,26688,26688,26721.4464,NaN,NaN,NaN,NaN,26688,1,2.75
1574094300,26700,26700,26700,26700,26709.272832000002,NaN,NaN,NaN,NaN,26700,1,2.7
1574095800,26699,26699,26699,26699,26620,26620,26620,NaN,NaN,26699,1,2.55
1574126100,26600,26693,26600,26693,26700,NaN,NaN,26700,26700,26646.5,4,2.7
1574126700,26650,26650,26650,26650,26699,NaN,NaN,NaN,NaN,26650,1,2.7
1574127300,26744,26744,26744,26744,26600,26600,26600,NaN,NaN,26744,1,2.7
1574127600,26800,26800,26800,26800,26614.4,NaN,NaN,NaN,NaN,26800,1,2.15
1574127900,26900,26900,26900,26900,26636.672000000002,NaN,NaN,NaN,NaN,26900,1,2.05
1574128200,26948,26948,26948,26948,26673.537920000002,NaN,NaN,NaN,NaN,26948,3,2.15
1574128500,26998,26998,26998,26998,26717.4518528,NaN,NaN,NaN,NaN,26998,1,2.1
1574128800,26952,26952,26943,26943,26767.950519296002,NaN,NaN,NaN,NaN,26947.5,32,3.4
1574129100,26979,26979,26979,26979,26809.35942582272,NaN,NaN,NaN,NaN,26979,3,3.4
1574129400,27000,27000,26995,26995,26843.31472917463,NaN,NaN,NaN,NaN,26997.5,3,3.5
1574129700,27009,27009,27009,27009,26874.651783339705,NaN,NaN,NaN,NaN,27009,2,3.5
1574130000,27020,27030,27020,27030,26901.521426671763,NaN,NaN,NaN,NaN,27025,2,3.1
1574130300,27000,27000,27000,27000,26927.21714133741,NaN,NaN,NaN,NaN,27000,1,3.1
1574130600,27000,27033,27000,27005,26947.773713069928,NaN,NaN,NaN,NaN,27009.5,3,3.2
1574132100,27053,27053,27043,27043,26964.81897045594,NaN,NaN,NaN,NaN,27048,2,3.25
1574132700,27000,27000,27000,27000,26982.455176364754,NaN,NaN,NaN,NaN,27000,1,3.25
1574133300,26969,26969,26969,26969,27053,NaN,NaN,27053,27053,26969,1,3.25
1574133600,26970,26970,26970,26970,27044.6,NaN,NaN,NaN,NaN,26970,1,3.25
1574135700,27017,27017,27017,27017,27037.039999999997,NaN,NaN,NaN,NaN,27017,1,3.25
1574139600,27033,27054,27033,27054,26969,26969,26969,NaN,NaN,27043.5,2,3.3
1574140500,27074,27074,27074,27074,26977.5,NaN,NaN,NaN,NaN,27074,1,3.15
1574140800,27049,27049,27049,27049,26989.08,NaN,NaN,NaN,NaN,27049,1,3.15
1574141400,27064,27064,27032,27032,26999.2704,NaN,NaN,NaN,NaN,27048,5,3.35
1574142300,27038,27039,27038,27039,27008.237952,NaN,NaN,NaN,NaN,27038.5,4,3.5
1574142600,27051,27069,27051,27069,27016.12939776,NaN,NaN,NaN,NaN,27060,5,3.7
1574142900,27088,27103,27088,27103,27023.0738700288,NaN,NaN,NaN,NaN,27095.5,2,3.65
