time,open,high,low,close,Volume,Volume MA
1611566100,29996,29996,29996,29996,2,NaN
1611568800,30009,30009,30009,30009,1,NaN
1611583500,29956,29956,29956,29956,4,NaN
1611583800,29957,29960,29957,29960,11,NaN
1611584100,29957,29957,29957,29957,3,NaN
1611585300,29944,29944,29944,29944,1,NaN
1611588600,29962,29964,29962,29964,29,NaN
1611588900,29970,29972,29970,29972,21,NaN
1611590100,29879,29879,29879,29879,4,NaN
1611590400,29863,29863,29850,29850,7,NaN
1611590700,29791,29791,29788,29788,22,NaN
1611591000,29756,29756,29750,29750,6,NaN
1611591300,29834,29834,29834,29834,1,NaN
1611593400,29831,29835,29831,29835,5,NaN
1611593700,29841,29841,29835,29835,2,NaN
1611594600,29835,29835,29835,29835,2,NaN
1611623700,29860,29862,29816,29816,21,NaN
1611624000,29829,29840,29826,29826,34,NaN
1611624300,29820,29820,29798,29798,2,NaN
1611624600,29769,29805,29769,29805,24,NaN
1611624900,29830,29890,29830,29890,5,NaN
1611625200,29900,29900,29836,29836,30,NaN
1611625500,29799,29803,29786,29796,7,NaN
1611625800,29778,29779,29778,29779,2,NaN
1611626400,29760,29760,29760,29760,3,NaN
1611626700,29700,29700,29700,29700,2,NaN
1611627000,29690,29699,29682,29682,3,NaN
1611627300,29741,29741,29741,29741,1,NaN
1611627600,29635,29655,29635,29653,12,NaN
1611627900,29653,29653,29653,29653,1,NaN
1611628200,29686,29686,29686,29686,1,NaN
1611628500,29612,29612,29579,29585,369,NaN
1611628800,29582,29586,29579,29584,7,NaN
1611629100,29600,29603,29584,29603,5,NaN
1611629700,29563,29563,29550,29550,127,NaN
1611630000,29510,29510,29510,29510,1,NaN
1611630300,29498,29498,29498,29498,1,NaN
1611630600,29534,29534,29500,29500,2,NaN
1611631200,29527,29527,29500,29500,3,NaN
1611631500,29466,29518,29460,29518,10,NaN
1611631800,29496,29496,29496,29496,2,NaN
1611632400,29422,29422,29419,29419,2,NaN
1611633000,29401,29401,29401,29401,1,NaN
1611633300,29391,29391,29391,29391,2,NaN
1611637200,29340,29345,29340,29345,11,NaN
1611638100,29484,29484,29483,29483,2,NaN
1611638700,29491,29491,29474,29474,20,NaN
1611639000,29529,29529,29529,29529,3,NaN
1611639600,29478,29481,29478,29481,2,NaN
1611639900,29428,29428,29417,29417,15,NaN
1611640200,29423,29423,29423,29423,1,NaN
1611640500,29445,29445,29441,29441,3,NaN
1611640800,29422,29422,29400,29400,5,NaN
1611641700,29404,29404,29400,29400,4,NaN
1611642000,29427,29427,29427,29427,1,NaN
1611642300,29387,29387,29387,29387,35,NaN
1611642600,29382,29382,29380,29380,65,NaN
1611642900,29402,29402,29371,29371,3,NaN
1611643800,29333,29333,29319,29319,3,NaN
1611645300,29370,29370,29370,29370,1,NaN
1611646200,29367,29367,29363,29363,2,NaN
1611646500,29321,29321,29321,29321,17,NaN
1611647100,29327,29337,29327,29337,2,NaN
1611648000,29371,29371,29371,29371,1,NaN
1611648300,29347,29347,29342,29342,2,NaN
1611652500,29423,29423,29420,29420,3,NaN
1611652800,29469,29469,29469,29469,2,NaN
1611654300,29453,29453,29453,29453,1,NaN
1611654600,29441,29442,29441,29442,4,NaN
1611654900,29439,29439,29425,29425,30,NaN
1611655200,29443,29443,29430,29430,13,NaN
1611655500,29422,29422,29422,29422,1,NaN
1611655800,29446,29446,29446,29446,1,NaN
1611656400,29453,29453,29453,29453,1,NaN
1611657300,29425,29425,29425,29425,2,NaN
1611657900,29422,29422,29422,29422,2,NaN
1611659100,29450,29450,29450,29450,1,NaN
1611660300,29458,29458,29451,29451,15,NaN
1611661200,29468,29468,29468,29468,1,NaN
1611665400,29520,29520,29520,29520,1,NaN
1611666000,29520,29520,29520,29520,1,NaN
1611666600,29520,29520,29520,29520,1,NaN
1611666900,29526,29526,29526,29526,1,NaN
1611667200,29523,29523,29523,29523,1,NaN
1611667500,29523,29523,29523,29523,2,NaN
1611667800,29526,29526,29526,29526,1,NaN
1611668100,29534,29534,29534,29534,1,NaN
1611670500,29556,29556,29556,29556,1,NaN
1611671700,29522,29522,29522,29522,1,NaN
1611674700,29586,29586,29586,29586,1,NaN
1611675000,29589,29589,29589,29589,1,NaN
1611675300,29579,29579,29572,29572,20,NaN
1611675600,29572,29576,29570,29576,40,NaN
1611675900,29603,29604,29603,29604,2,NaN
1611676200,29607,29607,29607,29607,1,NaN
1611676800,29598,29598,29598,29598,1,NaN
1611679500,29515,29515,29515,29515,1,NaN
1611684600,29570,29570,29570,29570,10,NaN
1611684900,29575,29575,29575,29575,7,NaN
1611687300,29575,29575,29575,29575,1,NaN
1611710100,29541,29553,29517,29517,29,NaN
1611710700,29587,29587,29574,29574,4,NaN
1611711000,29562,29578,29531,29531,9,NaN
1611711300,29517,29517,29431,29440,20,NaN
1611711600,29507,29527,29507,29525,7,NaN
1611711900,29500,29500,29418,29418,54,NaN
1611712200,29418,29418,29418,29418,5,NaN
1611712500,29407,29407,29407,29407,20,NaN
1611712800,29370,29370,29362,29362,5,NaN
1611713100,29320,29320,29280,29280,4,NaN
1611713400,29273,29273,29203,29207,16,NaN
1611713700,29205,29248,29205,29248,19,NaN
1611714000,29255,29264,29244,29249,28,NaN
1611714300,29248,29255,29248,29255,5,NaN
1611714600,29361,29392,29361,29391,5,NaN
1611714900,29364,29392,29364,29390,5,NaN
1611715200,29373,29401,29358,29358,12,NaN
1611715500,29320,29338,29319,29338,6,NaN
1611715800,29377,29377,29367,29367,4,NaN
1611716100,29368,29400,29357,29357,16,NaN
1611716400,29351,29361,29347,29359,7,NaN
1611716700,29367,29367,29290,29290,8,NaN
1611717000,29274,29292,29270,29284,4,NaN
1611717300,29317,29375,29317,29373,9,NaN
1611717600,29378,29379,29356,29358,8,NaN
1611717900,29344,29400,29340,29400,18,NaN
1611718200,29380,29426,29380,29426,6,NaN
1611718500,29427,29427,29386,29386,6,NaN
1611718800,29409,29414,29392,29402,5,NaN
1611719100,29400,29413,29399,29413,6,NaN
1611719400,29400,29428,29400,29418,5,NaN
1611719700,29418,29418,29416,29416,10,NaN
1611723600,29409,29409,29409,29409,4,NaN
1611723900,29432,29435,29432,29432,3,NaN
1611724200,29431,29448,29431,29436,6,NaN
1611724500,29411,29436,29411,29436,10,NaN
1611724800,29405,29405,29379,29379,9,NaN
1611725100,29377,29414,29377,29414,6,NaN
1611725400,29415,29415,29388,29398,6,NaN
1611725700,29405,29405,29388,29392,13,NaN
1611726000,29404,29404,29392,29403,9,NaN
1611726300,29414,29420,29408,29420,20,NaN
1611726600,29419,29425,29418,29419,4,NaN
1611726900,29425,29446,29425,29440,8,NaN
1611727200,29450,29450,29417,29417,8,NaN
1611727500,29430,29430,29400,29400,6,NaN
1611727800,29398,29398,29348,29355,6,NaN
1611728100,29372,29383,29370,29375,7,NaN
1611728400,29375,29375,29351,29351,5,NaN
1611728700,29349,29367,29338,29365,7,NaN
1611729000,29370,29388,29370,29374,5,NaN
1611729300,29386,29387,29382,29384,18,NaN
1611729600,29384,29400,29373,29400,34,NaN
1611729900,29391,29391,29391,29391,13,NaN
1611730200,29372,29372,29372,29372,1,NaN
1611730800,29378,29378,29378,29378,1,NaN
1611731100,29350,29350,29350,29350,1,NaN
1611731400,29349,29356,29347,29347,3,NaN
1611732600,29336,29336,29316,29316,2,NaN
1611734400,29288,29288,29261,29261,17,NaN
1611734700,29251,29254,29251,29252,3,NaN
1611735000,29257,29257,29200,29200,16,NaN
1611735300,29249,29249,29249,29249,1,NaN
1611738900,29255,29255,29255,29255,1,NaN
1611741900,29180,29189,29180,29189,2,NaN
1611743700,29179,29179,29179,29179,4,NaN
1611744300,29176,29176,29173,29173,2,NaN
1611744600,29170,29170,29170,29170,3,NaN
1611745200,29160,29160,29128,29128,3,NaN
1611747600,29088,29088,29080,29080,2,NaN
1611748200,29021,29021,29021,29021,1,NaN
1611749100,29072,29072,29065,29065,2,NaN
1611750600,29020,29029,29020,29029,3,NaN
1611750900,29029,29029,29023,29023,2,NaN
1611751200,29025,29025,29000,29000,4,NaN
1611751800,29000,29000,29000,29000,1,NaN
1611752400,28958,28958,28958,28958,1,NaN
1611752700,28955,28955,28955,28955,2,NaN
1611753300,28994,28994,28990,28990,3,NaN
1611753600,28990,28999,28990,28999,2,NaN
1611756300,28968,28968,28968,28968,2,NaN
1611756900,28958,28958,28958,28958,1,NaN
1611757200,28963,28963,28963,28963,1,NaN
1611757500,29000,29000,29000,29000,1,NaN
1611757800,29000,29000,29000,29000,1,NaN
1611758100,28964,28966,28964,28966,4,NaN
1611758400,28933,28933,28920,28920,2,NaN
1611759300,28957,28982,28957,28982,3,NaN
1611759600,28962,28989,28962,28989,3,NaN
1611759900,29011,29015,29011,29012,6,NaN
1611760200,29029,29029,29000,29000,2,NaN
1611760800,29049,29058,29049,29058,2,NaN
1611761100,29062,29062,29062,29062,1,NaN
1611761700,29037,29037,29035,29035,2,NaN
1611762300,29050,29058,29050,29058,2,NaN
1611762600,29057,29057,29052,29057,26,NaN
1611763200,29073,29073,29066,29073,3,NaN
1611764100,29035,29035,29035,29035,1,NaN
1611766500,29020,29020,29020,29020,1,NaN
1611769800,29089,29089,29089,29089,2,NaN
1611770100,29086,29086,29086,29086,1,NaN
1611770400,29093,29093,29093,29093,1,NaN
1611770700,29084,29084,29084,29084,1,NaN
1611796500,28869,28942,28835,28895,20,NaN
1611796800,28931,28931,28919,28919,2,NaN
1611797100,28900,28900,28870,28870,5,NaN
1611797400,28861,28861,28777,28777,19,NaN
1611797700,28772,28869,28772,28869,38,NaN
1611798000,28901,29000,28901,29000,5,NaN
1611798300,28978,28985,28952,28985,6,NaN
1611798600,28983,29120,28983,29091,11,NaN
1611798900,29124,29124,29020,29020,20,NaN
1611799200,28990,29050,28990,29029,4,NaN
1611799500,28970,28970,28910,28924,5,NaN
1611799800,28927,28950,28912,28950,3,NaN
1611800100,28963,28969,28910,28910,9,NaN
