time,open,high,low,close,Volume
1684978500,19200,19200,19200,19200,1
1685430300,18540,18540,18540,18540,1
1688007000,19053,19053,19053,19053,2
1690782900,20624,20629,20624,20629,2
1690854600,20736,20736,20736,20736,1
1690855500,20756,20756,20756,20756,1
1690858800,20555,20555,20555,20555,1
1690867200,20434,20434,20434,20434,1
1690906500,20321,20329,20321,20329,5
1690983300,19910,19910,19910,19910,1
1690987500,19810,19810,19810,19810,1
1691074800,20120,20120,20120,20120,1
1691115300,20040,20040,20040,20040,1
1691159400,19940,19940,19940,19940,1
1691174400,19870,19870,19870,19870,1
1691378100,19888,19888,19888,19888,1
1691378400,19892,19892,19892,19892,1
1691462400,19736,19736,19736,19736,3
1691466000,19688,19688,19688,19688,2
1691476500,19609,19609,19609,19609,1
1691479800,19578,19578,19578,19578,1
1691543700,19470,19470,19470,19470,1
1691547000,19480,19480,19480,19480,1
1691630100,19524,19524,19524,19524,10
1691635500,19483,19483,19483,19483,1
1691635800,19469,19469,19469,19469,1
1691638200,19446,19446,19446,19446,1
1691639400,19458,19458,19458,19458,2
1691639700,19458,19458,19458,19458,2
1691651700,19700,19700,19700,19700,1
1691720700,19510,19510,19510,19510,5
1691721600,19500,19500,19500,19500,2
1691730000,19486,19486,19486,19486,1
1691746800,19330,19330,19330,19330,1
1691761200,19200,19200,19200,19200,2
1691979900,18979,18979,18978,18978,2
1691980200,18968,18968,18968,18968,1
1691982000,18950,18950,18950,18950,1
1691984100,18976,18976,18976,18976,1
1691990400,19008,19008,19008,19008,1
1691993700,19041,19041,19041,19041,1
1691997000,19078,19078,19078,19078,1
1691997900,19097,19097,19097,19097,3
1692019800,18953,18953,18953,18953,1
1692021000,18898,18898,18898,18898,1
1692021300,18905,18905,18905,18905,1
1692027900,19025,19025,19025,19025,1
1692034500,19000,19000,19000,19000,1
1692063900,19024,19024,19024,19024,1
1692064800,18988,18994,18988,18989,3
1692067500,19022,19022,19011,19011,8
1692075600,18935,18935,18935,18935,1
1692077400,18898,18898,18894,18894,3
1692079500,18986,18986,18981,18981,11
1692084300,18977,18977,18977,18977,1
1692087600,18905,18905,18905,18905,2
1692087900,18884,18884,18884,18884,1
1692093300,18922,18922,18922,18922,1
1692106800,18808,18808,18808,18808,1
1692116100,18685,18685,18685,18685,1
1692119100,18670,18670,18670,18670,1
1692119400,18680,18680,18680,18680,1
1692148500,18660,18660,18630,18630,15
1692150000,18671,18708,18671,18708,2
1692150600,18770,18770,18770,18770,1
1692151200,18694,18694,18694,18694,1
1692152400,18672,18672,18672,18672,2
1692153300,18637,18637,18637,18637,20
1692156000,18694,18694,18694,18694,2
1692162600,18645,18645,18637,18637,20
1692163500,18621,18630,18621,18630,21
1692164100,18637,18637,18637,18637,1
1692164400,18630,18630,18630,18630,20
1692164700,18630,18630,18630,18630,2
1692168300,18630,18630,18630,18630,1
1692172500,18656,18656,18656,18656,1
1692179700,18500,18500,18500,18500,20
1692180000,18500,18500,18486,18500,40
1692180300,18491,18494,18491,18494,22
1692181800,18480,18480,18480,18480,1
1692187800,18460,18460,18460,18460,1
1692192600,18380,18380,18380,18380,1
1692197400,18480,18480,18476,18476,20
1692234900,18310,18320,18310,18320,2
1692235800,18290,18290,18290,18290,1
1692236100,18229,18229,18228,18228,20
1692236400,18288,18356,18288,18345,49
1692237900,18333,18333,18321,18321,20
1692238200,18355,18355,18352,18352,20
1692238500,18362,18362,18345,18345,30
1692239700,18489,18489,18489,18489,1
1692243000,18580,18580,18580,18580,6
1692243600,18605,18605,18605,18605,7
1692248400,18607,18607,18607,18607,26
1692250800,18422,18422,18422,18422,1
1692254100,18680,18681,18680,18681,13
1692260700,18581,18581,18581,18581,1
1692264900,18560,18560,18560,18560,1
1692268800,18695,18695,18695,18695,1
1692280800,18546,18546,18546,18546,1
1692321300,18500,18500,18500,18500,2
1692321600,18529,18529,18529,18529,8
1692328200,18430,18430,18430,18430,11
1692335400,18346,18346,18300,18310,41
1692335700,18288,18288,18288,18288,20
1692336000,18281,18281,18281,18281,9
1692337500,18338,18338,18332,18332,40
1692337800,18310,18310,18310,18310,42
1692338100,18369,18369,18369,18369,1
1692338400,18364,18386,18364,18386,5
1692339000,18336,18336,18319,18325,75
1692341100,18285,18286,18285,18286,20
1692341400,18269,18270,18261,18270,50
1692341700,18250,18250,18245,18245,30
1692342300,18246,18256,18242,18256,46
1692344100,18256,18256,18256,18256,40
1692344400,18253,18254,18253,18254,9
1692344700,18238,18238,18238,18238,8
1692347100,18203,18203,18203,18203,1
1692365100,18030,18030,18030,18030,1
1692580500,18001,18001,18001,18001,1
1692581700,18071,18109,18071,18109,20
1692582300,17976,17978,17960,17963,40
1692582600,17932,17950,17910,17920,42
1692582900,17930,17980,17930,17980,44
1692583200,17938,17975,17938,17964,80
1692583500,17980,18002,17938,17979,124
1692583800,18018,18066,18018,18066,68
1692584100,18058,18058,18058,18058,2
1692584400,18072,18105,18072,18102,22
1692585300,18081,18081,18081,18081,1
1692586500,18024,18024,18024,18024,1
1692586800,18040,18040,18039,18040,20
1692594600,17993,17993,17993,17993,20
1692595200,17962,17962,17962,17962,20
1692597000,17925,17925,17925,17925,10
1692597600,17927,17927,17927,17927,1
1692598800,17890,17890,17890,17890,1
1692599400,17906,17906,17906,17906,72
1692599700,17883,17883,17883,17883,16
1692602400,17926,17926,17921,17921,2
1692638700,17921,17921,17921,17921,1
1692667200,17930,17935,17930,17935,2
1692667800,18037,18037,18037,18037,1
1692669600,17900,17950,17900,17950,3
1692674700,17935,17935,17935,17935,16
1692675000,17935,17935,17935,17935,4
1692675300,17911,17911,17910,17910,21
1692675900,17911,17935,17900,17900,41
1692680400,17902,17925,17902,17925,2
1692680700,17935,17935,17911,17911,50
1692683100,17837,17846,17837,17846,28
1692683400,17852,17852,17851,17851,42
1692684000,17892,17905,17887,17905,60
1692684300,17912,17938,17910,17930,30
1692684600,17952,17976,17952,17976,60
1692684900,18004,18037,18004,18037,16
1692685200,18217,18217,18189,18189,20
1692685500,18179,18179,18179,18179,10
1692685800,18156,18156,18156,18156,1
1692686100,18066,18095,18066,18095,2
1692686400,18101,18101,18101,18101,1
1692687600,18022,18022,18022,18022,5
1692689100,18046,18046,18046,18046,9
1692691200,18054,18054,18054,18054,10
1692692100,18010,18010,17999,17999,3
1692712500,17890,17890,17890,17890,1
1692712800,17900,17920,17900,17920,3
1692714600,17870,17870,17870,17870,1
1692720600,17880,17880,17880,17880,1
1692720900,17870,17870,17870,17870,1
1692723600,17860,17860,17860,17860,1
1692724200,17864,17870,17864,17870,20
1692754200,18004,18004,18004,18004,1
1692754500,17984,17984,17984,17984,1
1692757800,18083,18083,18083,18083,6
1692762000,18110,18110,18110,18110,1
1692772800,18066,18074,18060,18074,3
1692774900,18065,18065,18053,18055,23
1692778800,18124,18124,18124,18124,10
1692845700,18323,18324,18323,18324,11
1692846900,18325,18335,18325,18335,3
1692847500,18400,18400,18400,18400,8
1692847800,18395,18395,18395,18395,7
1692848400,18394,18410,18394,18410,31
1692853800,18457,18457,18457,18457,5
1692864000,18479,18481,18479,18481,18
1692887400,18300,18300,18300,18300,1
1692927300,18295,18295,18271,18271,28
1692927600,18245,18245,18245,18245,1
1692928200,18273,18273,18273,18273,7
1692928800,18289,18289,18289,18289,1
1692942300,18242,18242,18242,18242,4
1692942600,18377,18379,18374,18374,10
1692945300,18240,18240,18240,18240,1
1692945900,18246,18246,18246,18246,1
1692946200,18246,18246,18246,18246,2
1692946800,18225,18225,18225,18225,2
1692960900,18250,18250,18250,18250,1
1692970500,18200,18200,18200,18200,1
1692988500,18220,18220,18220,18220,1
1693185300,18752,18752,18752,18752,18
1693189200,18545,18545,18542,18542,3
1693189800,18557,18557,18554,18554,13
1693190100,18606,18606,18606,18606,7
1693194300,18532,18532,18532,18532,6
1693198800,18491,18491,18491,18491,10
1693199400,18483,18483,18457,18457,12
1693201200,18465,18465,18465,18465,2
1693204800,18441,18441,18441,18441,1
1693205700,18431,18431,18431,18431,1
1693206000,18438,18438,18432,18432,3
1693207200,18430,18430,18418,18418,19
1693208100,18376,18376,18376,18376,1
1693208400,18381,18381,18381,18381,1
1693211100,18411,18411,18411,18411,1
1693235400,18600,18600,18600,18600,1
1693271700,18555,18555,18555,18555,1
1693272600,18545,18545,18538,18538,4
1693272900,18548,18548,18548,18548,1
1693273200,18593,18593,18593,18593,4
1693273500,18596,18628,18596,18628,18
1693274100,18551,18551,18551,18551,10
1693277700,18700,18700,18700,18700,2
1693279500,18777,18777,18777,18777,1
1693285500,18752,18752,18752,18752,1
1693287000,18786,18805,18786,18805,14
1693290300,18768,18768,18768,18768,1
