time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1362014100,22707,22717,22707,22717,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1362014400,22697,22714,22697,22710,NaN,NaN,5,NaN,22717,NaN,NaN,NaN,NaN,NaN
1362014700,22708,22708,22700,22700,NaN,NaN,7,NaN,22717,NaN,NaN,NaN,NaN,NaN
1362015000,22664,22664,22664,22664,NaN,NaN,5,NaN,22715,NaN,NaN,NaN,NaN,NaN
1362015300,22675,22682,22675,22682,NaN,NaN,2,NaN,22708.88,NaN,NaN,NaN,NaN,NaN
1362015900,22680,22702,22680,22697,NaN,NaN,14,NaN,22703.4944,NaN,NaN,NaN,NaN,NaN
1362016200,22700,22700,22700,22700,NaN,NaN,1,NaN,22664,NaN,NaN,NaN,NaN,NaN
1362016500,22676,22676,22650,22650,NaN,NaN,7,NaN,22702,NaN,NaN,NaN,NaN,NaN
1362016800,22655,22667,22653,22667,22687.444444444445,22687.444444444445,9,NaN,22700,NaN,NaN,NaN,NaN,NaN
1362017100,22665,22665,22665,22665,22682.955555555556,22681.666666666668,1,NaN,22695,NaN,NaN,NaN,NaN,NaN
1362017700,22661,22677,22661,22677,22681.764444444445,22678,15,NaN,22690.5,NaN,NaN,NaN,NaN,NaN
1362018000,22702,22713,22700,22713,22688.011555555557,22679.444444444445,10,NaN,22650,NaN,NaN,NaN,NaN,NaN
1362018300,22706,22706,22701,22701,22690.609244444444,22683.555555555555,7,NaN,22656.3,NaN,NaN,NaN,NaN,NaN
1362018600,22700,22700,22700,22700,22692.487395555556,22685.555555555555,1,NaN,22661.97,NaN,NaN,NaN,NaN,NaN
1362018900,22710,22710,22698,22698,22693.589916444445,22685.666666666668,9,NaN,22667.073,NaN,NaN,NaN,NaN,NaN
1362019200,22733,22735,22733,22733,22701.471933155557,22689.333333333332,7,NaN,22671.6657,NaN,NaN,NaN,NaN,NaN
1362019500,22741,22741,22740,22740,22709.177546524446,22699.333333333332,2,NaN,22679.265816000003,NaN,NaN,NaN,NaN,NaN
1362019800,22750,22790,22750,22780,22723.342037219558,22711.88888888889,15,NaN,22687.908601760002,NaN,NaN,NaN,NaN,NaN
1362020100,22773,22779,22770,22779,22734.473629775646,22724.555555555555,22,NaN,22704.243225478403,NaN,NaN,NaN,NaN,NaN
1362020400,22766,22766,22751,22756,22738.778903820516,22733.333333333332,11,7.75,22717.964309401857,NaN,NaN,NaN,NaN,NaN
1362020700,22755,22755,22742,22742,22739.42312305641,22736.555555555555,6,7.8,22729.49001989756,NaN,NaN,NaN,43.78109452736319,31.094527363184078
1362021000,22751,22751,22751,22751,22741.738498445127,22742.11111111111,1,7.6,22739.17161671395,NaN,NaN,NaN,42.77308774622666,30.378613456126885
1362021300,22741,22741,22737,22737,22740.7907987561,22746.222222222223,5,7.5,22790,NaN,NaN,NaN,41.21913560223691,32.90796797757912
1362021600,22755,22755,22755,22755,22743.63263900488,22752.555555555555,1,7.3,22784.7,NaN,NaN,NaN,42.932432669920715,31.36575738975975
1362022200,22751,22761,22751,22761,22747.106111203906,22755.666666666668,3,7.35,22779.93,NaN,NaN,NaN,43.387709981827335,30.529075897069326
1362027600,22770,22777,22770,22770,22751.684888963126,22759,4,6.85,22737,NaN,NaN,NaN,45.821739378187466,29.216486914123692
1362027900,22780,22801,22780,22800,22761.347911170502,22761.222222222223,16,7.6,22741,NaN,NaN,NaN,48.3690607286502,26.861126238415533
1362028200,22795,22795,22787,22787,22766.478328936402,22762.11111111111,3,7.4,22748.2,NaN,NaN,NaN,46.70691660949419,25.938076207290077
1362028500,22780,22800,22780,22791,22771.38266314912,22766,7,7.3,22754.536,NaN,NaN,NaN,44.244705050760096,26.415786472202807
1362028800,22806,22810,22806,22810,22779.106130519296,22773.555555555555,3,7.4,22760.11168,NaN,NaN,NaN,44.66468926889024,25.092979719104065
1362029100,22801,22808,22794,22795,22782.284904415435,22778.444444444445,11,7.2,22767.0960448,NaN,NaN,NaN,42.76633330599995,27.214147269827738
1362029400,22795,22795,22791,22791,22784.027923532347,22784.444444444445,2,6.8,22773.102598528,NaN,NaN,NaN,42.29328967007255,27.742712423160643
1362029700,22792,22828,22792,22817,22790.622338825877,22791.333333333332,25,7.7,22778.268234734078,NaN,NaN,NaN,46.852922513954475,25.045321307089836
1362030000,22837,22843,22828,22828,22798.0978710607,22798.777777777777,7,8,22786.225317176624,NaN,NaN,NaN,47.58017588525053,23.36494054230726
1362030300,22821,22825,22818,22818,22802.078296848562,22804.11111111111,8,7.95,22792,NaN,NaN,NaN,46.321915141629006,25.391559509275137
1362030600,22834,22834,22834,22834,22808.46263747885,22807.88888888889,2,7.7,22801.18,NaN,NaN,NaN,46.74524780609299,24.30886564683356
1362031200,22828,22840,22823,22840,22814.77010998308,22813.777777777777,3,7.75,22808.7076,NaN,NaN,NaN,44.617468603692664,26.14768212595106
1362031500,22835,22835,22835,22835,22818.816087986466,22818.666666666668,1,7.05,22814.880232,NaN,NaN,NaN,43.997436827583506,25.784317858612297
1362031800,22813,22813,22811,22811,22817.252870389173,22818.777777777777,4,6.15,22843,NaN,0.007189621939920343,NaN,41.11085941848257,30.65344949257234
1362032100,22804,22804,22789,22804,22814.60229631134,22819.777777777777,17,6.45,22839.8,NaN,0.0071663147618350465,22.547086640041872,38.663250488675246,34.78212105707401
1362032400,22810,22810,22810,22810,22813.681837049073,22821.88888888889,1,6.2,22833.703999999998,NaN,0.006266606625449089,21.7916538295103,39.693994920693505,34.19761865192546
1362032700,22820,22829,22820,22829,22816.74546963926,22823.222222222223,3,6.3,22789,NaN,0.00480396237491354,21.400114485426172,42.892884226126604,32.38363020362644
1362033000,22823,22823,22809,22809,22815.196375711406,22821.11111111111,12,6.65,22793,NaN,0.002691308139624038,20.79353498168613,40.51180919949231,33.639112885354564
1362033300,22820,22820,22812,22812,22814.557100569124,22820.444444444445,2,6.7,22796.6,NaN,0.00039845307187147405,20.217284453133086,39.25035776871738,32.59166257598251
1362033900,22831,22831,22831,22831,22817.8456804553,22820.11111111111,1,6.6,22799.84,NaN,-0.0020251251546438143,19.86778914482388,40.24933972144492,30.845373112834647
1362034800,22850,22850,22850,22850,22824.27654436424,22821.222222222223,4,6.6,22803.5792,NaN,-0.0045247760242450585,19.854662676124768,43.439408561215494,29.198548405632753
