time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1241183400,14863,14863,14863,14863,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1551316500,28704,28704,28704,28704,NaN,NaN,1,NaN,NaN,NaN,NaN,15139.82,NaN,NaN,NaN,NaN,NaN
1551316800,28713,28720,28696,28696,NaN,NaN,28,NaN,NaN,NaN,NaN,15683.0272,NaN,NaN,NaN,NaN,NaN
1551317100,28708,28721,28675,28706,NaN,NaN,20,NaN,NaN,NaN,NaN,16465.305568,NaN,NaN,NaN,NaN,NaN
1551317400,28732,28734,28732,28734,NaN,NaN,6,NaN,NaN,NaN,NaN,17446.80112256,NaN,NaN,NaN,NaN,NaN
1551317700,28769,28769,28766,28766,NaN,NaN,5,NaN,NaN,NaN,NaN,18579.021010303997,NaN,NaN,NaN,NaN,NaN
1551318600,28780,28780,28768,28768,NaN,NaN,2,NaN,NaN,NaN,NaN,19803.138489067518,NaN,NaN,NaN,NaN,NaN
1551318900,28804,28836,28804,28836,NaN,NaN,2,NaN,NaN,NaN,NaN,21067.739100598064,NaN,NaN,NaN,NaN,NaN
1551319200,28817,28817,28817,28817,27210,27210,1,NaN,NaN,NaN,NaN,22155.295626514337,NaN,NaN,NaN,NaN,NaN
1551319500,28838,28838,28838,28838,27535.6,28762.777777777777,1,NaN,NaN,NaN,NaN,23224.528326272044,NaN,NaN,NaN,NaN,NaN
1551319800,28880,28880,28880,28880,27804.48,28782.333333333332,2,NaN,NaN,NaN,NaN,24242.513227543077,NaN,NaN,NaN,NaN,NaN
1551320100,28899,28900,28888,28898,28023.184,28804.777777777777,103,NaN,NaN,NaN,NaN,25174.01058203446,NaN,NaN,NaN,NaN,NaN
1551320400,28903,28903,28864,28882,28194.947200000002,28824.333333333332,173,NaN,NaN,NaN,NaN,25919.808465627568,NaN,NaN,NaN,NaN,NaN
1551320700,28913,28913,28913,28913,28338.557760000003,28844.222222222223,1,NaN,NaN,NaN,NaN,26518.446772502055,NaN,NaN,NaN,NaN,NaN
1551321000,28870,28870,28868,28868,28444.446208,28855.555555555555,10,NaN,NaN,NaN,NaN,26997.357418001644,NaN,NaN,NaN,NaN,NaN
1551321300,28901,28901,28901,28901,28535.7569664,28870.333333333332,1,NaN,NaN,NaN,NaN,27380.485934401317,NaN,NaN,NaN,NaN,NaN
1551322800,28868,28888,28864,28886,28605.80557312,28875.88888888889,4,NaN,NaN,NaN,NaN,27686.988747521053,NaN,NaN,NaN,NaN,NaN
1551323100,28848,28859,28828,28838,28652.244458496,28878.222222222223,63,NaN,NaN,NaN,NaN,27932.190998016842,NaN,NaN,NaN,NaN,NaN
1551323700,28808,28808,28808,28808,28683.3955667968,28874.88888888889,5,NaN,NaN,NaN,NaN,28128.352798413474,NaN,NaN,NaN,NaN,NaN
1551324000,28809,28809,28809,28809,28708.51645343744,28867,1,21.5,NaN,NaN,NaN,28285.28223873078,NaN,NaN,NaN,NaN,NaN
1551324300,28817,28820,28800,28800,28726.813162749953,28856.11111111111,24,22.65,NaN,NaN,NaN,28410.82579098462,NaN,NaN,NaN,97.61970661500138,1.2662607251591476
1551324600,28805,28805,28805,28805,28742.450530199963,28847.555555555555,1,22.65,NaN,NaN,NaN,28511.260632787697,NaN,NaN,NaN,97.58416821994408,1.2657997437092263
1551325200,28797,28797,28797,28797,28753.36042415997,28834.666666666668,1,21.3,NaN,NaN,NaN,28591.608506230157,NaN,NaN,NaN,97.52437253364053,1.3263001237775436
1551325500,28802,28802,28802,28802,28763.088339327976,28827.333333333332,12,20.9,NaN,NaN,NaN,28655.886804984126,NaN,NaN,NaN,97.52537013527512,1.3257656656696668
1551330300,28827,28842,28827,28842,28778.87067146238,28820.777777777777,24,21.8,NaN,NaN,NaN,28707.309443987302,NaN,NaN,NaN,97.5337392060463,1.3212819944588123
1551330600,28850,28867,28850,28860,28795.096537169906,28817.88888888889,52,24.15,NaN,NaN,NaN,28748.447555189843,NaN,NaN,NaN,97.53921437070412,1.318348713235353
1551330900,28863,28865,28856,28864,28808.877229735925,28820.777777777777,16,24.85,NaN,NaN,NaN,28781.358044151875,NaN,NaN,NaN,97.45722621306359,1.3172405539906502
1551331800,28840,28840,28840,28840,28815.10178378874,28824.333333333332,1,24.8,NaN,NaN,NaN,28807.6864353215,NaN,NaN,NaN,97.22781874910467,1.4710685121443543
1551332400,28826,28826,28826,28826,28817.281427030994,28826.222222222223,5,25,NaN,NaN,NaN,28826,NaN,NaN,NaN,97.08748893343434,1.6132762359395731
1551332700,28785,28785,28785,28785,28810.825141624795,28824.555555555555,1,25,NaN,NaN,NaN,28913,NaN,NaN,NaN,96.65743108653295,2.0490891614820743
1551333000,28800,28800,28800,28800,28808.660113299837,28824,1,24.95,NaN,NaN,NaN,28910.44,NaN,NaN,NaN,96.66312338355384,2.045599622617979
1551333300,28777,28777,28753,28753,28797.52809063987,28819.11111111111,12,20.4,NaN,NaN,NaN,28904.142399999997,NaN,NaN,NaN,96.12321698547463,2.592718375173805
1551334500,28737,28737,28733,28733,28784.622472511895,28811.444444444445,7,12.1,NaN,NaN,NaN,28893.873856,NaN,NaN,NaN,95.8833285651792,2.835811351533337
1551334800,28727,28733,28727,28731,28773.897978009518,28799.11111111111,5,12.3,NaN,NaN,NaN,28880.52394752,NaN,NaN,NaN,95.80782288773969,2.91232567364279
1551335100,28708,28709,28708,28709,28760.918382407614,28782.333333333332,5,12.05,NaN,NaN,NaN,28863.271552768,NaN,NaN,NaN,95.50435505518423,3.16476105867664
1551335700,28744,28764,28744,28764,28761.53470592609,28771.222222222223,4,12.2,NaN,NaN,NaN,28847.744397491202,NaN,NaN,NaN,95.53991540590012,3.1397279400563027
1551336000,28750,28750,28750,28750,28759.22776474087,28761.222222222223,1,12.05,NaN,NaN,NaN,28833.769957742083,NaN,NaN,NaN,95.33785503363562,3.1330876306769015
1551336600,28723,28723,28723,28723,28751.982211792696,28749.777777777777,1,8.95,NaN,NaN,NaN,28821.192961967874,NaN,NaN,NaN,94.93027475917792,3.5472048007708645
1551336900,28713,28713,28702,28702,28741.985769434155,28740.555555555555,2,8.8,NaN,NaN,NaN,28806.88980653173,NaN,-1.035608032737081,NaN,94.59916877772531,3.883621160033542
1551337200,28710,28710,28600,28600,28713.588615547324,28718.333333333332,4,8.95,NaN,NaN,NaN,28777.925233617287,NaN,-1.055415235201893,95.22616070308507,92.81421663233996,5.559974858673583
1551337500,28600,28641,28600,28641,28699.07089243786,28705.88888888889,6,8.05,NaN,NaN,NaN,28753.015700910866,NaN,-0.9644854346104731,94.89966633456395,92.13216367939381,5.519116923238039
1551337800,28630,28631,28625,28631,28685.456713950287,28694.555555555555,4,8.2,NaN,NaN,NaN,28731.593502783344,NaN,-0.8818857989363981,94.58949668446888,91.85488379597557,5.502506653426376
1551338100,28641,28650,28641,28650,28678.36537116023,28685.555555555555,86,12.45,NaN,NaN,NaN,28713.170412393676,NaN,-0.8063812438418185,94.29701104604331,91.88541076218357,5.481883886302998
1551338400,28656,28656,28646,28646,28671.892296928185,28678.555555555555,3,12,NaN,NaN,NaN,28697.32655465856,NaN,-0.737203073669083,94.01986915292562,91.81934136551858,5.470524937106546
1551338700,28661,28661,28661,28661,28669.71383754255,28667.11111111111,2,10.9,NaN,NaN,NaN,28683.700837006363,NaN,-0.6736317376319347,93.75721395046652,91.62861559065507,5.452685283783557
1551339000,28655,28655,28655,28655,28666.77107003404,28656.555555555555,1,8.35,NaN,NaN,NaN,28671.98271982547,NaN,-0.6152003256594254,93.49436120784377,91.50297527752316,5.582327690253985
1551339300,28670,28670,28670,28670,28667.41685602723,28650.666666666668,1,7.6,NaN,NaN,NaN,28670,NaN,-0.5610657869828197,93.24678027791238,91.53352567635153,5.562256860416719
1551339600,28660,28660,28660,28660,28665.933484821784,28646,1,7.6,NaN,NaN,NaN,28660.2,NaN,-0.5112564554757612,92.98714479139791,91.30315831984575,5.799933417510776
1551339900,28656,28656,28656,28656,28663.94678785743,28652.222222222223,1,7.4,NaN,NaN,NaN,28656,NaN,-0.46508645404245624,92.73024109652377,91.20650807408397,5.899650226365082
1551340200,28651,28663,28651,28663,28663.757430285943,28654.666666666668,13,8,NaN,NaN,NaN,28600,NaN,-0.422216932965663,92.48740015402038,91.09698462640986,5.879994381197751
