time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA
1582852500,26221,26232,26221,26232,NaN,NaN,NaN,NaN,NaN,26226.5,2,NaN
1582852800,26116,26116,26064,26064,26232,NaN,NaN,NaN,NaN,26090,24,NaN
1582853100,26037,26037,26025,26025,26232,NaN,NaN,NaN,NaN,26031,4,NaN
1582853400,26041,26150,26041,26150,26207.16,NaN,NaN,NaN,NaN,26095.5,5,NaN
1582853700,26178,26187,26149,26176,26025,26025,26025,NaN,NaN,26172.5,30,NaN
1582854000,26177,26204,26177,26204,26041,NaN,NaN,NaN,NaN,26190.5,2,NaN
1582854300,26298,26298,26297,26297,26060.56,NaN,NaN,NaN,NaN,26297.5,2,NaN
1582854600,26261,26261,26261,26261,26093.801600000003,NaN,NaN,NaN,NaN,26261,1,NaN
1582854900,26278,26278,26278,26278,26122.389376000003,NaN,NaN,NaN,NaN,26278,1,NaN
1582855200,26273,26273,26261,26261,26146.974863360003,NaN,NaN,NaN,NaN,26267,8,NaN
1582855500,26212,26236,26212,26217,26168.118382489603,NaN,NaN,NaN,NaN,26219.25,11,NaN
1582855800,26207,26294,26207,26294,26186.301808941058,NaN,NaN,NaN,NaN,26250.5,50,NaN
1582856400,26230,26230,26215,26215,26201.93955568931,NaN,NaN,NaN,NaN,26222.5,4,NaN
1582856700,26201,26201,26170,26170,26298,NaN,NaN,26298,26298,26185.5,92,NaN
1582857000,26160,26160,26114,26127,26285.2,NaN,NaN,NaN,NaN,26140.25,24,NaN
1582857300,26116,26116,26112,26112,26264.656,NaN,NaN,NaN,NaN,26114,6,NaN
1582857600,26120,26120,26120,26120,26243.28416,NaN,NaN,NaN,NaN,26120,10,NaN
1582857900,26097,26130,26080,26130,26224.9043776,NaN,NaN,NaN,NaN,26109.25,53,NaN
1582858200,26130,26145,26127,26128,26201.719677184,NaN,NaN,NaN,NaN,26132.5,23,NaN
1582858500,26123,26123,26088,26098,26182.24452883456,NaN,NaN,NaN,NaN,26108,29,19.05
1582858800,26096,26096,26096,26096,26165.88540422103,NaN,NaN,NaN,NaN,26096,1,19
1582859100,26050,26065,26050,26060,26152.143739545663,NaN,NaN,NaN,NaN,26056.25,52,20.4
1582859400,26054,26080,26040,26040,26133.757866427444,NaN,NaN,NaN,NaN,26053.5,25,21.45
1582859700,26030,26050,26030,26050,26115.006293141956,NaN,NaN,NaN,NaN,26040,5,21.45
1582860000,26015,26023,25994,26023,26098.005034513564,NaN,NaN,NaN,NaN,26013.75,17,20.8
1582860300,25973,25973,25973,25973,26077.204027610853,NaN,NaN,NaN,NaN,25973,1,20.75
1582860600,25974,26000,25974,25999,26056.363222088683,NaN,NaN,NaN,NaN,25986.75,32,22.25
1582860900,26005,26066,25998,26066,25973,25973,25973,NaN,NaN,26033.75,40,24.2
1582861200,26058,26058,26055,26055,25974,NaN,NaN,NaN,NaN,26056.5,5,24.4
1582861800,26064,26077,26064,26077,25983.2,NaN,NaN,NaN,NaN,26070.5,7,24.35
1582862100,26112,26112,26112,26112,25994.456000000002,NaN,NaN,NaN,NaN,26112,1,23.85
1582866000,26027,26038,26027,26035,26010.91216,NaN,NaN,NaN,NaN,26031.75,11,21.9
1582866300,26000,26000,25980,25981,26112,NaN,NaN,26112,26112,25990.25,14,22.4
1582866600,26020,26020,26020,26020,26098.8,NaN,NaN,NaN,NaN,26020,3,17.95
1582866900,25998,25998,25998,25998,26086.92,NaN,NaN,NaN,NaN,25998,3,16.9
1582867200,26017,26020,25998,25998,26076.228,NaN,NaN,NaN,NaN,26008.25,46,18.9
1582867500,26005,26005,26001,26001,26066.605199999998,NaN,NaN,NaN,NaN,26003,2,18.5
1582867800,26093,26093,26093,26093,25980,25980,25980,NaN,NaN,26093,2,15.95
1582868100,26088,26088,26048,26048,25991.3,NaN,NaN,NaN,NaN,26068,11,15.35
1582868400,26031,26031,26028,26030,26001.47,NaN,NaN,NaN,NaN,26030,5,14.15
1582869000,26080,26080,26080,26080,26010.623,NaN,NaN,NaN,NaN,26080,1,14.15
1582869900,26077,26077,26077,26077,26018.8607,NaN,NaN,NaN,NaN,26077,1,11.6
1582870200,26042,26042,26042,26042,26026.27463,NaN,NaN,NaN,NaN,26042,1,10.4
1582870800,26040,26050,26030,26030,26093,NaN,NaN,26093,26093,26037.5,14,10.85
1582871400,26010,26010,26010,26010,26086.7,NaN,NaN,NaN,NaN,26010,10,10.5
1582871700,26000,26010,25985,25989,26077.496,NaN,NaN,NaN,NaN,25996,32,12.05
1582872000,25988,25990,25975,25975,26064.54656,NaN,NaN,NaN,NaN,25982,23,11.6
1582872600,25978,26000,25978,26000,26050.219110399998,NaN,NaN,NaN,NaN,25989,2,9.7
1582872900,25991,26045,25991,26045,25975,25975,25975,NaN,NaN,26018,8,9.85
1582873200,26050,26065,26045,26065,25978,NaN,NaN,NaN,NaN,26056.25,7,9.85
1582873500,26022,26022,26022,26022,25988.44,NaN,NaN,NaN,NaN,26022,1,9.85
1582873800,26064,26064,26064,26064,25997.6272,NaN,NaN,NaN,NaN,26064,1,9.35
1582874100,26074,26121,26074,26121,26005.711936,NaN,NaN,NaN,NaN,26097.5,29,10.1
1582874400,26132,26132,26132,26132,26021.852264959998,NaN,NaN,NaN,NaN,26132,1,10
1582874700,26150,26150,26144,26145,26039.4759025664,NaN,NaN,NaN,NaN,26147.25,4,10.05
1582875000,26177,26177,26171,26171,26059.370240104447,NaN,NaN,NaN,NaN,26174,2,7.85
1582875300,26171,26171,26171,26171,26082.896192083557,NaN,NaN,NaN,NaN,26171,1,7.8
1582875600,26100,26112,26098,26112,26177,NaN,NaN,26177,26177,26105.5,28,9.1
1582875900,26125,26125,26125,26125,26171,NaN,NaN,NaN,NaN,26125,1,8.6
1582876200,26103,26103,26091,26091,26163.7,NaN,NaN,NaN,NaN,26097,3,8.5
1582876500,26078,26110,26078,26110,26154.976000000002,NaN,NaN,NaN,NaN,26094,23,9.6
1582876800,26105,26177,26050,26177,26050,26050,26050,NaN,NaN,26127.25,78,13.45
1582877100,26187,26277,26141,26277,26050,NaN,NaN,NaN,NaN,26220.5,14,14.1
1582877400,26262,26281,26253,26253,26050,NaN,NaN,NaN,NaN,26262.25,4,13.6
1582877700,26288,26289,26288,26289,26082.34,NaN,NaN,NaN,NaN,26288.5,2,13.2
1582878000,26254,26254,26254,26254,26115.405600000002,NaN,NaN,NaN,NaN,26254,35,13.35
1582878300,26260,26260,26225,26225,26143.180704000002,NaN,NaN,NaN,NaN,26242.5,70,15.7
1582881300,25950,26019,25939,26006,26289,NaN,NaN,26289,26289,25978.5,34,17.3
1582881600,26007,26007,25980,25980,26260,NaN,NaN,NaN,NaN,25993.5,2,17
1582882200,25947,25971,25947,25971,26227.9,NaN,NaN,NaN,NaN,25959,12,17.25
1582883100,26080,26086,26080,26086,26199.010000000002,NaN,NaN,NaN,NaN,26083,9,17.65
1582883700,26036,26036,26036,26036,26173.009000000002,NaN,NaN,NaN,NaN,26036,1,17.65
1582884000,26034,26034,26034,26034,26149.6081,NaN,NaN,NaN,NaN,26034,1,16.25
1582884300,26004,26004,26004,26004,26128.547290000002,NaN,NaN,NaN,NaN,26004,57,19.05
1582885200,26100,26100,26100,26100,26109.592561,NaN,NaN,NaN,NaN,26100,1,18.9
1582885800,26109,26109,26094,26094,25939,25939,25939,NaN,NaN,26101.5,12,19.4
1582887600,26116,26126,26116,26126,25956,NaN,NaN,NaN,NaN,26121,4,19.55
1582887900,26131,26131,26131,26131,25976.4,NaN,NaN,NaN,NaN,26131,2,18.25
1582889400,26160,26160,26160,26160,25998.044,NaN,NaN,NaN,NaN,26160,1,18.25
1582889700,26178,26186,26177,26186,26023.956960000003,NaN,NaN,NaN,NaN,26181.75,3,18.25
1582890000,26168,26168,26158,26158,26053.124707200004,NaN,NaN,NaN,NaN,26163,4,17.3
1582890300,26163,26163,26156,26156,26077.042259904003,NaN,NaN,NaN,NaN,26159.5,3,13.55
1582890900,26148,26148,26138,26138,26096.65465312128,NaN,NaN,NaN,NaN,26143,4,13.05
1582891500,26128,26128,26098,26098,26186,NaN,NaN,26186,26186,26113,9,13.3
1582891800,26098,26098,26088,26088,26177.2,NaN,NaN,NaN,NaN,26093,3,13.35
1582892700,26179,26187,26179,26187,26088,26088,26088,NaN,NaN,26183,3,11.75
1582893600,26193,26193,26193,26193,26088,NaN,NaN,NaN,NaN,26193,1,8.3
1582893900,26227,26227,26227,26227,26100.6,NaN,NaN,NaN,NaN,26227,1,6.65
1582894500,26211,26211,26181,26181,26118.296,NaN,NaN,NaN,NaN,26196,18,7.45
1582894800,26171,26171,26171,26171,26133.51456,NaN,NaN,NaN,NaN,26171,2,6.95
1582896600,26100,26100,26100,26100,26227,NaN,NaN,26227,26227,26100,1,6.55
1582897500,26047,26047,26042,26042,26214.3,NaN,NaN,NaN,NaN,26044.5,2,6.6
1582897800,26009,26009,26009,26009,26193.624,NaN,NaN,NaN,NaN,26009,1,6.6
1582898100,25997,25997,25970,25970,26167.77664,NaN,NaN,NaN,NaN,25983.5,2,3.85
1582898700,25950,25950,25950,25950,26136.1323776,NaN,NaN,NaN,NaN,25950,1,3.85
1582899000,25890,25890,25890,25890,26102.628549631998,NaN,NaN,NaN,NaN,25890,1,3.3
1582899300,25864,25864,25864,25864,26060.1028397056,NaN,NaN,NaN,NaN,25864,1,3.15
1582899600,25877,25879,25856,25861,26020.88227176448,NaN,NaN,NaN,NaN,25868.25,12,3.65
1582899900,25831,25851,25831,25851,25987.905817411585,NaN,NaN,NaN,NaN,25841,6,3.9
1582900200,25861,25901,25838,25884,25956.524653929268,NaN,NaN,NaN,NaN,25871,12,4.35
1582900500,25910,25921,25910,25921,25931.419723143415,NaN,NaN,NaN,NaN,25915.5,5,4.4
1582901400,25789,25789,25641,25641,25921,NaN,NaN,NaN,NaN,25715,9,4.7
1582902000,25625,25635,25625,25635,25921,NaN,NaN,NaN,NaN,25630,4,4.7
1582902300,25638,25638,25638,25638,25861.8,NaN,NaN,NaN,NaN,25638,1,4.3
1582903200,25800,25800,25768,25768,25814.44,NaN,NaN,NaN,NaN,25784,2,4.25
1582903500,25780,25802,25698,25698,25625,25625,25625,NaN,NaN,25744.5,3,4.25
1582903800,25707,25707,25707,25707,25642.7,NaN,NaN,NaN,NaN,25707,1,4.25
1582904100,25800,25800,25769,25787,25658.63,NaN,NaN,NaN,NaN,25789,5,4.45
1582904400,25787,25788,25785,25788,25672.967,NaN,NaN,NaN,NaN,25787,9,4
1582905300,25862,25862,25820,25820,25685.870300000002,NaN,NaN,NaN,NaN,25841,5,4.15
1582906800,25894,25894,25882,25882,25707.005864000002,NaN,NaN,NaN,NaN,25888,2,4.2
1582907400,25977,25977,25977,25977,25733.18504304,NaN,NaN,NaN,NaN,25977,2,4.2
1582907700,25969,26030,25969,26030,25772.1954361536,NaN,NaN,NaN,NaN,25999.5,11,4.7
1582908000,26027,26100,26027,26100,25818.600257645954,NaN,NaN,NaN,NaN,26063.5,17,5.45
1582908300,26023,26023,26023,26023,25874.880206116763,NaN,NaN,NaN,NaN,26023,1,5.45
1582908900,25996,25998,25996,25998,25919.90416489341,NaN,NaN,NaN,NaN,25997,2,5.5
1582909500,25971,25971,25940,25940,26100,NaN,NaN,26100,26100,25955.5,19,6.4
1582910100,25943,25943,25943,25943,26084,NaN,NaN,NaN,NaN,25943,1,5.85
1582911000,26040,26040,26040,26040,26069.6,NaN,NaN,NaN,NaN,26040,1,5.6
1582914600,25924,25924,25897,25897,26056.64,NaN,NaN,NaN,NaN,25910.5,3,5.15
1582914900,25887,25887,25887,25887,26040,NaN,NaN,NaN,NaN,25887,1,4.95
1582915200,25860,25860,25860,25860,26018.58,NaN,NaN,NaN,NaN,25860,1,4.55
1583111700,25977,26077,25977,26058,25860,25860,25860,NaN,NaN,26022.25,72,7.95
1583112000,26120,26133,26099,26133,25860,NaN,NaN,NaN,NaN,26121.25,7,8.25
1583112300,26143,26208,26143,26208,25892.76,NaN,NaN,NaN,NaN,26175.5,15,8.9
1583112600,26218,26303,26218,26303,25936.8936,NaN,NaN,NaN,NaN,26260.5,27,10.1
1583112900,26340,26340,26300,26300,25995.470623999998,NaN,NaN,NaN,NaN,26320,2,10.15
1583113200,26334,26358,26334,26358,26057.48591168,NaN,NaN,NaN,NaN,26346,2,10
1583113500,26253,26253,26240,26243,26117.588729344,NaN,NaN,NaN,NaN,26247.25,4,9.75
1583113800,26229,26277,26229,26269,26165.6709834752,NaN,NaN,NaN,NaN,26251,4,9.7
1583114100,26187,26187,26149,26156,26358,NaN,NaN,26358,26358,26169.75,9,10.05
1583114400,26126,26157,26126,26157,26337.1,NaN,NaN,NaN,NaN,26141.5,5,10.2
1583114700,26167,26197,26167,26197,26311.768,NaN,NaN,NaN,NaN,26182,12,10.25
1583115000,26150,26206,26150,26200,26289.47584,NaN,NaN,NaN,NaN,26176.5,4,9.6
1583115600,26254,26277,26254,26277,26126,26126,26126,NaN,NaN,26265.5,2,9.65
1583115900,26327,26333,26279,26279,26141.1,NaN,NaN,NaN,NaN,26304.5,10,10.05
1583116200,26334,26334,26334,26334,26164.127999999997,NaN,NaN,NaN,NaN,26334,1,9.15
1583116500,26352,26360,26347,26347,26187.910079999998,NaN,NaN,NaN,NaN,26351.5,4,9.3
1583116800,26343,26347,26340,26341,26215.4444672,NaN,NaN,NaN,NaN,26342.75,5,9.5
1583117100,26351,26380,26351,26380,26238.573352448,NaN,NaN,NaN,NaN,26365.5,3,9.5
1583117400,26337,26337,26337,26337,26264.030149007358,NaN,NaN,NaN,NaN,26337,1,9.5
1583117700,26329,26336,26304,26304,26284.904722186035,NaN,NaN,NaN,NaN,26318.25,54,12.15
1583118000,26300,26325,26294,26318,26380,NaN,NaN,26380,26380,26309.25,59,11.5
1583118300,26330,26361,26330,26350,26371.4,NaN,NaN,NaN,NaN,26342.75,61,14.2
1583118600,26315,26316,26292,26300,26363.66,NaN,NaN,NaN,NaN,26305.75,53,16.1
1583118900,26294,26300,26270,26285,26361,NaN,NaN,NaN,NaN,26287.25,62,17.85
1583119200,26330,26330,26330,26330,26348.26,NaN,NaN,NaN,NaN,26330,9,18.2
1583119500,26335,26360,26335,26350,26270,26270,26270,NaN,NaN,26345,63,21.25
1583119800,26322,26322,26322,26322,26279,NaN,NaN,NaN,NaN,26322,1,21.1
1583120100,26351,26351,26351,26351,26287.1,NaN,NaN,NaN,NaN,26351,1,20.95
1583120400,26361,26371,26361,26371,26294.39,NaN,NaN,NaN,NaN,26366,3,20.65
1583120700,26350,26350,26350,26350,26303.5832,NaN,NaN,NaN,NaN,26350,3,20.55
1583121000,26355,26365,26351,26365,26311.673216,NaN,NaN,NaN,NaN,26359,3,20.1
1583121300,26349,26349,26349,26349,26318.79243008,NaN,NaN,NaN,NaN,26349,1,19.95
1583125200,26317,26317,26307,26307,26371,NaN,NaN,26371,26371,26312,6,20.15
1583125500,26311,26311,26295,26295,26364.6,NaN,NaN,NaN,NaN,26303,38,21.55
1583125800,26309,26317,26309,26312,26356.248,NaN,NaN,NaN,NaN,26311.75,4,21.7
1583126100,26290,26290,26290,26290,26348.89824,NaN,NaN,NaN,NaN,26290,2,21.6
1583127000,26336,26336,26336,26336,26340.6524864,NaN,NaN,NaN,NaN,26336,1,21.4
1583127300,26327,26327,26326,26326,26336,NaN,NaN,NaN,NaN,26326.5,2,21.35
1583127600,26327,26327,26327,26327,26336,NaN,NaN,NaN,NaN,26327,1,21.35
1583128200,26300,26332,26300,26330,26290,26290,26290,NaN,NaN,26315.5,8,19.05
1583128500,26335,26342,26330,26335,26294.2,NaN,NaN,NaN,NaN,26335.5,12,16.7
1583128800,26340,26355,26340,26355,26299.936,NaN,NaN,NaN,NaN,26347.5,15,14.4
1583129400,26327,26327,26305,26305,26355,NaN,NaN,26355,26355,26316,17,12.6
1583129700,26330,26346,26330,26346,26355,NaN,NaN,NaN,NaN,26338,13,10.15
1583130000,26340,26346,26340,26346,26350,NaN,NaN,NaN,NaN,26343,2,9.8
1583130300,26336,26336,26336,26336,26346,NaN,NaN,NaN,NaN,26336,2,6.75
1583130600,26325,26325,26320,26324,26346,NaN,NaN,NaN,NaN,26323.5,17,7.55
1583131200,26306,26310,26306,26310,26341.9,NaN,NaN,NaN,NaN,26308,7,7.85
1583131500,26290,26290,26290,26290,26338.210000000003,NaN,NaN,NaN,NaN,26290,13,8.35
1583131800,26280,26283,26280,26283,26332.4248,NaN,NaN,NaN,NaN,26281.5,2,8.3
1583132100,26250,26270,26250,26258,26325.085328,NaN,NaN,NaN,NaN,26257,17,9
1583132400,26268,26298,26268,26298,26313.07167552,NaN,NaN,NaN,NaN,26283,11,9.5
1583134200,26277,26277,26277,26277,26302.9802074368,NaN,NaN,NaN,NaN,26277,1,9.25
1583135100,26325,26325,26325,26325,26250,26250,26250,NaN,NaN,26325,4,7.55
1583136000,26341,26341,26308,26318,26257.5,NaN,NaN,NaN,NaN,26327,12,7.95
1583136300,26330,26330,26330,26330,26267.52,NaN,NaN,NaN,NaN,26330,1,7.9
1583136600,26335,26345,26335,26345,26276.3376,NaN,NaN,NaN,NaN,26340,4,8.05
1583136900,26313,26313,26313,26313,26285.950335999998,NaN,NaN,NaN,NaN,26313,5,8.2
1583137200,26346,26346,26329,26329,26294.217288959997,NaN,NaN,NaN,NaN,26337.5,5,8.4
1583137500,26320,26320,26290,26290,26346,NaN,NaN,26346,26346,26305,10,8.5
1583140500,26262,26262,26262,26262,26346,NaN,NaN,NaN,NaN,26262,1,7.95
1583140800,26281,26281,26281,26281,26335.92,NaN,NaN,NaN,NaN,26281,1,7.25
1583141100,26263,26263,26260,26260,26327.0496,NaN,NaN,NaN,NaN,26261.5,3,6.55
1583141700,26215,26215,26188,26188,26317.662656,NaN,NaN,NaN,NaN,26201.5,2,6
1583142000,26186,26186,26088,26111,26296.91663104,NaN,NaN,NaN,NaN,26142.75,17,6.75
1583142300,26080,26080,26060,26060,26259.3116374528,NaN,NaN,NaN,NaN,26070,9,7.1
1583142600,26110,26110,26110,26110,26219.44930996224,NaN,NaN,NaN,NaN,26110,2,6.35
1583143500,26122,26122,26097,26097,26187.559447969794,NaN,NaN,NaN,NaN,26109.5,3,6.15
1583144700,26127,26127,26127,26127,26162.047558375834,NaN,NaN,NaN,NaN,26127,1,5.55
1583145000,26129,26156,26129,26156,26060,26060,26060,NaN,NaN,26142.5,2,5.55
1583145300,26152,26152,26152,26152,26069.6,NaN,NaN,NaN,NaN,26152,1,4.75
1583145600,26131,26131,26131,26131,26078.239999999998,NaN,NaN,NaN,NaN,26131,1,4.25
1583145900,26100,26100,26100,26100,26086.016,NaN,NaN,NaN,NaN,26100,1,4.25
1583147100,26045,26060,26045,26060,26156,NaN,NaN,26156,26156,26052.5,2,4.15
1583147700,26020,26020,26020,26020,26144.9,NaN,NaN,NaN,NaN,26020,1,3.6
1583148600,25996,25996,25989,25989,26129.912,NaN,NaN,NaN,NaN,25992.5,5,3.8
1583149200,25972,25972,25972,25972,26110.18432,NaN,NaN,NaN,NaN,25972,1,3.65
1583149500,25930,25930,25930,25930,26088.0748288,NaN,NaN,NaN,NaN,25930,1,3.45
1583149800,25941,25941,25930,25930,26059.621359616,NaN,NaN,NaN,NaN,25935.5,2,3.3
1583150100,25921,25935,25860,25886,26036.28951488512,NaN,NaN,NaN,NaN,25900.5,9,3.25
1583150400,25909,25915,25909,25915,26001.031611908096,NaN,NaN,NaN,NaN,25912,2,3.3
1583150700,25910,25952,25910,25952,25972.825289526478,NaN,NaN,NaN,NaN,25931,3,3.4
1583151000,25942,25950,25912,25930,25952,NaN,NaN,NaN,NaN,25933.5,14,3.95
1583151300,25936,25936,25902,25902,25860,25860,25860,NaN,NaN,25919,6,4.15
1583151900,25941,25961,25941,25961,25867.6,NaN,NaN,NaN,NaN,25951,4,3.5
