time,open,high,low,close,Volume,Volume MA
1614302100,29252,29252,29252,29252,1,NaN
1614302400,29266,29266,29234,29249,6,NaN
1614302700,29184,29229,29184,29229,2,NaN
1614303000,29175,29185,29117,29175,6,NaN
1614303300,29154,29154,29075,29075,5,NaN
1614303600,29142,29142,29115,29115,2,NaN
1614303900,29100,29140,29100,29140,2,NaN
1614304200,29180,29215,29180,29215,2,NaN
1614304500,29265,29265,29265,29265,1,NaN
1614304800,29295,29295,29295,29295,1,NaN
1614305700,29308,29308,29308,29308,1,NaN
1614306000,29346,29368,29346,29368,2,NaN
1614306300,29405,29420,29405,29412,4,NaN
1614306600,29392,29395,29348,29348,6,NaN
1614307200,29300,29348,29300,29348,2,NaN
1614307800,29288,29288,29280,29280,7,NaN
1614308100,29269,29303,29269,29303,4,NaN
1614308400,29234,29250,29226,29248,8,NaN
1614308700,29231,29231,29231,29231,1,NaN
1614309000,29290,29290,29290,29290,1,NaN
1614309300,29200,29200,29200,29200,1,NaN
1614309600,29175,29175,29175,29175,1,NaN
1614309900,29196,29196,29196,29196,1,NaN
1614311100,29158,29158,29158,29158,2,NaN
1614315600,29125,29195,29093,29172,18,NaN
1614315900,29145,29145,29139,29139,2,NaN
1614316500,29080,29084,29080,29084,10,NaN
1614317100,29070,29070,29065,29065,2,NaN
1614317400,29000,29000,29000,29000,1,NaN
1614317700,28990,28990,28978,28978,2,NaN
1614318600,28975,28975,28975,28975,1,NaN
1614318900,28960,28960,28960,28960,1,NaN
1614319200,29055,29055,29055,29055,1,NaN
1614319500,29052,29052,29052,29052,4,NaN
1614319800,29088,29088,29088,29088,1,NaN
1614320700,29090,29090,29090,29090,1,NaN
1614321300,29000,29000,29000,29000,1,NaN
1614321600,29000,29000,28980,28985,4,NaN
1614322200,29036,29036,28964,28966,4,NaN
1614322500,29011,29011,29011,29011,1,NaN
1614322800,28957,28980,28957,28980,5,NaN
1614323100,28910,28910,28910,28910,1,NaN
1614323400,28890,28890,28888,28888,2,NaN
1614325200,28875,28875,28875,28875,1,NaN
1614326100,28876,28876,28876,28876,1,NaN
1614327300,28871,28872,28871,28872,2,NaN
1614327900,28895,28911,28895,28911,2,NaN
1614330900,29000,29000,29000,29000,1,NaN
1614331500,29004,29004,29004,29004,1,NaN
1614331800,28985,28985,28980,28980,2,NaN
1614333000,28888,28888,28888,28888,1,NaN
1614333300,28922,28927,28922,28927,2,NaN
1614337800,28856,28856,28856,28856,1,NaN
1614338700,28774,28774,28774,28774,1,NaN
1614339000,28775,28775,28775,28775,1,NaN
1614339600,28733,28733,28733,28733,1,NaN
1614340200,28750,28750,28750,28750,1,NaN
1614342900,28901,28901,28901,28901,2,NaN
