time,open,high,low,close,Volume
1705972500,15362,15362,15039,15108,4
1705977600,15480,15480,15480,15480,1
1705979400,15360,15360,15360,15360,1
1706491200,16201,16201,16201,16201,1
1707874200,15530,15530,15530,15530,5
1707897900,16010,16010,15892,15892,2
1707960600,15910,15910,15910,15910,1
1707963900,15830,15830,15830,15830,8
1707964800,15946,15946,15946,15946,10
1708503900,16514,16517,16513,16517,16
1708578600,16598,16598,16598,16598,1
1708580100,16688,16688,16688,16688,1
1708650900,16366,16700,16366,16700,2
1708675200,16810,16810,16810,16810,1
1708911900,16769,16769,16769,16769,1
1708954800,16720,16720,16720,16720,1
1708998300,16700,16700,16700,16700,4
1708999500,16654,16656,16654,16656,2
1709003100,16531,16531,16531,16531,1
1709003700,16530,16530,16530,16530,1
1709010900,16700,16700,16700,16700,4
1709048100,16865,16865,16865,16865,2
1709084400,16820,16850,16820,16850,2
1709084700,16848,16848,16828,16828,7
1709085000,16821,16821,16789,16789,3
1709085300,16809,16809,16809,16809,2
1709089500,16730,16730,16730,16730,1
1709090400,16789,16789,16789,16789,1
1709090700,16750,16759,16749,16759,11
1709091000,16814,16814,16814,16814,5
1709091600,16869,16893,16868,16868,28
1709092500,16840,16840,16840,16840,1
1709098200,16740,16740,16740,16740,2
1709099700,16700,16700,16700,16700,5
1709131500,16564,16564,16564,16564,4
1709169300,16494,16494,16453,16478,22
1709169600,16502,16508,16502,16508,4
1709169900,16515,16515,16515,16515,1
1709170200,16520,16560,16514,16560,37
1709170500,16599,16608,16597,16602,24
1709170800,16646,16646,16629,16629,40
1709171100,16633,16657,16605,16605,10
1709171400,16595,16629,16590,16629,45
1709171700,16622,16627,16575,16602,57
1709172000,16608,16664,16607,16664,78
1709172300,16665,16673,16635,16672,69
1709172600,16660,16660,16637,16658,64
1709172900,16657,16670,16653,16660,16
1709173200,16630,16630,16618,16618,5
1709173500,16660,16660,16660,16660,2
1709174400,16665,16665,16665,16665,1
1709174700,16699,16699,16684,16684,2
1709175000,16690,16690,16688,16688,3
1709175300,16750,16750,16730,16730,2
1709175600,16736,16736,16705,16705,14
1709175900,16695,16696,16675,16675,17
1709176200,16670,16670,16625,16637,17
1709176800,16580,16580,16570,16573,13
1709177700,16566,16570,16566,16570,3
1709178300,16572,16573,16572,16573,2
1709178600,16580,16580,16580,16580,1
1709178900,16600,16615,16600,16615,18
1709182800,16625,16636,16620,16620,31
1709183100,16600,16600,16580,16580,7
1709183700,16645,16645,16638,16638,42
1709184300,16586,16586,16586,16586,1
1709184600,16580,16580,16580,16580,1
1709186100,16597,16609,16597,16609,14
1709186400,16581,16581,16580,16580,4
1709187000,16560,16560,16560,16560,1
1709187300,16563,16563,16563,16563,3
1709187900,16620,16630,16620,16630,4
1709188500,16656,16656,16636,16636,4
1709190000,16626,16627,16626,16627,2
1709190300,16662,16688,16662,16688,2
1709190900,16667,16667,16667,16667,1
1709191200,16658,16658,16658,16658,1
1709192100,16616,16616,16616,16616,1
1709192400,16606,16606,16606,16606,1
1709192700,16600,16600,16600,16600,1
1709193000,16596,16596,16570,16570,6
1709193300,16568,16574,16560,16563,7
1709193600,16558,16558,16545,16545,9
1709193900,16538,16538,16516,16516,5
1709194200,16504,16504,16504,16504,1
1709194500,16525,16527,16525,16527,2
1709194800,16528,16529,16519,16519,9
1709195100,16518,16518,16502,16502,12
1709198400,16501,16501,16501,16501,1
1709198700,16501,16501,16501,16501,23
1709199000,16496,16511,16496,16510,45
