time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1459387200,20719,20728,20719,20728,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1459387500,20735,20745,20732,20735,NaN,NaN,8,NaN,20719,NaN,NaN,NaN,NaN,NaN
1459387800,20728,20759,20727,20758,NaN,NaN,10,NaN,20719,NaN,NaN,NaN,NaN,NaN
1459388100,20760,20760,20730,20730,NaN,NaN,34,NaN,20723.8,NaN,NaN,NaN,NaN,NaN
1459388400,20711,20711,20695,20706,NaN,NaN,6,NaN,20760,NaN,NaN,NaN,NaN,NaN
1459388700,20702,20703,20678,20678,NaN,NaN,24,NaN,20760,NaN,NaN,NaN,NaN,NaN
1459389000,20680,20689,20680,20689,NaN,NaN,35,NaN,20750.16,NaN,NaN,NaN,NaN,NaN
1459389300,20696,20704,20696,20703,NaN,NaN,12,NaN,20741.5008,NaN,NaN,NaN,NaN,NaN
1459389600,20700,20700,20700,20700,20714.11111111111,20714.11111111111,1,NaN,20733.880704000003,NaN,NaN,NaN,NaN,NaN
1459389900,20691,20691,20684,20684,20708.088888888888,20709.222222222223,12,NaN,20727.175019520004,NaN,NaN,NaN,NaN,NaN
1459390200,20685,20685,20684,20684,20703.27111111111,20703.555555555555,5,NaN,20721.274017177602,NaN,NaN,NaN,NaN,NaN
1459390800,20680,20680,20674,20674,20697.41688888889,20694.222222222223,6,NaN,20716.08113511629,NaN,NaN,NaN,NaN,NaN
1459391100,20674,20676,20650,20650,20687.93351111111,20685.333333333332,6,NaN,20710.189776200008,NaN,NaN,NaN,NaN,NaN
1459391400,20650,20650,20645,20645,20679.346808888888,20678.555555555555,10,NaN,20700.559412008006,NaN,NaN,NaN,NaN,NaN
1459391700,20654,20654,20653,20653,20674.07744711111,20675.777777777777,2,NaN,20690.558717846565,NaN,NaN,NaN,NaN,NaN
1459392000,20648,20663,20648,20660,20671.26195768889,20672.555555555555,31,NaN,20682.358148634183,NaN,NaN,NaN,NaN,NaN
1459392300,20661,20670,20642,20655,20668.00956615111,20667.222222222223,13,NaN,20675.63368188003,NaN,NaN,NaN,NaN,NaN
1459392600,20651,20653,20640,20650,20664.40765292089,20661.666666666668,10,NaN,20670,NaN,NaN,NaN,NaN,NaN
1459392900,20638,20640,20625,20627,20656.926122336714,20655.333333333332,19,NaN,20670,NaN,NaN,NaN,NaN,NaN
1459393200,20607,20619,20607,20618,20649.140897869373,20648,6,12.6,20661,NaN,NaN,NaN,NaN,NaN
1459393500,20621,20627,20621,20627,20644.712718295497,20642.777777777777,4,12.7,20650.2,NaN,NaN,NaN,21.428571428571427,40.57142857142857
1459393800,20609,20609,20609,20609,20637.5701746364,20638.222222222223,1,12.35,20641.56,NaN,NaN,NaN,20.328102710413695,41.91155492154066
1459394400,20634,20634,20634,20634,20636.856139709118,20637,1,11.9,20634.648,NaN,NaN,NaN,25.892171241008455,38.98456596131015
1459395300,20652,20652,20652,20652,20639.884911767294,20636.88888888889,1,10.25,20607,NaN,NaN,NaN,29.61746974282712,37.02486551397921
1459395600,20656,20656,20656,20656,20643.107929413836,20636.444444444445,1,10,20611.5,NaN,NaN,NaN,30.43546122138267,36.594559522216244
1459395900,20658,20658,20658,20658,20646.086343531068,20636.777777777777,1,8.85,20616.84,NaN,NaN,NaN,30.85839247080566,36.372075724399814
1459396200,20664,20665,20660,20660,20648.869074824855,20637.88888888889,8,7.5,20622.6024,NaN,NaN,NaN,32.37315799421642,35.57523040519108
1459396500,20662,20662,20662,20662,20651.495259859883,20641.777777777777,1,6.95,20629.386016,NaN,NaN,NaN,32.16125006356741,35.34236237733686
1459401600,20662,20662,20662,20662,20653.596207887906,20646.666666666668,3,7.05,20635.08425344,NaN,NaN,NaN,32.16125006356741,35.342362377336855
1459401900,20665,20665,20665,20665,20655.876966310323,20650.88888888889,4,6.65,20639.8707728896,NaN,NaN,NaN,32.891353964477716,34.96199574818672
1459402200,20647,20647,20647,20647,20654.101573048258,20655.11111111111,1,6.45,20643.891449227263,NaN,NaN,NaN,30.797935355386286,39.101435205314445
1459402500,20642,20642,20642,20642,20651.681258438606,20656,1,6.2,20665,NaN,NaN,NaN,30.235254865736895,40.21405635547301
1459402800,20639,20639,20639,20639,20649.145006750885,20654.555555555555,1,5.95,20662.7,NaN,NaN,NaN,29.890350331349815,40.896056330243375
1459403100,20630,20630,20630,20630,20645.31600540071,20651.666666666668,1,5.5,20659.856,NaN,NaN,NaN,28.85104196792637,42.95114174364048
1459403700,20616,20616,20616,20616,20639.45280432057,20647,1,5.45,20655.67616,NaN,NaN,NaN,27.296906844945944,46.02422431863743
1459404900,20595,20596,20594,20596,20630.762243456455,20639.88888888889,5,4.15,20649.3279744,NaN,NaN,NaN,25.063631320130003,50.44021106200215
1459405200,20590,20605,20590,20605,20625.609794765165,20633.555555555555,2,3.6,20639.368939008,NaN,NaN,NaN,27.001262718140868,47.64270976552813
1459405500,20610,20610,20610,20610,20622.48783581213,20627.777777777777,4,3.3,20629.4951512064,NaN,NaN,NaN,28.394719777118432,46.733268414847494
1459405800,20628,20628,20628,20628,20623.590268649707,20623.666666666668,1,2.4,20590,NaN,0.03319526920618765,NaN,33.22498659681861,43.58078922479684
