time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1244054400,17686,17686,17686,17686,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1553822100,28625,28628,28620,28620,NaN,NaN,50,NaN,NaN,NaN,NaN,17904.84,NaN,NaN,NaN,NaN,NaN
1553822400,28650,28650,28631,28643,NaN,NaN,7,NaN,NaN,NaN,NaN,18334.6464,NaN,NaN,NaN,NaN,NaN
1553822700,28647,28647,28647,28647,NaN,NaN,2,NaN,NaN,NaN,NaN,18747.260544,NaN,NaN,NaN,NaN,NaN
1553823600,28705,28721,28671,28671,NaN,NaN,18,NaN,NaN,NaN,NaN,19345.68491136,NaN,NaN,NaN,NaN,NaN
1553824200,28690,28690,28670,28670,NaN,NaN,2,NaN,NaN,NaN,NaN,19908.2038166784,NaN,NaN,NaN,NaN,NaN
1553824800,28608,28608,28608,28608,NaN,NaN,10,NaN,NaN,NaN,NaN,20436.971587677697,NaN,NaN,NaN,NaN,NaN
1553825400,28680,28700,28680,28698,NaN,NaN,9,NaN,NaN,NaN,NaN,20934.013292417036,NaN,NaN,NaN,NaN,NaN
1553825700,28700,28701,28694,28701,27438.222222222223,27438.222222222223,8,NaN,NaN,NaN,NaN,21401.232494872012,NaN,NaN,NaN,NaN,NaN
1553826000,28748,28752,28748,28750,27700.577777777777,28667.555555555555,12,NaN,NaN,NaN,NaN,21989.29389528225,NaN,NaN,NaN,NaN,NaN
1553826300,28818,28818,28801,28802,27920.862222222222,28687.777777777777,28,NaN,NaN,NaN,NaN,22672.164505754026,NaN,NaN,NaN,NaN,NaN
1553826600,28813,28813,28812,28812,28099.08977777778,28706.555555555555,6,NaN,NaN,NaN,NaN,23286.748055178625,NaN,NaN,NaN,NaN,NaN
1553826900,28787,28793,28786,28791,28237.47182222222,28722.555555555555,7,NaN,NaN,NaN,NaN,23839.873249660763,NaN,NaN,NaN,NaN,NaN
1553827200,28770,28812,28770,28812,28352.377457777777,28738.222222222223,7,NaN,NaN,NaN,NaN,24337.685924694688,NaN,NaN,NaN,NaN,NaN
1553827500,28807,28809,28797,28797,28441.30196622222,28752.333333333332,5,NaN,NaN,NaN,NaN,24785.71733222522,NaN,NaN,NaN,NaN,NaN
1553827800,28799,28820,28799,28820,28517.041572977778,28775.88888888889,4,NaN,NaN,NaN,NaN,25269.831252358195,NaN,NaN,NaN,NaN,NaN
1553828100,28831,28868,28831,28868,28587.23325838222,28794.777777777777,6,NaN,NaN,NaN,NaN,25773.574877028048,NaN,NaN,NaN,NaN,NaN
1553828400,28860,28872,28860,28863,28642.386606705775,28812.777777777777,4,NaN,NaN,NaN,NaN,26269.32289670356,NaN,NaN,NaN,NaN,NaN
1553828700,28886,28886,28886,28886,28691.10928536462,28827.88888888889,10,NaN,NaN,NaN,NaN,26740.324775296922,NaN,NaN,NaN,NaN,NaN
1553829300,28888,28888,28888,28888,28730.487428291694,28837.444444444445,1,9.85,NaN,NaN,NaN,27169.859820237536,NaN,NaN,NaN,NaN,NaN
1553830200,28861,28861,28861,28861,28756.589942633356,28842.88888888889,2,9.9,NaN,NaN,NaN,27513.48785619003,NaN,NaN,NaN,97.9877364193799,1.0018136281198722
1553831100,28838,28838,28838,28838,28772.871954106686,28848.11111111111,1,7.45,NaN,NaN,NaN,27788.390284952024,NaN,NaN,NaN,97.78328139670961,1.2083769918488982
1553831400,28838,28838,28838,28838,28785.897563285347,28851,3,7.25,NaN,NaN,NaN,28008.31222796162,NaN,NaN,NaN,97.78328139670963,1.2083769918488985
1553831700,28845,28845,28845,28845,28797.71805062828,28856.333333333332,24,8.35,NaN,NaN,NaN,28184.249782369294,NaN,NaN,NaN,97.78484006657706,1.2075273301900253
1553835600,28854,28869,28771,28869,28811.97444050262,28861.777777777777,13,8.1,NaN,NaN,NaN,28324.999825895437,NaN,NaN,NaN,96.78197504377823,1.969563199590789
