time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,ADX
1585617300,23475,23534,23475,23534,NaN,NaN,NaN,NaN,NaN,23504.5,5,NaN,NaN
1585618200,23491,23491,23491,23491,23534,NaN,NaN,NaN,NaN,23491,1,NaN,NaN
1585618800,23379,23379,23359,23359,23534,NaN,NaN,NaN,NaN,23369,4,NaN,NaN
1585619100,23406,23406,23382,23382,23513,NaN,NaN,NaN,NaN,23394,2,NaN,NaN
1585620000,23400,23400,23400,23400,23494.52,NaN,NaN,NaN,NaN,23400,1,NaN,NaN
1585620300,23424,23424,23424,23424,23478.2576,NaN,NaN,NaN,NaN,23424,2,NaN,NaN
1585620600,23390,23390,23390,23390,23463.946688,NaN,NaN,NaN,NaN,23390,1,NaN,NaN
1585621200,23369,23369,23369,23369,23451.35308544,NaN,NaN,NaN,NaN,23369,1,NaN,NaN
1585622100,23452,23460,23452,23460,23359,23359,23359,NaN,NaN,23456,3,NaN,NaN
1585623000,23433,23433,23433,23433,23369,NaN,NaN,NaN,NaN,23433,1,NaN,NaN
1585623900,23312,23313,23306,23306,23460,NaN,NaN,23460,23460,23309.25,6,NaN,NaN
1585624200,23269,23269,23269,23269,23444.6,NaN,NaN,NaN,NaN,23269,1,NaN,NaN
1585624500,23282,23282,23282,23282,23423.528,NaN,NaN,NaN,NaN,23282,2,NaN,NaN
1585624800,23296,23296,23296,23296,23404.98464,NaN,NaN,NaN,NaN,23296,2,NaN,NaN
1585625400,23332,23346,23332,23346,23388.6664832,NaN,NaN,NaN,NaN,23339,5,NaN,NaN
1585626000,23324,23324,23324,23324,23374.306505216,NaN,NaN,NaN,NaN,23324,2,NaN,NaN
1585626300,23342,23342,23342,23342,23361.66972459008,NaN,NaN,NaN,NaN,23342,1,NaN,NaN
1585630800,23233,23233,23186,23186,23350.54935763927,NaN,NaN,NaN,NaN,23209.5,15,NaN,NaN
1585631100,23185,23216,23181,23216,23342,NaN,NaN,NaN,NaN,23199.5,4,NaN,NaN
1585631400,23223,23223,23223,23223,23316.24,NaN,NaN,NaN,NaN,23223,2,3.05,NaN
1585631700,23247,23247,23247,23247,23294.6016,NaN,NaN,NaN,NaN,23247,3,2.95,NaN
1585632000,23247,23247,23247,23247,23276.425344000003,NaN,NaN,NaN,NaN,23247,1,2.95,NaN
1585632900,23276,23276,23276,23276,23181,23181,23181,NaN,NaN,23276,1,2.8,NaN
1585633200,23292,23298,23287,23287,23190.5,NaN,NaN,NaN,NaN,23291,3,2.85,NaN
1585633500,23303,23332,23303,23332,23203.4,NaN,NaN,NaN,NaN,23317.5,2,2.9,NaN
1585633800,23278,23278,23268,23268,23221.404000000002,NaN,NaN,NaN,NaN,23273,2,2.9,NaN
1585634100,23281,23281,23281,23281,23236.887440000002,NaN,NaN,NaN,NaN,23281,1,2.9,NaN
1585634700,23236,23236,23215,23215,23332,NaN,NaN,23332,23332,23225.5,2,2.95,27.719836057125626
1585635000,23268,23268,23268,23268,23320.3,NaN,NaN,NaN,NaN,23268,1,2.85,27.18753116511866
1585635300,23296,23296,23296,23296,23309.77,NaN,NaN,NaN,NaN,23296,1,2.85,26.195614332274562
1585635600,23324,23324,23324,23324,23215,23215,23215,NaN,NaN,23324,1,2.6,24.799326234522425
1585637700,23321,23321,23321,23321,23225.9,NaN,NaN,NaN,NaN,23321,19,3.5,23.547648081370006
1585638000,23333,23333,23332,23333,23235.710000000003,NaN,NaN,NaN,NaN,23332.75,18,4.3,22.16949424306828
1585638300,23333,23333,23333,23333,23247.384800000003,NaN,NaN,NaN,NaN,23333,1,4.25,20.889779964645246
1585638900,23405,23405,23400,23400,23257.658624000003,NaN,NaN,NaN,NaN,23402.5,3,4.15,20.314438669536923
1585639500,23371,23371,23371,23371,23278.286416640003,NaN,NaN,NaN,NaN,23371,2,4.15,19.2451983252791
1585641300,23414,23421,23412,23421,23296.026318310403,NaN,NaN,NaN,NaN,23417,4,4.3,18.994204083549334
