time,open,high,low,close,Volume,Volume MA
1648775700,21550,21555,21550,21555,22,NaN
1648776000,21540,21540,21538,21538,6,NaN
1648776600,21500,21560,21450,21551,44,NaN
1648776900,21572,21572,21472,21472,41,NaN
1648777500,21486,21486,21486,21486,1,NaN
1648778100,21522,21523,21522,21523,20,NaN
1648778400,21555,21650,21555,21650,50,NaN
1648778700,21618,21618,21585,21585,2,NaN
1648779000,21621,21621,21621,21621,1,NaN
1648779300,21647,21647,21647,21647,25,NaN
1648779600,21600,21620,21600,21620,11,NaN
1648779900,21590,21590,21590,21590,1,NaN
1648780200,21596,21596,21591,21591,19,NaN
1648780500,21613,21613,21611,21611,4,NaN
1648780800,21650,21730,21650,21730,6,NaN
1648781400,21675,21675,21675,21675,2,NaN
1648781700,21696,21696,21696,21696,9,NaN
1648782000,21706,21706,21706,21706,10,NaN
1648783200,21765,21765,21738,21743,4,NaN
1648783500,21762,21762,21762,21762,1,NaN
1648783800,21733,21733,21733,21733,16,NaN
1648784400,21726,21726,21726,21726,10,NaN
1648784700,21717,21717,21717,21717,1,NaN
1648785000,21729,21729,21729,21729,10,NaN
1648785300,21720,21720,21717,21717,3,NaN
1648789200,21696,21696,21681,21682,20,NaN
1648789500,21708,21708,21708,21708,1,NaN
1648790400,21700,21700,21700,21700,10,NaN
1648790700,21690,21690,21690,21690,10,NaN
1648791000,21683,21688,21683,21688,25,NaN
1648791300,21673,21673,21673,21673,1,NaN
1648791600,21704,21704,21703,21703,4,NaN
1648793100,21715,21715,21715,21715,2,NaN
1648793400,21735,21735,21735,21735,1,NaN
1648793700,21735,21735,21735,21735,1,NaN
1648794000,21760,21780,21760,21780,2,NaN
1648794600,21782,21782,21782,21782,1,NaN
1648794900,21812,21812,21812,21812,1,NaN
1648795800,21862,21862,21862,21862,1,NaN
1648796700,21830,21833,21823,21833,23,NaN
1648797000,21848,21848,21848,21848,1,NaN
1648797300,21898,21898,21898,21898,1,NaN
1648798200,21835,21835,21814,21814,2,NaN
1648798500,21809,21809,21789,21789,3,NaN
1648799700,21884,21900,21880,21900,11,NaN
1648800600,21946,21946,21946,21946,1,NaN
1648800900,21935,21935,21935,21935,1,NaN
1648801200,21938,21950,21938,21950,2,NaN
1648801500,21938,21938,21921,21921,2,NaN
1648804800,21921,21921,21908,21912,3,NaN
1648805400,22100,22192,22100,22192,3,NaN
1648805700,22178,22178,22178,22178,1,NaN
1648806000,22177,22199,22177,22199,5,NaN
1648806300,22222,22222,22201,22201,2,NaN
1648806600,22212,22212,22207,22207,3,NaN
1648807200,22236,22236,22236,22236,2,NaN
1648807500,22244,22244,22227,22227,4,NaN
1648807800,22245,22245,22236,22236,2,NaN
1648808100,22245,22249,22245,22248,6,NaN
1648808400,22250,22254,22250,22254,2,NaN
1648809000,22222,22222,22222,22222,3,NaN
1648810200,22248,22248,22248,22248,2,NaN
1648811100,22260,22260,22260,22260,1,NaN
1648812600,22290,22290,22290,22290,2,NaN
1648813800,22267,22267,22267,22267,1,NaN
1648817700,22247,22247,22247,22247,2,NaN
1648818000,22241,22242,22223,22223,3,NaN
1648818300,22238,22238,22238,22238,1,NaN
1648819800,22300,22300,22300,22300,1,NaN
1648820100,22275,22275,22275,22275,1,NaN
1648820400,22282,22282,22282,22282,1,NaN
1648821000,22208,22208,22208,22208,1,NaN
1648821300,22207,22207,22207,22207,1,NaN
1648822200,22253,22253,22253,22253,1,NaN
1648822500,22217,22217,22217,22217,1,NaN
1648823700,22154,22154,22154,22154,1,NaN
1648826400,22120,22120,22120,22120,1,NaN
1648827300,22059,22059,22059,22059,1,NaN
1648830300,22020,22020,22020,22020,1,NaN
1648833000,22000,22000,21995,21995,2,NaN
1648834500,22015,22015,22015,22015,1,NaN
1648834800,22030,22030,22030,22030,1,NaN
1648837800,22100,22100,22100,22100,1,NaN
1649034900,22182,22188,22170,22170,4,NaN
1649035200,22198,22198,22160,22160,6,NaN
1649035500,22109,22109,22109,22109,1,NaN
1649035800,22096,22137,22096,22129,14,NaN
1649036100,22144,22155,22102,22110,8,NaN
1649037000,22108,22110,22107,22110,11,NaN
1649037300,22099,22099,22087,22090,30,NaN
1649037600,22054,22057,22043,22048,30,NaN
1649037900,22055,22055,22055,22055,7,NaN
1649038500,22087,22096,22087,22096,14,NaN
1649038800,22132,22132,22122,22122,2,NaN
1649039100,22130,22130,22130,22130,2,NaN
1649040000,22170,22170,22170,22170,2,NaN
1649040300,22200,22200,22200,22200,1,NaN
1649041200,22228,22228,22228,22228,1,NaN
1649041500,22261,22264,22261,22264,3,NaN
1649041800,22253,22253,22253,22253,1,NaN
1649042100,22275,22278,22275,22278,3,NaN
1649042400,22267,22267,22267,22267,1,NaN
1649043000,22228,22228,22228,22228,1,NaN
1649043600,22200,22200,22190,22191,17,NaN
1649044200,22222,22222,22222,22222,1,NaN
1649044500,22221,22221,22221,22221,1,NaN
1649048400,22220,22220,22216,22216,2,NaN
1649048700,22256,22261,22256,22261,9,NaN
1649049000,22233,22233,22233,22233,1,NaN
1649049600,22300,22310,22261,22261,4,NaN
1649051100,22345,22349,22345,22349,3,NaN
1649051700,22362,22362,22362,22362,1,NaN
1649052000,22380,22390,22380,22390,12,NaN
1649052300,22386,22409,22384,22400,24,NaN
1649052600,22405,22405,22375,22375,48,NaN
1649052900,22366,22366,22360,22360,2,NaN
1649053200,22333,22340,22333,22340,2,NaN
1649054100,22398,22398,22398,22398,1,NaN
1649054400,22380,22380,22370,22370,2,NaN
1649054700,22366,22366,22360,22360,2,NaN
1649055000,22353,22353,22353,22353,1,NaN
1649056500,22303,22303,22286,22300,32,NaN
1649057400,22336,22336,22336,22336,5,NaN
1649058900,22376,22400,22376,22400,3,NaN
1649059200,22411,22411,22408,22408,30,NaN
1649059500,22397,22397,22397,22397,8,NaN
1649060700,22372,22372,22372,22372,2,NaN
1649065500,22423,22423,22423,22423,2,NaN
1649072700,22346,22346,22346,22346,23,NaN
1649074500,22335,22335,22335,22335,2,NaN
1649076900,22338,22338,22338,22338,1,NaN
1649079300,22352,22352,22352,22352,1,NaN
1649079600,22380,22380,22380,22380,1,NaN
1649080500,22432,22433,22431,22433,5,NaN
1649080800,22400,22400,22400,22400,1,NaN
1649081400,22401,22401,22401,22401,1,NaN
1649082300,22432,22432,22432,22432,1,NaN
1649083800,22515,22515,22515,22515,2,NaN
1649084400,22546,22546,22546,22546,1,NaN
1649090700,22440,22440,22440,22440,1,NaN
1649094300,22469,22469,22469,22469,1,NaN
1649094600,22477,22477,22477,22477,1,NaN
1649098500,22478,22480,22478,22480,3,NaN
1649207700,22122,22166,22122,22163,3,NaN
1649208000,22172,22172,22172,22172,1,NaN
1649208300,22128,22128,22128,22128,1,NaN
1649208600,22112,22116,22000,22054,46,NaN
1649208900,22032,22032,21966,21990,6,NaN
1649209200,21980,22032,21980,22022,4,NaN
1649209500,22008,22042,22008,22042,2,NaN
1649209800,22038,22108,22037,22080,10,NaN
1649210100,22064,22065,21986,21986,7,NaN
1649210400,21970,21970,21933,21940,10,NaN
1649210700,21951,21986,21951,21978,10,NaN
1649211000,21956,21962,21954,21962,35,NaN
1649211300,21911,21911,21911,21911,1,NaN
1649211600,21950,21978,21950,21978,3,NaN
1649211900,22016,22016,21996,21996,47,NaN
1649212200,21978,21978,21978,21978,1,NaN
1649212500,22022,22022,22022,22022,1,NaN
1649213100,21995,21995,21995,21995,1,NaN
1649214600,22047,22057,22047,22048,3,NaN
1649214900,22070,22070,22045,22045,4,NaN
1649215200,22040,22040,22040,22040,1,NaN
1649215800,22040,22040,22040,22040,1,NaN
1649216700,22040,22040,22040,22040,1,NaN
1649221500,22043,22043,22043,22043,1,NaN
1649222100,22122,22122,22122,22122,1,NaN
1649223000,22120,22120,22120,22120,4,NaN
1649225400,22114,22114,22113,22113,2,NaN
1649226900,22089,22089,22089,22089,2,NaN
1649228100,22109,22109,22109,22109,3,NaN
1649229900,22090,22090,22090,22090,1,NaN
1649230200,22053,22053,22053,22053,1,NaN
1649230500,22000,22000,21950,21950,11,NaN
1649230800,21945,21963,21945,21961,4,NaN
1649231100,21956,21956,21956,21956,1,NaN
1649231400,21930,21930,21900,21900,7,NaN
1649231700,21928,21928,21928,21928,1,NaN
1649232000,21967,21969,21967,21969,5,NaN
1649232300,21969,22000,21969,22000,4,NaN
1649232600,22003,22005,22003,22005,20,NaN
1649232900,22000,22000,22000,22000,1,NaN
1649233500,21957,21959,21957,21959,20,NaN
1649238600,21966,21966,21966,21966,1,NaN
1649241000,21930,21930,21930,21930,8,NaN
1649246100,21870,21870,21870,21870,4,NaN
1649247900,21907,21907,21907,21907,1,NaN
1649251800,21850,21850,21850,21850,6,NaN
1649252400,21800,21800,21800,21800,5,NaN
1649252700,21785,21785,21785,21785,1,NaN
1649253300,21752,21752,21750,21750,7,NaN
1649253600,21725,21725,21725,21725,1,NaN
1649253900,21727,21727,21727,21727,1,NaN
1649254200,21766,21766,21766,21766,1,NaN
1649256600,21792,21792,21760,21782,4,NaN
1649256900,21750,21750,21750,21750,1,NaN
1649257200,21750,21774,21746,21774,4,NaN
1649257800,21721,21721,21721,21721,1,NaN
1649258100,21735,21743,21722,21722,3,NaN
1649259000,21712,21712,21712,21712,1,NaN
1649259900,21735,21735,21735,21735,1,NaN
1649268000,21838,21850,21838,21850,11,NaN
1649268600,21702,21702,21700,21700,6,NaN
1649269200,21700,21700,21700,21700,1,NaN
1649294100,21796,21803,21795,21803,3,NaN
1649295000,21858,21906,21858,21875,15,NaN
1649295300,21950,21990,21936,21990,14,NaN
1649295600,21984,22073,21984,22073,5,NaN
1649295900,22062,22076,22050,22050,3,NaN
1649296200,22075,22075,22075,22075,1,NaN
1649296500,22060,22060,22043,22052,88,NaN
1649296800,22045,22048,21982,21984,34,NaN
1649297100,21955,21955,21955,21955,2,NaN
1649298000,21969,21969,21969,21969,1,NaN
1649298300,21962,21962,21962,21962,1,NaN
1649298900,21945,21969,21945,21969,2,NaN
1649300400,21923,21925,21923,21924,3,NaN
1649300700,21900,21900,21900,21900,5,NaN
1649301000,21878,21878,21850,21850,6,NaN
1649301300,21847,21847,21795,21795,11,NaN
1649301600,21800,21800,21800,21800,1,NaN
1649301900,21800,21800,21735,21735,11,NaN
1649302200,21700,21700,21692,21698,8,NaN
1649302500,21723,21728,21723,21728,2,NaN
1649302800,21735,21735,21735,21735,1,NaN
1649303100,21740,21745,21740,21745,2,NaN
1649303400,21721,21721,21721,21721,1,NaN
1649303700,21700,21700,21669,21669,5,NaN
1649307600,21669,21669,21669,21669,1,NaN
1649307900,21680,21700,21680,21700,2,NaN
1649308500,21710,21710,21700,21700,3,NaN
1649309100,21689,21689,21688,21688,2,NaN
1649309400,21688,21688,21688,21688,1,NaN
1649310300,21690,21700,21690,21700,2,NaN
1649310600,21750,21750,21750,21750,1,NaN
1649310900,21776,21776,21754,21754,2,NaN
1649311200,21743,21743,21743,21743,1,NaN
1649311500,21779,21836,21778,21836,17,NaN
1649311800,21845,21845,21824,21824,7,NaN
1649312100,21804,21804,21804,21804,1,NaN
1649312400,21806,21806,21806,21806,3,NaN
1649313000,21800,21800,21780,21780,2,NaN
1649313300,21769,21769,21769,21769,1,NaN
1649313600,21782,21782,21782,21782,1,NaN
1649313900,21797,21797,21797,21797,1,NaN
1649314200,21769,21769,21769,21769,2,NaN
1649314500,21750,21765,21750,21765,6,NaN
1649314800,21797,21797,21797,21797,1,NaN
1649315100,21788,21788,21788,21788,1,NaN
1649316600,21756,21766,21756,21766,2,NaN
1649316900,21775,21775,21775,21775,1,NaN
1649317200,21747,21747,21747,21747,1,NaN
1649317500,21747,21747,21747,21747,1,NaN
1649318400,21729,21729,21697,21697,8,NaN
1649319000,21677,21684,21677,21684,50,NaN
1649319300,21660,21660,21650,21650,8,NaN
1649322900,21738,21738,21738,21738,1,NaN
1649323500,21718,21718,21718,21718,1,NaN
1649324400,21736,21736,21736,21736,1,NaN
1649328300,21750,21750,21749,21749,11,NaN
1649328600,21766,21766,21766,21766,1,NaN
1649329500,21800,21800,21800,21800,10,NaN
1649329800,21763,21763,21763,21763,1,NaN
1649330100,21792,21792,21792,21792,1,NaN
1649332800,21745,21745,21745,21745,1,NaN
1649334000,21730,21730,21730,21730,2,NaN
1649334300,21730,21730,21730,21730,3,NaN
1649335200,21728,21728,21723,21723,2,NaN
1649335800,21700,21700,21700,21700,5,NaN
1649338200,21732,21732,21732,21732,1,NaN
1649338500,21650,21650,21650,21650,5,NaN
1649338800,21636,21636,21630,21630,2,NaN
1649339100,21600,21617,21599,21599,22,NaN
1649339700,21610,21610,21593,21593,8,NaN
1649340300,21582,21582,21582,21582,5,NaN
1649341500,21568,21568,21568,21568,1,NaN
1649341800,21581,21581,21581,21581,1,NaN
1649342700,21530,21530,21530,21530,1,NaN
1649343000,21553,21553,21553,21553,1,NaN
1649343600,21568,21568,21568,21568,1,NaN
1649344200,21522,21522,21522,21522,1,NaN
1649344500,21510,21510,21506,21506,6,NaN
1649344800,21520,21520,21510,21510,3,NaN
1649345100,21500,21500,21500,21500,1,NaN
1649345400,21467,21477,21467,21477,4,NaN
1649345700,21495,21506,21495,21506,10,NaN
1649346000,21499,21514,21499,21514,2,NaN
1649346600,21476,21476,21476,21476,1,NaN
1649346900,21471,21471,21471,21471,1,NaN
1649348400,21479,21479,21479,21479,1,NaN
1649348700,21492,21492,21492,21492,1,NaN
1649351400,21545,21545,21545,21545,1,NaN
1649354100,21575,21575,21575,21575,1,NaN
1649355000,21577,21579,21577,21579,2,NaN
1649357400,21599,21599,21599,21599,1,NaN
1649357700,21622,21622,21622,21622,1,NaN
1649380500,21660,21660,21574,21574,114,NaN
1649380800,21586,21586,21586,21586,1,NaN
1649381100,21596,21596,21584,21584,2,NaN
1649381400,21608,21634,21570,21634,3,NaN
1649382600,21640,21640,21640,21640,1,NaN
1649383200,21555,21555,21511,21511,3,NaN
1649383500,21520,21544,21500,21500,4,NaN
1649383800,21523,21523,21500,21508,3,NaN
1649384100,21485,21485,21475,21475,2,NaN
1649384400,21512,21512,21512,21512,1,NaN
1649384700,21550,21550,21550,21550,1,NaN
1649385000,21566,21620,21566,21620,4,NaN
1649385600,21636,21636,21636,21636,1,NaN
1649385900,21671,21700,21671,21700,18,NaN
1649386200,21700,21700,21681,21681,4,NaN
1649386500,21684,21684,21684,21684,1,NaN
1649386800,21659,21679,21631,21631,4,NaN
1649387100,21646,21646,21626,21626,2,NaN
1649387400,21618,21648,21618,21648,3,NaN
1649388300,21617,21617,21617,21617,2,NaN
1649388600,21598,21598,21595,21595,2,NaN
1649388900,21588,21588,21588,21588,1,NaN
1649389200,21584,21584,21584,21584,1,NaN
1649389500,21596,21596,21596,21596,1,NaN
1649389800,21580,21580,21580,21580,5,NaN
1649394000,21609,21609,21609,21609,5,NaN
1649394900,21640,21679,21640,21679,12,NaN
1649395200,21703,21703,21677,21677,6,NaN
1649395800,21668,21668,21668,21668,1,NaN
1649396700,21633,21633,21633,21633,1,NaN
1649397000,21680,21680,21680,21680,5,NaN
1649397900,21643,21643,21643,21643,1,NaN
1649399100,21676,21676,21676,21676,1,NaN
1649399400,21643,21643,21638,21638,2,NaN
1649399700,21644,21644,21644,21644,1,NaN
1649400000,21643,21643,21643,21643,1,NaN
1649400300,21673,21673,21673,21673,1,NaN
1649400600,21720,21720,21720,21720,1,NaN
1649401200,21721,21721,21690,21690,5,NaN
1649401500,21682,21682,21682,21682,1,NaN
1649401800,21697,21697,21697,21697,1,NaN
1649403600,21678,21678,21672,21677,246,NaN
1649403900,21679,21679,21679,21679,3,NaN
1649404200,21750,21750,21742,21742,2,NaN
1649404500,21735,21753,21735,21753,14,NaN
1649404800,21762,21778,21751,21778,5,NaN
1649405100,21778,21805,21778,21805,6,NaN
1649405400,21812,21812,21812,21812,1,NaN
1649405700,21816,21816,21816,21816,1,NaN
1649406000,21820,21825,21820,21825,2,NaN
1649406300,21836,21836,21823,21823,11,NaN
1649421900,21730,21730,21730,21730,5,NaN
1649422500,21739,21739,21739,21739,1,NaN
1649422800,21708,21708,21700,21700,3,NaN
1649423100,21700,21700,21700,21700,3,NaN
1649423400,21702,21702,21702,21702,1,NaN
1649424600,21670,21670,21670,21670,1,NaN
1649424900,21712,21712,21712,21712,1,NaN
1649427300,21741,21741,21741,21741,1,NaN
1649427600,21763,21765,21763,21765,2,NaN
1649427900,21808,21808,21808,21808,1,NaN
1649428500,21820,21820,21804,21804,10,NaN
1649429100,21786,21786,21750,21750,7,NaN
1649429400,21756,21800,21756,21800,6,NaN
1649429700,21800,21800,21800,21800,2,NaN
1649430300,21810,21810,21810,21810,1,NaN
1649430600,21795,21795,21795,21795,1,NaN
1649433600,21762,21762,21762,21762,1,NaN
1649433900,21752,21752,21752,21752,1,NaN
1649436000,21833,21833,21833,21833,1,NaN
1649441100,21768,21768,21768,21768,1,NaN
1649442300,21738,21738,21738,21738,1,NaN
1649639700,21669,21669,21605,21616,18,NaN
1649640000,21612,21612,21612,21612,1,NaN
1649640300,21583,21583,21568,21568,11,NaN
1649640600,21554,21554,21388,21388,73,NaN
1649640900,21380,21388,21350,21350,16,NaN
1649641200,21357,21357,21350,21350,2,NaN
1649641500,21320,21320,21300,21319,7,NaN
