time,open,high,low,close,Volume
1707128400,16022,16022,16022,16022,2
1707271500,16203,16454,16203,16454,4
1707960900,15927,15927,15842,15842,13
1707961200,15849,15856,15836,15854,47
1708664400,16768,16768,16768,16768,5
1709019300,16792,16792,16774,16774,6
1709020200,16837,16837,16837,16837,5
1709191500,16600,16600,16600,16600,10
1709269200,16600,16600,16600,16600,1
1709532900,16549,16549,16549,16549,1
1710164100,16650,16650,16650,16650,1
1710207900,16752,16752,16752,16752,1
1710208500,16859,16859,16859,16859,1
1710209400,16739,16739,16739,16739,1
1710336600,17180,17180,17180,17180,1
1710403500,16943,16943,16943,16943,10
1710470400,16666,16666,16666,16666,1
1710480600,16600,16600,16600,16600,5
1710726600,16736,16736,16736,16736,5
1710729900,16855,16855,16855,16855,1
1710914700,16663,16663,16655,16655,5
1710920100,16628,16628,16628,16628,1
1711075500,16538,16538,16538,16538,2
1711336500,16636,16636,16636,16636,1
1711416900,16668,16668,16668,16668,1
1711419600,16602,16602,16602,16602,1
1711460400,16592,16594,16592,16594,2
1711460700,16597,16598,16593,16598,17
1711463400,16557,16557,16557,16557,1
1711464300,16571,16571,16571,16571,1
1711464600,16573,16577,16573,16577,5
1711466100,16551,16551,16551,16551,2
1711466400,16552,16554,16552,16553,7
1711468800,16557,16557,16557,16557,1
1711506300,16603,16603,16603,16603,1
1711516800,16430,16430,16430,16430,1
1711523400,16400,16400,16400,16400,1
1711524000,16370,16370,16370,16370,1
1711542300,16389,16392,16389,16392,2
1711544400,16364,16383,16364,16383,7
1711545600,16376,16376,16376,16376,1
1711546500,16330,16330,16330,16330,7
1711589400,16425,16425,16386,16386,12
1711589700,16365,16392,16365,16387,30
1711590000,16389,16389,16340,16353,33
1711590300,16352,16425,16350,16416,92
1711590600,16423,16423,16403,16403,41
1711590900,16420,16420,16365,16365,51
1711591200,16380,16420,16380,16420,43
1711591500,16406,16420,16406,16420,2
1711591800,16397,16397,16397,16397,3
1711592100,16438,16450,16438,16450,5
1711592400,16481,16481,16479,16480,19
