time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1477876800,22527,22550,22527,22547,NaN,NaN,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1477877700,22510,22510,22510,22510,NaN,NaN,1,NaN,22550,NaN,NaN,NaN,NaN,NaN
1477878300,22539,22539,22535,22535,NaN,NaN,6,NaN,22550,NaN,NaN,NaN,NaN,NaN
1477878600,22547,22547,22533,22533,NaN,NaN,8,NaN,22549.2,NaN,NaN,NaN,NaN,NaN
1477879200,22564,22564,22564,22564,NaN,NaN,1,NaN,22510,NaN,NaN,NaN,NaN,NaN
1477880100,22656,22660,22656,22660,NaN,NaN,3,NaN,22511.08,NaN,NaN,NaN,NaN,NaN
1477883400,22750,22750,22750,22750,NaN,NaN,1,NaN,22517.0368,NaN,NaN,NaN,NaN,NaN
1477884300,22700,22700,22700,22700,NaN,NaN,1,NaN,22531.014592000003,NaN,NaN,NaN,NaN,NaN
1477890300,22732,22732,22724,22724,22613.666666666668,22613.666666666668,4,NaN,22544.153716480003,NaN,NaN,NaN,NaN,NaN
1477898400,22723,22723,22723,22723,22635.533333333333,22633.222222222223,1,NaN,22556.504493491204,NaN,NaN,NaN,NaN,NaN
1477900200,22661,22661,22661,22661,22640.626666666667,22650,1,NaN,22568.11422388173,NaN,NaN,NaN,NaN,NaN
1477964700,22900,22900,22900,22900,22692.501333333334,22690.555555555555,1,NaN,22579.027370448828,NaN,NaN,NaN,NaN,NaN
1477971000,22950,22950,22950,22950,22744.001066666668,22736.88888888889,1,NaN,22604.70518081292,NaN,NaN,NaN,NaN,NaN
1477986600,22900,22900,22900,22900,22775.200853333336,22774.222222222223,1,NaN,22639.23466273163,NaN,NaN,NaN,NaN,NaN
1478014800,22800,22800,22800,22800,22780.16068266667,22789.777777777777,1,NaN,22670.311196458468,NaN,NaN,NaN,NaN,NaN
1478049600,22650,22650,22650,22650,22754.128546133335,22778.666666666668,2,NaN,22950,NaN,NaN,NaN,NaN,NaN
1478049900,22600,22600,22600,22600,22723.302836906667,22767.555555555555,1,NaN,22944,NaN,NaN,NaN,NaN,NaN
1478050200,22628,22628,22628,22628,22704.242269525334,22756.88888888889,3,NaN,22930.24,NaN,NaN,NaN,NaN,NaN
1478050800,22580,22580,22580,22580,22679.393815620268,22741,1,NaN,22917.030400000003,NaN,NaN,NaN,NaN,NaN
1478052600,22550,22550,22550,22550,22653.515052496216,22728.666666666668,3,2.95,22896.808576000003,NaN,NaN,NaN,NaN,NaN
1478053800,22545,22545,22545,22545,22631.81204199697,22689.222222222223,1,2.1,22869.063889920002,NaN,NaN,NaN,49.41275167785235,47.23154362416107
1478055300,22510,22510,22510,22510,22607.44963359758,22640.333333333332,1,2.1,22836.657500928002,NaN,NaN,NaN,47.931300325509675,48.81360287819085
1478055600,22515,22515,22515,22515,22588.959706878064,22597.555555555555,1,1.85,22797.45860081664,NaN,NaN,NaN,48.164995556672615,48.5945172033069
1478066100,22540,22540,22540,22540,22579.16776550245,22568.666666666668,1,1.5,22762.963568718646,NaN,NaN,NaN,49.361193303785505,47.47310026460118
1478069700,22500,22500,22498,22498,22562.93421240196,22551.777777777777,6,1.75,22732.607940472408,NaN,NaN,NaN,47.425753124241254,49.532667010265456
1478071500,22520,22520,22520,22520,22554.34736992157,22542.88888888889,1,1.65,22699.76282880627,NaN,NaN,NaN,48.345943367566754,48.48446143933485
1478073600,22498,22498,22498,22498,22543.077895937255,22528.444444444445,1,1.65,22671.51603277339,NaN,NaN,NaN,47.29247099215382,49.60700022951984
1478074200,22510,22510,22510,22510,22536.462316749803,22520.666666666668,1,1.65,22647.223788185114,NaN,NaN,NaN,47.94375573497132,48.99402741530158
1478084100,22528,22528,22528,22528,22534.76985339984,22518.222222222223,1,1.5,22626.3324578392,NaN,NaN,NaN,48.93995697531419,48.05642787139238
1478095800,22548,22548,22548,22548,22537.415882719873,22518.555555555555,1,1.5,22608.36591374171,NaN,NaN,NaN,50.05778736220664,47.004354034827514
1478136300,22430,22430,22430,22430,22515.9327061759,22509.666666666668,1,1.5,22592.91468581787,NaN,NaN,NaN,44.066359747509274,53.34741459395613
1478137200,22435,22435,22435,22435,22499.74616494072,22500.777777777777,1,1.5,22566.84833608701,NaN,NaN,NaN,44.363378458863,53.064129253234114
1478138400,22560,22560,22560,22560,22511.796931952576,22503,1,1.5,22430,NaN,NaN,NaN,51.18490077855753,46.55801633607128
1478141400,22430,22430,22430,22430,22495.43754556206,22495.444444444445,1,1.5,22560,NaN,NaN,NaN,45.12768132837622,52.88233889959238
1478142900,22407,22407,22407,22407,22477.750036449648,22482.88888888889,1,1.5,22560,NaN,NaN,NaN,44.154558046634115,53.8983736624777
1478151000,22542,22549,22542,22549,22492.000029159717,22488.555555555555,3,1.55,22553.88,NaN,NaN,NaN,51.01878036640254,47.27347453817416
1478152800,22500,22500,22500,22500,22493.600023327774,22487.444444444445,1,1.55,22549,NaN,NaN,NaN,48.83831875854804,48.91637372828284
1478154300,22485,22485,22485,22485,22491.880018662217,22482.666666666668,2,1.5,22549,NaN,NaN,NaN,48.17486531155211,49.61032898301999
1478179500,22458,22458,22458,22458,22485.104014929773,22472.666666666668,1,1.5,22543.32,NaN,-0.10668062695918967,NaN,46.96598831042203,50.87478325794106
1478181900,22445,22446,22445,22446,22477.283211943817,22474.444444444445,4,1.55,22537.8672,NaN,-0.10348465663793827,3.551440736553251,46.37617775449231,51.49170994125269
1478183700,22458,22458,22458,22458,22473.426569555053,22477,1,1.55,22532.632512,NaN,-0.09775003444759067,3.5704259365417834,47.02262604388687,50.8709647870351
1478184900,22434,22434,22434,22434,22465.541255644042,22463,1,1.55,22527.60721152,NaN,-0.08950195821125662,3.7098468492146885,45.85875549445946,52.08697167599077
1478187000,22441,22444,22441,22444,22461.233004515234,22464.555555555555,3,1.65,22522.7829230592,NaN,-0.07906847722042476,3.7840013490400466,46.44019156119649,51.52759694760911
1478222100,22322,22353,22322,22353,22439.586403612186,22458.555555555555,2,1.7,22518.15160613683,NaN,-0.06746865314174288,4.4267751078834205,40.811670102334105,57.10438992581081
1478223000,22333,22333,22333,22333,22418.26912288975,22434.555555555555,1,1.45,22506.38250976862,NaN,-0.05519829493562167,5.037410178784627,39.97560154473207,55.934548436886146
1478223900,22450,22450,22447,22447,22424.0152983118,22428.666666666668,4,1.6,22495.319559182502,NaN,-0.042099133107101894,4.939599404018193,46.69949891950984,49.66879362595809
1478225100,22455,22455,22455,22455,22430.212238649437,22425.333333333332,1,1.6,22484.92038563155,NaN,-0.02925394003680193,4.819868720284499,46.82587274959766,49.27153814308582
1478247000,22364,22364,22360,22360,22416.16979091955,22414.444444444445,4,1.75,22475.145162493656,NaN,-0.017250381200726306,5.165296660296226,42.56989917494269,53.88221554146436
1478247900,22330,22330,22330,22330,22398.93583273564,22401.555555555555,1,1.75,22465.956452744038,NaN,-0.006595923750395971,5.627504534998014,41.3214729575417,55.234688822405865
1478251500,22279,22279,22279,22279,22374.94866618851,22381.666666666668,1,1.75,22457.319065579395,NaN,0.0023602842422409953,6.287207481660384,39.26109009610405,57.466789310014555
