time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1547201400,26415,26415,26415,26415,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1547428500,26320,26320,26282,26282,NaN,NaN,2,NaN,NaN,NaN,NaN,26412.34,NaN,NaN,NaN,NaN,NaN
1547428800,26280,26280,26254,26254,NaN,NaN,3,NaN,NaN,NaN,NaN,26406.0064,NaN,NaN,NaN,NaN,NaN
1547429400,26304,26317,26304,26317,NaN,NaN,2,NaN,NaN,NaN,NaN,26399.926143999997,NaN,NaN,NaN,NaN,NaN
1547429700,26256,26256,26256,26256,NaN,NaN,1,NaN,NaN,NaN,NaN,26394.089098239998,NaN,NaN,NaN,NaN,NaN
1547430000,26190,26190,26190,26190,NaN,NaN,2,NaN,NaN,NaN,NaN,26381.843752345598,NaN,NaN,NaN,NaN,NaN
1547430300,26160,26160,26160,26160,NaN,NaN,1,NaN,NaN,NaN,NaN,26364.09625215795,NaN,NaN,NaN,NaN,NaN
1547430600,26042,26050,26040,26040,NaN,NaN,11,NaN,NaN,NaN,NaN,26331.686626942155,NaN,NaN,NaN,NaN,NaN
1547431200,26050,26050,26050,26050,26218.222222222223,26218.222222222223,1,NaN,NaN,NaN,NaN,26302.51796424794,NaN,NaN,NaN,NaN,NaN
1547432700,26023,26023,26023,26023,26179.17777777778,26174.666666666668,2,NaN,NaN,NaN,NaN,26268.975808538187,NaN,NaN,NaN,NaN,NaN
1547434500,26004,26004,26004,26004,26144.142222222225,26143.777777777777,1,NaN,NaN,NaN,NaN,26231.87919534284,NaN,NaN,NaN,NaN,NaN
1547435100,25920,25920,25900,25900,26095.31377777778,26104.444444444445,2,NaN,NaN,NaN,NaN,26178.778524087986,NaN,NaN,NaN,NaN,NaN
1547436000,25900,25900,25900,25900,26056.251022222226,26058.11111111111,2,NaN,NaN,NaN,NaN,26134.173960233908,NaN,NaN,NaN,NaN,NaN
1547443800,26000,26000,26000,26000,26045.00081777778,26029.666666666668,1,NaN,NaN,NaN,NaN,26096.706126596484,NaN,NaN,NaN,NaN,NaN
1547448600,25987,25987,25987,25987,26033.400654222227,26007.11111111111,22,NaN,NaN,NaN,NaN,26065.23314634105,NaN,NaN,NaN,NaN,NaN
1547451000,26007,26007,26007,26007,26028.12052337778,25990.11111111111,15,NaN,NaN,NaN,NaN,26038.79584292648,NaN,NaN,NaN,NaN,NaN
1547451600,25973,25973,25973,25973,26017.096418702225,25982.666666666668,1,NaN,NaN,NaN,NaN,26016.588508058245,NaN,NaN,NaN,NaN,NaN
1547452800,25985,25985,25985,25985,26010.67713496178,25975.444444444445,4,NaN,NaN,NaN,NaN,25997.934346768925,NaN,NaN,NaN,NaN,NaN
1547454300,26022,26022,26022,26022,26012.941707969425,25975.333333333332,8,NaN,NaN,NaN,NaN,25900,NaN,NaN,NaN,NaN,NaN
1547460600,25999,25999,25999,25999,26010.15336637554,25974.777777777777,1,4.15,NaN,NaN,NaN,25902.44,NaN,NaN,NaN,NaN,NaN
1547479800,26130,26130,26130,26130,26034.12269310043,26000.333333333332,1,4.15,NaN,NaN,NaN,25911.5424,NaN,NaN,NaN,32.68671193016489,62.560620756547046
1547515200,26240,26240,26240,26240,26075.298154480344,26038.11111111111,1,4.1,NaN,NaN,NaN,25931.249856,NaN,NaN,NaN,39.48322548074717,56.24397631832577
1547515500,26228,26228,26228,26228,26105.838523584276,26063.444444444445,1,4,NaN,NaN,NaN,25949.77486464,NaN,NaN,NaN,39.03068595074871,56.74548879990259
1547515800,26200,26228,26200,26228,26130.270818867422,26090.222222222223,5,4.15,NaN,NaN,NaN,25967.1883727616,NaN,NaN,NaN,37.96200942448684,57.92981543030835
1547516100,26244,26244,26244,26244,26153.01665509394,26116.555555555555,1,4.15,NaN,NaN,NaN,25989.33330294067,NaN,NaN,NaN,38.96718478649348,56.99120309525437
1547516400,26249,26249,26249,26249,26172.21332407515,26147.222222222223,1,4.1,NaN,NaN,NaN,26015.299972646604,NaN,NaN,NaN,39.290752647253434,56.68906199946585
1547516700,26293,26293,26293,26293,26196.37065926012,26181.444444444445,1,4.1,NaN,NaN,NaN,26048.62397592901,NaN,NaN,NaN,42.13256422961542,54.03543606918112
1547517000,26272,26274,26271,26274,26211.896527408095,26209.444444444445,5,3.8,NaN,NaN,NaN,26077.94909881753,NaN,NaN,NaN,41.119505294460026,55.14063374803272
1547517600,26300,26300,26300,26300,26229.517221926475,26242.88888888889,2,3.85,NaN,NaN,NaN,26109.036224983076,NaN,NaN,NaN,42.8295806930052,53.53917571504122
1547517900,26352,26360,26352,26360,26255.61377754118,26268.444444444445,2,3.85,NaN,NaN,NaN,26149.190428985785,NaN,NaN,NaN,46.597160461069144,50.01089802059845
1547518200,26387,26387,26387,26387,26281.891022032945,26284.777777777777,1,3.85,NaN,NaN,NaN,26191.996151768344,NaN,NaN,NaN,48.21373082027438,48.49700594902803
1547518500,26391,26391,26391,26391,26303.712817626358,26302.88888888889,1,3.8,NaN,NaN,NaN,26231.796921414676,NaN,NaN,NaN,48.45704766406435,48.269143648698396
1547518800,26432,26432,26432,26432,26329.370254101086,26325.555555555555,1,3.75,NaN,NaN,NaN,26271.83753713174,NaN,NaN,NaN,50.943904523162345,45.940242304763125
1547519400,26430,26430,26430,26430,26349.49620328087,26346.222222222223,1,3.75,NaN,NaN,NaN,26303.870029705395,NaN,NaN,NaN,50.818005706301065,46.07384139963704
