time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,ADX
1582302600,27028,27028,27028,27028,NaN,NaN,NaN,NaN,NaN,27028,1,NaN,NaN
1582506600,26663,26663,26663,26663,27028,NaN,NaN,NaN,NaN,26663,15,NaN,NaN
1582506900,26698,26749,26690,26749,27028,NaN,NaN,NaN,NaN,26721.5,32,NaN,NaN
1582507200,26690,26690,26651,26655,26991.5,NaN,NaN,NaN,NaN,26671.5,4,NaN,NaN
1582507500,26667,26667,26624,26624,26950.64,NaN,NaN,NaN,NaN,26645.5,32,NaN,NaN
1582507800,26686,26686,26686,26686,26904.9104,NaN,NaN,NaN,NaN,26686,1,NaN,NaN
1582508400,26550,26555,26550,26555,26865.582944,NaN,NaN,NaN,NaN,26552.5,2,NaN,NaN
1582509000,26600,26600,26570,26570,26815.089672960003,NaN,NaN,NaN,NaN,26585,6,NaN,NaN
1582509900,26526,26526,26526,26526,26772.675325286404,NaN,NaN,NaN,NaN,26526,1,NaN,NaN
1582510500,26512,26512,26512,26512,26728.273766734852,NaN,NaN,NaN,NaN,26512,28,NaN,NaN
1582510800,26510,26510,26460,26460,26685.019013387882,NaN,NaN,NaN,NaN,26485,5,NaN,NaN
1582511100,26488,26488,26479,26479,26640.015210710306,NaN,NaN,NaN,NaN,26483.5,3,NaN,NaN
1582511400,26463,26463,26431,26434,26604.012168568246,NaN,NaN,NaN,NaN,26447.75,30,NaN,NaN
1582511700,26431,26431,26431,26431,26569.4097348546,NaN,NaN,NaN,NaN,26431,1,NaN,NaN
1582512000,26437,26437,26437,26437,26541.72778788368,NaN,NaN,NaN,NaN,26437,1,NaN,NaN
1582512300,26479,26479,26479,26479,26519.582230306944,NaN,NaN,NaN,NaN,26479,1,NaN,NaN
1582512600,26483,26483,26483,26483,26501.865784245554,NaN,NaN,NaN,NaN,26483,1,NaN,NaN
1582513200,26409,26409,26409,26409,26487.692627396442,NaN,NaN,NaN,NaN,26409,19,NaN,NaN
1582513500,26423,26436,26423,26436,26483,NaN,NaN,NaN,NaN,26429.5,12,NaN,NaN
1582513800,26448,26448,26448,26448,26468.2,NaN,NaN,NaN,NaN,26448,1,9.8,NaN
1582514100,26488,26488,26488,26488,26409,26409,26409,NaN,NaN,26488,1,9.8,NaN
1582514400,26511,26511,26509,26509,26416.9,NaN,NaN,NaN,NaN,26510,2,9.15,NaN
1582515000,26521,26521,26521,26521,26428.192000000003,NaN,NaN,NaN,NaN,26521,1,7.6,NaN
1582515300,26522,26522,26522,26522,26441.185120000002,NaN,NaN,NaN,NaN,26522,1,7.45,NaN
1582516200,26472,26472,26472,26472,26454.115500800002,NaN,NaN,NaN,NaN,26472,1,5.9,NaN
1582521000,26487,26496,26487,26496,26464.977020672002,NaN,NaN,NaN,NaN,26491.5,2,5.95,NaN
1582521300,26501,26501,26501,26501,26472,NaN,NaN,NaN,NaN,26501,1,5.9,NaN
1582522200,26499,26499,26499,26499,26480,NaN,NaN,NaN,NaN,26499,1,5.65,46.09327253397751
1582523100,26483,26483,26483,26483,26522,NaN,NaN,26522,26522,26483,4,5.8,45.445627765388
1582524000,26474,26474,26474,26474,26518.1,NaN,NaN,NaN,NaN,26474,1,4.45,44.92926664793499
1582524300,26480,26480,26480,26480,26512.807999999997,NaN,NaN,NaN,NaN,26480,8,4.6,44.31760475278111
1582524600,26467,26467,26467,26467,26508.151039999997,NaN,NaN,NaN,NaN,26467,3,4.6,43.887329758891866
1582526400,26455,26455,26455,26455,26502.389894399996,NaN,NaN,NaN,NaN,26455,1,3.15,43.61664344451028
1582526700,26448,26448,26448,26448,26494.807511295996,NaN,NaN,NaN,NaN,26448,1,3.15,43.442455469185255
1582527300,26455,26455,26455,26455,26486.382159262717,NaN,NaN,NaN,NaN,26455,1,3.15,43.088591904649455
1582527600,26469,26469,26469,26469,26479.473370595428,NaN,NaN,NaN,NaN,26469,9,3.55,42.3700953983191
1582527900,26458,26458,26430,26430,26473.80816388825,NaN,NaN,NaN,NaN,26444,2,3.6,42.20876227018571
1582528200,26408,26408,26408,26408,26469,NaN,NaN,NaN,NaN,26408,1,2.7,42.31716687360805
1582528500,26405,26415,26405,26415,26458,NaN,NaN,NaN,NaN,26410,6,2.4,42.209790933792284
1582528800,26432,26433,26432,26433,26447.4,NaN,NaN,NaN,NaN,26432.5,2,2.45,41.575646507894845
1582529400,26450,26450,26446,26446,26405,26405,26405,NaN,NaN,26448,2,2.5,40.498496363863794
1582530000,26459,26464,26459,26464,26409.5,NaN,NaN,NaN,NaN,26461.5,10,2.9,39.10529582868732
1582530600,26451,26451,26430,26430,26416.04,NaN,NaN,NaN,NaN,26440.5,2,2.95,38.31073009971445
1582530900,26430,26430,26430,26430,26421.7952,NaN,NaN,NaN,NaN,26430,1,2.95,37.572919065668216
1582531200,26430,26430,26421,26421,26464,NaN,NaN,26464,26464,26425.5,3,3.05,37.04651456504575
