time,open,high,low,close,Volume,Volume MA
1619609100,28731,28731,28731,28731,1,NaN
1619618100,28780,28780,28780,28780,1,NaN
1619620500,28741,28741,28741,28741,1,NaN
1619621100,28760,28760,28760,28760,1,NaN
1619622000,28741,28741,28741,28741,2,NaN
1619625000,28730,28730,28726,28729,40,NaN
1619627100,28733,28734,28733,28734,2,NaN
1619631900,28725,28725,28725,28725,1,NaN
1619658900,28900,28900,28900,28900,19,NaN
1619659200,28960,28968,28960,28968,6,NaN
1619659800,28950,28950,28876,28876,6,NaN
1619660100,28960,28960,28884,28960,10,NaN
1619660400,28955,29018,28955,29011,9,NaN
1619660700,29044,29065,29044,29046,9,NaN
1619661000,29060,29060,29040,29040,2,NaN
1619661300,29075,29075,29075,29075,1,NaN
1619661600,29039,29039,29039,29039,1,NaN
1619661900,29050,29050,29050,29050,1,NaN
1619662200,29075,29075,29075,29075,1,NaN
1619663400,29016,29020,29016,29020,2,NaN
1619663700,29020,29031,29020,29031,5,NaN
1619664900,28998,28998,28998,28998,1,NaN
1619665200,28953,28953,28953,28953,1,NaN
1619665500,28938,28938,28938,28938,1,NaN
1619665800,28945,28945,28935,28937,3,NaN
1619666100,28933,28940,28933,28940,2,NaN
1619666400,28928,28928,28928,28928,1,NaN
1619667000,28935,28935,28935,28935,1,NaN
1619668200,28920,28920,28920,28920,1,NaN
1619668500,28930,28930,28930,28930,1,NaN
1619672400,28906,28906,28906,28906,1,NaN
1619674800,28891,28891,28891,28891,1,NaN
1619675100,28908,28929,28908,28929,2,NaN
1619676900,28919,28919,28919,28919,1,NaN
1619677200,28940,28940,28940,28940,1,NaN
1619677500,28935,28957,28935,28957,11,NaN
1619677800,28955,28985,28952,28985,4,NaN
1619678100,28985,28996,28985,28996,2,NaN
1619678400,28990,28993,28987,28993,6,NaN
1619678700,28995,28995,28980,28980,2,NaN
1619681400,28995,29000,28995,29000,4,NaN
1619681700,29013,29013,29013,29013,1,NaN
1619682000,28981,28981,28979,28979,5,NaN
1619682900,28980,28980,28980,28980,1,NaN
1619683200,28990,28990,28982,28982,4,NaN
1619683800,28973,28973,28973,28973,1,NaN
1619689800,28987,28987,28986,28986,2,NaN
1619697300,28976,28976,28976,28976,1,NaN
1619697900,28979,28979,28979,28979,1,NaN
1619704200,28895,28895,28895,28895,1,NaN
1619704500,28891,28891,28891,28891,1,NaN
1619705100,28875,28875,28875,28875,1,NaN
1619705400,28869,28869,28869,28869,1,NaN
1619705700,28828,28828,28828,28828,1,NaN
1619706900,28805,28805,28804,28804,7,NaN
1619708700,28824,28824,28824,28824,1,NaN
1619709000,28820,28828,28820,28828,2,NaN
1619710200,28803,28803,28803,28803,1,NaN
1619745300,28682,28795,28682,28761,15,NaN
1619745900,28731,28768,28731,28751,13,NaN
1619746200,28740,28800,28740,28785,7,NaN
1619746500,28730,28800,28730,28800,3,NaN
1619746800,28720,28720,28600,28606,11,NaN
1619747100,28587,28598,28579,28598,36,NaN
1619747400,28624,28624,28604,28604,2,NaN
1619747700,28622,28622,28605,28605,21,NaN
1619748000,28562,28564,28540,28540,34,NaN
1619748300,28560,28560,28546,28546,23,NaN
1619748600,28560,28560,28530,28543,27,NaN
1619748900,28520,28525,28510,28510,12,NaN
