time,open,high,low,close,Volume
1666231800,16500,16500,16500,16500,1
1670397600,19400,19400,19400,19400,1
1686279000,19241,19241,19241,19241,1
1686721800,19654,19654,19654,19654,1
1689140400,19294,19294,19294,19294,1
1689227400,19816,19816,19816,19816,1
1689228000,19687,19687,19687,19687,1
1693979700,18544,18544,18544,18544,2
1694396400,18505,18505,18498,18498,4
1694743500,18500,18500,18500,18500,4
1694785500,18498,18498,18498,18498,2
1696571700,17710,17710,17710,17710,5
1697130000,18321,18321,18321,18321,4
1697130300,18321,18321,18321,18321,1
1697778000,17521,17521,17521,17521,1
1698721500,17321,17321,17316,17316,4
1698728700,17215,17215,17215,17215,1
1698732300,17268,17268,17266,17266,3
1698732900,17270,17270,17270,17270,2
1698733200,17287,17287,17287,17287,2
1698733800,17316,17318,17316,17318,3
1698737400,17290,17290,17290,17290,2
1698760200,17268,17268,17266,17266,6
1698761700,17316,17318,17316,17318,6
1698762600,17268,17268,17266,17266,6
1698765900,17195,17195,17195,17195,1
1698766500,17171,17171,17171,17171,1
1698775200,17231,17231,17231,17231,1
1698801600,17316,17318,17316,17318,6
1698802200,17300,17300,17300,17300,1
1698802500,17310,17310,17310,17310,1
1698803100,17268,17268,17266,17266,6
1698803700,17202,17202,17202,17202,4
1698808200,17270,17271,17270,17271,2
1698809100,17316,17318,17316,17318,6
1698809400,17317,17317,17317,17317,1
1698814800,17277,17277,17277,17277,1
1698815100,17268,17268,17266,17266,6
1698816000,17316,17316,17316,17316,2
1698819000,17293,17317,17293,17314,3
1698822000,17317,17318,17317,17318,3
1698825000,17268,17268,17267,17267,3
1698825900,17267,17267,17266,17266,3
1698831000,17238,17241,17237,17241,6
1698831600,17240,17240,17240,17240,3
1698841800,17288,17291,17288,17291,9
1698847200,17241,17241,17240,17240,6
1698848400,17316,17318,17316,17318,6
1698863700,17283,17283,17280,17280,6
1698887700,17436,17436,17419,17419,11
1698888000,17518,17518,17518,17518,1
1698889200,17622,17622,17622,17622,1
1698890700,17480,17480,17480,17480,1
1698893100,17507,17507,17484,17484,4
1698893400,17484,17484,17466,17466,35
1698902400,17438,17438,17438,17438,1
1698906600,17425,17425,17425,17425,3
1698908400,17372,17372,17372,17372,1
1698922500,17530,17531,17530,17531,8
1698926700,17532,17532,17532,17532,4
1698927000,17533,17534,17533,17534,8
1698976500,17635,17640,17635,17640,21
1698976800,17640,17640,17640,17640,3
1698977100,17650,17650,17650,17650,1
1698978000,17695,17695,17695,17695,2
1698978600,17761,17761,17761,17761,2
1698978900,17806,17806,17806,17806,1
1698979200,17776,17776,17776,17776,5
1698990900,17843,17843,17843,17843,6
1698991200,17848,17848,17848,17848,1
1698996000,17840,17840,17840,17840,1
1699002900,17814,17822,17814,17822,4
1699028400,18030,18030,18029,18029,2
1699240800,18202,18203,18202,18203,11
1699242600,18179,18179,18178,18178,5
1699246800,18160,18160,18160,18160,1
1699247400,18184,18184,18184,18184,2
1699249200,18150,18150,18150,18150,1
1699252500,18180,18180,18180,18180,1
1699324800,17934,17934,17934,17934,1
1699343100,17869,17869,17869,17869,3
1699343400,17861,17861,17861,17861,3
1699406400,17839,17839,17833,17833,11
1699410000,17941,17941,17941,17941,7
1699411200,17853,17853,17853,17853,1
1699421400,17808,17808,17808,17808,1
1699421700,17812,17812,17812,17812,1
1699423500,17748,17748,17748,17748,1
1699424400,17771,17771,17771,17771,1
1699429500,17801,17801,17801,17801,3
1699495500,17755,17755,17755,17755,1
1699498800,17680,17680,17680,17680,3
1699499700,17722,17722,17722,17722,3
1699516500,17721,17721,17721,17721,6
1699517400,17700,17700,17700,17700,3
1699535700,17722,17722,17722,17722,2
1699536000,17722,17722,17722,17722,1
1699548300,17747,17747,17747,17747,1
1699578900,17496,17510,17496,17510,12
1699579200,17490,17490,17490,17490,12
1699580400,17449,17450,17449,17450,59
1699594500,17416,17416,17416,17416,4
1699602600,17388,17388,17388,17388,4
1699839600,17485,17485,17485,17485,1
1699844700,17330,17330,17329,17330,13
1699861500,17593,17593,17593,17593,1
1699861800,17617,17617,17617,17617,1
1699877400,17650,17650,17650,17650,1
1699884600,17650,17650,17650,17650,1
1699893000,17787,17787,17787,17787,1
1699893900,17828,17828,17828,17828,1
1699897500,17768,17768,17768,17768,1
1699925100,17720,17720,17719,17719,25
1699930200,17674,17674,17674,17674,10
1699945500,17647,17658,17647,17658,8
1699947000,17655,17655,17655,17655,9
1699949400,17583,17583,17583,17583,1
1699969800,17868,17868,17868,17868,1
1700011200,18080,18080,18079,18079,14
1700012100,18037,18037,18037,18037,10
1700030700,18317,18323,18317,18323,31
1700033400,18280,18281,18280,18281,15
1700099100,18105,18105,18105,18105,6
1700099400,18089,18089,18075,18075,6
1700102100,17963,17963,17945,17945,7
1700103000,17945,17946,17945,17946,11
1700103600,17960,17960,17960,17960,1
1700113800,18096,18100,18096,18100,2
1700121000,18011,18011,18011,18011,1
1700133600,18019,18019,18019,18019,1
1700135700,17964,17964,17960,17962,19
1700136000,17944,17944,17944,17944,10
1700151600,17768,17768,17768,17768,1
1700160900,17770,17770,17770,17770,1
1700183700,17755,17755,17752,17752,15
1700184000,17770,17770,17770,17770,10
1700184600,17812,17812,17812,17812,1
1700186100,17717,17717,17717,17717,1
1700186700,17711,17711,17709,17709,2
