time,open,high,low,close,MA,MA,Volume,Volume MA,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1464657600,20309,20316,20309,20313,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1464657900,20314,20348,20314,20348,NaN,NaN,33,NaN,20309,NaN,NaN,NaN,NaN,NaN
1464658200,20360,20360,20360,20360,NaN,NaN,2,NaN,20309,NaN,NaN,NaN,NaN,NaN
1464658500,20380,20392,20378,20378,NaN,NaN,4,NaN,20314,NaN,NaN,NaN,NaN,NaN
1464659100,20454,20456,20443,20443,NaN,NaN,5,NaN,20324.92,NaN,NaN,NaN,NaN,NaN
1464659400,20434,20434,20434,20434,NaN,NaN,50,NaN,20345.892799999998,NaN,NaN,NaN,NaN,NaN
1464659700,20480,20494,20477,20488,NaN,NaN,4,NaN,20363.509951999997,NaN,NaN,NaN,NaN,NaN
1464660000,20482,20500,20477,20487,NaN,NaN,16,NaN,20386.998160639996,NaN,NaN,NaN,NaN,NaN
1464660300,20461,20470,20461,20470,20413.444444444445,20413.444444444445,4,NaN,20409.598528511997,NaN,NaN,NaN,NaN,NaN
1464660600,20498,20498,20488,20488,20428.355555555558,20432.88888888889,2,NaN,20427.678822809597,NaN,NaN,NaN,NaN,NaN
1464660900,20530,20530,20530,20530,20448.684444444447,20453.11111111111,1,NaN,20442.14305824768,NaN,NaN,NaN,NaN,NaN
1464661200,20555,20555,20540,20540,20466.94755555556,20473.11111111111,6,NaN,20459.714446598144,NaN,NaN,NaN,NaN,NaN
1464661500,20540,20540,20540,20540,20481.558044444446,20491.11111111111,1,NaN,20478.771557278516,NaN,NaN,NaN,NaN,NaN
1464661800,20552,20552,20552,20552,20495.646435555558,20503.222222222223,1,NaN,20494.01724582281,NaN,NaN,NaN,NaN,NaN
1464662100,20550,20550,20550,20550,20506.517148444447,20516.11111111111,1,NaN,20506.21379665825,NaN,NaN,NaN,NaN,NaN
1464662400,20507,20507,20505,20505,20506.213718755556,20518,2,NaN,20555,NaN,NaN,NaN,NaN,NaN
1464663000,20470,20550,20470,20550,20514.970975004446,20525,2,NaN,20550,NaN,NaN,NaN,NaN,NaN
1464663300,20499,20502,20471,20471,20506.176780003556,20525.11111111111,3,NaN,20550,NaN,NaN,NaN,NaN,NaN
1464663600,20522,20542,20522,20542,20513.341424002843,20531.11111111111,4,NaN,20470,NaN,NaN,NaN,NaN,NaN
1464663900,20550,20550,20550,20550,20520.673139202274,20533.333333333332,1,7.45,20471,NaN,NaN,NaN,NaN,NaN
1464664200,20557,20562,20551,20551,20526.73851136182,20534.555555555555,7,7.45,20480.48,NaN,NaN,NaN,59.79381443298969,10.603829160530191
1464664500,20556,20557,20556,20557,20532.790809089456,20536.444444444445,4,6,20491.8928,NaN,NaN,NaN,59.24276169265033,10.506105521849321
1464664800,20555,20580,20555,20580,20542.232647271565,20539.555555555555,4,6.1,20501.707808000003,NaN,NaN,NaN,60.51538661766364,10.09794132844339
1464665100,20577,20591,20577,20586,20550.98611781725,20543.555555555555,11,6.45,20514.234558720003,NaN,NaN,NaN,60.91963328529813,9.871864143729006
1464665400,20587,20634,20587,20617,20564.1888942538,20556,25,7.45,20528.052338150403,NaN,NaN,NaN,63.06252509575213,9.133845786292227
1464665700,20623,20650,20622,20650,20581.35111540304,20567.11111111111,14,5.65,20549.241870520324,NaN,NaN,NaN,62.31431670795141,8.665045427182148
1464666000,20652,20652,20632,20632,20591.48089232243,20585,20,6.45,20569.393496416258,NaN,NaN,NaN,60.65566672994226,8.390316092811249
1464666300,20636,20636,20629,20630,20599.184713857943,20594.777777777777,51,8.2,20585.914797133006,NaN,NaN,NaN,59.95533076060744,8.788273280214117
1464666600,20630,20630,20617,20617,20602.747771086353,20602.222222222223,4,8.2,20599.131837706405,NaN,NaN,NaN,58.631931285158146,10.631805021738867
1464666900,20613,20613,20613,20613,20604.798216869083,20609.11111111111,1,8.15,20609.705470165125,NaN,NaN,NaN,58.215736547031995,11.266179017111584
1464670800,20616,20618,20609,20609,20605.638573495267,20614.88888888889,17,8.95,20652,NaN,NaN,NaN,58.171752844072536,11.079902867870437
1464671100,20605,20610,20605,20610,20606.510858796213,20618.222222222223,8,9.05,20647.7,NaN,NaN,NaN,57.614672810375055,11.73991409592667
1464672300,20644,20644,20644,20644,20614.00868703697,20624.666666666668,1,9.05,20605,NaN,NaN,NaN,60.33369350848995,10.986798064095513
1464673200,20632,20632,20632,20632,20617.606949629575,20626.333333333332,1,9.05,20605,NaN,NaN,NaN,58.92924262143109,13.058852054976045
1464673500,20634,20638,20634,20638,20621.68555970366,20625,2,9.1,20608.9,NaN,NaN,NaN,59.42633520074301,12.900796570607303
1464673800,20635,20635,20629,20629,20623.148447762927,20624.666666666668,3,9.15,20612.41,NaN,NaN,NaN,58.311963971590465,13.70066477783721
1464674100,20644,20644,20644,20644,20627.318758210342,20626.222222222223,1,9.1,20615.569,NaN,NaN,NaN,58.36572903375053,13.26428955774855
1464674400,20637,20637,20637,20637,20629.255006568274,20628.444444444445,1,9,20618.4121,NaN,NaN,NaN,57.46660999338717,14.600445723860602
