time,open,high,low,close,MA,MA,Volume,Volume MA,"HSI2!, HKEX: Compare","HSIZ2019, HKEX: Compare","HSI1!, HKEX: Compare",ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1559265600,26818,26818,26802,26807,NaN,NaN,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1559266200,26850,26850,26847,26848,NaN,NaN,8,NaN,NaN,NaN,NaN,26802.96,NaN,NaN,NaN,NaN,NaN
1559266500,26864,26905,26864,26905,NaN,NaN,10,NaN,NaN,NaN,NaN,26807.0416,NaN,NaN,NaN,NaN,NaN
1559266800,26943,26943,26929,26929,NaN,NaN,6,NaN,NaN,NaN,NaN,26815.199104,NaN,NaN,NaN,NaN,NaN
1559267100,26916,26916,26884,26884,NaN,NaN,2,NaN,NaN,NaN,NaN,26822.86715776,NaN,NaN,NaN,NaN,NaN
1559267400,26912,26919,26894,26919,NaN,NaN,3,NaN,NaN,NaN,NaN,26830.0751282944,NaN,NaN,NaN,NaN,NaN
1559267700,26920,26920,26908,26908,NaN,NaN,7,NaN,NaN,NaN,NaN,26836.850620596735,NaN,NaN,NaN,NaN,NaN
1559268000,26911,26921,26909,26921,NaN,NaN,5,NaN,NaN,NaN,NaN,26843.21958336093,NaN,NaN,NaN,NaN,NaN
1559268300,26929,26929,26899,26899,26891.11111111111,26891.11111111111,14,NaN,NaN,NaN,NaN,26849.206408359274,NaN,NaN,NaN,NaN,NaN
1559268600,26921,26921,26918,26918,26896.48888888889,26903.444444444445,3,NaN,NaN,NaN,NaN,26854.83402385772,NaN,NaN,NaN,NaN,NaN
1559268900,26930,26930,26902,26904,26897.99111111111,26909.666666666668,4,NaN,NaN,NaN,NaN,26860.123982426256,NaN,NaN,NaN,NaN,NaN
1559269200,26903,26904,26903,26904,26899.192888888887,26909.555555555555,2,NaN,NaN,NaN,NaN,26865.09654348068,NaN,NaN,NaN,NaN,NaN
1559269500,26895,26895,26895,26895,26898.35431111111,26905.777777777777,10,NaN,NaN,NaN,NaN,26869.770750871838,NaN,NaN,NaN,NaN,NaN
